Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,37.73,37.80,37.36,37.50,4776100,36.93
2011-12-29,37.45,37.80,37.25,37.71,5022500,37.14
2011-12-28,37.65,37.71,37.17,37.24,4634300,36.68
2011-12-27,37.61,37.80,37.40,37.61,5189500,37.04
2011-12-23,37.13,37.72,37.11,37.70,6788700,37.13
2011-12-22,36.38,37.00,36.26,36.95,8067600,36.39
2011-12-21,36.23,36.70,35.75,36.27,8226200,35.72
2011-12-20,35.17,36.38,35.15,36.17,10126200,35.62
2011-12-19,35.39,35.55,34.51,34.75,11436800,34.22
2011-12-16,35.45,35.74,35.15,35.32,20350200,34.79
2011-12-15,35.52,35.72,34.99,35.19,9876100,34.66
2011-12-14,35.70,36.00,35.12,35.16,10664000,34.63
2011-12-13,36.69,37.12,36.18,36.33,12708800,35.19
2011-12-12,36.20,36.77,35.92,36.65,10050800,35.50
2011-12-09,36.17,36.77,36.17,36.56,7323400,35.41
2011-12-08,36.86,36.96,35.82,35.92,9881700,34.79
2011-12-07,36.71,37.33,36.46,37.10,9543600,35.94
2011-12-06,36.87,37.20,36.75,36.83,6573100,35.67
2011-12-05,37.04,37.37,36.73,36.94,9973900,35.78
2011-12-02,36.33,36.83,36.30,36.61,10202500,35.46
2011-12-01,36.03,36.33,35.72,35.99,10350800,34.86
2011-11-30,34.68,35.89,34.66,35.85,16536000,34.72
2011-11-29,34.34,34.50,33.97,34.00,7655200,32.93
2011-11-28,34.27,34.53,33.76,34.07,8656400,33.00
2011-11-25,33.50,34.22,33.28,33.51,4991900,32.46
2011-11-23,33.58,33.78,33.40,33.40,10764000,32.35
2011-11-22,34.21,34.47,33.41,34.02,12500700,32.95
2011-11-21,35.48,35.63,34.22,34.33,39965700,33.25
2011-11-18,35.39,35.78,35.24,35.63,32200300,34.51
2011-11-17,35.38,35.86,34.80,35.15,32562000,34.05
2011-11-16,35.96,36.32,35.47,35.53,10809700,34.41
2011-11-15,35.96,37.00,35.96,36.45,14226700,35.31
2011-11-14,36.33,36.42,35.88,36.12,9631900,34.99
2011-11-11,36.63,37.42,36.37,36.70,22388500,35.55
2011-11-10,34.16,34.76,33.65,34.64,12170600,33.55
2011-11-09,34.59,34.59,33.66,33.79,11913800,32.73
2011-11-08,35.44,35.46,34.34,35.29,10710900,34.18
2011-11-07,34.86,35.17,34.61,35.15,6942700,34.05
2011-11-04,34.81,35.01,34.33,34.76,6430900,33.67
2011-11-03,34.57,35.13,33.97,35.03,9276100,33.93
2011-11-02,34.13,34.38,33.80,34.07,8538100,33.00
2011-11-01,34.43,34.47,33.31,33.60,13361700,32.55
2011-10-31,35.72,35.79,34.86,34.88,10152100,33.79
2011-10-28,36.23,36.34,35.72,36.21,8477600,35.07
2011-10-27,35.79,36.60,35.63,36.28,11316800,35.14
2011-10-26,34.88,35.19,34.09,35.05,10407200,33.95
2011-10-25,35.20,35.35,34.41,34.51,7812300,33.43
2011-10-24,35.24,35.71,35.02,35.37,8837900,34.26
2011-10-21,34.18,35.16,34.09,35.16,13707600,34.06
2011-10-20,33.85,34.12,33.25,33.84,7319800,32.78
2011-10-19,33.88,34.35,33.47,33.61,7479000,32.55
2011-10-18,33.46,34.20,33.13,33.94,10980600,32.87
2011-10-17,33.83,34.22,33.18,33.39,9987700,32.34
2011-10-14,34.02,34.53,33.91,34.47,10694700,33.39
2011-10-13,33.39,33.73,33.27,33.55,6837900,32.50
2011-10-12,32.96,34.43,32.75,33.76,17363400,32.70
2011-10-11,33.11,33.28,32.24,32.61,12891200,31.59
2011-10-10,32.36,33.10,32.30,33.00,7887400,31.96
2011-10-07,32.20,32.37,31.61,31.70,12070100,30.70
2011-10-06,31.23,32.05,31.02,32.03,12659400,31.02
2011-10-05,30.35,31.55,30.31,31.51,17823700,30.52
2011-10-04,28.73,29.97,28.19,29.86,19000000,28.92
