Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,15.19,15.30,15.10,15.10,1992500,15.10
2011-12-29,15.08,15.31,15.00,15.18,2399200,15.18
2011-12-28,15.40,15.47,14.91,15.00,2180400,15.00
2011-12-27,15.45,15.59,15.36,15.44,1514100,15.44
2011-12-23,15.61,15.65,15.30,15.45,1583400,15.45
2011-12-22,15.45,15.62,15.33,15.52,3533300,15.52
2011-12-21,15.17,15.46,14.93,15.42,3240200,15.42
2011-12-20,14.70,15.24,14.70,15.19,4185300,15.19
2011-12-19,15.04,15.04,14.32,14.36,4904500,14.36
2011-12-16,14.58,14.98,14.55,14.94,5907800,14.94
2011-12-15,14.55,14.82,14.21,14.48,5438500,14.48
2011-12-14,15.09,15.17,14.25,14.32,7802100,14.32
2011-12-13,15.78,16.20,15.16,15.34,5556600,15.34
2011-12-12,16.04,16.07,15.41,15.62,4186100,15.62
2011-12-09,16.14,16.55,16.12,16.44,4017100,16.44
2011-12-08,16.50,16.73,15.95,16.04,3913600,16.04
2011-12-07,16.74,16.86,16.44,16.72,6107700,16.72
2011-12-06,16.88,17.07,16.64,16.86,4873200,16.86
2011-12-05,17.07,17.23,16.71,16.91,4691800,16.91
2011-12-02,17.00,17.18,16.59,16.63,5179400,16.63
2011-12-01,16.81,17.08,16.58,16.70,4673800,16.70
2011-11-30,16.81,17.20,16.47,16.90,7286700,16.90
2011-11-29,15.91,16.16,15.46,15.98,5555900,15.98
2011-11-28,14.95,15.55,14.82,15.33,5289000,15.33
2011-11-25,14.28,14.62,14.17,14.32,1972100,14.32
2011-11-23,14.70,14.76,14.42,14.43,5979200,14.43
2011-11-22,15.50,15.60,14.97,15.02,6749500,15.02
2011-11-21,15.59,15.71,15.20,15.55,6733400,15.55
2011-11-18,16.08,16.30,15.65,15.87,7731300,15.87
2011-11-17,16.98,17.00,15.83,15.95,6266400,15.95
2011-11-16,16.68,17.57,16.61,17.04,8351500,17.04
2011-11-15,17.15,17.18,16.65,16.82,6134600,16.82
2011-11-14,17.25,17.29,16.82,17.18,6574300,17.18
2011-11-11,17.14,17.38,16.98,17.31,4661800,17.31
2011-11-10,16.89,17.08,16.36,16.87,5543500,16.87
2011-11-09,16.84,17.10,16.33,16.51,6727800,16.51
2011-11-08,17.50,17.58,17.13,17.45,5574900,17.45
2011-11-07,17.29,17.50,17.00,17.34,6598900,17.34
2011-11-04,17.04,17.42,16.83,17.38,9125200,17.38
2011-11-03,16.53,17.25,16.29,17.12,7865900,17.12
2011-11-02,15.66,16.04,15.50,16.01,6909300,16.01
2011-11-01,14.84,15.50,14.54,15.23,6701800,15.23
2011-10-31,16.48,16.52,15.70,15.70,4851300,15.70
2011-10-28,16.55,16.90,16.38,16.85,5022800,16.85
2011-10-27,16.16,17.08,16.00,16.82,8604300,16.82
2011-10-26,15.65,15.81,15.04,15.61,5452000,15.61
2011-10-25,16.27,16.28,15.28,15.33,6196900,15.33
2011-10-24,15.97,16.39,15.89,16.36,6299100,16.36
2011-10-21,15.01,15.93,14.98,15.91,8653900,15.91
2011-10-20,14.78,15.03,14.20,14.73,6779900,14.73
2011-10-19,14.90,15.23,14.79,14.81,7848900,14.81
2011-10-18,14.23,15.12,13.87,14.93,7361000,14.93
2011-10-17,14.18,14.42,13.96,14.22,9037200,14.22
2011-10-14,13.83,14.30,13.73,14.30,5400200,14.30
2011-10-13,13.57,13.59,13.04,13.47,6338500,13.47
2011-10-12,13.29,14.04,13.27,13.71,9789100,13.71
2011-10-11,12.65,13.33,12.44,13.14,10310100,13.14
2011-10-10,12.02,12.84,11.95,12.84,6926500,12.84
2011-10-07,11.97,12.15,11.50,11.72,6447800,11.72
2011-10-06,11.14,11.95,11.11,11.92,9744600,11.92
2011-10-05,11.43,11.46,10.84,11.15,18559100,11.15
2011-10-04,10.56,11.42,10.20,11.37,10200000,11.37
2011-10-03,11.60,11.60,10.84,10.86,9115900,10.86
2011-09-30,11.73,11.88,11.39,11.50,6687600,11.50
