Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,58.50,58.90,58.05,58.05,688400,56.79
2011-12-29,57.91,58.59,57.79,58.42,1019900,57.15
2011-12-28,58.69,59.00,57.56,57.61,808100,56.36
2011-12-27,58.39,59.27,58.38,58.92,848500,57.64
2011-12-23,57.97,58.77,57.85,58.74,838800,57.46
2011-12-22,57.84,58.03,57.38,57.59,1240700,56.34
2011-12-21,57.89,58.43,56.58,57.48,1844500,56.23
2011-12-20,56.39,58.11,56.34,57.90,1123700,56.64
2011-12-19,56.33,56.75,55.01,55.17,999600,53.97
2011-12-16,56.41,57.41,55.85,56.14,2764900,54.92
2011-12-15,55.88,56.08,55.19,55.96,1746900,54.74
2011-12-14,55.06,55.37,54.67,55.10,1430300,53.90
2011-12-13,56.37,56.83,54.93,55.53,1690600,54.32
2011-12-12,56.46,56.56,55.11,55.83,1305800,54.62
2011-12-09,56.18,57.46,55.74,57.20,1394200,55.96
2011-12-08,57.58,57.90,55.57,55.73,1659600,54.52
2011-12-07,57.21,58.48,56.60,58.22,2173000,56.96
2011-12-06,57.34,58.09,56.98,57.58,1831600,56.33
2011-12-05,56.83,57.76,56.19,57.51,2416200,56.26
2011-12-02,55.52,56.48,55.46,55.88,2132800,54.67
2011-12-01,54.70,55.58,54.62,54.76,1860600,53.57
2011-11-30,55.15,56.16,53.43,54.97,6068100,53.78
2011-11-29,52.22,53.49,52.19,53.00,2029100,51.85
2011-11-28,51.47,52.47,51.43,52.01,1291700,50.88
2011-11-25,50.24,51.13,50.14,50.26,507600,48.86
2011-11-23,51.34,51.36,50.29,50.40,1515400,49.00
2011-11-22,51.32,52.01,50.85,51.87,1784900,50.43
2011-11-21,52.29,52.42,50.34,51.26,2523900,49.83
2011-11-18,54.06,54.16,53.03,53.11,1797100,51.63
2011-11-17,55.00,55.28,52.99,53.43,2166500,51.94
2011-11-16,55.63,56.30,55.12,55.20,1702700,53.66
2011-11-15,55.62,56.74,55.44,56.38,1036000,54.81
2011-11-14,56.06,56.80,55.57,55.96,1097700,54.40
2011-11-11,54.83,56.57,54.77,56.27,1305000,54.70
2011-11-10,54.46,54.65,53.48,53.85,1671200,52.35
2011-11-09,54.96,54.96,53.26,53.81,2489700,52.31
2011-11-08,56.39,56.79,55.27,56.31,1565200,54.74
2011-11-07,56.91,57.04,54.90,56.09,1792500,54.53
2011-11-04,56.48,57.15,55.88,56.89,1381600,55.31
2011-11-03,55.54,57.24,54.94,57.12,1605600,55.53
2011-11-02,55.18,55.65,54.24,55.00,1599200,53.47
2011-11-01,53.31,55.21,52.78,54.15,2348500,52.64
2011-10-31,57.56,57.63,55.53,55.53,2786400,53.98
2011-10-28,57.67,58.89,57.56,58.67,1612500,57.04
2011-10-27,57.84,58.67,57.05,57.95,2288300,56.34
2011-10-26,55.34,56.19,53.97,55.65,2322700,54.10
2011-10-25,53.57,55.81,52.27,54.66,2622800,53.14
2011-10-24,52.67,54.04,52.50,53.74,2457800,52.24
2011-10-21,54.68,54.68,50.75,52.71,4220600,51.24
2011-10-20,52.96,53.80,51.89,53.55,2453500,52.06
2011-10-19,54.42,54.76,52.55,52.80,1492400,51.33
2011-10-18,52.05,54.97,51.87,54.37,1594500,52.86
2011-10-17,53.48,53.81,51.37,51.79,1797700,50.35
2011-10-14,53.93,54.10,52.81,53.83,1856300,52.33
2011-10-13,53.46,53.50,52.09,53.00,1568600,51.52
2011-10-12,53.17,54.76,53.17,54.10,1627600,52.59
2011-10-11,52.11,53.04,51.92,52.81,1613700,51.34
2011-10-10,51.26,52.51,51.26,52.50,1184300,51.04
2011-10-07,50.93,51.00,49.59,50.04,1962900,48.65
2011-10-06,48.87,50.71,48.76,50.64,1537500,49.23
2011-10-05,47.69,49.23,46.96,49.00,2210600,47.64
2011-10-04,43.98,47.59,43.64,47.48,2400000,46.16
2011-10-03,46.14,47.00,44.63,44.64,2646500,43.40
2011-09-30,46.12,47.17,46.02,46.60,2821400,45.30
2011-09-29,47.84,48.32,46.40,47.75,2336000,46.42
2011-09-28,48.68,49.32,46.78,46.87,2866700,45.56
2011-09-27,49.97,50.59,48.47,48.79,2384500,47.43
2011-09-26,46.83,48.54,45.58,48.42,2380000,47.07
2011-09-23,45.93,47.39,45.65,46.28,2643300,44.99
2011-09-22,47.66,47.84,45.42,46.07,3438100,44.79
2011-09-21,50.66,51.12,49.25,49.28,2305900,47.91
2011-09-20,51.84,52.50,50.73,50.80,1353100,49.39
2011-09-19,51.03,52.19,50.65,51.82,1271500,50.38
2011-09-16,53.23,53.60,51.89,52.34,1888600,50.88
2011-09-15,52.85,52.99,52.02,52.91,1601000,51.44
2011-09-14,51.61,52.96,50.33,52.16,2690100,50.71
2011-09-13,50.42,51.80,50.04,51.20,2274700,49.77
2011-09-12,51.01,51.31,49.05,50.20,3323900,48.80
2011-09-09,52.41,52.85,51.15,51.67,2246000,50.23
2011-09-08,53.77,54.55,52.74,52.99,3585600,51.51
2011-09-07,54.14,54.36,52.77,53.93,4023800,52.43
2011-09-06,53.13,54.03,52.56,53.87,2188400,52.37
2011-09-02,55.20,56.06,54.36,55.02,1648900,53.49
2011-09-01,57.63,58.40,56.21,56.56,1689800,54.99
2011-08-31,57.74,58.81,56.83,57.52,1371900,55.92
2011-08-30,56.06,57.67,55.47,57.24,1378700,55.65
2011-08-29,55.12,56.37,54.97,56.28,1193100,54.71
2011-08-26,52.54,54.78,51.49,54.39,1535600,52.57
2011-08-25,54.89,55.55,52.62,52.84,1506100,51.07
2011-08-24,53.41,54.75,53.05,54.66,1737400,52.83
2011-08-23,51.30,53.51,50.93,53.50,1738100,51.71
2011-08-22,51.49,51.62,50.57,51.06,2109900,49.35
2011-08-19,50.19,51.85,49.91,50.02,2258400,48.35
2011-08-18,52.79,52.79,50.33,50.94,2781600,49.23
2011-08-17,55.45,55.74,53.64,54.35,1498900,52.53
2011-08-16,55.56,56.07,54.57,55.06,1772000,53.22
2011-08-15,55.61,56.88,55.58,56.54,1718100,54.65
2011-08-12,55.03,55.49,54.40,55.05,1817300,53.21
2011-08-11,51.85,55.43,51.75,54.62,2122600,52.79
2011-08-10,52.55,53.91,51.39,51.58,3376200,49.85
2011-08-09,51.68,54.01,50.01,53.98,4500300,52.17
2011-08-08,53.28,54.31,50.59,50.61,3328600,48.92
2011-08-05,56.02,56.59,53.78,55.30,4108600,53.45
2011-08-04,57.94,58.24,55.05,55.17,3095800,53.32
2011-08-03,58.30,59.50,57.31,59.22,2489000,57.24
2011-08-02,60.19,60.76,58.37,58.40,2336700,56.45
2011-08-01,61.33,61.64,59.63,60.77,2287000,58.74
2011-07-29,59.97,61.67,59.55,60.47,2603600,58.45
2011-07-28,61.79,62.36,60.25,60.41,2227400,58.39
2011-07-27,64.07,64.10,61.45,61.65,3291900,59.59
2011-07-26,66.68,67.01,64.43,64.57,1547600,62.41
2011-07-25,66.80,67.58,66.15,66.62,1426000,64.39
2011-07-22,66.66,67.39,65.87,66.84,2289900,64.60
2011-07-21,66.98,67.38,66.05,66.36,1960200,64.14
2011-07-20,67.35,67.61,66.41,66.56,1187800,64.33
2011-07-19,66.34,67.08,66.06,67.07,983400,64.82
2011-07-18,65.61,65.84,64.91,65.67,1486900,63.47
2011-07-15,65.91,66.01,64.90,65.97,1025500,63.76
2011-07-14,66.54,66.95,65.27,65.50,1328800,63.31
2011-07-13,66.56,67.19,66.10,66.32,1215000,64.10
2011-07-12,67.21,67.50,66.02,66.06,1380500,63.85
2011-07-11,68.18,68.32,66.90,67.41,921700,65.15
2011-07-08,68.73,69.32,68.50,69.19,1245400,66.87
2011-07-07,69.93,70.15,69.46,69.84,1525200,67.50
2011-07-06,68.90,69.55,68.46,69.25,1319300,66.93
2011-07-05,69.16,69.47,68.60,68.98,828200,66.67
2011-07-01,67.91,69.26,67.62,69.09,897300,66.78
2011-06-30,66.65,68.23,66.52,67.80,1320600,65.53
2011-06-29,66.64,66.76,65.65,66.36,1395200,64.14
2011-06-28,64.74,66.30,64.62,66.26,1121500,64.04
2011-06-27,63.77,64.80,63.17,64.51,904000,62.35
2011-06-24,64.93,65.15,63.49,63.65,1278700,61.52
2011-06-23,63.36,64.89,62.60,64.86,1850700,62.69
2011-06-22,64.05,64.97,63.88,64.58,1155700,62.42
2011-06-21,63.60,64.55,63.47,64.46,843400,62.30
2011-06-20,62.05,63.27,61.96,63.12,896000,61.01
2011-06-17,62.91,63.24,62.10,62.30,1277800,60.21
2011-06-16,61.48,62.40,61.01,62.26,1468900,60.18
2011-06-15,62.05,62.41,61.20,61.49,1237500,59.43
2011-06-14,61.76,63.39,61.73,62.71,1411400,60.61
2011-06-13,60.91,61.43,60.57,60.91,950300,58.87
2011-06-10,61.84,62.17,60.77,60.83,1127100,58.79
2011-06-09,62.27,62.55,62.06,62.30,1215300,60.21
2011-06-08,62.00,62.47,61.88,62.11,1451600,60.03
2011-06-07,62.60,62.83,62.03,62.38,1737800,60.29
2011-06-06,62.31,62.95,62.05,62.18,1320400,60.10
2011-06-03,62.45,63.21,62.27,62.46,1329000,60.37
2011-06-02,63.96,64.61,63.19,63.48,1865600,61.36
2011-06-01,66.73,66.98,63.71,63.76,2539200,61.63
2011-05-31,66.76,68.00,66.42,67.23,2641900,64.98
2011-05-27,64.45,65.95,64.45,65.81,1643200,63.61
2011-05-26,63.07,64.37,62.88,64.20,1352800,62.05
2011-05-25,63.70,63.90,61.76,63.70,1521200,61.30
2011-05-24,62.84,63.24,62.19,62.26,1107800,59.92
2011-05-23,62.42,63.11,62.12,62.75,1245000,60.39
2011-05-20,64.48,64.48,63.19,63.49,1000000,61.10
2011-05-19,64.11,64.63,63.80,64.45,1029800,62.02
2011-05-18,62.81,63.89,62.57,63.71,1363000,61.31
