Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,28.85,28.86,28.65,28.76,4494200,27.68
2011-12-29,28.29,28.76,28.17,28.73,6061100,27.66
2011-12-28,28.65,28.70,28.00,28.17,7541300,27.12
2011-12-27,28.79,29.11,28.66,28.84,6424400,27.52
2011-12-23,28.17,28.89,28.10,28.84,8410200,27.52
2011-12-22,27.42,28.10,27.31,28.06,9552300,26.78
2011-12-21,27.03,27.33,26.77,27.28,9656100,26.03
2011-12-20,26.26,27.04,26.26,26.96,12493300,25.73
2011-12-19,26.46,26.48,25.62,25.74,9255800,24.56
2011-12-16,26.16,26.44,25.85,26.36,15664900,25.15
2011-12-15,25.89,25.95,25.33,25.80,7658000,24.62
2011-12-14,25.38,25.94,25.23,25.38,8699600,24.22
2011-12-13,26.64,26.82,25.46,25.75,7651500,24.57
2011-12-12,26.66,26.73,26.07,26.34,5921200,25.13
2011-12-09,26.08,27.24,25.94,27.10,7939400,25.86
2011-12-08,27.48,27.60,26.67,26.77,7249000,25.55
2011-12-07,27.76,27.97,27.48,27.81,8584400,26.54
2011-12-06,28.00,28.42,27.55,28.05,7658900,26.77
2011-12-05,28.29,28.50,27.75,27.99,6567700,26.71
2011-12-02,27.90,28.12,27.60,27.75,7897600,26.48
2011-12-01,27.33,27.78,27.25,27.57,7484300,26.31
2011-11-30,26.92,27.74,26.92,27.71,10406700,26.44
2011-11-29,25.63,26.08,25.47,25.75,6526400,24.57
2011-11-28,25.75,25.91,25.38,25.65,7154100,24.48
2011-11-25,24.58,25.00,24.46,24.47,2919200,23.35
2011-11-23,24.79,25.03,24.42,24.60,10763400,23.47
2011-11-22,25.20,25.39,24.72,25.15,8205600,24.00
2011-11-21,25.41,25.46,25.01,25.26,11450700,24.10
2011-11-18,26.36,26.52,25.80,25.95,11438400,24.76
2011-11-17,26.86,27.06,26.00,26.19,15740000,24.99
2011-11-16,27.29,27.60,26.91,26.96,9200300,25.73
2011-11-15,27.66,27.86,27.27,27.68,7539900,26.41
2011-11-14,28.09,28.29,27.55,27.86,5944100,26.59
2011-11-11,27.67,28.34,27.67,28.19,6450900,26.90
2011-11-10,27.72,27.90,27.00,27.41,10622100,26.16
2011-11-09,27.60,27.94,27.02,27.18,12394100,25.94
2011-11-08,28.33,28.72,27.96,28.57,9188400,27.26
2011-11-07,28.07,28.37,27.54,28.21,7451500,26.92
2011-11-04,28.27,28.46,27.77,28.18,10530200,26.89
2011-11-03,28.52,28.73,27.82,28.62,8650700,27.31
2011-11-02,27.95,28.46,27.52,28.00,11199800,26.72
2011-11-01,26.38,27.64,26.10,27.34,17860200,26.09
2011-10-31,28.74,28.80,27.85,27.88,11693800,26.60
2011-10-28,28.82,29.30,28.37,29.25,10527300,27.91
2011-10-27,28.49,29.56,27.80,29.10,17891400,27.77
2011-10-26,26.90,27.32,26.01,26.89,16077900,25.66
2011-10-25,27.81,27.90,26.42,26.49,16445800,25.28
2011-10-24,27.38,28.03,27.34,27.90,10624300,26.62
2011-10-21,26.85,27.45,26.81,27.24,12290000,25.99
2011-10-20,26.63,26.90,25.69,26.43,13050900,25.22
2011-10-19,27.78,27.78,26.41,26.59,10765300,25.37
2011-10-18,26.38,28.00,26.12,27.77,18287100,26.50
2011-10-17,27.68,27.68,26.42,26.53,14560800,25.32
2011-10-14,27.25,27.73,27.20,27.68,8579500,26.41
2011-10-13,26.93,26.93,26.04,26.67,10172400,25.45
2011-10-12,26.86,27.71,26.80,27.29,12824800,26.04
2011-10-11,26.11,27.00,25.90,26.40,10822100,25.19
2011-10-10,25.59,26.40,25.57,26.19,9593300,24.99
2011-10-07,25.50,25.75,24.34,24.76,12908100,23.63
2011-10-06,24.38,25.34,24.03,25.32,14895900,24.16
2011-10-05,22.96,24.69,22.73,24.50,22092900,23.38
2011-10-04,21.03,22.84,20.61,22.80,18600000,21.76
2011-10-03,22.29,22.87,21.50,21.51,15555500,20.53
2011-09-30,23.46,23.53,22.46,22.46,19340000,21.43
2011-09-29,24.37,24.73,23.57,23.74,17111200,22.65
2011-09-28,25.47,25.54,23.71,23.76,12225400,22.67
2011-09-27,25.59,26.50,24.99,25.59,16529400,24.18
2011-09-26,23.85,24.51,23.08,24.51,15251700,23.16
2011-09-23,23.06,24.00,22.89,23.53,13478700,22.23
2011-09-22,24.95,25.03,22.50,23.02,27722300,21.75
2011-09-21,27.09,27.45,25.53,25.54,12587400,24.13
2011-09-20,27.84,28.09,27.25,27.27,9091400,25.77
2011-09-19,27.56,27.87,27.03,27.72,8845600,26.19
2011-09-16,27.86,28.50,27.79,28.30,13300600,26.74
2011-09-15,27.34,27.75,27.13,27.75,8927300,26.22
2011-09-14,26.45,27.36,25.90,26.91,10009000,25.43
2011-09-13,25.92,26.52,25.70,26.31,7525800,24.86
2011-09-12,25.30,25.95,25.19,25.76,8993700,24.34
2011-09-09,26.51,26.55,25.65,25.77,10809700,24.35
2011-09-08,26.94,27.06,26.45,26.90,13231200,25.42
2011-09-07,27.08,27.18,26.82,27.07,9269300,25.58
2011-09-06,25.80,26.22,25.47,26.14,10857300,24.70
2011-09-02,26.83,27.14,26.46,26.71,8275900,25.24
2011-09-01,28.37,28.69,27.54,27.60,10699600,26.08
2011-08-31,28.60,29.19,28.16,28.45,11074300,26.88
2011-08-30,28.12,28.50,27.90,28.26,11303200,26.70
2011-08-29,27.31,28.35,27.23,28.31,10296800,26.75
2011-08-26,26.12,27.03,25.45,26.82,11920100,25.34
2011-08-25,26.87,27.10,26.26,26.40,11134300,24.95
2011-08-24,26.21,26.88,26.04,26.83,11448200,25.35
2011-08-23,25.79,26.37,25.42,26.37,12918800,24.92
2011-08-22,27.01,27.02,25.46,25.59,16923700,24.18
2011-08-19,26.34,27.36,26.20,26.26,13424900,24.81
2011-08-18,28.56,28.65,26.57,26.89,19715200,25.41
2011-08-17,29.43,30.04,29.26,29.55,9256400,27.92
2011-08-16,29.79,30.05,29.13,29.32,9986800,27.71
2011-08-15,29.72,30.08,29.53,30.08,8364800,28.42
2011-08-12,29.66,30.15,29.01,29.43,11422400,27.81
2011-08-11,28.43,30.00,28.09,29.42,19888400,27.80
2011-08-10,28.41,29.42,28.02,28.12,18320300,26.57
2011-08-09,27.57,29.41,27.12,29.36,19605400,27.74
2011-08-08,28.61,29.30,26.69,27.07,24405700,25.58
2011-08-05,30.89,31.05,29.27,30.22,18433200,28.56
2011-08-04,33.00,33.00,30.16,30.31,22246900,28.64
2011-08-03,33.65,33.86,32.35,33.77,12160800,31.91
2011-08-02,34.65,35.34,33.66,33.67,10513900,31.82
2011-08-01,35.74,36.19,34.50,35.14,10818100,33.20
2011-07-29,34.96,35.65,34.62,34.87,12049200,32.95
2011-07-28,35.22,36.32,35.20,35.37,12992200,33.42
2011-07-27,36.50,36.90,34.89,34.99,16612200,33.06
2011-07-26,35.86,36.21,35.32,35.85,11595500,33.88
2011-07-25,35.05,36.28,34.91,35.99,8996300,34.01
2011-07-22,35.65,35.85,35.46,35.58,3920500,33.62
2011-07-21,35.37,35.97,35.31,35.75,6725300,33.78
2011-07-20,34.80,35.28,34.72,35.12,5270100,33.19
2011-07-19,34.62,34.87,34.47,34.76,7527300,32.85
2011-07-18,34.72,35.01,34.00,34.27,7444000,32.38
2011-07-15,34.65,35.04,34.60,34.95,9636100,33.03
2011-07-14,34.39,34.86,34.25,34.55,9678000,32.65
2011-07-13,34.35,34.50,33.98,34.25,12898200,32.36
2011-07-12,34.33,34.56,33.66,34.05,20232600,32.17
2011-07-11,35.79,35.80,34.84,35.08,9065200,33.15
2011-07-08,36.59,36.63,35.99,36.38,7435200,34.38
2011-07-07,36.90,37.30,36.63,37.17,6364500,35.12
2011-07-06,36.16,36.60,35.87,36.46,6036900,34.45
2011-07-05,36.30,36.52,36.07,36.30,5367100,34.30
2011-07-01,35.94,36.43,35.72,36.32,7755200,34.32
2011-06-30,35.86,36.09,35.31,36.00,9853700,34.02
2011-06-29,35.65,35.99,35.39,35.79,6141700,33.82
2011-06-28,34.90,35.46,34.61,35.46,7494400,33.51
2011-06-27,35.07,35.34,34.66,35.11,7667000,32.94
2011-06-24,35.81,35.90,35.07,35.23,8189800,33.05
2011-06-23,35.33,35.68,34.72,35.62,11167500,33.42
2011-06-22,35.87,36.40,35.84,35.98,8974400,33.76
2011-06-21,35.25,36.19,35.23,36.08,7115000,33.85
2011-06-20,34.47,35.09,34.39,34.96,6188100,32.80
2011-06-17,34.99,35.16,34.36,34.59,10880800,32.45
2011-06-16,34.86,35.27,33.97,34.43,13496600,32.30
2011-06-15,35.07,35.14,34.21,34.62,14724500,32.48
2011-06-14,35.42,35.78,35.11,35.58,8881600,33.38
2011-06-13,34.96,35.30,34.73,34.96,8531200,32.80
2011-06-10,35.06,35.39,34.88,35.07,10639700,32.90
2011-06-09,35.03,35.44,34.90,35.17,7605400,33.00
2011-06-08,35.28,35.28,34.78,34.87,11960500,32.72
2011-06-07,35.24,35.52,35.13,35.18,9827200,33.01
2011-06-06,34.84,35.34,34.77,35.06,11933100,32.89
2011-06-03,35.11,35.46,34.87,35.20,12747500,33.02
2011-06-02,35.21,35.78,34.79,35.76,10762400,33.55
2011-06-01,35.99,36.12,35.05,35.10,8132200,32.93
2011-05-31,36.21,36.50,35.55,36.13,9481500,33.90
2011-05-27,35.94,36.16,35.46,35.60,7411400,33.40
2011-05-26,35.72,36.08,35.37,35.70,9085600,33.49
2011-05-25,36.19,36.53,35.25,36.19,9596600,33.95
2011-05-24,35.59,36.18,35.31,35.47,7495200,33.28
2011-05-23,35.19,35.75,34.87,35.61,8912700,33.41
2011-05-20,36.67,36.82,35.95,36.01,9814100,33.78
2011-05-19,37.35,37.75,36.77,36.85,8790000,34.57
2011-05-18,36.63,37.10,36.42,36.97,12370300,34.69
