Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,45.64,45.86,45.30,45.58,748900,43.93
2011-12-29,45.46,45.84,45.34,45.73,828100,44.08
2011-12-28,46.33,46.33,45.05,45.21,1197900,43.58
2011-12-27,45.70,46.49,45.32,46.30,1442600,44.63
2011-12-23,45.33,45.90,45.10,45.70,1512400,44.05
2011-12-22,44.65,45.11,44.42,44.97,1812600,43.35
2011-12-21,43.91,44.74,43.73,44.70,1926000,43.09
2011-12-20,43.75,44.19,43.56,43.93,2460400,42.34
2011-12-19,43.90,44.28,43.06,43.13,2455000,41.57
2011-12-16,43.73,44.43,42.72,43.68,6512700,42.10
2011-12-15,43.45,43.99,43.08,43.74,3030800,42.16
2011-12-14,43.42,43.66,42.74,43.13,2670200,41.57
2011-12-13,43.88,44.10,43.26,43.43,2294700,41.86
2011-12-12,43.04,43.78,42.82,43.75,2579700,42.17
2011-12-09,43.28,43.85,43.02,43.21,2778400,41.65
2011-12-08,43.19,43.75,42.87,43.08,3011600,41.52
2011-12-07,41.72,43.66,41.65,43.43,6878400,41.86
2011-12-06,42.97,43.83,41.74,41.82,15922100,40.31
2011-12-05,48.19,48.23,47.54,47.73,1584600,46.01
2011-12-02,47.95,48.20,47.45,47.53,1577400,45.81
2011-12-01,47.60,47.85,47.05,47.45,1477200,45.74
2011-11-30,47.50,47.71,47.13,47.71,1863600,45.99
2011-11-29,46.10,46.82,46.10,46.40,1342000,44.72
2011-11-28,45.57,46.32,45.30,46.04,1264600,44.38
2011-11-25,44.67,45.07,44.53,44.60,521700,42.99
2011-11-23,44.75,45.35,44.57,44.67,1768100,43.06
2011-11-22,45.27,45.69,44.67,45.05,1886400,43.42
2011-11-21,45.98,45.98,44.95,45.29,2085000,43.65
2011-11-18,46.30,46.63,46.01,46.47,2051700,44.79
2011-11-17,46.95,47.44,46.38,46.89,2432700,45.20
2011-11-16,47.83,48.01,46.80,47.08,1842300,45.38
2011-11-15,46.98,48.33,46.87,48.09,1635300,46.35
2011-11-14,47.80,47.98,47.07,47.25,2252100,45.54
2011-11-11,47.17,47.74,46.86,47.41,1034500,45.70
2011-11-10,46.85,47.01,46.18,46.53,1218300,44.85
2011-11-09,46.74,47.27,46.38,46.46,1240400,44.78
2011-11-08,47.49,47.74,46.87,47.59,1367900,45.87
2011-11-07,47.72,47.76,46.82,47.32,1124100,45.61
2011-11-04,47.22,47.73,46.85,47.36,1434700,45.65
2011-11-03,46.77,47.63,46.33,47.53,1844200,45.81
2011-11-02,47.99,48.10,46.82,47.14,1422000,45.44
2011-11-01,46.86,48.16,46.86,47.30,2537100,45.59
2011-10-31,47.99,48.85,47.88,47.88,2120100,46.15
2011-10-28,48.64,48.99,48.00,48.50,2516900,46.75
2011-10-27,48.00,49.16,47.33,48.94,2351500,47.17
2011-10-26,48.13,48.13,45.98,46.77,1928200,45.08
2011-10-25,47.87,48.13,47.00,47.09,2155300,45.39
2011-10-24,47.40,48.09,47.16,47.70,2254900,45.98
2011-10-21,47.09,47.42,46.53,47.17,2258900,45.47
2011-10-20,46.13,46.38,45.60,46.05,1458700,44.39
2011-10-19,46.73,47.04,45.93,46.10,1469600,44.44
2011-10-18,45.50,47.09,44.81,46.76,1571100,45.07
2011-10-17,46.37,46.63,45.42,45.53,1350400,43.89
2011-10-14,47.10,47.17,45.77,46.66,1592900,44.98
2011-10-13,46.14,47.31,46.14,46.68,2291300,44.99
2011-10-12,46.39,47.46,45.79,46.33,2784100,44.66
2011-10-11,45.16,46.06,45.13,45.91,1938600,44.25
2011-10-10,44.73,45.40,44.47,45.36,2006200,43.72
2011-10-07,43.68,44.73,43.48,44.12,2706300,42.53
2011-10-06,42.37,43.92,42.37,43.31,2290000,41.75
2011-10-05,42.13,43.55,41.91,43.27,3465800,41.29
2011-10-04,40.89,42.05,40.69,42.02,4100000,40.10
2011-10-03,42.52,43.82,41.47,41.53,3750600,39.63
2011-09-30,42.86,44.56,42.63,42.75,3400700,40.80
2011-09-29,44.72,45.19,42.55,43.49,5472300,41.50
2011-09-28,45.15,45.81,43.28,44.30,5540300,42.28
2011-09-27,48.48,48.60,46.73,46.98,2894800,44.83
2011-09-26,46.52,47.90,45.69,47.84,2989000,45.65
2011-09-23,44.44,46.72,43.98,46.06,3409100,43.96
2011-09-22,42.91,44.88,42.65,44.56,3448500,42.52
2011-09-21,44.86,45.23,43.82,43.88,2028400,41.88
2011-09-20,46.26,46.38,44.77,44.83,2012400,42.78
2011-09-19,44.89,46.43,44.74,46.21,1829300,44.10
2011-09-16,45.38,45.92,45.21,45.61,2047500,43.53
2011-09-15,45.36,45.48,44.71,45.20,1469400,43.14
2011-09-14,44.19,45.54,43.76,44.94,2643500,42.89
2011-09-13,43.42,44.40,43.05,43.72,3304800,41.72
2011-09-12,42.95,43.90,42.71,43.41,3860600,41.43
2011-09-09,44.02,44.18,42.96,43.37,3858300,41.39
2011-09-08,44.58,45.12,44.12,44.35,3322900,42.32
2011-09-07,44.00,44.90,43.60,44.54,5888600,42.51
2011-09-06,45.36,46.43,45.14,46.18,1733600,44.07
2011-09-02,46.55,47.10,46.30,46.43,1353800,44.31
2011-09-01,48.12,48.39,47.30,47.50,1506900,45.33
