Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,55.22,55.28,54.45,54.45,901500,52.24
2011-12-29,54.81,55.10,54.71,55.02,629400,52.79
2011-12-28,55.15,55.21,54.55,54.64,567700,52.43
2011-12-27,54.70,55.15,54.48,55.05,438800,52.82
2011-12-23,54.45,54.99,54.39,54.70,546600,52.48
2011-12-22,54.31,54.37,53.97,54.21,778300,52.01
2011-12-21,53.66,54.38,53.66,54.25,956100,52.05
2011-12-20,52.61,53.68,52.59,53.59,1218200,51.42
2011-12-19,52.05,52.35,51.87,52.23,1706800,50.11
2011-12-16,51.67,52.02,51.31,51.44,1428600,49.36
2011-12-15,51.66,51.77,51.33,51.51,1375000,49.42
2011-12-14,52.01,52.27,51.51,51.72,1338600,49.06
2011-12-13,52.15,52.60,51.80,51.99,1031000,49.32
2011-12-12,52.00,52.20,51.42,51.93,3630200,49.26
2011-12-09,51.64,52.32,51.64,52.18,1037800,49.50
2011-12-08,52.20,52.20,51.35,51.46,1124700,48.81
2011-12-07,52.44,52.55,51.93,52.29,1058200,49.60
2011-12-06,52.45,52.97,52.32,52.60,1104500,49.90
2011-12-05,52.22,52.56,51.86,52.31,1058300,49.62
2011-12-02,52.86,52.95,51.60,51.69,1154200,49.03
2011-12-01,52.64,53.00,52.33,52.63,693500,49.92
2011-11-30,52.10,52.68,51.93,52.65,1123500,49.94
2011-11-29,50.48,51.16,50.38,50.94,572700,48.32
2011-11-28,50.30,50.73,50.00,50.26,773400,47.68
2011-11-25,49.29,49.87,49.28,49.43,402500,46.89
2011-11-23,49.74,49.74,49.06,49.33,977800,46.79
2011-11-22,50.53,50.59,49.86,50.04,942600,47.47
2011-11-21,50.70,50.87,50.16,50.66,1213500,48.06
2011-11-18,51.05,51.38,50.79,51.21,708600,48.58
2011-11-17,51.28,51.52,50.44,50.92,953000,48.30
2011-11-16,51.85,52.04,51.28,51.30,1109000,48.66
2011-11-15,51.69,52.37,51.48,52.23,940700,49.54
2011-11-14,52.15,52.15,51.53,51.65,868100,48.99
2011-11-11,51.65,52.26,51.63,52.26,824100,49.57
2011-11-10,51.30,51.49,50.75,51.18,1043200,48.55
2011-11-09,51.54,51.55,50.79,50.89,1639400,48.27
2011-11-08,52.24,52.35,51.71,52.29,1220100,49.60
2011-11-07,51.93,52.13,51.47,51.99,977900,49.32
2011-11-04,52.14,52.65,51.55,52.12,1349400,49.44
2011-11-03,52.07,52.55,51.69,52.19,2052200,49.51
2011-11-02,51.51,52.39,51.51,51.89,1368800,49.22
2011-11-01,50.97,51.67,50.59,50.70,1221500,48.09
2011-10-31,51.99,52.82,51.78,52.11,1476900,49.43
2011-10-28,52.23,52.40,51.67,52.30,1073200,49.61
2011-10-27,52.61,52.62,51.72,52.17,1138900,49.49
2011-10-26,51.32,51.47,50.69,51.00,1040200,48.38
2011-10-25,51.78,51.79,51.04,51.13,814700,48.50
2011-10-24,51.95,52.17,51.51,51.97,959600,49.30
2011-10-21,51.84,52.00,51.42,51.89,1079800,49.22
2011-10-20,51.05,51.53,50.96,51.32,1463400,48.68
2011-10-19,50.89,51.61,50.74,50.92,848200,48.30
2011-10-18,50.61,51.15,49.98,50.83,1097200,48.22
2011-10-17,50.53,50.88,50.44,50.49,1203100,47.89
2011-10-14,50.82,50.85,50.35,50.58,930500,47.98
2011-10-13,49.94,50.37,49.55,50.32,1146000,47.73
2011-10-12,50.75,50.76,50.02,50.07,1026900,47.50
2011-10-11,50.65,50.82,50.18,50.54,944500,47.94
2011-10-10,50.56,51.02,50.32,51.02,794900,48.40
2011-10-07,50.10,50.34,49.63,49.91,1408400,47.34
2011-10-06,48.80,49.88,48.63,49.84,1040500,47.28
2011-10-05,48.71,48.95,47.99,48.90,1369400,46.39
2011-10-04,47.70,48.76,47.03,48.71,3000000,46.21
2011-10-03,49.02,49.61,48.06,48.06,1377400,45.59
2011-09-30,49.09,49.77,49.01,49.02,1190100,46.50
2011-09-29,49.21,49.64,48.81,49.45,989700,46.91
2011-09-28,49.34,49.70,48.47,48.56,1199000,46.06
2011-09-27,49.43,49.96,49.16,49.37,1221600,46.83
2011-09-26,48.96,49.18,48.39,49.12,1992100,46.59
2011-09-23,48.06,48.72,48.06,48.47,1476800,45.98
2011-09-22,48.24,48.86,47.82,48.13,1753300,45.66
2011-09-21,50.91,50.91,49.50,49.50,1390500,46.96
2011-09-20,50.60,52.00,50.52,50.99,1437100,48.37
2011-09-19,49.81,50.52,49.81,50.34,1103800,47.75
2011-09-16,50.17,50.88,50.17,50.56,1455400,47.96
2011-09-15,49.36,50.09,48.94,50.09,2211700,47.51
2011-09-14,49.69,50.12,49.15,49.62,1423500,46.51
2011-09-13,49.35,49.59,48.84,49.54,1370900,46.44
2011-09-12,48.17,49.20,48.06,49.19,4217200,46.11
2011-09-09,49.03,49.11,48.16,48.47,1867300,45.43
2011-09-08,49.40,50.04,49.28,49.40,1784800,46.31
2011-09-07,49.29,49.56,49.03,49.51,971600,46.41
