Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,42.59,43.05,42.55,42.76,2546400,42.76
2011-12-29,42.80,43.07,42.58,42.84,2164300,42.84
2011-12-28,43.03,43.17,42.38,42.65,2927000,42.65
2011-12-27,43.29,43.55,43.07,43.08,2664200,43.08
2011-12-23,43.11,43.35,42.51,43.23,2192600,43.23
2011-12-22,43.07,43.15,42.73,42.77,4079800,42.77
2011-12-21,42.93,43.50,42.58,42.99,4122100,42.99
2011-12-20,42.35,43.12,42.12,43.10,6516900,43.10
2011-12-19,42.25,42.76,41.45,41.68,6567400,41.68
2011-12-16,43.29,43.86,41.97,42.10,25888900,42.10
2011-12-15,44.88,44.92,43.18,43.31,13116000,43.31
2011-12-14,45.86,45.98,45.22,45.36,5494400,45.36
2011-12-13,46.75,47.08,45.85,45.99,5607700,45.99
2011-12-12,45.81,46.76,45.47,46.57,5813400,46.57
2011-12-09,45.58,46.41,45.50,46.06,5149200,46.06
2011-12-08,47.46,47.47,45.32,45.43,8202700,45.43
2011-12-07,47.00,47.95,46.83,47.69,5728200,47.69
2011-12-06,47.03,47.63,46.93,47.20,5208500,47.20
2011-12-05,47.59,47.81,46.79,46.95,5600400,46.95
2011-12-02,48.26,48.50,46.82,46.82,8438600,46.82
2011-12-01,47.26,48.22,47.08,47.87,5497300,47.87
2011-11-30,46.62,47.29,46.13,47.22,8057600,47.22
2011-11-29,45.71,46.15,45.49,45.67,6582700,45.67
2011-11-28,46.10,46.50,45.50,45.70,4983700,45.70
2011-11-25,44.44,45.25,44.42,45.08,2929400,45.08
2011-11-23,45.96,46.18,44.77,44.79,7290800,44.79
2011-11-22,46.31,46.66,46.01,46.35,6198500,46.35
2011-11-21,46.20,46.74,45.86,46.50,6448200,46.50
2011-11-18,46.49,47.03,46.36,46.62,4862200,46.62
2011-11-17,46.35,47.41,46.27,46.45,8046500,46.45
2011-11-16,46.54,47.26,46.32,46.49,5351000,46.49
2011-11-15,45.60,47.42,45.26,47.08,5798400,47.08
2011-11-14,46.02,46.20,45.40,45.63,3789000,45.63
2011-11-11,45.81,46.40,45.65,45.84,4283000,45.84
2011-11-10,44.90,45.53,44.31,45.42,4987300,45.42
2011-11-09,45.91,45.93,44.45,44.57,5466300,44.57
2011-11-08,46.15,46.82,45.47,46.75,6124500,46.75
2011-11-07,46.80,46.90,45.18,45.83,6726600,45.83
2011-11-04,47.60,47.62,46.53,46.66,5965500,46.66
2011-11-03,46.75,48.16,45.94,47.63,10766900,47.63
2011-11-02,45.21,45.59,44.50,44.86,6763500,44.86
2011-11-01,44.21,45.54,44.04,44.99,7689400,44.99
2011-10-31,45.28,46.15,45.18,45.46,5040700,45.46
2011-10-28,47.41,47.44,44.79,45.53,10564900,45.53
2011-10-27,48.49,48.60,46.70,47.34,7734900,47.34
2011-10-26,47.39,47.60,46.16,47.32,6892100,47.32
2011-10-25,47.75,48.00,46.90,47.02,4628600,47.02
2011-10-24,46.48,47.83,46.40,47.80,4501300,47.80
2011-10-21,46.37,46.92,46.13,46.42,5802300,46.42
2011-10-20,46.32,46.54,45.38,45.98,5473500,45.98
2011-10-19,46.74,47.00,46.03,46.22,3802700,46.22
2011-10-18,46.11,46.97,45.64,46.68,5744300,46.68
2011-10-17,46.76,46.98,45.81,45.97,5128200,45.97
2011-10-14,46.71,47.08,46.48,47.03,5416200,47.03
2011-10-13,46.31,46.71,46.11,46.26,4672800,46.26
2011-10-12,46.00,47.04,45.94,46.62,5668500,46.62
2011-10-11,45.02,45.86,44.87,45.77,6280900,45.77
2011-10-10,44.08,45.16,44.08,45.00,5305200,45.00
2011-10-07,43.04,44.05,42.78,43.53,6614800,43.53
2011-10-06,41.72,42.89,41.29,42.89,7006200,42.89
2011-10-05,41.52,42.01,40.61,41.88,8020300,41.88
2011-10-04,40.04,41.58,39.82,41.55,11577800,41.55
2011-10-03,41.93,42.63,40.58,40.60,9515100,40.60
2011-09-30,43.10,43.58,42.25,42.27,7409300,42.27
2011-09-29,44.98,45.36,42.42,43.33,8587400,43.33
2011-09-28,44.44,45.37,44.22,44.33,7678100,44.33
2011-09-27,43.59,45.14,43.48,44.20,7841700,44.20
2011-09-26,42.03,43.24,41.75,43.19,7296000,43.19
2011-09-23,40.77,42.37,40.39,42.02,8644200,42.02
2011-09-22,40.55,41.79,40.22,41.02,11151200,41.02
2011-09-21,43.33,43.44,41.58,41.61,7755800,41.61
2011-09-20,43.61,44.37,43.40,43.61,5276900,43.61
2011-09-19,43.28,43.62,42.87,43.40,5051300,43.40
2011-09-16,44.00,44.06,43.35,43.70,13567900,43.70
2011-09-15,43.53,44.18,43.24,43.83,8187700,43.83
2011-09-14,42.72,43.61,42.32,42.95,6557700,42.95
2011-09-13,41.76,42.67,41.60,42.49,7958600,42.49
2011-09-12,40.83,41.57,40.56,41.51,5935700,41.51
2011-09-09,41.76,42.10,41.12,41.43,7827800,41.43
2011-09-08,42.62,42.88,42.15,42.18,6356600,42.18
2011-09-07,42.48,42.84,42.14,42.68,5852200,42.68
2011-09-06,41.24,42.14,41.01,42.06,7240100,42.06
2011-09-02,42.77,43.09,41.93,42.22,6094600,42.22
2011-09-01,44.10,44.96,43.37,43.37,7166900,43.37
2011-08-31,44.15,44.67,43.61,43.97,8844700,43.97
2011-08-30,43.44,44.16,43.34,43.78,6683700,43.78
2011-08-29,43.06,43.64,42.89,43.57,5271400,43.57
2011-08-26,41.78,42.83,40.72,42.51,6345400,42.51
2011-08-25,42.95,43.01,41.79,41.89,5948200,41.89
2011-08-24,42.42,43.34,42.24,42.88,7193600,42.88
2011-08-23,41.76,42.61,41.37,42.61,5423900,42.61
2011-08-22,42.77,42.88,41.62,41.76,6138800,41.76
2011-08-19,42.21,43.22,41.83,41.93,7618800,41.93
2011-08-18,43.44,44.00,42.24,42.71,8485400,42.71
2011-08-17,43.97,44.57,43.71,44.32,4976300,44.32
2011-08-16,43.40,44.07,43.18,43.93,6454200,43.93
2011-08-15,43.56,43.92,43.33,43.86,4955700,43.86
2011-08-12,43.21,43.98,42.97,43.34,7767200,43.34
2011-08-11,41.64,43.27,41.63,43.07,9724600,43.07
2011-08-10,42.46,43.28,41.57,41.63,11177100,41.63
2011-08-09,42.53,43.45,40.81,43.44,14063400,43.44
2011-08-08,44.57,45.25,42.11,42.11,14290400,42.11
2011-08-05,46.44,46.52,43.79,45.39,10863200,45.39
2011-08-04,46.81,47.49,43.23,46.63,13664700,46.63
2011-08-03,49.21,49.75,48.29,49.47,8698200,49.47
2011-08-02,50.36,50.36,49.04,49.04,7984500,49.04
2011-08-01,51.02,51.25,49.70,50.45,5803600,50.45
2011-07-29,51.13,51.36,50.43,50.68,5978400,50.68
2011-07-28,51.36,51.73,50.96,51.28,4735500,51.28
2011-07-27,51.76,52.01,51.36,51.44,5251300,51.44
2011-07-26,51.60,52.27,51.42,52.06,3418800,52.06
2011-07-25,52.19,52.27,51.55,51.66,5085800,51.66
2011-07-22,52.11,52.43,51.83,52.35,5049900,52.35
2011-07-21,52.60,52.99,51.89,52.01,7559800,52.01
2011-07-20,52.56,52.91,52.36,52.48,3032100,52.48
2011-07-19,52.07,52.91,52.06,52.80,4238000,52.80
2011-07-18,51.78,52.00,51.25,51.68,4211800,51.68
2011-07-15,52.20,52.36,51.78,52.15,5070200,52.15
2011-07-14,52.81,52.95,51.58,52.14,5777600,52.14
2011-07-13,52.78,53.40,52.56,52.83,5773600,52.83
2011-07-12,52.94,53.36,52.38,52.42,5998000,52.42
2011-07-11,52.62,53.05,52.20,52.81,4804700,52.81
2011-07-08,52.39,53.14,52.26,53.08,4513500,53.08
2011-07-07,52.33,52.93,52.13,52.80,5241600,52.80
2011-07-06,52.05,52.23,51.69,51.92,4881100,51.92
2011-07-05,51.85,52.39,51.61,52.01,4380000,52.01
2011-07-01,51.11,51.84,50.78,51.76,3707600,51.76
2011-06-30,50.40,51.23,50.23,50.82,4248900,50.82
2011-06-29,50.05,50.48,49.70,50.13,3784800,50.13
2011-06-28,49.24,49.97,48.97,49.87,4902900,49.87
2011-06-27,47.96,49.42,47.83,49.20,7763100,49.20
2011-06-24,48.03,48.18,47.30,47.75,5501000,47.75
2011-06-23,47.08,48.00,46.88,47.98,4868200,47.98
