Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,76.06,76.33,75.81,75.81,262500,75.81
2011-12-29,75.58,76.07,75.11,75.95,275300,75.95
2011-12-28,76.57,76.73,75.21,75.35,228900,75.35
2011-12-27,76.45,76.91,75.98,76.42,241300,76.42
2011-12-23,76.10,76.50,75.53,76.49,318200,76.49
2011-12-22,75.25,76.25,74.85,75.91,542500,75.91
2011-12-21,74.73,75.48,74.19,74.95,477200,74.95
2011-12-20,74.36,74.81,74.02,74.68,521300,74.68
2011-12-19,74.21,74.67,72.87,73.12,463400,73.12
2011-12-16,74.51,74.98,73.71,74.15,706000,74.15
2011-12-15,73.36,74.40,73.18,73.84,672700,73.84
2011-12-14,72.75,73.05,72.46,72.61,584300,72.61
2011-12-13,73.75,74.44,72.50,72.76,762200,72.76
2011-12-12,74.18,74.52,72.98,73.28,445000,73.28
2011-12-09,74.29,74.71,73.85,74.61,792400,74.61
2011-12-08,75.17,75.69,73.80,73.92,422100,73.92
2011-12-07,75.12,75.82,74.36,75.42,529500,75.42
2011-12-06,76.05,76.46,75.25,75.65,564100,75.65
2011-12-05,77.86,78.14,75.36,76.41,1015400,76.41
2011-12-02,77.25,77.74,76.64,76.81,982700,76.81
2011-12-01,76.38,77.33,75.96,76.62,1046800,76.62
2011-11-30,75.70,76.26,74.94,76.18,1315400,76.18
2011-11-29,74.51,75.55,73.86,74.17,839900,74.17
2011-11-28,74.08,75.31,73.88,74.46,927800,74.46
2011-11-25,71.89,73.83,71.79,72.85,453900,72.85
2011-11-23,72.33,72.83,71.79,72.36,921100,72.36
2011-11-22,72.77,73.39,71.85,73.03,1360000,73.03
2011-11-21,71.98,72.93,71.23,72.68,1174400,72.68
2011-11-18,71.73,73.61,71.51,73.37,1436200,73.37
2011-11-17,73.07,73.14,70.84,71.26,975700,71.26
2011-11-16,72.41,74.80,71.81,73.35,1084400,73.35
2011-11-15,73.79,74.22,72.80,73.66,591600,73.66
2011-11-14,73.97,74.36,73.18,73.83,471500,73.83
2011-11-11,74.13,74.75,73.92,74.34,745100,74.34
2011-11-10,73.26,73.91,72.54,73.39,686000,73.39
2011-11-09,72.44,73.70,72.31,72.68,949800,72.68
2011-11-08,74.60,75.07,73.29,74.46,789000,74.46
2011-11-07,73.79,75.16,72.76,74.10,731400,74.10
2011-11-04,72.71,74.94,70.77,73.97,1374300,73.97
2011-11-03,71.30,74.87,71.04,73.52,2451700,73.52
2011-11-02,69.20,70.73,68.67,70.14,903900,70.14
2011-11-01,68.09,68.69,66.91,68.22,1149300,68.22
2011-10-31,72.41,72.41,69.99,70.00,839000,70.00
2011-10-28,71.55,72.92,71.16,72.70,1141100,72.70
2011-10-27,70.30,72.40,70.01,72.02,1454800,72.02
2011-10-26,69.04,69.37,67.71,68.81,1195200,68.81
2011-10-25,67.18,68.99,66.56,67.99,1518700,67.99
2011-10-24,69.02,69.65,67.92,68.80,1391700,68.80
2011-10-21,67.93,69.45,67.35,69.21,1270400,69.21
2011-10-20,66.47,67.37,66.11,66.99,1688400,66.99
2011-10-19,65.43,68.00,65.43,66.75,2373900,66.75
