Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,38.43,38.65,38.19,38.46,475500,38.00
2011-12-29,38.09,38.51,37.93,38.41,392700,37.95
2011-12-28,38.62,39.33,37.81,38.09,492000,37.63
2011-12-27,38.47,38.87,38.05,38.75,391200,38.28
2011-12-23,37.85,38.64,37.85,38.50,347100,38.04
2011-12-22,36.55,37.86,36.55,37.79,717700,37.33
2011-12-21,35.16,36.66,35.16,36.52,670200,36.08
2011-12-20,34.57,35.53,34.54,35.33,566000,34.90
2011-12-19,34.21,35.07,33.81,33.89,590800,33.48
2011-12-16,34.06,34.20,33.36,34.10,901500,33.69
2011-12-15,33.38,34.02,33.06,33.78,902700,33.37
2011-12-14,33.04,33.37,32.73,32.99,616400,32.59
2011-12-13,34.50,34.82,33.03,33.19,844100,32.79
2011-12-12,34.33,34.70,33.93,34.35,785700,33.94
2011-12-09,34.35,35.04,34.29,34.79,449800,34.37
2011-12-08,34.95,35.03,34.01,34.24,684700,33.83
2011-12-07,35.06,35.30,34.76,35.11,613500,34.69
2011-12-06,35.48,35.88,34.99,35.36,660400,34.93
2011-12-05,35.73,36.12,35.40,35.70,787300,35.12
2011-12-02,35.00,35.82,35.00,35.24,1072100,34.67
2011-12-01,34.40,35.03,33.97,34.71,769000,34.15
2011-11-30,34.27,34.60,33.59,34.51,1471900,33.95
2011-11-29,33.44,33.87,33.08,33.30,734900,32.76
2011-11-28,34.00,34.21,33.27,33.61,898100,33.06
2011-11-25,33.03,33.61,32.97,33.01,368500,32.47
2011-11-23,33.36,33.80,32.99,33.14,1059300,32.60
2011-11-22,33.66,33.97,33.10,33.72,1058900,33.17
2011-11-21,34.36,34.50,33.65,33.71,1227500,33.16
2011-11-18,36.15,36.47,34.96,34.99,855600,34.42
2011-11-17,37.00,37.15,35.84,36.03,1366200,35.45
2011-11-16,36.32,38.00,36.20,37.27,1065700,36.67
2011-11-15,36.17,37.04,35.58,36.87,835300,36.27
2011-11-14,36.39,36.77,35.84,36.28,715800,35.69
2011-11-11,36.77,36.91,36.21,36.46,846300,35.87
2011-11-10,37.25,37.42,36.09,36.28,753600,35.69
2011-11-09,37.32,37.44,36.15,36.54,800400,35.95
2011-11-08,38.16,38.42,36.84,38.05,812800,37.43
2011-11-07,38.74,38.74,37.48,37.95,855800,37.33
2011-11-04,37.75,38.36,37.51,37.93,857000,37.31
2011-11-03,37.48,38.65,37.27,38.26,1360700,37.64
2011-11-02,36.59,37.46,36.05,36.89,1304700,36.29
2011-11-01,36.60,38.55,36.57,37.92,1556100,37.30
2011-10-31,38.32,38.67,37.41,37.68,1156600,37.07
2011-10-28,38.79,39.49,37.74,38.86,1652100,38.23
2011-10-27,39.63,39.71,38.37,38.51,1559800,37.89
2011-10-26,41.91,41.91,37.68,38.36,3468900,37.74
2011-10-25,45.95,46.30,44.11,46.08,1306200,45.33
