Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,53.50,53.58,53.06,53.08,1254500,50.96
2011-12-29,53.01,53.59,53.01,53.53,1335100,51.39
2011-12-28,53.38,53.55,53.03,53.08,1439000,50.96
2011-12-27,52.85,53.50,52.85,53.43,1108900,51.29
2011-12-23,52.94,53.19,52.84,52.95,1604900,50.83
2011-12-22,52.96,52.96,52.56,52.72,1867200,50.61
2011-12-21,52.12,52.84,52.12,52.79,3269900,50.68
2011-12-20,51.09,52.25,51.05,52.12,4715100,50.04
2011-12-19,50.91,51.21,50.27,50.36,2592100,48.35
2011-12-16,50.95,51.14,50.46,50.65,3954500,48.63
2011-12-15,50.65,50.99,50.50,50.78,2216300,48.75
2011-12-14,50.40,50.71,50.16,50.18,2088000,48.17
2011-12-13,50.32,51.04,50.32,50.48,2463300,48.46
2011-12-12,50.59,50.74,50.00,50.31,2218500,48.30
2011-12-09,50.33,50.84,50.23,50.77,1776900,48.74
2011-12-08,50.51,50.70,50.05,50.14,2515800,48.14
2011-12-07,50.27,50.80,50.04,50.50,3077500,48.48
2011-12-06,50.66,50.69,50.27,50.34,3866000,48.33
2011-12-05,51.10,51.28,50.22,50.50,2996600,48.48
2011-12-02,51.46,51.49,50.47,50.56,2608400,48.54
2011-12-01,51.43,51.56,50.96,51.35,2876500,49.30
2011-11-30,51.20,51.66,51.13,51.62,3367900,49.56
2011-11-29,50.38,51.15,50.28,50.85,2012400,48.34
2011-11-28,50.41,50.49,49.87,50.11,1925800,47.64
2011-11-25,49.24,49.85,49.18,49.51,993500,47.07
2011-11-23,49.82,49.82,49.06,49.31,1971100,46.88
2011-11-22,50.66,50.74,50.00,50.04,2301600,47.57
2011-11-21,50.73,51.09,50.40,50.66,9227000,48.16
2011-11-18,51.09,51.40,50.88,51.04,2817600,48.53
2011-11-17,50.93,51.37,50.38,50.84,2709100,48.34
2011-11-16,51.24,51.59,50.96,51.02,2011000,48.51
2011-11-15,51.53,51.78,51.50,51.56,4836800,49.02
2011-11-14,51.80,52.04,51.50,51.73,1511900,49.18
2011-11-11,51.93,52.66,51.83,52.06,2065900,49.50
2011-11-10,51.45,51.72,50.88,51.35,2512900,48.82
2011-11-09,51.79,52.19,51.12,51.28,2678900,48.75
2011-11-08,52.47,52.68,51.68,52.64,2271600,50.05
2011-11-07,51.70,52.48,51.43,52.45,2469000,49.87
