Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,30.27,30.52,30.15,30.33,3690700,30.33
2011-12-29,30.37,30.45,29.91,30.36,5506600,30.36
2011-12-28,30.80,30.98,30.31,30.41,4074300,30.41
2011-12-27,30.81,31.04,30.54,30.92,3417100,30.92
2011-12-23,30.80,30.89,30.45,30.84,3387000,30.84
2011-12-22,30.30,30.76,30.17,30.61,6367100,30.61
2011-12-21,30.51,30.90,29.71,30.34,8084300,30.34
2011-12-20,30.35,30.66,30.06,30.63,8951600,30.63
2011-12-19,30.60,30.81,29.64,29.77,11408700,29.77
2011-12-16,29.80,30.86,29.73,30.40,16562400,30.40
2011-12-15,30.51,30.59,29.08,29.60,11962400,29.60
2011-12-14,31.13,31.18,29.95,30.27,10333900,30.27
2011-12-13,31.28,31.71,30.61,30.84,10012300,30.84
2011-12-12,31.26,31.40,30.88,31.13,10439600,31.13
2011-12-09,31.08,31.77,31.08,31.64,12503300,31.64
2011-12-08,30.62,31.45,30.59,31.03,16855800,31.03
2011-12-07,30.73,31.15,30.40,30.94,8776800,30.94
2011-12-06,30.79,31.19,30.70,30.90,9066500,30.90
2011-12-05,30.74,30.94,30.50,30.70,10042100,30.70
2011-12-02,29.98,30.29,29.58,29.60,9308800,29.60
2011-12-01,29.53,30.04,29.41,29.68,8315200,29.68
2011-11-30,29.67,29.87,29.31,29.59,12055600,29.59
2011-11-29,29.72,29.72,28.50,28.75,13441500,28.75
2011-11-28,29.30,29.84,29.11,29.66,9512600,29.66
2011-11-25,28.54,28.88,28.15,28.23,3476100,28.23
2011-11-23,28.82,29.47,28.50,28.55,10776500,28.55
2011-11-22,28.68,29.23,28.50,29.04,8883300,29.04
2011-11-21,29.33,29.38,28.43,28.75,13414000,28.75
2011-11-18,29.88,30.35,29.68,29.81,12306900,29.81
2011-11-17,30.42,30.52,29.09,29.65,12551200,29.65
2011-11-16,31.13,31.21,30.43,30.54,7766500,30.54
2011-11-15,31.19,31.68,30.83,31.45,8391700,31.45
2011-11-14,31.67,31.78,31.25,31.41,5604800,31.41
2011-11-11,31.10,31.96,31.03,31.76,7523000,31.76
2011-11-10,31.49,31.55,30.48,30.75,18806400,30.75
2011-11-09,32.18,32.18,31.12,31.18,9466000,31.18
2011-11-08,32.67,32.99,32.14,32.92,6527900,32.92
2011-11-07,32.59,32.60,31.84,32.47,6965800,32.47
2011-11-04,32.67,32.86,32.18,32.71,9534200,32.71
2011-11-03,32.03,33.10,31.94,33.05,11878800,33.05
2011-11-02,31.28,31.94,31.26,31.78,11884800,31.78
2011-11-01,30.78,31.59,30.70,30.89,15916500,30.89
2011-10-31,32.76,32.77,31.78,31.83,12710000,31.83
2011-10-28,32.04,33.30,32.00,33.25,11926800,33.25
2011-10-27,32.01,32.56,31.79,32.29,12949900,32.29
2011-10-26,31.94,32.26,30.66,31.08,12641000,31.08
2011-10-25,32.33,32.72,31.61,31.67,10400900,31.67
2011-10-24,31.98,32.61,31.64,32.37,10678800,32.37
2011-10-21,32.52,32.57,31.87,32.12,12988300,32.12
2011-10-20,31.83,32.44,30.65,32.15,25773800,32.15
2011-10-19,33.85,34.43,32.89,33.18,19003200,33.18
2011-10-18,33.37,34.15,32.48,33.87,12576100,33.87
2011-10-17,33.58,33.59,33.04,33.22,11148100,33.22
2011-10-14,33.26,33.88,33.22,33.69,12964300,33.69
2011-10-13,32.57,32.87,31.97,32.74,12044000,32.74
2011-10-12,33.25,33.66,32.71,32.75,13975500,32.75
2011-10-11,32.00,33.06,31.98,32.83,10277800,32.83
2011-10-10,31.69,32.43,31.41,32.30,7169800,32.30
2011-10-07,31.29,31.52,30.75,31.07,13406800,31.07
2011-10-06,30.58,31.46,30.07,31.44,14561200,31.44
2011-10-05,29.48,30.76,28.87,30.53,15511500,30.53
2011-10-04,27.75,29.36,27.41,29.35,17297100,29.35
2011-10-03,29.18,29.45,28.07,28.11,16948900,28.11
2011-09-30,30.20,30.56,29.14,29.49,17453800,29.49
2011-09-29,32.28,32.39,29.91,30.67,16876100,30.67
2011-09-28,32.74,33.14,31.52,31.64,12610300,31.64
2011-09-27,33.06,33.29,32.08,32.52,14286600,32.52
2011-09-26,32.32,32.61,31.25,32.55,14580500,32.55
2011-09-23,31.43,32.35,31.24,32.08,15688100,32.08
2011-09-22,31.06,31.90,30.78,31.67,19542000,31.67
2011-09-21,32.77,33.77,32.15,32.24,18120600,32.24
2011-09-20,33.19,33.46,32.36,32.73,13707800,32.73
2011-09-19,33.20,33.45,32.54,33.10,18591600,33.10
2011-09-16,32.71,33.90,32.36,33.69,27418100,33.69
2011-09-15,30.99,32.24,30.88,32.04,16921900,32.04
2011-09-14,29.55,30.70,29.06,30.14,13965600,30.14
2011-09-13,29.42,29.67,29.11,29.40,9347700,29.40
2011-09-12,28.44,29.53,28.40,29.42,16593000,29.42
2011-09-09,30.11,30.12,28.28,28.46,19861500,28.46
2011-09-08,29.65,30.65,29.54,30.51,13886100,30.51
2011-09-07,29.70,29.85,29.31,29.75,13736500,29.75
2011-09-06,28.51,29.37,28.41,29.27,9821300,29.27
2011-09-02,29.86,30.03,29.16,29.41,7975900,29.41
2011-09-01,30.77,31.16,30.25,30.39,9778000,30.39
2011-08-31,31.00,31.59,30.42,30.87,12963800,30.87
2011-08-30,30.29,31.19,30.05,30.95,12149500,30.95
