Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,57.55,58.13,57.46,57.81,1223500,57.08
2011-12-29,56.62,57.70,56.58,57.63,2221500,56.90
2011-12-28,57.25,57.25,56.41,56.54,1473700,55.83
2011-12-27,56.95,57.41,56.82,57.25,1251200,56.53
2011-12-23,56.57,56.95,56.17,56.91,1070700,56.19
2011-12-22,56.23,56.47,55.79,56.33,1969100,55.62
2011-12-21,55.80,56.27,55.66,56.15,2605800,55.44
2011-12-20,54.62,55.60,54.30,55.48,2716500,54.78
2011-12-19,54.95,55.04,54.03,54.11,2198800,53.43
2011-12-16,54.58,55.27,54.50,54.72,3674600,54.03
2011-12-15,54.61,54.65,54.06,54.35,1997200,53.47
2011-12-14,54.35,54.86,54.00,54.08,2749600,53.20
2011-12-13,55.33,55.58,54.41,54.67,2725600,53.78
2011-12-12,55.60,55.62,55.12,55.31,2570600,54.41
2011-12-09,55.27,56.38,55.00,55.90,4775700,54.99
2011-12-08,55.40,55.90,55.35,55.42,8047100,54.52
2011-12-07,55.49,55.55,55.25,55.39,4031800,54.49
2011-12-06,55.40,55.75,55.05,55.58,2553800,54.68
2011-12-05,56.45,56.64,54.99,55.23,3060100,54.33
2011-12-02,56.95,57.25,55.74,55.84,3515500,54.93
2011-12-01,55.94,56.51,54.68,55.62,10766600,54.72
2011-11-30,57.00,57.60,56.75,57.02,15668200,56.09
2011-11-29,55.39,55.71,55.06,55.47,3617300,54.57
2011-11-28,54.68,55.40,54.58,55.36,3722500,54.46
2011-11-25,52.41,53.56,52.35,53.51,2003800,52.64
2011-11-23,52.54,53.15,52.27,52.68,3557100,51.83
2011-11-22,53.16,53.55,52.71,53.01,2945100,52.15
2011-11-21,53.41,53.75,53.01,53.11,3016800,52.25
2011-11-18,54.41,54.58,53.94,54.22,3207500,53.34
2011-11-17,54.56,55.05,53.83,54.17,1767500,53.29
2011-11-16,55.02,55.82,54.84,54.90,1431000,54.01
2011-11-15,55.52,56.01,55.24,55.64,1935000,54.74
2011-11-14,56.31,56.31,55.53,55.63,1733400,54.73
2011-11-11,55.11,56.21,55.04,56.18,1823300,55.27
2011-11-10,54.31,54.91,53.85,54.72,2471400,53.83
2011-11-09,54.87,54.99,53.65,53.81,2670100,52.94
2011-11-08,55.79,56.24,55.18,56.15,1598500,55.24
2011-11-07,55.16,55.71,54.74,55.68,2026200,54.78
2011-11-04,55.19,55.31,54.10,55.03,2488900,54.14
2011-11-03,54.61,55.69,54.31,55.61,2723900,54.71
2011-11-02,53.68,54.56,53.50,54.16,3369900,53.28
2011-11-01,52.65,53.31,52.21,52.47,2510300,51.62
2011-10-31,54.40,54.56,53.83,53.84,2109800,52.97
2011-10-28,55.05,55.60,54.75,55.00,1890900,54.11
2011-10-27,54.47,55.57,53.97,55.20,3539400,54.30
2011-10-26,53.15,53.72,52.39,53.55,2595800,52.68
