Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,38.74,39.09,38.71,38.74,272700,38.14
2011-12-29,38.56,38.84,38.54,38.79,426300,38.19
2011-12-28,39.06,39.06,38.33,38.37,400300,37.77
2011-12-27,39.04,39.26,38.93,39.13,226400,38.52
2011-12-23,38.96,39.09,38.61,39.09,331800,38.48
2011-12-22,38.24,38.88,38.16,38.79,663900,38.19
2011-12-21,38.50,38.59,37.67,38.26,773300,37.66
2011-12-20,38.11,38.77,38.00,38.60,962800,38.00
2011-12-19,37.89,38.09,37.30,37.45,730600,36.87
2011-12-16,37.97,38.21,37.63,37.73,1303900,37.14
2011-12-15,37.81,37.94,37.51,37.73,1017300,37.14
2011-12-14,37.12,37.51,37.02,37.35,1092800,36.77
2011-12-13,37.57,37.79,37.06,37.25,895700,36.67
2011-12-12,37.66,37.68,37.14,37.36,776500,36.78
2011-12-09,37.21,38.16,36.97,38.02,759900,37.43
2011-12-08,37.21,37.69,36.99,37.05,1167900,36.47
2011-12-07,37.53,37.53,36.81,37.39,1411700,36.81
2011-12-06,37.75,37.86,37.31,37.75,1343500,37.16
2011-12-05,37.67,37.94,37.39,37.70,1005300,37.11
2011-12-02,37.28,37.48,37.15,37.20,1081200,36.62
2011-12-01,37.01,37.24,36.75,37.02,890100,36.44
2011-11-30,36.61,37.21,36.38,37.15,1193000,36.57
2011-11-29,34.88,35.47,34.70,35.33,1151200,34.78
2011-11-28,34.44,34.80,34.25,34.80,765700,34.26
2011-11-25,33.41,33.94,33.38,33.56,277900,33.04
2011-11-23,34.03,34.13,33.52,33.52,627900,33.00
2011-11-22,34.21,34.67,34.09,34.35,624000,33.81
2011-11-21,33.96,34.43,33.96,34.24,737200,33.71
2011-11-18,35.34,35.39,34.70,34.86,886600,34.16
2011-11-17,35.77,35.81,34.95,35.13,945600,34.42
2011-11-16,36.25,36.46,35.71,35.77,1214000,35.05
2011-11-15,36.00,36.90,35.95,36.73,1207100,35.99
2011-11-14,36.16,36.27,35.90,36.03,743100,35.31
2011-11-11,35.82,36.17,35.69,36.16,549100,35.43
2011-11-10,35.56,35.70,35.08,35.36,764900,34.65
2011-11-09,35.73,35.82,35.02,35.08,1119300,34.38
2011-11-08,36.18,36.60,35.71,36.56,574000,35.83
2011-11-07,35.94,36.04,35.52,36.04,791000,35.32
2011-11-04,35.34,35.87,35.06,35.74,534200,35.02
2011-11-03,35.30,35.82,34.90,35.71,833200,34.99
2011-11-02,34.44,35.11,34.42,34.93,762000,34.23
2011-11-01,34.00,34.68,33.86,33.95,897300,33.27
2011-10-31,35.20,35.77,35.15,35.15,724900,34.44
2011-10-28,35.42,35.91,35.33,35.52,780700,34.81
2011-10-27,34.71,35.87,34.56,35.60,821900,34.88
2011-10-26,33.70,34.04,33.17,33.84,1012600,33.16
2011-10-25,33.91,34.20,33.14,33.21,1155000,32.54
2011-10-24,33.83,34.51,33.75,34.22,761900,33.53
2011-10-21,33.65,33.87,33.33,33.87,816800,33.19
2011-10-20,31.63,33.49,31.63,33.31,1111700,32.64
2011-10-19,34.12,34.24,33.52,33.59,644400,32.91
2011-10-18,33.03,34.27,32.96,34.14,894100,33.45
2011-10-17,33.67,33.89,33.08,33.14,711400,32.47
2011-10-14,33.93,34.10,33.72,34.05,514700,33.37
