Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,41.45,41.57,41.40,41.40,1170000,40.20
2011-12-29,41.28,41.55,41.20,41.52,1104200,40.32
2011-12-28,41.16,41.23,40.92,41.14,1280900,39.95
2011-12-27,41.23,41.56,41.13,41.39,1069100,39.88
2011-12-23,40.90,41.50,40.84,41.19,1028100,39.68
2011-12-22,40.68,40.86,40.53,40.70,1920300,39.21
2011-12-21,40.00,40.74,39.94,40.67,2329500,39.18
2011-12-20,39.50,40.02,39.37,39.95,1560600,38.49
2011-12-19,39.27,39.65,38.86,38.98,1430700,37.55
2011-12-16,39.28,39.75,39.17,39.30,1857700,37.86
2011-12-15,38.84,39.34,38.71,39.20,1626200,37.77
2011-12-14,39.14,39.22,38.74,38.81,1931100,37.39
2011-12-13,39.14,39.72,39.09,39.25,1954100,37.81
2011-12-12,38.97,39.42,38.73,38.97,1606900,37.54
2011-12-09,38.66,39.11,38.57,39.05,1866500,37.62
2011-12-08,39.23,39.23,38.42,38.50,1608600,37.09
2011-12-07,39.44,39.62,39.27,39.30,2187200,37.86
2011-12-06,39.39,39.91,39.27,39.58,1654400,38.13
2011-12-05,38.99,39.34,38.87,39.28,2494600,37.84
2011-12-02,39.20,39.23,38.38,38.46,1947900,37.05
2011-12-01,39.18,39.47,38.99,39.13,1313100,37.70
2011-11-30,38.83,39.33,38.66,39.31,2939000,37.87
2011-11-29,38.30,38.43,37.97,38.20,2922700,36.80
2011-11-28,38.38,38.62,37.90,38.12,2042400,36.73
2011-11-25,37.83,38.10,37.83,37.85,830700,36.47
2011-11-23,38.17,38.31,37.51,37.77,2432700,36.39
2011-11-22,39.16,39.19,38.25,38.43,1586800,37.02
2011-11-21,39.36,39.49,38.82,39.12,1143300,37.69
2011-11-18,39.65,39.91,39.54,39.61,1960700,38.16
2011-11-17,39.72,40.07,39.25,39.52,1608000,38.07
2011-11-16,40.25,40.41,39.69,39.73,1995800,38.28
2011-11-15,40.45,40.72,40.33,40.62,1129400,39.13
2011-11-14,40.52,40.77,40.23,40.50,1607500,39.02
2011-11-11,40.84,41.16,40.65,40.77,1534400,39.28
2011-11-10,40.27,40.68,39.93,40.47,2348300,38.99
