Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,114.22,114.52,111.90,112.32,939800,56.16
2011-12-29,112.82,114.16,112.70,113.82,787800,56.91
2011-12-28,114.48,114.64,112.71,112.90,1494200,56.45
2011-12-27,113.25,114.87,112.94,114.35,1238800,57.17
2011-12-23,110.76,113.57,109.82,113.43,1497200,56.72
2011-12-22,110.55,111.49,110.03,110.57,1482000,55.28
2011-12-21,108.79,110.79,108.59,110.71,1275200,55.35
2011-12-20,109.26,110.30,108.75,109.01,3484200,54.51
2011-12-19,109.31,109.91,107.28,107.50,3064600,53.75
2011-12-16,107.16,108.33,106.70,108.12,3208200,54.06
2011-12-15,106.69,106.86,105.75,106.35,1971800,53.17
2011-12-14,107.24,107.63,105.17,105.57,1626800,52.78
2011-12-13,109.45,110.90,107.20,107.62,1834200,53.81
2011-12-12,108.31,109.52,107.23,108.56,2438400,54.28
2011-12-09,111.84,111.84,108.12,109.25,3406000,54.62
2011-12-08,112.87,112.95,110.99,111.38,1381200,55.69
2011-12-07,111.86,114.30,111.36,113.76,2042400,56.88
2011-12-06,115.01,115.01,112.13,112.22,2735400,56.11
2011-12-05,117.91,118.24,113.72,114.66,2605400,57.33
2011-12-02,117.46,118.99,115.84,116.08,1559600,58.04
2011-12-01,117.00,118.25,115.40,115.59,1424600,57.79
2011-11-30,114.92,118.16,114.92,117.98,2847200,58.99
2011-11-29,112.92,112.92,110.98,111.05,1625200,55.53
2011-11-28,110.53,114.18,110.53,112.26,2153400,56.13
2011-11-25,106.35,108.56,105.21,107.23,824800,53.62
2011-11-23,108.69,108.69,106.01,107.61,2146200,53.81
2011-11-22,109.21,112.40,109.21,110.98,2794200,54.97
2011-11-21,110.71,110.71,108.15,108.94,2723200,53.95
2011-11-18,113.35,114.18,112.34,112.53,1541000,55.73
2011-11-17,113.96,115.04,111.59,112.99,2087400,55.96
2011-11-16,114.42,116.19,113.63,114.33,2152400,56.62
2011-11-15,114.86,116.38,114.26,115.73,4746800,57.32
2011-11-14,114.13,116.47,113.39,115.35,2215800,57.13
2011-11-11,116.83,116.99,114.68,115.06,2385600,56.99
2011-11-10,116.10,117.06,113.95,115.98,2611200,57.44
