Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,39.27,39.53,39.06,39.06,1090700,38.29
2011-12-29,38.66,39.41,38.55,39.34,929100,38.57
2011-12-28,39.39,39.50,38.39,38.54,932500,37.78
2011-12-27,39.35,39.68,39.15,39.38,839000,38.60
2011-12-23,39.44,39.59,39.05,39.44,959500,38.66
2011-12-22,38.68,39.49,38.60,39.12,1217700,38.35
2011-12-21,38.65,38.75,37.85,38.59,1559800,37.83
2011-12-20,36.71,39.02,36.71,38.70,2394900,37.94
2011-12-19,36.70,36.97,35.68,35.80,1114000,35.10
2011-12-16,36.67,37.56,36.04,36.74,3924500,36.02
2011-12-15,36.85,36.95,35.89,36.21,1418900,35.50
2011-12-14,36.14,36.71,35.90,36.15,1340600,35.44
2011-12-13,37.10,37.74,36.20,36.47,1996300,35.75
2011-12-12,37.83,37.88,36.61,37.09,1884700,36.11
2011-12-09,37.52,38.66,37.16,38.50,1679300,37.48
2011-12-08,38.66,39.32,38.00,38.08,1731600,37.07
2011-12-07,38.96,39.42,38.40,39.16,1190500,38.12
2011-12-06,39.03,39.44,38.51,39.03,991100,37.99
2011-12-05,39.26,39.72,38.63,38.92,1570600,37.89
2011-12-02,39.49,39.68,38.31,38.42,1363700,37.40
2011-12-01,39.60,39.91,38.73,38.91,1508400,37.88
2011-11-30,38.59,39.67,38.58,39.62,1861600,38.57
2011-11-29,36.85,37.47,36.42,37.03,1314000,36.05
2011-11-28,36.92,37.19,36.11,36.56,1479000,35.59
2011-11-25,35.54,35.97,35.40,35.47,463000,34.53
2011-11-23,36.44,36.68,35.65,35.67,1031000,34.72
2011-11-22,37.00,37.43,36.67,36.99,1493000,36.01
2011-11-21,37.07,37.17,36.37,36.95,1622600,35.97
2011-11-18,38.36,38.43,37.60,37.80,1498100,36.80
2011-11-17,39.63,39.66,37.66,38.00,1547900,36.99
2011-11-16,40.38,40.95,39.75,39.87,1531600,38.81
2011-11-15,40.15,41.22,39.96,40.87,1295000,39.78
2011-11-14,40.33,40.74,39.98,40.45,1043200,39.38
2011-11-11,40.61,41.15,40.35,40.59,1403600,39.51
2011-11-10,39.80,40.25,39.40,39.88,1613700,38.82
2011-11-09,40.08,40.13,38.80,39.03,1900900,37.99
2011-11-08,40.12,41.71,40.03,41.48,2450300,40.38
2011-11-07,39.76,40.13,38.84,39.72,1300700,38.67
2011-11-04,39.80,40.21,39.06,39.82,1237800,38.76
2011-11-03,39.70,40.38,38.75,40.25,1463600,39.18
2011-11-02,39.11,39.44,38.22,38.95,1712800,37.92
2011-11-01,37.50,39.47,37.50,38.30,2983300,37.28
2011-10-31,41.21,41.28,39.28,39.29,1997600,38.25
2011-10-28,39.32,42.62,39.32,41.92,3419300,40.81
2011-10-27,39.63,40.91,38.82,40.05,2811000,38.99
2011-10-26,37.61,38.08,36.69,37.62,1525300,36.62
2011-10-25,38.74,38.89,36.87,36.96,1694100,35.98
2011-10-24,37.60,38.82,37.45,38.82,1229900,37.79
2011-10-21,36.84,37.54,36.53,37.46,1214700,36.47
2011-10-20,35.54,36.47,35.08,36.19,2456700,35.23
2011-10-19,37.97,37.97,36.02,36.14,1756400,35.18
2011-10-18,37.11,38.16,36.30,37.87,2240100,36.86
2011-10-17,38.00,38.22,37.17,37.24,1898400,36.25
2011-10-14,37.91,38.30,37.30,38.19,1407000,37.18
2011-10-13,37.08,37.35,36.64,37.15,1566500,36.16
2011-10-12,37.35,37.98,37.10,37.36,1559800,36.37
2011-10-11,36.62,37.39,36.39,37.04,1491400,36.06
2011-10-10,36.35,36.87,36.17,36.87,1360700,35.89
2011-10-07,36.33,36.44,35.10,35.48,2856500,34.54
2011-10-06,35.49,36.28,34.83,35.91,3359800,34.96
2011-10-05,35.88,36.14,34.90,35.57,3731500,34.63
2011-10-04,33.56,35.96,33.21,35.80,3700000,34.85
2011-10-03,67.89,69.83,67.53,68.46,3589400,33.32
2011-09-30,69.65,70.29,68.22,68.53,2852400,33.36
2011-09-29,71.36,72.89,69.11,70.74,2680800,34.43
2011-09-28,71.95,72.24,68.85,69.58,2867600,33.87
2011-09-27,72.58,73.74,71.27,71.73,2449000,34.91
2011-09-26,67.93,70.77,67.16,70.75,3063600,34.44
2011-09-23,66.17,68.85,66.17,66.95,2399200,32.59
2011-09-22,68.89,68.89,64.89,66.61,3267200,32.42
2011-09-21,73.33,73.75,70.95,71.02,2593400,34.57
2011-09-20,75.39,75.55,73.08,73.19,2039000,35.62
2011-09-19,74.47,75.63,73.35,75.18,1576800,36.59
2011-09-16,76.55,77.09,75.10,76.24,1798200,37.11
2011-09-15,75.13,76.24,74.30,76.22,2068200,37.10
2011-09-14,73.70,75.68,71.85,74.36,2269600,36.19
2011-09-13,71.50,73.95,71.33,73.47,2339400,35.76
2011-09-12,71.23,72.44,70.51,72.03,2238200,34.81
2011-09-09,74.50,74.57,71.41,72.50,3376000,35.03
2011-09-08,76.56,77.60,75.11,75.52,2468000,36.49
2011-09-07,76.04,78.77,76.04,76.80,4427600,37.11
2011-09-06,75.32,76.54,73.80,74.82,4025200,36.15
2011-09-02,78.77,79.81,77.91,78.22,1210000,37.80
2011-09-01,82.77,82.99,80.83,80.97,1614800,39.13
2011-08-31,83.51,84.53,81.88,82.73,1644600,39.98
2011-08-30,81.64,83.87,81.54,82.99,1468800,40.10
2011-08-29,80.42,82.34,80.26,82.25,1499800,39.74
