Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,44.13,44.99,44.13,44.69,3511700,44.69
2011-12-29,43.84,44.39,43.84,44.34,2235300,44.34
2011-12-28,45.01,45.01,43.77,43.85,3405200,43.85
2011-12-27,45.30,45.50,44.80,44.91,2309000,44.91
2011-12-23,45.97,45.97,45.09,45.25,3100800,45.25
2011-12-22,44.45,45.75,44.26,45.67,3868900,45.67
2011-12-21,44.71,44.94,43.93,44.53,3699600,44.53
2011-12-20,43.61,44.90,43.60,44.54,5251700,44.54
2011-12-19,43.76,44.08,43.02,43.12,3938800,43.12
2011-12-16,43.66,44.25,43.29,43.52,6845200,43.52
2011-12-15,43.96,44.20,43.30,43.38,4474400,43.38
2011-12-14,43.49,44.66,43.35,43.71,6460400,43.71
2011-12-13,45.57,46.09,43.90,44.40,8469700,44.40
2011-12-12,45.55,45.86,45.03,45.30,3835300,45.30
2011-12-09,45.58,46.22,45.31,45.99,3692800,45.99
2011-12-08,45.81,46.10,45.02,45.19,5994100,45.19
2011-12-07,46.24,46.40,45.33,45.99,7819300,45.99
2011-12-06,46.43,46.74,45.84,46.48,4780300,46.48
2011-12-05,47.14,47.30,45.76,46.19,5687300,46.19
2011-12-02,46.81,47.55,46.05,46.61,6233800,46.61
2011-12-01,45.33,47.02,45.32,46.50,7851600,46.50
2011-11-30,44.51,45.80,44.25,45.65,9607300,45.65
2011-11-29,43.11,43.77,42.86,43.20,5122400,43.20
2011-11-28,43.12,43.71,42.67,43.10,4928300,43.10
2011-11-25,42.20,42.95,42.06,42.15,3000300,42.15
2011-11-23,42.05,44.80,41.45,42.49,11428500,42.49
2011-11-22,42.54,42.88,42.00,42.41,5681200,42.41
2011-11-21,43.44,43.46,42.23,42.60,6968200,42.60
2011-11-18,43.60,44.34,43.33,43.97,7901500,43.97
2011-11-17,45.08,45.25,43.37,43.77,8427800,43.77
2011-11-16,46.51,46.52,45.12,45.17,7243400,45.17
2011-11-15,47.06,47.16,46.31,46.83,5979900,46.83
2011-11-14,47.63,47.99,46.65,47.15,5554200,47.15
2011-11-11,47.40,48.30,47.40,47.68,3779900,47.68
2011-11-10,47.01,47.33,46.26,47.02,5395000,47.02
2011-11-09,47.32,47.67,46.45,46.60,9307100,46.60
2011-11-08,47.34,48.39,46.84,48.32,9912100,48.32
2011-11-07,45.38,47.22,45.10,47.09,9745000,47.09
2011-11-04,43.85,45.50,43.65,45.21,8273500,45.21
2011-11-03,44.38,44.61,43.54,44.01,5150800,44.01
2011-11-02,44.58,45.14,43.54,43.97,5628100,43.97
2011-11-01,44.73,45.01,43.69,44.17,8425700,44.17
2011-10-31,46.28,46.81,45.70,45.77,6821700,45.77
2011-10-28,45.48,46.78,45.15,46.70,9200000,46.70
2011-10-27,44.44,45.91,44.31,45.76,12899600,45.76
2011-10-26,40.51,44.25,40.50,43.66,23456200,43.66
2011-10-25,40.26,40.42,38.34,38.47,10063600,38.47
2011-10-24,39.35,40.79,39.14,40.45,4988100,40.45
2011-10-21,38.93,39.37,38.73,39.14,6607400,39.14
2011-10-20,39.64,39.73,38.10,38.42,9026700,38.42
2011-10-19,40.77,41.14,39.51,39.63,4807300,39.63
2011-10-18,40.00,40.99,39.36,40.73,8264600,40.73
2011-10-17,40.12,40.76,39.75,40.08,7845100,40.08
2011-10-14,40.60,40.70,39.94,40.18,6723600,40.18
2011-10-13,40.35,40.47,39.77,40.21,4419600,40.21
2011-10-12,41.14,41.46,40.43,40.48,6075500,40.48
2011-10-11,40.69,41.01,40.42,40.93,4995600,40.93
2011-10-10,39.95,41.70,39.95,40.80,8365700,40.80
2011-10-07,39.95,40.47,38.61,39.46,11448300,39.46
2011-10-06,38.03,40.20,37.71,40.02,25420300,40.02
2011-10-05,36.09,36.34,35.47,35.94,11187600,35.94
2011-10-04,35.21,36.31,34.47,36.22,11329900,36.22
2011-10-03,36.91,37.71,35.69,35.71,12067800,35.71
2011-09-30,37.90,38.37,37.06,37.07,9531600,37.07
2011-09-29,38.74,39.09,37.80,38.29,7252800,38.29
2011-09-28,39.68,39.88,38.23,38.33,8080700,38.33
2011-09-27,39.91,40.20,39.44,39.68,7591100,39.68
2011-09-26,38.83,39.41,37.80,39.32,7828700,39.32
2011-09-23,39.23,39.40,38.36,38.71,9363000,38.71
2011-09-22,39.13,40.02,38.60,39.49,11085900,39.49
2011-09-21,41.65,41.97,40.25,40.26,8724000,40.26
2011-09-20,41.44,42.58,41.37,41.53,7968300,41.53
2011-09-19,40.52,41.58,40.52,41.28,5706600,41.28
2011-09-16,41.36,42.00,40.57,41.29,16562600,41.29
2011-09-15,43.27,43.46,39.88,41.50,26921800,41.50
2011-09-14,44.10,44.65,42.77,42.79,12113800,42.79
2011-09-13,44.52,45.01,43.65,43.93,8703800,43.93
2011-09-12,43.09,44.72,43.09,44.40,9089300,44.40
2011-09-09,45.50,45.56,43.32,43.67,9367100,43.67
2011-09-08,46.18,46.85,45.79,45.88,4813000,45.88
2011-09-07,45.91,46.69,45.67,46.44,4979100,46.44
2011-09-06,44.05,45.53,44.00,45.40,4842000,45.40
2011-09-02,46.23,46.34,45.15,45.34,4690300,45.34
2011-09-01,47.28,47.75,46.32,46.44,5975300,46.44
2011-08-31,47.06,47.80,46.84,46.94,9936600,46.94
2011-08-30,46.75,47.13,46.19,46.81,4740200,46.81
2011-08-29,45.78,47.15,45.70,46.94,6802500,46.94
2011-08-26,44.33,45.48,43.53,45.39,6667300,45.39
2011-08-25,46.50,46.54,44.29,44.42,7164800,44.42
2011-08-24,45.85,46.39,45.52,46.28,5521400,46.28
2011-08-23,45.49,46.43,44.04,46.10,6715500,46.10
2011-08-22,45.72,46.59,45.11,45.28,7244900,45.28
2011-08-19,45.09,46.10,44.81,44.89,8205900,44.89
2011-08-18,46.55,46.70,45.14,45.59,8148500,45.59
2011-08-17,48.16,48.90,47.23,47.70,5869400,47.70
2011-08-16,47.85,48.67,47.42,47.90,7073900,47.90
2011-08-15,47.21,48.69,46.98,48.24,9448600,48.24
2011-08-12,46.88,47.33,46.07,46.69,8412900,46.69
2011-08-11,45.22,47.10,44.94,46.54,11109800,46.54
2011-08-10,46.40,47.72,45.00,45.09,16493700,45.09
2011-08-09,46.76,47.81,44.91,47.59,17452000,47.59
2011-08-08,48.14,48.66,46.45,46.45,19776200,46.45
2011-08-05,50.31,50.79,49.00,49.57,20417300,49.57
2011-08-04,50.69,51.35,49.01,49.78,15990100,49.78
2011-08-03,51.68,51.72,50.68,51.31,19252600,51.31
2011-08-02,52.93,53.39,51.62,51.65,12276400,51.65
2011-08-01,54.55,54.85,52.40,53.23,11294200,53.23
2011-07-29,53.69,54.83,53.23,54.26,9777500,54.26
2011-07-28,54.20,55.07,53.89,54.16,9917700,54.16
2011-07-27,55.77,55.95,53.64,54.50,12293100,54.50
2011-07-26,55.65,56.49,55.35,56.18,9500400,56.18
2011-07-25,56.64,57.42,56.51,56.65,9255600,56.65
2011-07-22,55.02,57.47,55.00,57.30,18137500,57.30
2011-07-21,56.65,56.68,54.21,55.36,77776100,55.36
2011-07-20,51.94,52.81,51.31,52.54,5918200,52.54
2011-07-19,51.99,52.20,51.52,51.85,5559200,51.85
2011-07-18,51.71,52.05,51.34,51.72,4952900,51.72
2011-07-15,52.49,52.78,51.59,51.96,7067000,51.96
2011-07-14,53.19,53.38,52.22,52.47,6726300,52.47
2011-07-13,53.73,53.91,52.83,53.17,5313000,53.17
2011-07-12,53.75,54.18,53.26,53.39,5415800,53.39
2011-07-11,54.09,54.10,53.39,53.48,5791600,53.48
2011-07-08,54.41,55.28,54.06,54.57,4565500,54.57
2011-07-07,54.50,54.87,54.03,54.83,5516100,54.83
2011-07-06,53.66,54.50,52.96,54.15,6265800,54.15
2011-07-05,53.79,53.98,53.38,53.66,5498900,53.66
2011-07-01,54.08,54.35,53.78,53.96,6220700,53.96
2011-06-30,54.27,54.72,53.86,53.98,5854000,53.98
2011-06-29,54.04,54.57,53.71,54.01,4995900,54.01
2011-06-28,53.44,54.38,53.20,53.98,3898800,53.98
2011-06-27,52.66,53.64,52.60,53.39,3797300,53.39
2011-06-24,54.01,54.05,52.88,52.94,8021600,52.94
2011-06-23,53.75,54.19,52.94,54.06,10401000,54.06
2011-06-22,54.95,55.40,54.23,54.29,5537200,54.29
2011-06-21,53.18,55.15,53.01,54.99,10513300,54.99
2011-06-20,55.52,55.89,54.69,54.79,4820600,54.79
2011-06-17,56.10,56.50,55.40,55.68,3820700,55.68
2011-06-16,55.17,55.95,55.04,55.54,3539200,55.54
2011-06-15,56.19,56.51,54.96,55.32,4178600,55.32
2011-06-14,56.23,57.00,56.14,56.63,3771200,56.63
2011-06-13,55.76,56.69,55.63,55.76,3730200,55.76
2011-06-10,56.95,57.05,56.33,56.41,3047800,56.41
2011-06-09,56.56,57.68,56.35,57.17,3201800,57.17
2011-06-08,56.72,56.93,56.37,56.51,3035200,56.51
2011-06-07,56.36,57.11,56.06,56.68,3431700,56.68
2011-06-06,56.51,56.82,56.14,56.25,3260900,56.25
2011-06-03,57.54,57.69,56.71,56.73,4701700,56.73
2011-06-02,58.91,59.18,57.97,58.04,4893700,58.04
2011-06-01,59.47,59.60,58.60,59.05,3634500,59.05
2011-05-31,58.95,59.56,58.57,59.56,4608500,59.56
2011-05-27,60.69,60.89,58.19,58.48,8150600,58.48
2011-05-26,59.69,59.89,59.36,59.53,3832200,59.53
2011-05-25,60.01,60.26,58.58,60.01,4616200,60.01
2011-05-24,59.59,59.72,59.08,59.28,3266600,59.28
2011-05-23,59.82,59.85,58.95,59.53,4999000,59.53
2011-05-20,60.14,60.53,59.70,59.98,4311400,59.98
2011-05-19,60.37,60.79,60.07,60.65,2768100,60.65
2011-05-18,60.01,60.44,59.46,60.14,4617600,60.14
2011-05-17,59.53,60.28,59.18,60.14,4456000,60.14
2011-05-16,59.20,60.12,58.93,59.59,5244900,59.59
2011-05-13,59.84,60.18,59.53,59.92,4573800,59.92
2011-05-12,59.16,60.00,58.60,59.79,4000000,59.79
2011-05-11,59.75,59.90,58.54,59.12,4000000,59.12
2011-05-10,59.21,59.92,59.00,59.75,3913400,59.75
2011-05-09,57.79,59.26,57.76,58.99,3715300,58.99
2011-05-06,57.92,58.60,57.64,57.93,3331900,57.93
2011-05-05,57.38,58.18,57.06,57.40,3100000,57.40
2011-05-04,57.63,58.26,57.33,57.59,3175100,57.59
2011-05-03,57.81,58.48,57.45,57.79,3800000,57.79
2011-05-02,57.13,58.53,56.85,57.70,5582000,57.70
2011-04-29,56.70,57.32,56.30,56.74,5753200,56.74
2011-04-28,54.33,57.11,54.27,56.70,7800000,56.70
2011-04-27,54.21,54.66,53.95,54.24,5381600,54.24
2011-04-26,53.86,54.67,53.38,54.15,18596500,54.15
2011-04-25,56.04,56.09,55.13,55.37,4981900,55.37
2011-04-21,55.92,56.30,55.92,56.17,3040200,56.17
2011-04-20,55.98,56.32,55.74,55.95,2936400,55.95
2011-04-19,54.96,55.51,54.72,55.40,3041300,55.40
2011-04-18,54.88,55.15,54.00,54.92,2526100,54.92
2011-04-15,55.03,55.74,54.75,55.44,3251200,55.44
2011-04-14,55.27,55.35,52.27,55.10,3956700,55.10
2011-04-13,56.23,56.42,55.44,55.66,2920800,55.66
2011-04-12,55.78,56.11,55.40,56.05,3203300,56.05
2011-04-11,56.21,56.68,55.75,55.95,2335500,55.95
2011-04-08,56.35,56.38,55.70,56.15,2859600,56.15
2011-04-07,56.39,56.99,56.00,56.11,2656000,56.11
2011-04-06,57.25,57.46,56.38,56.47,2725400,56.47
2011-04-05,56.83,57.19,56.44,56.89,3296900,56.89
2011-04-04,56.32,57.63,56.29,56.91,5067100,56.91
2011-04-01,55.87,56.89,55.87,56.17,3810900,56.17
2011-03-31,55.07,55.81,55.00,55.61,3086500,55.61
2011-03-30,55.51,55.56,54.88,54.91,2597000,54.91
2011-03-29,55.08,55.38,54.76,55.37,2708100,55.37
