Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,43.79,43.98,43.50,43.53,1722500,42.13
2011-12-29,43.29,44.01,43.29,43.91,1939000,42.50
2011-12-28,44.37,44.54,43.24,43.30,1770800,41.91
2011-12-27,44.33,44.70,44.08,44.46,1071700,43.03
2011-12-23,43.66,44.43,43.52,44.36,2196400,42.94
2011-12-22,43.75,44.18,43.23,43.38,2804700,41.99
2011-12-21,43.70,43.83,42.63,43.70,3862600,42.30
2011-12-20,42.49,43.77,42.44,43.63,2655400,42.23
2011-12-19,42.50,42.77,41.62,41.76,2212500,40.42
2011-12-16,42.52,43.34,42.06,42.19,7261600,40.84
2011-12-15,42.41,42.54,41.38,41.98,3760400,40.63
2011-12-14,42.68,42.75,41.54,41.84,3968500,40.50
2011-12-13,43.83,44.35,42.71,43.13,4723100,41.75
2011-12-12,43.66,43.85,42.95,43.41,2577000,42.02
2011-12-09,44.24,44.71,43.67,44.35,4163900,42.93
2011-12-08,45.16,45.33,43.79,43.93,3210500,42.52
2011-12-07,45.74,45.86,44.87,45.59,4217900,44.13
2011-12-06,46.03,46.46,45.76,46.11,3080100,44.63
2011-12-05,45.77,46.64,45.31,46.01,3477900,44.53
2011-12-02,45.09,45.57,44.76,44.83,2634200,43.39
2011-12-01,44.67,45.41,44.49,44.59,2258300,43.16
2011-11-30,44.26,45.26,44.09,44.91,3967400,43.47
2011-11-29,42.59,43.10,42.28,42.37,2118800,41.01
2011-11-28,42.14,42.58,41.80,42.33,2299300,40.97
2011-11-25,40.85,41.42,40.52,40.55,1337700,39.25
2011-11-23,41.92,42.06,40.83,40.87,3159300,39.56
2011-11-22,43.05,43.05,41.89,42.56,2630000,41.20
2011-11-21,43.05,43.35,42.41,43.10,2485300,41.72
2011-11-18,44.17,44.34,43.60,43.92,2078900,42.51
2011-11-17,44.70,44.91,43.40,43.85,3522500,42.44
2011-11-16,45.87,46.16,44.84,44.95,3766900,43.51
2011-11-15,46.03,46.73,45.64,46.44,2539700,44.95
2011-11-14,45.48,46.26,45.28,46.10,3856300,44.62
2011-11-11,45.42,46.25,45.13,45.64,2245700,44.18
2011-11-10,44.61,44.94,43.98,44.49,2861500,43.06
2011-11-09,44.58,45.08,43.76,43.95,3525000,42.54
2011-11-08,45.54,46.10,44.60,45.99,4245000,44.52
2011-11-07,45.70,46.03,44.46,45.26,4521700,43.81
2011-11-04,45.65,46.27,45.00,45.94,2871500,44.47
2011-11-03,45.62,46.46,44.75,46.35,4179200,44.86
2011-11-02,45.90,45.90,44.54,45.28,4474100,43.50
2011-11-01,43.16,45.15,42.22,44.28,6454900,42.54
2011-10-31,46.16,46.67,44.80,44.82,4996400,43.06
2011-10-28,46.25,47.44,46.20,46.97,3382900,45.12
2011-10-27,46.01,47.25,45.77,46.82,5867400,44.98
2011-10-26,43.90,44.33,42.50,43.74,4408000,42.02
2011-10-25,44.20,44.20,42.40,43.14,3721200,41.44
2011-10-24,42.27,44.46,41.10,44.23,7424900,42.49
2011-10-21,42.38,42.38,41.42,42.25,4249400,40.59
