Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,73.76,73.80,73.04,73.05,786400,69.57
2011-12-29,73.40,73.80,73.17,73.65,482700,70.14
2011-12-28,73.52,73.75,73.04,73.14,542100,69.65
2011-12-27,73.00,73.75,73.00,73.59,587400,70.08
2011-12-23,73.15,73.63,72.78,73.14,603700,69.65
2011-12-22,72.88,73.12,72.64,72.88,938400,69.40
2011-12-21,71.81,72.91,71.81,72.76,1406400,69.29
2011-12-20,71.76,72.30,71.64,71.98,1191900,68.55
2011-12-19,71.62,72.00,70.77,70.99,985400,67.60
2011-12-16,71.85,72.01,71.25,71.64,2065500,68.22
2011-12-15,71.09,71.86,70.95,71.58,1208600,68.17
2011-12-14,71.03,71.19,70.44,70.60,1040600,67.23
2011-12-13,71.07,71.97,70.79,71.01,1290100,67.62
2011-12-12,71.02,71.57,70.31,70.82,996100,67.44
2011-12-09,70.86,71.41,70.81,71.27,987100,67.87
2011-12-08,71.98,71.99,70.46,70.61,1392900,67.24
2011-12-07,71.79,72.55,71.50,72.13,1264300,68.69
2011-12-06,72.67,72.87,71.41,71.94,2019600,68.51
2011-12-05,72.76,74.00,71.78,72.39,4283700,68.94
2011-12-02,71.00,71.00,69.54,69.64,1548900,66.32
2011-12-01,70.32,70.91,70.00,70.53,1428000,67.17
2011-11-30,69.25,70.38,69.04,70.36,1929200,67.00
2011-11-29,67.52,68.28,67.42,67.95,718500,64.71
2011-11-28,68.02,68.26,66.87,67.18,1002500,63.98
2011-11-25,66.49,67.21,66.40,66.54,414200,63.37
2011-11-23,67.11,67.23,66.20,66.30,808700,63.14
2011-11-22,68.24,68.42,67.31,67.36,1108400,64.15
2011-11-21,68.42,68.61,67.57,68.30,1348700,65.04
2011-11-18,68.82,69.10,68.37,68.77,1519300,65.49
2011-11-17,69.42,69.42,67.81,68.37,1648000,65.11
2011-11-16,69.37,70.13,69.09,69.37,1738200,66.06
2011-11-15,68.97,70.06,68.97,69.95,2138800,66.61
2011-11-14,69.85,70.04,68.96,69.00,3218000,65.71
2011-11-11,69.31,70.14,69.31,69.95,1612900,66.61
2011-11-10,68.64,69.34,68.17,69.02,1955600,65.73
2011-11-09,67.93,68.64,67.71,68.01,1817200,64.77
2011-11-08,68.30,68.89,68.03,68.89,1710200,65.60
2011-11-07,68.90,69.42,68.42,69.42,2097900,65.32
2011-11-04,69.12,69.56,68.75,69.46,4617700,65.36
2011-11-03,69.13,69.66,68.63,69.56,4634600,65.45
2011-11-02,68.84,69.46,68.54,68.79,1339000,64.73
2011-11-01,68.20,70.00,67.65,67.91,2136800,63.90
2011-10-31,68.52,69.67,68.52,69.17,1973900,65.08
2011-10-28,69.77,69.77,68.89,69.01,1537300,64.93
2011-10-27,69.93,70.16,69.41,69.68,1876300,65.56
2011-10-26,68.96,69.21,68.38,68.91,1273300,64.84
2011-10-25,67.99,68.81,67.99,68.27,1263600,64.24
