Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,41.10,41.26,40.89,40.96,766800,40.36
2011-12-29,40.49,41.18,40.49,41.15,813000,40.55
2011-12-28,41.38,41.65,40.26,40.52,899200,39.93
2011-12-27,41.01,41.82,40.75,41.56,930500,40.95
2011-12-23,40.69,41.07,40.40,41.07,873900,40.47
2011-12-22,40.27,40.82,40.01,40.73,1293100,40.13
2011-12-21,40.60,40.66,39.76,40.11,2046100,39.52
2011-12-20,40.03,40.92,39.84,40.48,2666500,39.89
2011-12-19,40.58,40.84,39.13,39.28,1539400,38.70
2011-12-16,40.63,41.29,40.21,40.37,1943500,39.78
2011-12-15,40.79,40.94,40.20,40.36,1639800,39.77
2011-12-14,40.20,40.46,39.78,40.04,1977800,39.45
2011-12-13,41.31,41.60,40.15,40.43,1804500,39.84
2011-12-12,41.34,41.34,40.55,41.11,1550200,40.51
2011-12-09,41.21,42.06,40.95,41.73,1960700,41.12
2011-12-08,41.55,42.11,40.75,40.87,2293100,40.27
2011-12-07,42.25,42.50,41.76,41.99,1820400,41.37
2011-12-06,42.95,43.04,42.34,42.52,1519700,41.90
2011-12-05,42.90,43.28,42.47,42.80,1323900,42.17
2011-12-02,42.78,43.24,42.04,42.11,1035600,41.49
2011-12-01,43.28,43.32,42.06,42.20,1742200,41.58
2011-11-30,42.32,43.56,42.27,43.51,2041500,42.87
2011-11-29,41.00,41.66,40.73,41.02,1335400,40.42
2011-11-28,41.41,41.97,40.71,41.11,1453400,40.26
2011-11-25,40.00,40.60,39.88,40.00,588300,39.17
2011-11-23,40.85,40.89,40.00,40.11,1534900,39.28
2011-11-22,41.91,42.02,41.00,41.19,1682500,40.34
2011-11-21,42.33,42.33,41.35,42.02,1075200,41.15
2011-11-18,42.76,43.23,42.44,42.82,1365100,41.94
2011-11-17,43.98,44.10,42.42,42.75,1840200,41.87
2011-11-16,44.72,45.67,44.11,44.19,1117700,43.28
2011-11-15,45.00,45.61,44.73,45.29,1309100,44.35
2011-11-14,45.27,45.76,44.88,45.09,874100,44.16
2011-11-11,45.13,45.81,45.13,45.53,1039300,44.59
2011-11-10,44.63,44.88,44.12,44.56,1429100,43.64
2011-11-09,44.89,45.13,43.68,44.01,2056400,43.10
2011-11-08,44.54,45.95,44.39,45.87,1827600,44.92
2011-11-07,44.06,44.42,43.28,44.40,1520300,43.48
2011-11-04,43.56,44.40,43.33,44.21,1628700,43.30
2011-11-03,43.31,44.67,43.01,44.44,2660400,43.52
2011-11-02,43.80,44.25,42.51,43.35,3124700,42.45
2011-11-01,44.33,44.85,43.47,43.80,3060600,42.89
2011-10-31,46.69,46.82,45.50,45.60,2463000,44.66
2011-10-28,46.99,47.49,46.45,47.22,1503000,46.24
2011-10-27,45.87,47.73,45.87,47.21,2301600,46.23
2011-10-26,44.94,45.60,43.90,44.73,2635700,43.81
2011-10-25,46.17,46.29,45.19,45.38,2036000,44.44
2011-10-24,45.71,47.04,45.60,46.73,1905500,45.76
2011-10-21,44.94,45.85,44.82,45.64,1549300,44.70
2011-10-20,44.15,44.65,43.45,44.40,1535100,43.48
2011-10-19,44.45,44.88,43.80,43.96,1867200,43.05
2011-10-18,43.41,44.88,42.93,44.53,1650100,43.61
2011-10-17,44.20,44.37,42.95,43.35,1656500,42.45
2011-10-14,44.66,44.66,43.74,44.45,1235600,43.53
2011-10-13,43.95,44.12,43.40,43.96,1514600,43.05
2011-10-12,44.78,44.88,44.06,44.20,2398500,43.29
2011-10-11,43.97,44.85,43.75,44.69,1754000,43.77
2011-10-10,43.31,44.12,43.31,44.12,1446200,43.21
2011-10-07,42.88,43.16,42.24,42.64,2380300,41.76
2011-10-06,41.49,42.78,41.05,42.74,1683400,41.86
2011-10-05,40.04,41.62,39.60,41.40,1579400,40.54
2011-10-04,38.70,40.15,38.25,40.02,3758400,39.19
2011-10-03,40.19,40.99,39.23,39.28,2598400,38.47
2011-09-30,41.02,41.30,40.39,40.55,2396900,39.71
2011-09-29,41.78,42.69,40.74,41.79,2598100,40.93
2011-09-28,42.24,42.51,40.90,40.95,1973300,40.10
2011-09-27,42.14,42.86,41.59,41.95,1485800,41.08
2011-09-26,40.76,41.40,40.13,41.32,2041100,40.47
2011-09-23,39.78,41.12,39.70,40.45,2559300,39.61
2011-09-22,41.29,41.54,39.28,39.91,3493600,39.09
2011-09-21,43.51,43.91,41.90,42.18,2770400,41.31
2011-09-20,44.48,44.53,43.38,43.50,1549800,42.60
2011-09-19,43.76,44.60,43.35,44.36,1559700,43.44
2011-09-16,45.02,45.30,43.94,44.33,2769200,43.41
2011-09-15,44.70,45.07,43.97,44.99,1312700,44.06
2011-09-14,43.74,44.84,42.58,44.16,2097700,43.25
2011-09-13,41.98,43.58,41.81,43.40,2648600,42.50
2011-09-12,41.39,42.00,40.70,41.76,2269100,40.90
2011-09-09,42.57,42.86,41.56,42.06,2116100,41.19
2011-09-08,43.25,43.65,42.71,43.12,1662900,42.23
2011-09-07,42.53,43.58,42.22,43.54,1461400,42.64
2011-09-06,41.80,41.99,41.05,41.84,2342600,40.98
2011-09-02,44.10,44.20,42.83,43.08,1527000,42.19
2011-09-01,45.40,46.42,44.79,44.85,1548500,43.92
2011-08-31,46.25,46.93,45.10,45.50,2099300,44.56
2011-08-30,45.44,46.30,45.23,45.98,1383000,45.03
2011-08-29,44.52,45.68,44.33,45.60,1359900,44.66
2011-08-26,42.32,43.94,41.52,43.85,1752100,42.94
2011-08-25,44.03,44.14,42.60,42.73,2310600,41.85
2011-08-24,42.59,43.85,42.54,43.74,2153800,42.84
2011-08-23,40.73,42.72,40.38,42.72,2539900,41.84
2011-08-22,41.30,41.69,40.25,40.57,1595600,39.73
2011-08-19,40.55,41.80,40.14,40.33,2699600,39.50
2011-08-18,42.50,42.50,40.72,41.20,3087900,40.35
2011-08-17,44.21,44.57,42.92,43.43,1798100,42.53
2011-08-16,44.28,44.68,43.44,44.08,1737000,43.17
2011-08-15,44.56,44.64,43.64,44.50,2574000,43.58
2011-08-12,44.00,45.09,42.85,44.34,2783500,43.42
2011-08-11,41.46,44.84,41.04,44.07,3291100,43.16
2011-08-10,41.89,42.78,40.68,41.21,5302600,40.36
2011-08-09,42.66,44.15,40.68,42.85,6312300,41.96
2011-08-08,42.80,44.01,41.36,41.74,4284800,40.88
2011-08-05,44.65,44.92,42.53,43.86,4676900,42.95
2011-08-04,45.85,46.04,43.90,43.90,4588400,42.99
2011-08-03,45.19,47.67,44.62,46.40,3959600,45.44
2011-08-02,44.95,46.37,43.14,45.00,5981300,44.07
2011-08-01,48.13,48.14,46.50,47.09,1746500,46.12
2011-07-29,47.56,48.51,47.04,47.72,1319800,46.73
2011-07-28,47.57,48.50,47.55,48.02,1515800,47.03
2011-07-27,49.25,49.26,47.25,47.60,2055100,46.62
2011-07-26,50.36,50.45,49.20,49.70,821500,48.67
2011-07-25,50.23,50.81,49.84,50.54,871000,49.50
2011-07-22,50.17,50.78,49.84,50.52,953900,49.48
2011-07-21,49.51,50.50,49.28,50.29,1154300,49.25
2011-07-20,49.46,49.60,48.98,49.24,1117000,48.22
2011-07-19,49.25,49.72,49.08,49.68,1052300,48.65
2011-07-18,49.15,49.42,48.37,48.77,1265200,47.76
2011-07-15,49.99,50.05,48.90,49.45,1539000,48.43
2011-07-14,50.76,50.96,49.76,49.89,1394500,48.86
2011-07-13,51.01,51.29,50.43,50.58,1515300,49.53
2011-07-12,51.50,51.73,50.46,50.59,1328200,49.54
2011-07-11,51.94,52.05,51.18,51.58,1036100,50.51
2011-07-08,52.23,52.71,51.96,52.34,1438600,51.26
2011-07-07,52.91,53.22,52.56,52.88,1115600,51.79
2011-07-06,52.29,52.85,52.04,52.46,1112900,51.38
2011-07-05,52.41,52.51,51.86,52.27,1200300,51.19
2011-07-01,51.21,52.49,51.19,52.43,1136600,51.35
2011-06-30,50.61,51.57,50.44,51.19,1325900,50.13
2011-06-29,50.78,50.90,50.07,50.32,1577000,49.28
2011-06-28,49.35,51.15,49.28,50.62,2632900,49.57
2011-06-27,48.44,49.29,48.03,49.26,2394000,48.24
2011-06-24,48.41,48.49,47.55,47.58,1908200,46.60
2011-06-23,47.77,48.58,47.45,48.50,2017600,47.50
2011-06-22,48.10,48.95,48.09,48.46,2323600,47.46
2011-06-21,47.75,48.41,47.35,48.28,1554600,47.28
2011-06-20,47.40,47.80,47.17,47.55,2112400,46.57
2011-06-17,48.03,48.03,47.36,47.54,2178500,46.56
2011-06-16,46.92,47.65,46.72,47.35,4489100,46.37
2011-06-15,46.86,47.01,46.62,46.86,2586500,45.89
2011-06-14,47.05,47.52,46.98,47.28,1927300,46.30
2011-06-13,46.71,47.17,46.53,46.71,1885000,45.74
2011-06-10,48.07,48.28,46.88,47.03,2492100,46.06
2011-06-09,48.00,48.30,47.79,48.15,1090000,47.15
2011-06-08,48.68,48.92,47.87,47.99,1545100,47.00
2011-06-07,49.30,49.44,48.85,48.86,1607800,47.85
2011-06-06,50.25,50.25,49.20,49.28,1307300,48.26
2011-06-03,50.76,51.10,50.29,50.39,1208700,49.35
2011-06-02,51.32,51.94,50.96,51.51,1011200,50.45
2011-06-01,52.74,53.11,51.26,51.27,1275700,50.21
2011-05-31,52.52,52.82,52.21,52.82,1089500,51.73
2011-05-27,52.23,52.80,51.86,51.96,808400,50.89
2011-05-26,51.81,52.75,51.69,52.59,1028500,51.26
2011-05-25,52.14,52.40,51.18,52.14,936200,50.82
2011-05-24,52.53,52.53,51.24,51.40,1084500,50.10
2011-05-23,52.17,52.23,51.39,52.06,970900,50.74
2011-05-20,53.32,53.40,52.84,53.00,978400,51.66
2011-05-19,53.08,53.53,52.73,53.42,1182400,52.07
2011-05-18,51.84,52.80,51.54,52.71,827600,51.38
2011-05-17,52.36,52.37,51.56,52.09,1291300,50.77
2011-05-16,52.96,53.09,52.25,52.62,1016100,51.29
2011-05-13,54.17,54.41,52.81,53.07,1227200,51.73
2011-05-12,53.78,54.41,53.34,54.21,1200000,52.84
2011-05-11,54.85,54.89,53.76,53.92,1200000,52.55
2011-05-10,54.64,55.15,54.64,54.91,966800,53.52
2011-05-09,53.37,54.59,53.37,54.48,1567800,53.10
2011-05-06,53.47,53.88,53.21,53.53,1664300,52.17
2011-05-05,52.79,54.99,52.43,53.07,2900000,51.73
2011-05-04,53.64,53.98,52.74,52.80,1683000,51.46
2011-05-03,54.35,54.59,53.48,53.72,966100,52.36
2011-05-02,54.76,55.00,53.79,54.45,1005500,53.07
2011-04-29,54.60,55.30,54.18,54.27,1854500,52.90
2011-04-28,54.41,54.82,54.16,54.56,796800,53.18
2011-04-27,53.99,54.45,53.60,54.33,796200,52.95
2011-04-26,53.52,54.11,53.48,53.77,1200000,52.41
2011-04-25,53.49,53.63,52.85,53.23,952700,51.88
2011-04-21,52.59,53.52,52.52,53.40,1277700,52.05
2011-04-20,51.65,52.66,51.65,52.40,1207800,51.07
2011-04-19,51.13,51.32,50.74,51.15,802100,49.85
2011-04-18,50.68,51.25,50.34,51.06,1563100,49.77
2011-04-15,50.56,51.43,50.17,51.43,1736700,50.13
2011-04-14,50.20,50.97,50.08,50.34,1183600,49.07
2011-04-13,50.73,50.99,50.29,50.51,1373000,49.23
2011-04-12,50.03,50.67,50.01,50.49,1390500,49.21
2011-04-11,50.64,50.65,49.93,50.32,958600,49.05
2011-04-08,51.07,51.20,50.03,50.44,1262100,49.16
2011-04-07,50.53,51.25,50.53,50.96,1197100,49.67
2011-04-06,50.77,51.09,50.41,50.75,1284200,49.46
2011-04-05,50.33,50.95,50.00,50.57,1145500,49.29
2011-04-04,50.79,51.14,50.26,50.33,1277300,49.06
2011-04-01,50.36,51.33,50.35,50.81,1366500,49.52
2011-03-31,49.65,50.28,49.56,50.15,1280700,48.88
2011-03-30,49.26,49.90,49.14,49.79,1386400,48.53
2011-03-29,48.51,49.00,48.30,48.86,1218500,47.62
2011-03-28,48.26,48.79,47.95,48.47,1381800,47.24
2011-03-25,48.03,48.61,47.80,48.25,1749200,47.03
2011-03-24,47.66,47.97,47.32,47.95,1011400,46.74
2011-03-23,46.92,47.55,46.67,47.46,1450700,46.26
2011-03-22,47.10,47.40,46.45,47.10,2922000,45.91
2011-03-21,48.37,49.04,48.06,48.33,963400,47.11
2011-03-18,47.82,48.30,47.48,47.57,1953300,46.37
2011-03-17,47.58,47.90,46.77,47.11,962000,45.92
2011-03-16,46.77,47.27,46.25,46.54,2045200,45.36
2011-03-15,46.29,47.46,45.91,46.97,1518100,45.78
2011-03-14,47.95,48.17,47.05,47.56,1086500,46.36
2011-03-11,48.01,48.77,47.65,48.36,1368600,47.14
2011-03-10,48.39,48.84,47.58,48.33,1687700,47.11
2011-03-09,48.92,49.37,48.37,49.08,961700,47.84
2011-03-08,47.81,49.27,47.31,49.14,1420000,47.90
