Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,29.37,29.48,28.88,29.02,2462900,28.75
2011-12-29,29.73,29.73,29.00,29.34,2363700,29.06
2011-12-28,30.27,30.40,29.21,29.55,3636800,29.27
2011-12-27,29.97,30.42,29.38,30.07,2759000,29.79
2011-12-23,29.44,30.08,29.21,30.04,3769100,29.76
2011-12-22,28.00,29.32,27.93,29.15,5029000,28.87
2011-12-21,27.38,28.30,27.28,27.89,5279100,27.63
2011-12-20,27.93,28.68,27.93,28.55,932400,41.58
2011-12-19,28.17,28.25,27.47,27.57,1708500,40.15
2011-12-16,27.74,28.23,27.59,27.98,2547400,40.75
2011-12-15,27.67,27.81,27.31,27.59,2302400,40.18
2011-12-14,27.92,27.92,26.88,27.37,2130800,39.86
2011-12-13,28.64,28.82,27.82,27.93,1662000,40.68
2011-12-12,28.30,28.46,28.11,28.43,2077200,41.40
2011-12-09,28.08,28.83,28.03,28.50,1738600,41.51
2011-12-08,28.31,28.90,27.71,28.04,2647000,40.84
2011-12-07,28.67,29.54,28.24,29.21,2015000,42.54
2011-12-06,29.00,29.01,28.62,28.81,1661700,41.96
2011-12-05,28.53,29.33,28.24,28.92,1730200,42.12
2011-12-02,28.19,28.88,28.05,28.10,2091500,40.92
2011-12-01,27.98,28.50,27.76,28.03,1729500,40.82
2011-11-30,28.03,28.19,27.59,27.82,2016800,40.52
2011-11-29,27.02,27.67,26.77,27.38,1655600,39.87
2011-11-28,26.77,27.07,26.15,26.94,1852400,39.23
2011-11-25,25.75,26.45,25.69,26.11,857400,38.03
2011-11-23,26.54,26.54,25.70,25.85,2151400,37.65
2011-11-22,26.60,26.85,25.69,26.80,3075400,39.03
2011-11-21,27.10,27.20,26.44,26.90,2634600,39.18
2011-11-18,27.13,27.90,26.99,27.46,2494600,39.99
2011-11-17,27.90,27.90,26.62,27.01,1734900,39.34
2011-11-16,27.86,28.65,27.62,27.86,1421400,40.57
2011-11-15,27.63,28.30,27.44,28.18,1526200,40.94
2011-11-14,27.82,27.99,27.58,27.77,751600,40.34
2011-11-11,27.77,28.14,27.31,27.98,1081600,40.65
2011-11-10,27.32,27.73,27.00,27.47,1831100,39.91
2011-11-09,27.75,27.78,26.71,27.02,2321200,39.25
2011-11-08,28.27,28.71,27.81,28.22,2136000,41.00
2011-11-07,28.11,28.94,27.94,28.84,2138600,41.90
2011-11-04,27.84,28.42,27.53,28.37,1217500,41.21
2011-11-03,27.77,28.25,27.38,28.14,1516300,40.88
2011-11-02,27.37,28.05,27.34,27.61,2382000,40.11
2011-11-01,25.62,27.52,25.44,27.38,3791600,39.78
2011-10-31,27.00,27.13,26.03,26.26,3150500,38.15
2011-10-28,28.06,28.96,26.81,27.28,5362600,39.63
2011-10-27,28.49,29.40,28.46,29.09,2920800,42.26
2011-10-26,28.07,28.36,27.35,28.17,1827100,40.92
2011-10-25,28.59,28.65,27.74,27.98,3180100,40.65
2011-10-24,27.82,29.00,27.82,28.86,2007400,41.93
2011-10-21,27.44,27.95,27.36,27.82,1573400,40.41
2011-10-20,27.41,27.61,26.68,27.20,1940600,39.51
2011-10-19,27.99,28.17,27.20,27.36,1311600,39.75
2011-10-18,27.80,28.12,27.20,28.00,1657500,40.68
2011-10-17,27.75,28.16,27.41,27.78,1875000,40.36
2011-10-14,28.56,28.73,27.65,28.01,2047700,40.69
2011-10-13,28.03,28.35,27.65,28.22,1900100,41.00
2011-10-12,28.43,28.60,27.99,28.23,2782600,41.01
2011-10-11,27.86,28.54,27.46,28.23,1563000,41.01
2011-10-10,27.39,28.24,27.37,27.96,1673600,40.62
2011-10-07,27.25,27.36,26.65,26.98,1567400,39.19
2011-10-06,25.98,27.21,25.63,27.15,2641800,39.44
2011-10-05,25.22,26.07,24.62,25.93,3281600,37.67
2011-10-04,24.26,25.25,23.85,25.20,4670000,36.61
2011-10-03,25.60,25.83,24.26,24.31,4393200,35.32
2011-09-30,26.75,26.76,25.74,25.75,3270700,37.41
2011-09-29,28.91,29.01,26.37,27.10,3614600,39.37
2011-09-28,29.02,29.51,28.43,28.56,2362200,41.49
2011-09-27,29.25,29.53,28.49,28.91,2844600,42.00
2011-09-26,28.24,28.55,27.15,28.44,3120600,41.32
2011-09-23,26.42,27.35,26.25,27.17,2528900,39.47
2011-09-22,27.85,27.85,26.08,26.58,4270900,38.61
2011-09-21,28.77,29.35,28.17,28.22,2991700,41.00
2011-09-20,28.92,29.31,28.30,28.87,3096000,41.94
2011-09-19,29.23,29.35,28.59,28.79,2939600,41.82
2011-09-16,29.64,29.95,29.35,29.60,2410000,43.00
2011-09-15,30.00,30.03,29.45,29.54,1920200,42.91
2011-09-14,29.58,29.99,28.75,29.71,2675900,43.16
2011-09-13,29.73,30.00,29.50,29.78,1690800,43.26
2011-09-12,28.63,29.67,28.47,29.64,2094600,43.06
2011-09-09,29.84,30.21,28.93,29.13,2429600,42.32
2011-09-08,30.31,30.73,29.87,30.00,1677100,43.58
2011-09-07,30.26,30.80,30.02,30.45,2271700,44.24
2011-09-06,28.67,29.77,28.48,29.77,2072400,43.25
2011-09-02,29.20,29.85,29.00,29.24,4109400,42.48
2011-09-01,30.39,30.94,30.13,30.20,2084900,43.87
2011-08-31,30.20,30.74,29.90,30.31,2080600,44.03
2011-08-30,29.24,30.25,29.24,29.99,2947000,43.57
2011-08-29,28.30,29.31,28.29,29.26,4438000,42.51
