Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,57.78,58.31,57.65,57.66,467400,56.90
2011-12-29,57.65,58.06,57.31,57.79,424600,57.03
2011-12-28,58.78,58.82,57.38,57.48,606700,56.72
2011-12-27,58.54,58.81,58.20,58.61,228700,57.84
2011-12-23,58.41,58.96,58.06,58.76,230600,57.98
2011-12-22,58.28,58.53,57.58,58.06,353800,57.29
2011-12-21,58.04,58.60,57.93,58.31,487300,57.54
2011-12-20,57.92,58.11,57.35,57.96,586300,57.19
2011-12-19,58.08,58.30,56.94,57.16,410400,56.41
2011-12-16,57.90,58.58,57.73,57.92,1117800,57.16
2011-12-15,57.37,58.06,57.08,57.55,896500,56.79
2011-12-14,56.39,57.33,56.28,57.02,604100,56.27
2011-12-13,57.83,57.83,56.36,56.65,671800,55.90
2011-12-12,57.55,58.01,57.20,57.57,859800,56.63
2011-12-09,57.81,58.24,57.41,57.86,913700,56.92
2011-12-08,58.06,59.20,57.69,57.74,995800,56.80
2011-12-07,58.56,58.75,57.91,58.22,591300,57.27
2011-12-06,59.21,59.44,58.46,58.78,925800,57.82
2011-12-05,59.47,59.99,58.84,59.20,881300,58.24
2011-12-02,59.50,59.65,58.65,58.70,960800,57.74
2011-12-01,59.35,59.75,58.83,59.06,996700,58.10
2011-11-30,58.23,59.47,57.33,59.42,1765100,58.45
2011-11-29,56.66,57.56,56.55,57.05,460300,56.12
2011-11-28,56.88,57.47,56.12,56.48,585400,55.56
2011-11-25,55.52,56.06,54.85,55.80,409300,54.89
2011-11-23,57.04,57.18,55.74,55.90,682000,54.99
2011-11-22,57.33,58.42,57.27,57.40,828900,56.46
2011-11-21,56.21,57.74,55.93,57.57,1000000,56.63
2011-11-18,56.31,57.47,56.31,56.72,869500,55.80
2011-11-17,56.31,56.61,55.55,56.02,522500,55.11
2011-11-16,57.20,57.57,56.22,56.27,977300,55.35
2011-11-15,58.17,58.43,57.41,57.45,754700,56.51
2011-11-14,58.61,58.89,57.79,58.15,508700,57.20
2011-11-11,58.31,59.10,57.97,58.73,679900,57.77
2011-11-10,58.03,58.43,57.57,57.94,725200,57.00
2011-11-09,58.20,58.32,57.00,57.55,816300,56.61
2011-11-08,58.95,59.00,58.33,58.97,594800,58.01
2011-11-07,58.70,59.15,58.39,58.92,526600,57.96
2011-11-04,58.31,59.05,58.29,58.97,891600,58.01
2011-11-03,58.62,58.72,57.58,58.40,883400,57.45
2011-11-02,59.28,59.37,58.10,58.30,789300,57.35
2011-11-01,57.70,59.15,57.37,58.90,1611900,57.94
2011-10-31,57.72,59.77,57.70,58.63,1441900,57.67
2011-10-28,58.80,59.18,57.76,58.02,861800,57.07
2011-10-27,60.53,60.53,58.29,59.10,1806200,58.14
2011-10-26,60.02,60.45,59.29,59.42,1946900,58.45
2011-10-25,59.04,59.93,58.88,59.78,2051200,58.81
2011-10-24,59.10,59.65,58.63,58.94,1035300,57.98
2011-10-21,58.61,59.13,58.33,59.10,1089200,58.14
2011-10-20,57.75,58.18,56.90,57.93,1407600,56.99
2011-10-19,56.39,58.26,56.39,57.64,2031800,56.70
2011-10-18,55.34,57.00,54.85,56.44,1464300,55.52
2011-10-17,54.84,55.99,54.79,55.32,1401900,54.42
2011-10-14,54.40,54.50,53.65,54.40,1040600,53.51
2011-10-13,53.87,54.14,53.16,53.97,730200,53.09
2011-10-12,53.76,54.74,53.66,54.32,1463400,53.44
2011-10-11,53.87,54.28,53.58,53.68,1693300,52.81
2011-10-10,53.29,54.46,53.12,54.00,1291300,53.12
2011-10-07,53.21,53.72,51.52,52.82,1229400,51.96
2011-10-06,52.86,53.31,52.57,53.05,1438400,52.19
2011-10-05,51.86,53.22,51.33,52.81,2035800,51.95
2011-10-04,49.63,51.69,49.17,51.49,2000000,50.65
2011-10-03,50.66,51.24,49.59,50.01,1973000,49.20
2011-09-30,50.50,52.13,50.50,50.86,1807800,50.03
2011-09-29,52.96,53.10,49.55,50.99,2875800,50.16
2011-09-28,54.22,55.89,53.12,53.31,2773300,52.44
2011-09-27,55.39,55.42,53.61,54.18,2301300,53.30
2011-09-26,54.77,54.86,53.73,54.84,1204800,53.95
2011-09-23,52.29,54.68,51.76,54.64,1201700,53.75
2011-09-22,51.73,53.43,51.50,52.29,1583800,51.44
2011-09-21,53.49,54.42,52.87,52.92,890500,52.06
2011-09-20,53.53,54.24,53.29,53.61,1054300,52.74
2011-09-19,53.79,54.07,53.30,53.51,1293700,52.64
2011-09-16,52.70,54.66,52.53,53.43,2614100,52.56
2011-09-15,52.44,52.52,51.59,52.03,793400,51.18
2011-09-14,51.53,52.38,50.97,51.97,822000,51.12
2011-09-13,50.95,51.66,50.48,51.40,833800,50.56
2011-09-12,49.41,51.03,49.41,50.93,802400,49.92
2011-09-09,51.45,51.65,49.75,50.28,1410200,49.29
2011-09-08,53.00,54.38,51.94,52.01,1575400,50.98
2011-09-07,50.88,53.17,50.87,53.14,1504700,52.09
2011-09-06,50.69,51.18,50.00,50.36,3146400,49.36
2011-09-02,51.64,52.21,51.00,51.91,2031100,50.88
2011-09-01,53.38,53.73,51.70,52.70,1336500,51.66
2011-08-31,51.41,53.78,51.37,53.39,3232100,52.33
2011-08-30,49.01,51.42,49.01,51.06,2523600,50.05
2011-08-29,48.07,49.17,47.99,49.00,1595200,48.03
2011-08-26,46.92,48.20,46.38,47.55,1610300,46.61
2011-08-25,48.36,48.66,46.78,47.15,1256200,46.22
2011-08-24,47.79,48.35,47.65,48.26,1044600,47.31
2011-08-23,47.99,48.18,47.40,47.98,1394100,47.03
2011-08-22,49.30,49.48,47.61,47.77,1030200,46.83
2011-08-19,48.52,49.69,48.39,48.61,1401600,47.65
2011-08-18,48.44,49.19,47.50,49.13,1395500,48.16
2011-08-17,51.57,52.05,49.81,49.90,1324900,48.91
2011-08-16,50.38,51.68,50.25,51.30,1317400,50.29
2011-08-15,50.01,50.30,49.53,50.27,1144200,49.28
2011-08-12,48.97,49.34,47.78,49.19,871100,48.22
2011-08-11,46.37,49.28,46.27,48.72,1302100,47.76
2011-08-10,46.57,47.27,45.99,46.27,1896600,45.36
2011-08-09,45.59,47.24,44.42,47.19,5046300,46.26
2011-08-08,49.37,49.37,45.11,45.14,2289500,44.25
2011-08-05,49.22,49.24,48.02,48.53,1963300,47.57
2011-08-04,50.78,51.02,48.78,48.96,2658400,47.99
2011-08-03,51.61,52.22,51.28,51.32,1633500,50.31
2011-08-02,52.52,53.20,51.60,51.66,1508800,50.64
2011-08-01,53.35,53.69,52.44,52.92,1971200,51.87
2011-07-29,52.87,53.29,52.57,53.11,1853600,52.06
2011-07-28,53.29,54.03,53.03,53.15,1792300,52.10
2011-07-27,53.70,54.21,53.26,53.33,1349400,52.28
2011-07-26,53.56,54.33,53.33,54.32,855200,53.25
2011-07-25,53.64,53.94,53.43,53.50,671900,52.44
2011-07-22,54.34,54.46,53.97,54.14,474500,53.07
2011-07-21,53.90,54.42,53.88,54.24,639000,53.17
2011-07-20,52.90,53.72,52.42,53.58,803400,52.52
2011-07-19,52.61,53.06,52.48,52.90,504300,51.85
2011-07-18,52.39,52.56,52.25,52.43,765300,51.39
2011-07-15,52.74,52.75,52.18,52.40,843800,51.36
2011-07-14,52.78,52.96,52.27,52.46,1046300,51.42
2011-07-13,52.53,52.89,52.34,52.65,747100,51.61
2011-07-12,52.73,53.18,52.19,52.34,1280800,51.31
2011-07-11,53.88,54.23,52.21,52.93,1875600,51.88
2011-07-08,54.71,55.20,54.21,54.49,717000,53.41
2011-07-07,54.63,55.25,54.61,55.14,1051700,54.05
2011-07-06,53.62,54.55,53.55,54.48,1062100,53.40
2011-07-05,53.84,54.33,53.50,53.61,672000,52.55
2011-07-01,52.83,54.02,52.50,54.01,1368200,52.94
2011-06-30,53.74,53.75,52.21,52.56,1435800,51.52
2011-06-29,51.79,54.66,51.26,53.44,3065200,52.38
2011-06-28,52.40,53.33,52.37,53.02,1325200,51.97
2011-06-27,52.40,52.42,51.95,52.33,644300,51.30
2011-06-24,53.00,53.06,52.18,52.26,875700,51.23
2011-06-23,53.00,53.31,51.60,53.09,1916100,52.04
2011-06-22,53.30,54.00,53.30,53.34,474400,52.29
2011-06-21,53.82,54.08,53.34,53.62,884700,52.56
2011-06-20,52.53,53.60,52.42,53.52,710200,52.46
2011-06-17,52.67,53.08,52.37,52.60,1888000,51.56
2011-06-16,52.22,52.49,51.85,52.16,1712800,51.13
2011-06-15,52.43,52.68,52.02,52.25,1158500,51.22
2011-06-14,52.32,52.93,51.83,52.71,2065900,51.67
2011-06-13,51.84,52.55,51.80,51.84,900000,50.82
2011-06-10,52.77,53.19,52.31,52.36,1205400,51.15
2011-06-09,51.61,53.45,51.26,52.57,2740600,51.35
2011-06-08,52.10,52.10,51.47,51.48,623500,50.29
2011-06-07,52.01,52.41,51.83,52.19,1397500,50.98
2011-06-06,52.33,52.33,51.84,51.90,1092600,50.70
2011-06-03,52.31,52.63,52.05,52.38,1191100,51.17
2011-06-02,54.56,54.67,52.79,53.05,1677700,51.82
2011-06-01,55.17,55.57,54.61,54.80,1346700,53.53
2011-05-31,56.17,56.25,55.58,55.74,1016200,54.45
2011-05-27,55.62,55.85,55.45,55.56,587600,54.27
2011-05-26,55.80,56.92,55.19,55.35,2809900,54.07
2011-05-25,54.82,54.96,53.93,54.82,1167100,53.55
2011-05-24,53.97,54.48,53.84,54.35,676800,53.09
2011-05-23,53.34,54.30,53.28,54.29,1073200,53.03
2011-05-20,54.00,54.00,53.54,53.65,698900,52.41
2011-05-19,53.80,54.19,53.52,54.08,517200,52.83
2011-05-18,53.17,54.04,52.93,54.03,1077800,52.78
2011-05-17,52.04,53.24,51.83,53.23,1451400,52.00
2011-05-16,51.84,52.31,51.52,52.18,617200,50.97
2011-05-13,52.28,52.55,51.82,51.94,379100,50.74
2011-05-12,52.00,52.56,51.24,52.30,1452200,51.09
2011-05-11,53.12,53.38,52.09,52.15,535400,50.94
2011-05-10,53.28,53.62,53.03,53.22,489000,51.99
2011-05-09,52.93,53.32,52.79,53.09,482400,51.86
2011-05-06,53.46,53.64,52.92,53.05,495100,51.82
2011-05-05,53.76,54.36,53.37,53.62,638000,52.38
2011-05-04,53.90,54.19,53.29,53.86,473000,52.61
2011-05-03,53.81,54.12,53.66,53.78,786600,52.54
2011-05-02,54.39,54.56,53.77,53.99,422100,52.74
2011-04-29,53.66,54.41,53.35,54.21,775000,52.96
2011-04-28,52.69,53.73,52.62,53.66,724700,52.42
