Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,84.47,84.51,83.33,83.51,1447200,82.98
2011-12-29,83.40,84.39,83.00,84.31,1313300,83.78
2011-12-28,84.57,84.70,82.78,82.97,1561800,82.45
2011-12-27,84.82,85.41,84.57,84.70,1127600,84.17
2011-12-23,84.72,85.05,83.81,84.92,1247700,84.38
2011-12-22,84.56,85.36,84.03,84.47,1247900,83.94
2011-12-21,83.60,84.31,82.38,84.24,1854600,83.71
2011-12-20,82.98,84.39,82.77,83.81,2591400,83.28
2011-12-19,84.75,85.42,80.91,81.35,3132100,80.84
2011-12-16,84.10,86.37,83.92,84.89,5314900,84.35
2011-12-15,80.14,83.81,79.97,83.47,9170500,82.94
2011-12-14,78.67,79.07,76.95,77.29,4152100,76.80
2011-12-13,82.09,82.41,78.29,78.96,3509400,78.46
2011-12-12,81.94,82.18,80.95,81.63,2377800,81.11
2011-12-09,82.69,83.64,82.02,83.24,1803400,82.71
2011-12-08,83.51,84.43,82.18,82.47,2654100,81.82
2011-12-07,82.48,84.66,82.05,84.19,2450100,83.53
2011-12-06,83.43,83.53,82.10,82.67,2109400,82.02
2011-12-05,83.86,84.22,82.38,83.20,2709800,82.54
2011-12-02,83.17,83.46,81.96,82.14,2646500,81.49
2011-12-01,82.52,82.75,81.61,82.03,2110000,81.38
2011-11-30,81.36,83.20,81.10,83.08,3545100,82.43
2011-11-29,79.47,80.38,78.41,78.58,2683100,77.96
2011-11-28,78.76,80.52,78.31,78.93,2627300,78.31
2011-11-25,76.50,77.38,76.06,76.08,1005200,75.48
2011-11-23,77.37,77.74,76.33,76.56,2053100,75.96
2011-11-22,79.04,79.37,77.95,78.21,1598200,77.59
2011-11-21,79.52,80.00,78.22,79.38,2036000,78.75
2011-11-18,81.19,82.16,80.80,81.22,2239700,80.58
2011-11-17,81.33,82.01,79.68,80.28,2236200,79.65
2011-11-16,81.80,83.12,81.42,81.49,1911400,80.85
2011-11-15,81.57,83.45,81.15,82.64,2675800,81.99
2011-11-14,81.62,82.37,80.78,81.41,1203200,80.77
2011-11-11,81.36,82.39,81.12,82.23,1814700,81.58
2011-11-10,80.35,80.60,79.40,80.12,1866800,79.49
2011-11-09,81.40,81.49,78.85,79.35,2199400,78.72
2011-11-08,82.38,83.13,81.26,83.01,1552000,82.36
2011-11-07,82.04,82.86,80.60,81.93,1867200,81.28
2011-11-04,81.79,82.21,80.31,82.01,1634300,81.36
2011-11-03,81.54,82.53,80.35,82.34,1781900,81.69
2011-11-02,80.90,81.34,79.53,80.57,1952900,79.94
2011-11-01,78.91,80.63,78.61,79.57,2703800,78.94
2011-10-31,83.42,84.16,81.80,81.83,2542900,81.19
2011-10-28,84.40,85.00,83.31,84.25,2882400,83.59
2011-10-27,83.51,85.75,82.93,84.73,4106700,84.06
2011-10-26,81.95,82.20,79.94,81.36,2958000,80.72
2011-10-25,80.51,81.86,79.20,80.72,3689200,80.08
2011-10-24,79.90,82.40,79.90,81.52,3549200,80.88
2011-10-21,77.42,79.92,77.18,79.34,4153200,78.71
2011-10-20,75.33,76.82,74.96,76.59,2634400,75.99
2011-10-19,75.69,76.15,74.97,75.28,2037300,74.69
2011-10-18,73.84,76.56,73.47,75.62,2486000,75.02
2011-10-17,75.47,75.55,73.65,73.97,2543600,73.39
2011-10-14,74.76,75.82,74.65,75.74,2272800,75.14
2011-10-13,74.42,74.42,73.26,73.87,3055800,73.29
2011-10-12,73.98,76.13,73.82,75.18,3034800,74.59
2011-10-11,73.25,73.70,72.60,73.43,2055700,72.85
2011-10-10,72.46,73.63,72.01,73.62,1957800,73.04
2011-10-07,72.31,72.46,70.88,71.06,3389600,70.50
2011-10-06,70.11,72.52,69.33,72.20,3260900,71.63
2011-10-05,68.04,70.92,67.68,70.41,4889800,69.86
2011-10-04,64.18,67.91,64.07,67.86,4400000,67.33
2011-10-03,66.90,67.92,64.97,65.15,4643600,64.64
2011-09-30,68.98,69.55,67.62,67.68,2730900,67.15
2011-09-29,70.46,70.81,68.24,69.70,3226500,69.15
2011-09-28,70.94,71.07,69.10,69.20,3511200,68.65
2011-09-27,71.51,71.62,70.12,70.53,4112700,69.97
2011-09-26,68.10,69.82,67.71,69.75,4467100,69.20
2011-09-23,66.86,68.43,66.61,67.30,4468200,66.77
2011-09-22,70.04,70.09,64.55,66.58,11368000,66.06
2011-09-21,75.00,75.32,72.50,72.50,4094900,71.93
2011-09-20,75.95,76.84,75.00,75.22,3036000,74.63
2011-09-19,74.99,76.16,74.68,75.76,2869600,75.16
2011-09-16,77.57,77.92,75.27,76.40,3689800,75.80
2011-09-15,77.00,77.33,75.64,77.08,2218300,76.47
2011-09-14,75.63,77.12,73.75,76.01,3146700,75.41
2011-09-13,73.64,75.46,73.11,74.97,3226900,74.38
2011-09-12,72.39,73.78,71.54,73.63,3259500,73.05
2011-09-09,74.04,75.08,72.90,73.40,2555400,72.82
2011-09-08,75.71,76.20,74.65,74.99,2543800,74.40
2011-09-07,74.88,76.64,74.34,76.27,3250400,75.54
2011-09-06,72.43,73.82,71.33,73.60,4053700,72.90
2011-09-02,75.95,76.49,74.46,74.90,2739400,74.18
2011-09-01,78.72,80.11,77.90,78.04,2814000,77.29
2011-08-31,79.52,80.71,78.17,78.72,3246500,77.97
2011-08-30,78.31,79.33,77.68,78.83,2065500,78.08
2011-08-29,76.67,78.79,76.67,78.75,2673300,78.00
2011-08-26,74.17,75.85,72.57,75.72,4011800,75.00
2011-08-25,77.29,77.44,74.15,74.76,2617400,74.04
2011-08-24,74.70,77.00,74.23,76.60,3685900,75.87
2011-08-23,73.57,74.79,72.67,74.79,3857900,74.07
2011-08-22,74.92,75.00,72.16,73.00,3420900,72.30
2011-08-19,74.11,75.77,72.89,73.16,3477900,72.46
2011-08-18,77.06,77.34,73.49,74.46,4502100,73.75
2011-08-17,80.52,81.27,78.47,79.13,2951400,78.37
2011-08-16,80.90,81.70,79.28,80.10,3826100,79.33
2011-08-15,81.20,81.98,80.15,81.85,2698900,81.07
2011-08-12,80.29,81.29,79.00,80.48,3280200,79.71
2011-08-11,75.78,81.30,75.67,79.88,4746300,79.12
2011-08-10,78.53,78.67,75.13,75.32,4640500,74.60
2011-08-09,79.19,79.89,75.50,79.75,4804200,78.99
2011-08-08,80.34,81.91,77.50,77.54,5679800,76.80
2011-08-05,83.22,83.72,80.18,82.36,5026700,81.57
