Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,106.61,107.55,105.99,106.12,931000,106.12
2011-12-29,106.21,107.13,105.11,107.00,997900,107.00
2011-12-28,106.22,106.54,104.71,105.73,1311100,105.73
2011-12-27,105.91,107.16,105.31,106.54,667200,106.54
2011-12-23,104.82,106.45,103.37,106.39,1022200,106.39
2011-12-22,102.79,105.81,102.65,104.48,1729200,104.48
2011-12-21,108.08,108.43,99.59,102.13,3226100,102.13
2011-12-20,107.07,110.72,106.04,109.39,1717300,109.39
2011-12-19,105.67,106.52,102.20,102.48,1624900,102.48
2011-12-16,106.01,108.75,104.77,104.83,2161900,104.83
2011-12-15,106.25,107.05,104.23,105.29,1189900,105.29
2011-12-14,109.36,109.50,103.60,104.65,2327600,104.65
2011-12-13,113.44,114.78,108.69,109.94,1707900,109.94
2011-12-12,112.93,113.34,111.10,112.36,1290000,112.36
2011-12-09,111.79,115.18,111.14,114.74,1599300,114.74
2011-12-08,113.43,113.55,110.67,111.09,1388600,111.09
2011-12-07,114.16,115.16,112.50,114.51,1104500,114.51
2011-12-06,115.79,116.21,113.00,114.32,1406100,114.32
2011-12-05,115.00,117.30,114.09,115.66,2248500,115.66
2011-12-02,112.00,113.51,111.26,112.42,1640900,112.42
2011-12-01,111.50,113.21,108.46,111.07,2417500,111.07
2011-11-30,107.30,113.23,107.00,113.03,2622900,113.03
2011-11-29,104.69,105.42,102.51,103.41,1253000,103.41
2011-11-28,100.80,104.74,100.79,104.66,1852400,104.66
2011-11-25,98.70,101.31,97.59,97.62,805400,97.62
2011-11-23,102.06,102.34,98.21,99.53,2091800,99.53
2011-11-22,102.53,104.43,101.16,103.14,1377000,103.14
2011-11-21,104.03,104.06,100.82,102.73,1974000,102.73
2011-11-18,107.34,107.95,105.48,106.19,1474000,106.19
2011-11-17,110.50,110.72,104.75,107.10,2079500,107.10
2011-11-16,111.29,113.24,110.32,110.46,1520400,110.46
2011-11-15,110.41,113.60,109.60,112.61,1502500,112.61
2011-11-14,111.37,113.10,110.49,110.62,1296000,110.62
2011-11-11,108.33,111.68,108.04,111.19,1641000,111.19
2011-11-10,107.73,108.85,106.28,106.99,1660800,106.99
2011-11-09,106.33,108.59,104.05,105.77,1753600,105.77
2011-11-08,109.44,110.49,107.59,109.61,1221100,109.61
2011-11-07,109.52,109.76,106.74,108.56,1698200,108.56
2011-11-04,105.65,110.33,105.65,109.62,2499600,109.62
2011-11-03,106.04,107.69,102.59,106.94,2221300,106.94
2011-11-02,101.01,105.42,101.00,104.63,2094800,104.63
2011-11-01,100.28,101.98,97.71,100.56,2513600,100.56
2011-10-31,105.68,107.65,103.95,103.95,2794500,103.95
2011-10-28,104.41,107.95,103.76,107.63,2121500,107.63
2011-10-27,103.03,107.00,100.79,105.72,3394800,105.72
2011-10-26,97.25,103.00,96.56,101.26,8089100,101.26
2011-10-25,92.77,92.92,88.40,88.76,3370400,88.76
2011-10-24,89.13,93.99,89.13,93.42,1921200,93.42
2011-10-21,87.42,89.00,86.30,88.92,1583300,88.92
2011-10-20,87.60,87.60,84.79,86.72,1874700,86.72
2011-10-19,88.19,88.88,86.06,86.46,1148000,86.46
2011-10-18,87.48,89.39,85.36,88.50,1592300,88.50
2011-10-17,89.79,89.80,86.56,87.04,1450600,87.04
2011-10-14,88.45,90.22,87.86,90.07,1777200,90.07
2011-10-13,87.00,88.10,85.90,87.45,1547000,87.45
2011-10-12,88.54,88.90,86.45,87.80,2312100,87.80
2011-10-11,86.92,87.64,85.56,87.06,1126200,87.06
2011-10-10,86.70,88.44,85.00,87.31,1678100,87.31
2011-10-07,85.76,86.78,83.40,85.01,2537800,85.01
2011-10-06,82.45,85.81,81.74,85.75,2892900,85.75
2011-10-05,75.93,83.17,75.11,82.57,3675500,82.57
2011-10-04,70.36,77.80,70.21,77.63,4176700,77.63
2011-10-03,70.61,72.35,69.60,70.43,2675900,70.43
2011-09-30,73.26,74.12,71.05,71.05,1906100,71.05
2011-09-29,77.34,77.75,72.40,74.75,1930700,74.75
2011-09-28,78.02,78.68,75.63,75.85,1491400,75.85
2011-09-27,78.79,80.60,77.12,77.89,2637900,77.89
