Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,25.52,25.59,25.07,25.07,713300,24.74
2011-12-29,25.39,25.53,25.28,25.50,469400,25.17
2011-12-28,25.71,25.75,25.16,25.25,479800,24.92
2011-12-27,25.68,25.83,25.41,25.75,303600,25.41
2011-12-23,25.67,25.75,25.52,25.72,347500,25.38
2011-12-22,25.46,25.81,25.39,25.58,807600,25.24
2011-12-21,25.52,25.66,24.98,25.40,673400,25.07
2011-12-20,25.21,25.66,25.10,25.61,659700,25.27
2011-12-19,25.36,25.49,24.66,24.73,923000,24.41
2011-12-16,25.14,25.73,24.91,25.18,5449200,24.85
2011-12-15,25.32,25.39,24.90,25.02,831000,24.69
2011-12-14,24.90,25.12,24.75,25.10,1372300,24.77
2011-12-13,25.13,25.43,24.93,25.02,1437400,24.69
2011-12-12,25.43,25.43,24.80,25.02,1147300,24.69
2011-12-09,25.43,25.74,25.34,25.67,1129800,25.33
2011-12-08,25.98,26.10,25.25,25.33,887300,25.00
2011-12-07,26.21,26.49,25.91,26.21,932900,25.87
2011-12-06,26.58,26.58,26.30,26.36,1005100,26.01
2011-12-05,26.28,26.67,26.11,26.46,918100,26.11
2011-12-02,26.87,26.90,25.72,25.74,1374600,25.40
2011-12-01,26.86,26.99,26.57,26.65,971700,26.30
2011-11-30,26.14,26.87,26.14,26.86,1263100,26.51
2011-11-29,25.05,25.66,24.97,25.40,1217500,25.07
2011-11-28,24.95,25.28,24.83,25.02,849000,24.69
2011-11-25,23.99,24.56,23.79,24.20,549900,23.88
2011-11-23,24.37,24.41,24.10,24.16,1240100,23.84
2011-11-22,24.91,25.09,24.51,24.61,1380400,24.29
2011-11-21,25.00,25.22,24.70,25.04,1143200,24.71
2011-11-18,25.51,25.70,25.24,25.37,1214000,25.04
2011-11-17,25.67,25.72,25.03,25.51,1464400,25.18
2011-11-16,26.06,26.29,25.77,25.84,1152800,25.44
2011-11-15,26.20,26.49,25.98,26.36,931200,25.95
2011-11-14,26.65,26.75,25.99,26.08,717600,25.68
2011-11-11,26.17,26.76,26.12,26.65,873500,26.24
2011-11-10,25.75,25.93,25.26,25.81,1418900,25.41
2011-11-09,27.01,27.13,25.42,25.46,2575600,25.07
2011-11-08,27.44,27.72,27.08,27.61,964800,27.18
2011-11-07,27.11,27.24,26.52,27.20,876400,26.78
2011-11-04,26.38,27.20,26.32,27.12,1125600,26.70
2011-11-03,26.06,26.67,25.68,26.65,1007300,26.24
2011-11-02,25.41,25.77,25.26,25.71,1888700,25.31
