Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,50.20,50.70,50.10,50.25,929800,49.65
2011-12-29,50.03,50.65,49.90,50.32,1187800,49.72
2011-12-28,51.02,51.13,49.60,49.68,1318200,49.09
2011-12-27,50.38,51.16,50.23,50.86,1137300,50.25
2011-12-23,50.42,50.83,49.66,50.74,1166900,50.13
2011-12-22,49.38,50.69,49.21,50.46,1690600,49.86
2011-12-21,48.85,49.40,48.18,49.20,1557100,48.61
2011-12-20,48.01,49.78,48.00,49.11,2262800,48.52
2011-12-19,48.31,48.78,46.83,47.06,2115800,46.50
2011-12-16,48.89,49.46,47.97,48.09,2960400,47.51
2011-12-15,49.29,49.67,48.12,48.27,2757700,47.69
2011-12-14,49.54,49.69,48.10,48.31,2427500,47.73
2011-12-13,51.40,51.87,49.60,50.00,2562400,49.40
2011-12-12,51.43,51.58,50.40,51.01,2976200,50.40
2011-12-09,51.65,52.81,51.65,52.48,1786400,51.85
2011-12-08,53.24,53.47,51.50,51.72,2590200,51.10
2011-12-07,54.28,54.28,53.20,53.91,1714800,53.26
2011-12-06,56.15,56.16,54.01,54.64,2511200,53.99
2011-12-05,55.04,56.08,54.47,55.12,2476400,54.46
2011-12-02,55.17,55.45,53.75,53.84,1877100,53.20
2011-12-01,54.60,55.00,53.91,54.41,1216800,53.76
2011-11-30,54.06,54.85,53.92,54.82,2474900,54.16
2011-11-29,52.36,52.49,51.74,52.07,1738900,51.32
2011-11-28,52.10,53.20,51.70,52.35,2511200,51.60
2011-11-25,50.11,50.70,49.50,49.51,937000,48.80
2011-11-23,51.59,51.70,50.17,50.33,1541400,49.61
2011-11-22,52.08,53.02,51.56,52.48,2158500,51.73
2011-11-21,51.99,52.64,50.77,52.21,2766200,51.46
2011-11-18,53.42,53.61,52.08,52.52,1818700,51.77
2011-11-17,54.58,54.91,52.55,52.97,1855600,52.21
2011-11-16,54.15,56.10,54.00,54.90,2673300,54.11
2011-11-15,53.75,55.59,53.34,55.06,2174000,54.27
2011-11-14,55.62,56.01,53.99,54.67,2440200,53.89
2011-11-11,54.95,56.43,54.65,56.10,1836700,55.30
2011-11-10,54.13,54.71,53.11,53.94,2802500,53.17
2011-11-09,54.12,54.81,52.81,53.14,2671300,52.38
2011-11-08,55.15,56.22,54.42,56.05,2282800,55.25
2011-11-07,55.20,55.72,53.73,55.04,2509200,54.25
2011-11-04,55.28,56.85,53.87,54.86,5941700,54.07
2011-11-03,57.33,58.80,56.52,58.60,2824900,57.76
2011-11-02,55.30,56.17,54.30,55.58,2433700,54.78
2011-11-01,54.31,55.47,53.09,54.20,3184900,53.42
2011-10-31,58.36,58.53,56.82,56.85,2011900,56.03
2011-10-28,59.56,60.13,58.88,59.63,1677500,58.77
2011-10-27,59.18,60.76,58.28,60.02,3138900,59.16
2011-10-26,56.68,57.18,54.85,56.64,1854600,55.83
2011-10-25,55.97,56.99,54.65,55.79,2336900,54.99
2011-10-24,54.63,56.76,54.58,56.72,2388000,55.91
2011-10-21,53.62,54.52,53.03,54.52,1778800,53.74
2011-10-20,52.41,53.02,51.07,52.75,1917400,51.99
2011-10-19,53.01,53.62,52.09,52.50,1744100,51.75
2011-10-18,53.00,53.72,52.19,52.98,3976600,52.22
2011-10-17,55.18,55.27,52.86,53.01,1749500,52.25
2011-10-14,55.49,55.97,54.30,55.67,1361200,54.87
2011-10-13,54.46,55.09,53.37,54.60,1489100,53.82
2011-10-12,54.32,55.93,54.16,55.03,2395700,54.24
2011-10-11,52.17,54.37,52.12,53.86,2091600,53.09
2011-10-10,51.48,53.20,51.48,52.77,1752200,52.01
2011-10-07,52.31,52.31,48.93,50.14,2191600,49.42
2011-10-06,49.86,51.78,49.73,51.74,2013200,51.00
2011-10-05,48.91,50.18,48.11,49.79,2486400,49.08
2011-10-04,44.81,48.89,44.16,48.83,4200000,48.13
2011-10-03,46.28,47.50,45.43,45.49,3350700,44.84
2011-09-30,48.52,48.68,45.86,46.55,4301300,45.88
2011-09-29,50.66,51.10,48.36,49.56,2168500,48.85
2011-09-28,52.13,52.18,49.16,49.27,2829200,48.56
2011-09-27,52.52,53.91,51.43,51.77,3004000,51.03
2011-09-26,50.62,51.18,48.60,50.99,2917100,50.26
2011-09-23,49.47,50.91,49.19,50.31,2887700,49.59
2011-09-22,51.63,51.78,47.81,49.52,4287200,48.81
2011-09-21,56.95,57.55,53.74,53.76,2509700,52.99
