Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,99.97,100.47,99.09,99.32,235700,98.16
2011-12-29,97.77,100.28,97.19,99.80,485200,98.64
2011-12-28,100.37,100.87,97.00,97.30,371200,96.17
2011-12-27,101.63,102.11,99.85,100.85,270300,99.36
2011-12-23,101.00,102.31,100.69,101.88,250600,100.37
2011-12-22,100.98,102.73,100.54,100.69,494400,99.20
2011-12-21,100.64,100.95,97.91,100.50,490600,99.01
2011-12-20,98.49,101.43,98.03,100.81,383700,99.32
2011-12-19,98.60,98.69,96.16,96.44,546400,95.01
2011-12-16,97.43,99.79,96.59,97.54,900400,96.10
2011-12-15,98.07,98.23,95.52,96.48,397300,95.05
2011-12-14,97.91,98.22,95.35,96.34,604800,94.92
2011-12-13,101.98,102.73,98.35,99.05,494000,97.59
2011-12-12,101.58,101.88,99.50,101.01,434200,99.52
2011-12-09,99.49,104.06,99.49,103.51,368700,101.98
2011-12-08,102.20,102.85,99.42,99.78,488300,98.31
2011-12-07,103.75,104.07,101.51,103.50,352700,101.97
2011-12-06,104.74,105.62,103.05,104.70,299700,103.15
2011-12-05,104.00,106.74,103.48,104.48,747300,102.94
2011-12-02,103.32,104.53,101.83,102.01,447000,100.50
2011-12-01,102.19,103.74,101.30,101.60,499600,100.10
2011-11-30,99.59,102.86,99.59,102.77,746300,101.25
2011-11-29,95.60,97.45,95.12,96.01,473200,94.59
2011-11-28,94.19,96.22,94.19,95.59,533500,94.18
2011-11-25,89.55,91.93,89.40,90.10,178800,88.77
2011-11-23,92.35,92.63,89.72,89.74,658900,88.41
2011-11-22,93.26,94.27,92.19,93.74,436700,92.35
2011-11-21,94.43,94.54,92.50,93.52,553100,92.14
2011-11-18,96.29,98.27,95.75,96.95,408800,95.52
2011-11-17,97.38,98.40,94.45,95.17,532200,93.76
2011-11-16,97.02,99.49,96.60,97.96,477200,96.51
2011-11-15,96.91,99.35,96.27,98.49,392100,97.03
2011-11-14,98.82,99.20,96.45,97.37,385500,95.93
2011-11-11,97.26,99.55,97.26,99.37,406400,97.90
2011-11-10,96.61,97.07,94.70,95.78,605100,94.36
2011-11-09,96.66,97.16,94.25,94.89,608100,93.49
2011-11-08,99.82,100.19,96.89,99.98,506600,98.50
2011-11-07,99.93,100.77,96.98,98.77,804800,97.31
2011-11-04,98.18,100.17,97.51,99.80,494600,98.32
2011-11-03,95.62,99.39,95.03,99.05,867000,97.59
2011-11-02,93.15,95.32,91.97,94.09,750400,92.70
2011-11-01,89.16,92.16,87.41,90.20,804800,88.87
2011-10-31,95.74,96.15,92.55,92.69,690100,91.32
2011-10-28,92.13,99.18,90.67,97.02,1231400,95.59
2011-10-27,91.09,93.55,90.00,92.03,847900,90.67
2011-10-26,88.08,88.57,84.93,87.18,648200,85.89
2011-10-25,88.59,88.59,85.40,86.76,478400,85.48
2011-10-24,84.32,89.69,84.07,89.39,739000,88.07
2011-10-21,83.04,84.76,82.43,84.37,751500,83.12
2011-10-20,83.34,83.39,79.50,81.50,867700,80.30
2011-10-19,84.09,85.82,82.65,83.02,506500,81.79
2011-10-18,81.11,84.77,79.79,84.05,779700,82.81
2011-10-17,83.73,84.16,80.50,80.90,387400,79.70
2011-10-14,84.73,85.96,82.62,84.21,861200,82.97
2011-10-13,84.86,85.10,81.60,83.56,799800,82.32
2011-10-12,83.31,87.11,83.25,85.76,571300,84.49
2011-10-11,81.88,83.65,81.64,82.13,359600,80.92
2011-10-10,80.84,82.83,80.84,82.83,485100,81.61
2011-10-07,80.64,80.91,77.79,79.13,455000,77.96
2011-10-06,77.41,80.35,76.79,80.00,530900,78.82
2011-10-05,73.91,78.12,72.98,77.51,821000,76.36
2011-10-04,69.14,73.66,66.84,73.47,1207400,72.38
2011-10-03,73.12,74.76,70.00,70.00,880700,68.97
2011-09-30,75.50,77.28,73.81,74.00,1450300,72.91
2011-09-29,80.23,81.41,76.41,78.60,833000,77.44
2011-09-28,81.00,82.52,77.70,77.90,770800,76.75
2011-09-27,79.97,82.32,79.52,80.95,888500,79.44
2011-09-26,75.80,77.71,72.88,77.53,465900,76.08
2011-09-23,74.48,76.37,73.57,74.64,865000,73.25
2011-09-22,76.79,77.90,73.75,75.15,1099800,73.75
2011-09-21,84.85,84.88,79.83,79.93,562200,78.44
2011-09-20,87.56,87.90,84.83,85.02,362900,83.43
2011-09-19,86.58,87.67,85.06,87.02,526200,85.39
2011-09-16,90.76,91.18,88.00,88.75,763000,87.09
2011-09-15,89.41,89.81,88.34,89.63,530200,87.96
2011-09-14,86.97,89.61,84.11,88.36,1022200,86.71
2011-09-13,85.30,87.46,84.58,86.71,605800,85.09
2011-09-12,84.24,85.61,82.34,84.61,872700,83.03
2011-09-09,88.25,88.55,85.08,85.65,630600,84.05
2011-09-08,89.48,91.40,89.16,89.42,640400,87.75
2011-09-07,89.61,90.78,88.55,90.42,780300,88.73
2011-09-06,84.82,88.21,84.53,87.94,1025900,86.30
2011-09-02,88.60,90.59,87.46,89.11,718900,87.45
2011-09-01,94.45,95.18,90.57,90.94,714300,89.24
2011-08-31,93.64,95.65,93.19,94.34,629300,92.58
2011-08-30,90.48,93.29,89.59,92.84,614300,91.11
2011-08-29,88.09,91.29,88.09,90.90,669400,89.20
2011-08-26,83.01,86.53,80.84,86.47,797500,84.86
2011-08-25,86.98,87.97,83.44,83.71,566900,82.15
2011-08-24,85.10,87.01,84.53,86.97,631400,85.35
2011-08-23,82.11,85.66,81.30,85.60,544400,84.00
2011-08-22,83.09,83.90,81.42,81.77,621500,80.24
2011-08-19,82.18,85.24,80.77,80.96,1062700,79.45
2011-08-18,87.05,87.16,82.72,83.80,1405300,82.23
2011-08-17,90.82,91.80,89.58,90.52,574500,88.83
2011-08-16,90.81,91.35,88.77,90.00,721800,88.32
2011-08-15,91.31,92.90,90.78,92.18,590800,90.46
