Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,86.24,86.84,85.94,86.04,423600,42.70
2011-12-29,85.72,86.49,85.16,86.29,418800,42.83
2011-12-28,87.56,87.56,85.33,85.44,571400,42.40
2011-12-27,87.37,88.00,87.07,87.76,355000,43.48
2011-12-23,87.00,87.95,86.42,87.37,651800,43.29
2011-12-22,86.32,87.20,85.86,86.60,551600,42.91
2011-12-21,86.71,87.01,84.27,85.94,1017000,42.58
2011-12-20,84.94,86.88,84.78,86.58,1146800,42.90
2011-12-19,84.83,85.34,83.03,83.24,648600,41.24
2011-12-16,84.57,85.57,83.84,84.49,1308800,41.86
2011-12-15,82.73,83.63,82.27,83.36,1203000,41.30
2011-12-14,81.83,82.43,80.99,81.54,1294800,40.40
2011-12-13,84.36,85.72,81.79,82.18,1003000,40.72
2011-12-12,83.46,83.66,81.96,83.24,894200,41.24
2011-12-09,83.16,85.08,82.41,84.77,798800,42.00
2011-12-08,84.66,85.42,82.93,83.19,890000,41.22
2011-12-07,83.49,86.39,82.73,85.74,1327000,42.48
2011-12-06,84.63,85.99,83.78,85.12,977600,42.17
2011-12-05,84.51,85.27,83.48,84.40,1009200,41.82
2011-12-02,83.76,84.77,82.37,82.56,646000,40.90
2011-12-01,83.48,84.89,83.23,83.41,655600,41.33
2011-11-30,83.47,83.94,82.77,83.92,1639400,41.58
2011-11-29,79.50,80.27,79.00,79.81,1383600,39.54
2011-11-28,79.46,80.52,78.60,79.17,899600,39.22
2011-11-25,76.30,78.11,76.11,76.79,404800,38.05
2011-11-23,76.94,78.31,76.28,76.54,1327000,37.92
2011-11-22,78.27,79.16,77.02,77.57,1458600,38.43
2011-11-21,78.07,79.25,77.89,78.76,782000,39.02
2011-11-18,79.56,80.89,78.91,80.22,1150000,39.74
2011-11-17,81.04,81.33,78.34,78.84,894800,39.06
2011-11-16,81.16,82.94,80.76,81.11,1013800,40.19
2011-11-15,82.06,82.76,81.01,82.33,866000,40.79
2011-11-14,83.24,83.46,81.89,82.28,1076200,40.77
2011-11-11,83.47,84.22,82.63,83.44,1145000,41.34
2011-11-10,81.64,82.61,80.33,81.95,1043600,40.60
2011-11-09,81.68,82.11,79.48,80.03,1288200,39.65
2011-11-08,84.35,84.85,82.94,84.43,801200,41.83
2011-11-07,83.10,84.29,82.61,84.10,1032200,41.67
2011-11-04,83.21,83.81,81.52,83.50,1056200,41.37
2011-11-03,82.14,84.13,80.43,83.81,1467800,41.52
2011-11-02,77.70,81.39,77.69,81.06,1581400,40.16
