Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,81.56,81.73,79.26,79.36,909400,79.36
2011-12-29,82.32,82.72,80.55,82.12,839100,82.12
2011-12-28,86.51,87.05,82.46,82.62,765000,82.62
2011-12-27,85.75,88.14,85.46,86.59,518000,86.59
2011-12-23,83.46,86.35,83.03,85.90,611800,85.90
2011-12-22,83.91,84.14,81.46,82.93,931800,82.93
2011-12-21,82.90,83.96,80.54,83.71,1007400,83.71
2011-12-20,81.90,83.41,81.51,82.97,1155200,82.97
2011-12-19,81.25,82.94,80.38,80.51,1048700,80.51
2011-12-16,82.16,84.38,80.15,80.94,2977800,80.94
2011-12-15,82.04,82.87,79.62,81.81,1053800,81.81
2011-12-14,81.64,82.46,79.76,81.53,1205900,81.53
2011-12-13,84.10,85.24,81.35,82.05,1214600,82.05
2011-12-12,85.00,85.29,82.90,84.19,1002500,84.19
2011-12-09,83.42,86.64,82.87,86.36,661800,86.36
2011-12-08,86.53,86.71,82.77,83.10,791200,83.10
2011-12-07,85.88,86.47,84.06,85.88,926800,85.88
2011-12-06,88.84,88.98,85.79,86.67,1020700,86.67
2011-12-05,91.59,92.63,88.60,89.09,1209400,89.09
2011-12-02,89.63,91.18,88.63,89.91,789100,89.91
2011-12-01,89.15,90.56,87.78,88.58,689900,88.58
2011-11-30,90.31,92.21,88.00,89.59,1066800,89.59
2011-11-29,87.40,87.80,85.34,86.38,893400,86.38
2011-11-28,87.59,88.33,85.36,87.26,1043100,87.26
2011-11-25,82.09,83.72,80.99,81.26,436000,81.26
2011-11-23,82.11,82.93,80.89,82.51,1023000,82.51
2011-11-22,83.10,84.40,82.32,83.05,1005800,83.05
2011-11-21,84.98,85.36,81.69,83.10,1198600,83.10
2011-11-18,90.42,91.10,86.56,86.95,1189500,86.95
2011-11-17,91.59,92.84,88.97,89.93,1069500,89.93
2011-11-16,91.53,96.13,90.54,91.83,1500800,91.83
2011-11-15,90.58,92.59,89.74,91.58,763100,91.58
2011-11-14,92.83,92.87,90.12,90.93,901700,90.93
2011-11-11,91.51,93.37,90.62,93.09,969400,93.09
2011-11-10,93.62,93.62,89.00,90.41,1426400,90.41
2011-11-09,91.91,93.30,90.21,92.03,1671700,92.03
2011-11-08,90.41,95.45,88.34,94.81,3888200,94.81
2011-11-07,97.82,99.25,94.45,97.20,1216300,97.20
2011-11-04,98.00,99.45,96.05,97.40,1221900,97.40
2011-11-03,101.01,102.28,93.72,99.33,1988200,99.33
2011-11-02,100.67,102.72,99.49,101.13,973600,101.13
2011-11-01,98.98,101.48,97.40,99.30,1815700,99.30
2011-10-31,105.51,107.27,102.96,103.66,1066500,103.66
2011-10-28,105.00,110.74,104.04,109.99,1352300,109.99
2011-10-27,103.12,110.00,103.02,107.84,1470800,107.84
2011-10-26,97.84,100.68,97.05,99.15,1224400,99.15
2011-10-25,96.41,99.34,92.58,96.86,1334300,96.86
2011-10-24,90.69,98.43,90.28,97.74,1343800,97.74
2011-10-21,89.63,91.76,87.40,90.03,1268400,90.03
2011-10-20,89.59,89.69,85.44,88.13,1591300,88.13
2011-10-19,92.06,94.89,88.72,89.74,1557800,89.74
2011-10-18,91.72,92.42,87.79,90.80,2236900,90.80
2011-10-17,94.46,96.31,92.47,93.03,849500,93.03
2011-10-14,94.42,95.38,92.35,94.78,675800,94.78
2011-10-13,91.28,93.87,89.13,92.26,1189100,92.26
2011-10-12,92.13,95.59,91.35,92.19,1361600,92.19
2011-10-11,86.81,91.76,86.00,90.89,1396100,90.89
2011-10-10,84.34,88.18,83.94,86.77,1164300,86.77
2011-10-07,86.23,86.23,81.44,82.50,1324400,82.50
2011-10-06,83.08,86.15,83.08,85.35,1503100,85.35
2011-10-05,78.23,84.20,77.81,83.19,1351500,83.19
2011-10-04,74.37,81.39,73.01,81.12,1466700,81.12
2011-10-03,80.12,82.19,75.05,75.28,1365200,75.28
2011-09-30,84.76,87.72,80.97,81.06,2003500,81.06
2011-09-29,96.42,96.50,84.70,88.90,3239000,88.90
2011-09-28,97.45,99.72,95.44,95.65,1283000,95.65
2011-09-27,96.34,100.81,94.56,97.28,1761300,97.28
2011-09-26,95.17,95.40,89.05,93.84,1004700,93.84
2011-09-23,90.44,95.02,90.38,94.19,749800,94.19
2011-09-22,94.39,95.22,87.90,90.66,1919300,90.66
2011-09-21,97.11,100.50,95.90,97.69,1274100,97.69
2011-09-20,100.93,102.72,96.67,97.08,1092500,97.08
2011-09-19,100.92,101.33,95.70,100.33,1260300,100.33
2011-09-16,101.98,104.68,99.63,102.50,1756900,102.50
2011-09-15,100.04,102.80,98.71,101.70,1061000,101.70
2011-09-14,98.86,100.47,94.60,98.99,963400,98.99
2011-09-13,93.24,98.92,92.21,98.16,1457600,98.16
2011-09-12,92.18,94.68,89.26,92.96,1411800,92.96
2011-09-09,96.39,97.25,92.25,94.00,1428200,94.00
2011-09-08,95.90,100.24,95.00,97.45,1324600,97.45
2011-09-07,94.19,96.95,92.94,96.65,771000,96.65
2011-09-06,90.71,93.34,87.82,92.38,1252000,92.38
2011-09-02,93.43,96.49,91.00,93.76,1075400,93.76
2011-09-01,96.54,99.05,94.89,95.49,1276800,95.49
2011-08-31,102.19,104.25,95.33,96.61,4922900,96.61
2011-08-30,100.50,104.71,99.17,101.18,2174300,101.18
2011-08-29,97.00,103.32,96.72,102.37,1827100,102.37
2011-08-26,91.00,95.77,87.65,95.31,1568500,95.31
2011-08-25,92.86,94.70,91.42,91.91,2140100,91.91
2011-08-24,86.18,92.88,86.09,92.72,3177900,92.72
2011-08-23,74.62,87.11,74.03,86.52,3019700,86.52
2011-08-22,74.44,75.54,72.97,74.28,1337000,74.28
2011-08-19,73.32,76.92,72.26,72.93,2305700,72.93
2011-08-18,78.07,80.42,73.26,74.24,2294400,74.24
2011-08-17,89.16,90.12,82.40,84.07,2299300,84.07
2011-08-16,93.69,93.85,85.92,88.11,1832600,88.11
2011-08-15,94.34,95.24,90.78,94.52,1231800,94.52
2011-08-12,91.00,94.00,89.18,93.36,1139400,93.36
2011-08-11,85.29,91.10,83.50,89.73,1703500,89.73
2011-08-10,81.49,90.51,78.02,85.29,2565000,85.29
2011-08-09,78.29,82.53,69.57,82.15,7693400,82.15
2011-08-08,101.89,106.00,93.10,93.89,2720100,93.89
2011-08-05,112.75,114.00,106.01,110.56,1416700,110.56
2011-08-04,121.70,122.25,113.54,113.87,1292900,113.87
2011-08-03,121.81,123.92,114.72,123.57,1166300,123.57
2011-08-02,125.49,127.82,122.09,122.21,714500,122.21
2011-08-01,129.54,129.90,123.87,126.74,643400,126.74
2011-07-29,125.41,127.20,121.75,125.67,1135000,125.67
2011-07-28,125.44,129.80,124.90,126.73,572000,126.73
2011-07-27,130.10,130.11,123.77,125.02,957600,125.02
2011-07-26,132.29,134.00,130.12,130.43,559200,130.43
2011-07-25,131.90,134.50,131.20,132.61,386900,132.61
2011-07-22,133.68,133.89,132.03,133.01,434900,133.01
2011-07-21,134.00,134.62,131.81,133.03,602200,133.03
2011-07-20,134.98,134.98,130.92,133.03,680900,133.03
2011-07-19,130.09,134.77,130.03,134.29,1034800,134.29
2011-07-18,128.93,130.50,127.75,128.92,626100,128.92
2011-07-15,128.91,129.58,127.00,128.90,509900,128.90
2011-07-14,129.21,130.46,126.88,128.03,1125500,128.03
2011-07-13,126.62,129.82,126.62,128.58,1123800,128.58
2011-07-12,124.61,126.20,124.08,125.57,883400,125.57
2011-07-11,125.74,128.42,123.00,125.00,1111000,125.00
2011-07-08,122.00,124.97,121.29,124.65,1037600,124.65
2011-07-07,125.11,126.36,122.64,123.16,705900,123.16
2011-07-06,121.90,124.13,121.00,124.01,610900,124.01
2011-07-05,122.58,123.47,121.28,122.63,825700,122.63
2011-07-01,117.51,122.00,117.51,121.96,581700,121.96
2011-06-30,117.13,119.46,116.61,117.72,929400,117.72
2011-06-29,118.22,118.56,115.78,116.82,1056900,116.82
2011-06-28,114.84,117.80,114.50,117.73,665800,117.73
2011-06-27,113.55,115.30,112.74,114.04,492500,114.04
2011-06-24,115.20,115.50,112.90,113.41,462600,113.41
2011-06-23,111.39,115.00,109.73,114.77,851300,114.77
2011-06-22,113.69,114.80,112.17,112.43,461100,112.43
2011-06-21,111.20,114.45,111.05,113.80,826600,113.80
2011-06-20,106.54,110.98,106.31,110.71,633300,110.71
2011-06-17,108.43,109.29,106.54,106.68,826700,106.68
2011-06-16,106.40,108.38,105.32,107.53,867700,107.53
2011-06-15,106.89,107.60,105.78,106.40,607200,106.40
2011-06-14,108.55,110.61,107.22,107.72,618000,107.72
2011-06-13,106.00,108.81,105.10,106.90,821800,106.90
2011-06-10,106.11,108.35,104.95,105.48,1173300,105.48
2011-06-09,100.06,106.75,100.06,105.76,1044000,105.76
2011-06-08,101.78,103.91,99.02,102.41,1164700,102.41
2011-06-07,100.24,101.99,99.82,101.79,578800,101.79
2011-06-06,100.36,100.90,99.62,100.07,436100,100.07
2011-06-03,101.01,102.97,99.50,100.50,394200,100.50
2011-06-02,102.16,103.14,100.77,102.26,337800,102.26
2011-06-01,105.93,106.20,101.90,102.06,474400,102.06
2011-05-31,106.00,106.18,104.14,105.84,476300,105.84
2011-05-27,104.96,106.00,104.55,105.28,299600,105.28
2011-05-26,101.59,105.33,101.39,105.15,663200,105.15
2011-05-25,101.13,102.43,100.03,102.26,357700,102.26
2011-05-24,100.87,102.47,100.72,101.53,516600,101.53
2011-05-23,101.34,103.05,99.41,100.58,426100,100.58
2011-05-20,104.84,104.86,101.80,102.94,472100,102.94
2011-05-19,102.98,105.34,102.25,104.98,713500,104.98
2011-05-18,102.60,103.57,101.45,102.13,754000,102.13
2011-05-17,103.10,103.34,100.26,102.22,962200,102.22
2011-05-16,104.76,105.48,103.31,103.62,639200,103.62
2011-05-13,106.62,107.08,104.85,105.34,690700,105.34
2011-05-12,106.49,107.54,105.10,106.76,917000,106.76
2011-05-11,107.32,107.38,105.37,106.84,1200000,106.84
2011-05-10,100.64,107.27,100.03,105.97,3992200,105.97
2011-05-09,93.67,95.20,93.20,94.00,973300,94.00
2011-05-06,94.12,95.23,92.67,93.12,599800,93.12
2011-05-05,90.78,93.63,90.57,93.11,625700,93.11
2011-05-04,90.67,92.42,90.04,91.70,432600,91.70
2011-05-03,91.46,92.50,89.55,91.01,551900,91.01
2011-05-02,95.97,95.99,91.16,91.54,979200,91.54
2011-04-29,95.78,96.25,93.77,95.78,600000,95.78
2011-04-28,95.29,96.21,94.66,95.87,407900,95.87
2011-04-27,96.09,96.37,93.11,95.52,775100,95.52
2011-04-26,96.68,96.83,95.27,95.89,509300,95.89
2011-04-25,96.96,96.99,95.09,96.63,373200,96.63
2011-04-21,96.50,96.99,95.58,96.71,607900,96.71
2011-04-20,94.08,96.76,93.43,95.95,730800,95.95
2011-04-19,92.17,93.38,91.72,92.40,579400,92.40
2011-04-18,93.17,93.25,89.78,91.84,760900,91.84
2011-04-15,93.76,94.53,92.04,94.48,548300,94.48
2011-04-14,93.86,95.10,92.34,93.64,887400,93.64
