Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,32.96,33.84,32.74,33.76,2015000,33.76
2011-12-29,32.35,33.03,31.45,32.86,2681500,32.86
2011-12-28,33.05,33.50,31.75,32.12,1867100,32.12
2011-12-27,34.69,34.69,32.71,32.94,2939700,32.94
2011-12-23,34.80,35.96,33.80,34.70,5579500,34.70
2011-12-22,32.21,34.59,32.19,34.15,5260700,34.15
2011-12-21,32.72,33.05,31.44,31.80,3278300,31.80
2011-12-20,31.15,33.29,31.15,32.88,5021400,32.88
2011-12-19,31.64,33.35,29.87,30.50,6825100,30.50
2011-12-16,31.80,32.19,29.90,31.91,8075600,31.91
2011-12-15,33.66,33.66,30.04,31.45,12635400,31.45
2011-12-14,37.30,37.30,33.08,33.45,17279000,33.45
2011-12-13,44.85,45.25,42.07,42.57,3470500,42.57
2011-12-12,45.00,45.39,43.83,44.36,2054400,44.36
2011-12-09,45.61,46.50,44.71,45.67,2005400,45.67
2011-12-08,48.16,48.16,45.11,45.17,3072600,45.17
2011-12-07,49.03,51.89,47.56,47.99,7162400,47.99
2011-12-06,47.77,47.95,45.93,46.11,1605100,46.11
2011-12-05,48.51,49.17,47.12,47.75,1858600,47.75
2011-12-02,48.20,49.47,47.33,47.77,2359100,47.77
2011-12-01,47.63,48.38,46.71,47.55,2320400,47.55
2011-11-30,45.87,47.92,45.75,47.86,3872100,47.86
2011-11-29,44.05,45.33,43.62,43.81,2168300,43.81
2011-11-28,41.95,44.56,41.90,44.56,3004600,44.56
2011-11-25,41.31,41.63,40.29,40.32,1338600,40.32
2011-11-23,40.75,42.99,40.05,41.58,3796700,41.58
2011-11-22,43.37,43.90,40.64,40.80,3248900,40.80
2011-11-21,44.05,44.50,42.81,43.53,2889100,43.53
2011-11-18,45.75,46.44,44.71,45.44,2232700,45.44
2011-11-17,44.00,47.30,43.53,45.61,5433400,45.61
2011-11-16,44.58,45.87,43.80,44.06,3673800,44.06
2011-11-15,44.05,45.27,43.80,45.01,3226200,45.01
2011-11-14,45.31,46.28,44.01,44.65,1941300,44.65
2011-11-11,44.62,46.63,44.20,46.09,1992700,46.09
2011-11-10,45.98,46.00,43.46,45.13,4102500,45.13
2011-11-09,46.10,46.87,44.65,44.98,2796300,44.98
2011-11-08,48.88,48.89,46.82,47.55,2446000,47.55
2011-11-07,49.50,49.60,46.64,47.74,3094700,47.74
2011-11-04,48.68,52.70,48.18,49.59,4983600,49.59
2011-11-03,48.45,48.99,45.54,48.18,3407800,48.18
2011-11-02,47.66,50.10,46.75,47.23,3744600,47.23
2011-11-01,47.50,48.07,46.12,46.78,3459700,46.78
2011-10-31,52.20,52.20,49.12,49.77,4359200,49.77
2011-10-28,52.73,54.81,51.55,53.99,3853400,53.99
2011-10-27,48.23,55.28,46.84,52.90,8256500,52.90
2011-10-26,47.54,52.44,44.76,46.11,13289700,46.11
2011-10-25,58.11,58.61,42.50,43.27,23572600,43.27
2011-10-24,54.31,60.99,53.71,57.95,4527000,57.95
2011-10-21,52.94,55.12,52.14,53.77,3230300,53.77
