Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,52.28,52.50,51.97,52.23,1172900,52.23
2011-12-29,51.63,52.39,51.58,52.15,1253100,52.15
2011-12-28,52.61,52.68,51.12,51.47,1671300,51.47
2011-12-27,51.72,52.74,51.54,52.48,1212600,52.48
2011-12-23,52.51,52.67,51.36,51.88,1510900,51.88
2011-12-22,51.86,52.87,51.58,52.43,1757300,52.43
2011-12-21,51.10,51.77,50.21,51.65,2014200,51.65
2011-12-20,50.32,51.37,50.25,50.98,4972100,50.98
2011-12-19,49.68,50.07,49.13,49.19,2959200,49.19
2011-12-16,48.11,49.50,48.08,49.41,2628100,49.41
2011-12-15,48.59,48.63,47.47,47.66,1870400,47.66
2011-12-14,48.73,48.91,47.41,47.72,2502500,47.72
2011-12-13,50.05,51.05,48.90,49.23,2301300,49.23
2011-12-12,51.00,51.00,49.56,49.76,2845900,49.76
2011-12-09,50.47,52.05,50.43,51.86,2717200,51.86
2011-12-08,51.50,51.79,50.11,50.28,5983400,50.28
2011-12-07,53.22,53.35,51.43,51.89,3018100,51.89
2011-12-06,54.00,54.27,53.21,53.52,1820700,53.52
2011-12-05,54.00,54.88,53.10,53.77,2811600,53.77
2011-12-02,53.45,54.30,53.09,53.18,2563800,53.18
2011-12-01,52.25,53.34,51.97,52.71,2266800,52.71
2011-11-30,50.67,52.70,50.64,52.36,4024300,52.36
2011-11-29,49.00,50.16,48.54,49.48,2136900,49.48
2011-11-28,48.22,48.85,47.90,48.60,2657800,48.60
2011-11-25,45.41,47.05,45.41,46.37,926400,46.37
2011-11-23,46.39,46.58,45.66,45.66,3088300,45.66
2011-11-22,48.16,48.61,47.11,47.30,2632000,47.30
2011-11-21,47.80,48.31,47.32,48.03,3083700,48.03
2011-11-18,48.76,49.04,47.64,48.84,2964700,48.84
2011-11-17,49.30,49.52,47.93,48.35,5255900,48.35
2011-11-16,48.24,50.20,48.09,49.54,4397100,49.54
2011-11-15,47.08,49.12,46.98,48.75,2914400,48.75
2011-11-14,47.19,47.61,46.55,47.34,1231600,47.34
2011-11-11,47.05,47.85,47.05,47.74,1163100,47.74
2011-11-10,46.57,46.78,45.43,46.37,1901500,46.37
2011-11-09,46.48,46.99,45.33,45.46,2528100,45.46
2011-11-08,47.28,47.92,46.66,47.73,1420500,47.73
2011-11-07,46.96,47.51,45.83,46.80,1624100,46.80
2011-11-04,47.22,47.50,46.10,46.72,2018000,46.72
2011-11-03,46.26,47.59,45.61,47.47,2293400,47.47
2011-11-02,45.15,45.71,44.41,45.64,2644500,45.64
2011-11-01,43.27,44.74,42.49,43.96,3200500,43.96
2011-10-31,45.60,46.53,44.81,44.82,2730800,44.82
2011-10-28,45.75,47.19,45.75,47.12,3516800,47.12
2011-10-27,46.00,47.32,45.42,47.17,4709000,47.17
2011-10-26,43.98,44.62,42.90,44.41,6403600,44.41
2011-10-25,46.13,46.23,44.44,44.97,4621200,44.97
2011-10-24,44.53,45.84,44.52,45.80,3412300,45.80
2011-10-21,43.28,44.17,42.81,44.13,4163700,44.13
