Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,5.08,5.43,5.02,5.15,25338300,4.69
2011-12-29,4.81,5.02,4.81,5.01,21983000,4.56
2011-12-28,4.96,4.98,4.80,4.81,12245000,4.38
2011-12-27,5.10,5.10,4.96,4.99,9388300,4.54
2011-12-23,5.09,5.20,5.03,5.12,8058300,4.66
2011-12-22,5.09,5.20,5.07,5.10,9333600,4.64
2011-12-21,4.97,5.13,4.93,5.11,11082200,4.65
2011-12-20,4.87,5.00,4.81,4.97,16417900,4.52
2011-12-19,5.00,5.00,4.79,4.83,13091600,4.39
2011-12-16,4.86,5.03,4.79,4.92,30526300,4.48
2011-12-15,4.90,4.91,4.82,4.86,18394200,4.42
2011-12-14,4.98,5.01,4.84,4.87,21018800,4.43
2011-12-13,5.15,5.18,4.97,4.99,11141500,4.54
2011-12-12,5.11,5.16,5.06,5.13,11194300,4.67
2011-12-09,5.23,5.25,5.08,5.16,13745900,4.69
2011-12-08,5.35,5.37,5.16,5.17,15441800,4.70
2011-12-07,5.50,5.53,5.26,5.38,19117100,4.90
2011-12-06,5.79,5.84,5.69,5.78,13339500,5.09
2011-12-05,5.61,5.85,5.60,5.77,15710300,5.08
2011-12-02,5.67,5.69,5.55,5.55,11596300,4.89
2011-12-01,5.69,5.75,5.61,5.64,13730200,4.96
2011-11-30,5.61,5.72,5.58,5.72,11818200,5.04
2011-11-29,5.52,5.55,5.41,5.47,12124800,4.82
2011-11-28,5.56,5.59,5.43,5.49,10406500,4.83
2011-11-25,5.34,5.47,5.34,5.39,4200400,4.74
2011-11-23,5.43,5.48,5.34,5.35,12348900,4.71
2011-11-22,5.28,5.52,5.22,5.49,22075800,4.83
2011-11-21,5.27,5.32,5.22,5.29,37586300,4.66
2011-11-18,5.36,5.40,5.22,5.30,47961000,4.67
2011-11-17,5.35,5.41,5.27,5.32,31735900,4.68
2011-11-16,5.44,5.47,5.32,5.33,12175400,4.69
2011-11-15,5.54,5.56,5.39,5.47,13200700,4.82
2011-11-14,5.68,5.70,5.56,5.56,10184200,4.89
2011-11-11,5.66,5.71,5.62,5.69,10373000,5.01
2011-11-10,5.73,5.75,5.59,5.62,13066300,4.95
2011-11-09,5.72,5.79,5.65,5.69,16441000,5.01
2011-11-08,5.84,5.86,5.71,5.79,10561700,5.10
2011-11-07,5.66,5.84,5.61,5.84,12534900,5.14
2011-11-04,5.71,5.74,5.50,5.66,18762100,4.98
2011-11-03,6.15,6.20,5.68,5.73,28164000,5.04
2011-11-02,6.12,6.20,6.07,6.20,8213300,5.46
2011-11-01,6.10,6.16,6.02,6.04,10236300,5.32
2011-10-31,6.23,6.40,6.21,6.26,9365300,5.51
2011-10-28,6.18,6.30,6.10,6.28,7564600,5.53
