Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,10.64,10.79,10.60,10.76,26815800,10.56
2011-12-29,10.56,10.75,10.50,10.68,34317000,10.48
2011-12-28,10.82,10.84,10.43,10.52,33445100,10.33
2011-12-27,10.87,10.98,10.76,10.81,25444800,10.61
2011-12-23,10.99,11.00,10.79,10.95,26953000,10.75
2011-12-22,10.78,10.98,10.66,10.94,43983100,10.74
2011-12-21,10.38,10.74,10.33,10.66,56203100,10.46
2011-12-20,10.21,10.38,10.18,10.33,45235100,10.14
2011-12-19,10.25,10.39,9.99,10.02,45068200,9.84
2011-12-16,10.32,10.40,10.16,10.25,45962300,10.06
2011-12-15,10.31,10.42,10.19,10.25,46636200,10.06
2011-12-14,10.33,10.41,10.10,10.15,53224300,9.96
2011-12-13,10.92,11.04,10.36,10.48,67905600,10.29
2011-12-12,10.87,10.89,10.68,10.85,40777500,10.65
2011-12-09,10.94,11.11,10.87,11.03,48326600,10.83
2011-12-08,10.96,11.11,9.84,10.75,82552300,10.55
2011-12-07,11.00,11.15,10.88,11.08,45168800,10.88
2011-12-06,11.10,11.19,11.00,11.05,39786100,10.85
2011-12-05,11.16,11.42,11.02,11.11,65924700,10.91
2011-12-02,10.79,11.10,10.75,10.90,67252600,10.70
2011-12-01,10.51,10.81,10.41,10.59,61397000,10.40
2011-11-30,10.33,10.60,10.17,10.60,66922300,10.41
2011-11-29,10.03,10.13,9.92,9.99,40443800,9.81
2011-11-28,10.15,10.19,9.90,10.00,57953300,9.82
2011-11-25,9.81,9.95,9.75,9.75,20118500,9.57
2011-11-23,9.97,10.04,9.83,9.83,44958400,9.65
2011-11-22,10.02,10.15,9.90,10.09,43750700,9.91
2011-11-21,9.99,10.12,9.80,10.05,60890100,9.87
2011-11-18,10.28,10.30,10.07,10.10,44422000,9.91
2011-11-17,10.54,10.56,10.07,10.17,69670700,9.98
2011-11-16,10.80,10.82,10.50,10.56,49001300,10.37
2011-11-15,10.93,11.00,10.82,10.87,43972900,10.67
2011-11-14,11.12,11.17,10.98,11.02,30530100,10.82
