Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,42.78,43.00,42.25,42.26,525100,40.42
2011-12-29,42.29,42.94,42.09,42.70,547800,40.84
2011-12-28,42.30,42.46,42.12,42.17,377200,40.34
2011-12-27,41.78,42.32,41.66,42.31,452800,40.47
2011-12-23,41.87,41.99,41.77,41.94,445200,40.12
2011-12-22,41.87,41.96,41.56,41.82,667900,40.00
2011-12-21,41.80,41.93,41.53,41.89,945900,40.07
2011-12-20,41.12,41.79,40.70,41.79,885800,39.97
2011-12-19,40.99,41.11,40.35,40.40,907300,38.64
2011-12-16,40.93,41.50,40.93,41.01,1823000,39.23
2011-12-15,40.59,41.06,40.49,40.93,900100,39.15
2011-12-14,39.86,40.44,39.86,40.17,1300600,38.42
2011-12-13,39.90,40.55,39.63,40.10,2948400,38.36
2011-12-12,39.38,39.76,38.40,39.76,22904600,38.03
2011-12-09,40.02,41.02,39.26,39.48,5760200,37.67
2011-12-08,40.40,40.59,39.51,39.64,549800,37.82
2011-12-07,40.64,41.13,40.27,40.71,426500,38.84
2011-12-06,40.78,41.18,40.54,40.93,268800,39.05
2011-12-05,40.90,41.26,40.44,40.68,439500,38.81
2011-12-02,41.35,41.35,40.36,40.42,337500,38.56
2011-12-01,41.23,41.52,40.83,40.89,271900,39.01
2011-11-30,40.89,41.27,40.78,41.23,491800,39.34
2011-11-29,39.12,39.90,39.10,39.71,413500,37.89
2011-11-28,39.85,39.88,38.77,38.93,609800,37.14
2011-11-25,38.95,39.33,38.77,38.84,193000,37.06
2011-11-23,39.25,39.30,38.71,38.92,491800,37.13
2011-11-22,40.10,40.17,39.30,39.51,356800,37.70
2011-11-21,40.65,40.70,39.40,40.05,483300,38.21
2011-11-18,41.09,41.35,40.87,41.01,317200,39.13
2011-11-17,41.08,41.35,40.55,40.91,506900,39.03
2011-11-16,40.82,41.61,40.63,41.08,400900,39.19
2011-11-15,41.16,41.84,41.03,41.77,372100,39.42
2011-11-14,41.63,41.70,41.07,41.38,353800,39.06
2011-11-11,41.27,41.84,41.27,41.81,321700,39.46
2011-11-10,40.98,41.11,40.52,40.98,478800,38.68
2011-11-09,41.29,41.48,40.30,40.48,578400,38.21
2011-11-08,41.79,42.07,40.68,42.01,570600,39.65
2011-11-07,41.67,41.96,40.82,41.79,454500,39.44
2011-11-04,41.09,41.53,40.58,41.36,418500,39.04
2011-11-03,40.36,41.50,40.30,41.39,542100,39.06
