Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,67.01,67.29,66.40,66.41,1008300,64.01
2011-12-29,66.22,67.02,66.01,66.92,1091300,64.50
2011-12-28,66.58,66.88,65.70,65.95,1137100,63.56
2011-12-27,66.39,66.79,66.00,66.56,651500,64.15
2011-12-23,66.22,66.57,65.57,66.36,883000,63.96
2011-12-22,64.98,66.36,64.71,66.14,1186500,63.75
2011-12-21,64.80,64.98,64.06,64.78,1509100,62.44
2011-12-20,63.43,65.13,63.42,64.84,1481700,62.49
2011-12-19,63.05,63.89,62.31,62.46,1140700,60.20
2011-12-16,63.38,64.39,62.60,63.20,2748400,60.91
2011-12-15,63.92,64.11,63.15,63.30,1576200,61.01
2011-12-14,63.39,63.76,63.11,63.21,1197400,60.92
2011-12-13,64.51,64.95,63.19,63.50,1404400,61.20
2011-12-12,64.59,64.97,63.55,64.01,1154800,61.69
2011-12-09,64.63,65.28,64.52,65.07,1775400,62.72
2011-12-08,65.41,65.77,63.98,64.15,1694400,61.83
2011-12-07,65.20,66.04,64.70,65.66,1344600,63.28
2011-12-06,65.71,66.34,65.53,65.86,1403500,63.48
2011-12-05,66.83,66.88,65.33,65.65,2105500,63.27
2011-12-02,66.87,67.36,65.63,65.72,2176900,63.34
2011-12-01,66.07,66.95,65.98,66.50,1428200,64.09
2011-11-30,65.85,66.38,65.52,66.06,3294800,63.67
2011-11-29,64.35,64.55,63.75,63.89,1935700,61.58
2011-11-28,63.90,64.35,63.24,64.06,2506900,61.74
2011-11-25,60.77,62.15,60.75,61.13,913100,58.92
2011-11-23,62.72,62.75,60.60,60.64,2923200,58.45
2011-11-22,63.13,63.82,62.15,63.62,3633300,61.32
2011-11-21,62.84,63.31,61.28,63.07,2679200,60.79
2011-11-18,64.13,64.13,63.01,63.84,2046600,61.53
2011-11-17,64.83,64.83,62.89,63.42,1714700,61.13
2011-11-16,65.36,65.59,64.76,65.02,2504000,62.67
2011-11-15,65.30,66.35,64.84,65.99,1408500,63.60
2011-11-14,65.50,66.38,65.12,65.31,1676700,62.95
2011-11-11,64.30,65.88,64.30,65.72,1874700,63.34
2011-11-10,63.90,63.97,62.94,63.38,1822500,61.09
2011-11-09,63.65,63.89,62.72,62.96,1932300,60.68
2011-11-08,64.69,65.17,63.84,65.13,1712500,62.77
2011-11-07,63.25,64.28,62.85,64.20,1341600,61.88
2011-11-04,63.15,63.53,62.47,63.45,1291900,61.15
2011-11-03,62.47,63.97,62.47,63.63,2589200,61.33
2011-11-02,62.44,62.62,61.77,61.95,2760300,59.71
2011-11-01,62.79,63.20,60.79,61.43,2959900,59.21
2011-10-31,64.97,65.53,64.19,64.19,2022500,61.87
2011-10-28,65.53,66.25,65.03,65.47,2010100,63.10
2011-10-27,65.56,66.17,64.32,65.61,2695100,63.24
2011-10-26,66.42,66.42,63.56,63.89,4161900,61.58
2011-10-25,65.24,66.08,64.60,65.26,2382600,62.90
2011-10-24,65.28,65.91,64.95,65.63,1865700,63.26
2011-10-21,63.60,65.33,63.58,65.32,3229700,62.96
2011-10-20,62.63,63.46,61.81,63.15,1996900,60.87
2011-10-19,62.70,63.25,62.35,62.47,1809300,60.21
2011-10-18,61.02,63.28,60.35,62.64,1969300,60.37
2011-10-17,61.86,62.31,60.79,60.93,1736000,58.73
2011-10-14,62.58,62.74,61.59,62.04,1630900,59.80
2011-10-13,61.90,62.05,60.91,61.81,1325500,59.57
2011-10-12,62.04,63.22,61.74,62.52,1771900,60.26
2011-10-11,61.19,61.79,61.14,61.48,1769800,59.26
2011-10-10,60.56,61.68,60.56,61.68,1585400,59.45
2011-10-07,59.44,60.29,58.96,59.55,2423800,57.40
2011-10-06,57.85,58.97,57.57,58.95,1507100,56.82
2011-10-05,56.78,57.84,56.40,57.71,2513500,55.62
2011-10-04,55.02,57.20,54.72,57.11,3300000,54.59
2011-10-03,56.85,57.72,55.60,55.67,2220900,53.21
2011-09-30,57.45,58.36,56.88,56.89,2432100,54.38
2011-09-29,58.38,59.24,57.09,58.18,1766700,55.61
2011-09-28,58.37,58.95,57.35,57.44,2081200,54.91
2011-09-27,57.59,59.16,57.59,58.29,2511700,55.72
2011-09-26,56.49,57.45,56.05,56.85,2866500,54.34
2011-09-23,53.97,56.69,53.95,55.92,2845400,53.45
2011-09-22,56.08,56.20,55.27,55.87,3434000,53.41
2011-09-21,59.80,59.92,57.22,57.27,2595100,54.74
2011-09-20,60.43,60.65,59.50,59.55,2007000,56.92
2011-09-19,59.67,60.40,59.30,60.17,2474900,57.52
2011-09-16,61.75,61.75,60.20,60.60,4340900,57.93
2011-09-15,60.23,61.44,60.21,61.22,2426700,58.52
2011-09-14,59.33,60.66,57.94,59.86,3188500,57.22
2011-09-13,58.97,60.01,58.45,58.99,2523000,56.39
2011-09-12,58.59,58.95,57.77,58.90,2698400,56.30
