Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,18.03,18.08,17.88,17.91,31407800,17.31
2011-12-29,17.81,18.12,17.79,18.07,43267000,17.47
2011-12-28,18.00,18.02,17.72,17.83,39272600,17.23
2011-12-27,18.18,18.20,18.01,18.01,42257500,17.41
2011-12-23,18.02,18.28,17.95,18.23,47090200,17.62
2011-12-22,17.70,18.14,17.65,18.05,95632600,17.45
2011-12-21,17.32,17.77,17.15,17.69,80282600,16.93
2011-12-20,17.05,17.39,17.04,17.28,61471300,16.54
2011-12-19,16.97,17.10,16.79,16.86,66302900,16.14
2011-12-16,16.94,17.09,16.91,17.01,96488000,16.28
2011-12-15,16.82,16.87,16.59,16.79,61429400,16.07
2011-12-14,16.34,16.77,16.30,16.61,89088200,15.90
2011-12-13,16.56,16.72,16.30,16.42,73866400,15.72
2011-12-12,16.71,16.86,16.32,16.46,179405500,15.76
2011-12-09,16.38,16.98,16.36,16.84,85738000,16.12
2011-12-08,16.58,16.65,16.25,16.31,79725100,15.61
2011-12-07,16.68,16.83,16.53,16.74,65315800,16.03
2011-12-06,16.50,16.92,16.47,16.72,83017300,16.01
2011-12-05,16.35,16.50,16.18,16.33,61585000,15.63
2011-12-02,16.04,16.30,16.04,16.09,68436300,15.40
2011-12-01,15.89,16.00,15.73,15.91,58202800,15.23
2011-11-30,15.31,15.91,15.26,15.91,98619800,15.23
2011-11-29,14.91,15.15,14.82,14.92,80462600,14.28
2011-11-28,15.23,15.25,14.68,14.80,77629600,14.17
2011-11-25,14.76,15.02,14.70,14.70,23163700,14.07
2011-11-23,14.91,14.95,14.72,14.73,66930300,14.10
2011-11-22,15.29,15.29,14.98,14.99,74944700,14.35
2011-11-21,15.48,15.49,15.20,15.24,67270300,14.59
2011-11-18,15.77,15.85,15.62,15.65,46838700,14.98
2011-11-17,15.98,16.05,15.50,15.64,67472900,14.97
2011-11-16,16.07,16.25,15.92,15.95,52940400,15.27
