Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,40.33,41.06,40.25,40.93,4919900,40.93
2011-12-29,39.85,40.57,39.74,40.56,6144800,40.56
2011-12-28,39.90,40.20,39.65,39.89,6383100,39.89
2011-12-27,39.39,39.89,39.04,39.88,3251600,39.88
2011-12-23,38.93,39.33,38.74,39.29,4389300,39.29
2011-12-22,38.83,38.90,38.42,38.70,4781100,38.70
2011-12-21,38.20,38.87,38.08,38.85,5718800,38.85
2011-12-20,38.09,38.34,37.76,38.16,8653600,38.16
2011-12-19,37.15,37.97,36.98,37.47,8126000,37.47
2011-12-16,38.17,38.60,37.04,37.16,23169800,37.16
2011-12-15,39.00,39.12,38.46,38.49,6899400,38.49
2011-12-14,38.63,38.88,38.49,38.76,7375400,38.76
2011-12-13,38.75,39.23,38.52,38.59,7929800,38.59
2011-12-12,38.76,39.15,38.60,39.01,7472100,39.01
2011-12-09,39.02,39.51,38.93,39.01,5692900,39.01
2011-12-08,39.40,39.40,38.68,38.73,7252600,38.73
2011-12-07,39.68,39.79,39.40,39.42,8699300,39.42
2011-12-06,40.04,40.32,39.67,39.80,9297200,39.80
2011-12-05,39.69,40.18,39.00,40.15,16972700,40.15
2011-12-02,39.97,40.01,39.20,39.40,9590300,39.40
2011-12-01,39.67,40.09,39.45,39.67,10459900,39.67
2011-11-30,39.63,40.08,39.43,39.85,13592100,39.85
2011-11-29,39.78,40.01,39.23,39.27,10552900,39.27
2011-11-28,39.38,40.24,39.35,39.80,14341200,39.80
2011-11-25,39.41,40.08,39.27,39.28,7649700,39.28
2011-11-23,38.42,40.05,38.13,39.64,25931700,39.64
2011-11-22,36.58,38.97,36.56,38.76,30726900,38.76
2011-11-21,37.05,37.20,34.45,36.26,43388800,36.26
2011-11-18,39.45,40.14,39.31,39.88,6055500,39.88
2011-11-17,40.01,40.50,39.44,39.61,6494500,39.61
2011-11-16,40.40,40.77,40.10,40.18,5322800,40.18
2011-11-15,40.49,40.93,40.33,40.67,4196100,40.67
2011-11-14,41.12,41.13,40.37,40.46,4316300,40.46
2011-11-11,40.54,41.32,40.54,41.08,5531000,41.08
2011-11-10,40.08,40.27,39.56,40.16,5517600,40.16
2011-11-09,40.44,40.50,39.69,39.87,7577500,39.87
2011-11-08,41.20,41.32,40.73,41.22,4937300,41.22
2011-11-07,40.91,41.14,40.46,41.08,4362800,41.08
2011-11-04,40.59,41.04,40.12,40.72,5059800,40.72
2011-11-03,40.83,41.18,40.56,40.93,7233000,40.93
2011-11-02,41.40,41.50,40.70,41.03,6172800,41.03
2011-11-01,40.99,41.39,40.52,41.05,7315200,41.05
2011-10-31,42.38,42.45,41.66,41.66,6559600,41.66
2011-10-28,42.02,42.98,41.92,42.79,7675100,42.79
2011-10-27,41.96,42.19,41.51,42.11,7299000,42.11
2011-10-26,41.47,41.62,40.39,41.49,6176200,41.49
2011-10-25,41.60,42.08,41.00,41.06,5696800,41.06
2011-10-24,41.40,42.06,41.40,41.99,5214800,41.99
2011-10-21,41.39,41.80,41.13,41.47,7002400,41.47
2011-10-20,40.80,41.25,40.40,41.01,5993000,41.01
2011-10-19,40.85,41.32,40.56,40.80,6286500,40.80
2011-10-18,39.89,40.93,39.72,40.76,6760200,40.76
2011-10-17,40.22,40.62,39.72,39.86,6278100,39.86
2011-10-14,40.84,40.89,40.10,40.43,4794700,40.43
2011-10-13,40.12,40.72,40.06,40.64,4656800,40.64
2011-10-12,40.18,40.66,39.73,40.29,6305500,40.29
2011-10-11,40.60,40.92,39.55,39.70,6197200,39.70
2011-10-10,39.99,40.65,39.85,40.65,5559800,40.65
2011-10-07,39.64,39.69,38.80,39.31,6429900,39.31
2011-10-06,39.02,39.65,38.78,39.65,5744700,39.65
2011-10-05,38.08,39.16,37.74,39.15,7719700,39.15
2011-10-04,37.27,37.97,36.72,37.88,9354800,37.88
2011-10-03,38.80,39.12,37.80,37.81,8089200,37.81
2011-09-30,38.78,39.36,38.57,38.80,7263300,38.80
2011-09-29,39.70,39.97,38.52,39.25,4936700,39.25
2011-09-28,40.05,40.29,39.18,39.18,6026300,39.18
2011-09-27,40.24,40.30,39.52,40.05,9929000,40.05
2011-09-26,38.53,40.10,38.37,39.55,10963700,39.55
2011-09-23,38.06,38.62,37.58,38.43,8122600,38.43
2011-09-22,38.96,38.96,37.92,38.34,12943000,38.34
2011-09-21,40.68,40.89,39.63,39.67,6172200,39.67
2011-09-20,40.30,41.28,40.01,40.84,8212200,40.84
2011-09-19,40.15,40.26,39.66,40.05,6115400,40.05
2011-09-16,40.26,40.72,39.85,40.41,13139700,40.41
2011-09-15,39.80,39.92,39.19,39.82,5507300,39.82
2011-09-14,38.26,39.73,38.21,39.38,8938700,39.38
2011-09-13,38.04,38.32,37.65,38.21,5130600,38.21
2011-09-12,37.29,38.06,37.22,37.98,6797300,37.98
2011-09-09,39.13,39.28,37.58,37.81,8538100,37.81
2011-09-08,39.41,39.91,39.24,39.51,5322100,39.51
2011-09-07,39.16,39.81,38.87,39.80,5854500,39.80
2011-09-06,37.80,38.81,37.80,38.64,7443700,38.64
