Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,62.05,62.05,61.00,61.20,530800,59.28
2011-12-29,61.65,62.04,61.45,61.96,570200,60.01
2011-12-28,62.00,62.14,61.21,61.44,572600,59.51
2011-12-27,61.32,62.21,61.04,61.91,614600,59.96
2011-12-23,60.64,61.65,60.42,61.57,698900,59.63
2011-12-22,60.00,60.59,59.69,60.50,804400,58.60
2011-12-21,59.13,59.98,58.96,59.97,737100,58.08
2011-12-20,58.75,59.28,58.52,59.23,631000,57.37
2011-12-19,58.40,58.97,57.61,57.70,471700,55.89
2011-12-16,57.98,58.39,57.70,58.20,1301700,56.37
2011-12-15,57.58,57.87,57.27,57.56,677400,55.75
2011-12-14,57.76,57.94,57.08,57.18,714400,55.38
2011-12-13,59.09,59.21,57.68,57.99,866400,56.17
2011-12-12,58.44,58.81,57.94,58.75,691600,56.90
2011-12-09,58.65,59.24,58.36,58.82,735600,56.97
2011-12-08,59.04,59.48,58.07,58.25,990400,56.42
2011-12-07,59.66,59.84,58.91,59.35,1100400,57.48
2011-12-06,60.96,60.96,59.92,60.13,859300,57.80
2011-12-05,60.41,60.85,60.10,60.53,1143400,58.19
2011-12-02,59.61,60.36,59.32,59.52,1004100,57.22
2011-12-01,58.16,59.64,58.06,59.05,1122400,56.77
2011-11-30,57.60,58.69,57.34,58.50,1235500,56.24
2011-11-29,55.84,56.06,55.46,55.80,672200,53.64
2011-11-28,55.84,56.09,55.27,55.56,713100,53.41
2011-11-25,54.43,54.84,54.10,54.18,368500,52.08
2011-11-23,55.04,55.29,54.16,54.31,738400,52.21
2011-11-22,55.17,55.86,54.91,55.50,1022300,53.35
2011-11-21,56.00,56.34,54.94,55.10,1452600,52.97
2011-11-18,57.50,57.56,56.30,56.60,907900,54.41
2011-11-17,57.68,57.86,56.62,57.07,582700,54.86
2011-11-16,57.72,58.64,57.46,57.62,684300,55.39
2011-11-15,57.72,58.71,57.54,58.45,518100,56.19
2011-11-14,58.32,58.69,57.98,58.18,621600,55.93
2011-11-11,58.70,58.87,58.33,58.78,616200,56.51
2011-11-10,57.57,58.18,57.39,57.85,838300,55.61
2011-11-09,57.40,57.91,56.58,56.86,822000,54.66
2011-11-08,58.24,58.75,57.62,58.67,1255700,56.40
2011-11-07,58.29,58.53,57.26,58.12,806300,55.87
2011-11-04,58.55,58.72,57.86,58.38,937000,56.12
2011-11-03,57.92,59.00,57.51,58.91,927000,56.63
2011-11-02,56.94,57.56,56.70,57.44,964300,55.22
2011-11-01,56.07,57.02,55.71,55.99,972100,53.82
2011-10-31,57.92,58.57,57.39,57.43,917500,55.21
2011-10-28,58.67,58.93,57.90,58.41,804300,56.15
2011-10-27,58.97,59.40,58.50,58.73,1296600,56.46
2011-10-26,57.62,57.64,56.48,56.90,1371500,54.70
2011-10-25,57.81,58.16,56.72,56.84,1429900,54.64
2011-10-24,57.77,58.78,57.42,58.20,1202600,55.95
2011-10-21,56.22,57.55,56.15,57.52,1378600,55.29
2011-10-20,55.78,56.24,55.04,55.63,1854600,53.48
2011-10-19,56.37,57.24,55.67,55.78,1351200,53.62
2011-10-18,54.40,56.89,53.60,56.32,1561700,54.14
2011-10-17,54.99,55.30,54.12,54.21,923300,52.11
2011-10-14,55.19,55.53,54.44,55.38,835300,53.24
2011-10-13,54.34,54.79,53.71,54.36,784900,52.26
2011-10-12,55.12,55.31,54.67,54.83,1051300,52.71
2011-10-11,53.81,54.75,53.56,54.58,846300,52.47
2011-10-10,52.96,54.29,52.71,54.29,907900,52.19
2011-10-07,52.90,53.12,51.63,52.00,953000,49.99
2011-10-06,51.36,52.51,50.80,52.49,1064700,50.46
2011-10-05,50.59,51.58,49.72,51.43,1168300,49.44
2011-10-04,48.70,50.70,48.53,50.63,2100000,48.67
2011-10-03,50.65,51.49,49.11,49.32,1604200,47.41
2011-09-30,51.62,52.30,50.78,50.80,1392500,48.83
2011-09-29,52.05,52.76,51.52,52.39,1518200,50.36
2011-09-28,51.51,52.12,51.08,51.11,1323600,49.13
2011-09-27,51.88,52.88,51.43,51.72,1395400,49.72
2011-09-26,49.88,50.90,49.29,50.82,1563400,48.85
2011-09-23,48.52,49.72,48.48,49.41,1103400,47.50
2011-09-22,48.85,49.53,48.18,48.70,2071000,46.82
2011-09-21,52.09,52.33,50.15,50.15,1339300,48.21
2011-09-20,52.78,53.08,52.08,52.18,1594700,50.16
2011-09-19,51.71,53.16,51.64,52.83,1443600,50.79
2011-09-16,54.30,54.68,52.06,52.87,3204400,50.82
2011-09-15,53.77,54.49,53.11,54.39,1496500,52.29
2011-09-14,53.70,54.55,52.88,53.95,1105800,51.86
2011-09-13,52.50,53.55,52.12,53.38,1011700,51.31
2011-09-12,51.66,52.48,51.16,52.41,1068700,50.38
2011-09-09,53.00,53.08,51.71,52.11,1351200,50.09
2011-09-08,53.64,54.47,53.37,53.49,1897500,51.42
2011-09-07,53.09,54.07,52.89,53.96,1056100,51.87
2011-09-06,52.01,53.01,51.61,52.79,1226700,50.31
2011-09-02,54.30,54.42,53.23,53.43,1186200,50.92
2011-09-01,55.19,55.77,54.90,55.40,1749200,52.80
2011-08-31,54.93,55.69,54.61,55.02,1079900,52.44
2011-08-30,54.13,54.90,53.74,54.56,1221400,52.00
2011-08-29,53.15,54.55,51.90,54.31,3528100,51.76
2011-08-26,51.03,52.84,50.57,52.79,3241000,50.31
2011-08-25,52.50,52.71,51.46,51.61,2869500,49.19
2011-08-24,51.92,52.73,51.77,52.34,1688900,49.89
2011-08-23,50.26,52.11,50.00,52.11,1499800,49.67
2011-08-22,49.71,50.66,49.36,50.15,1654900,47.80
2011-08-19,48.71,49.97,48.71,48.79,1314300,46.50
2011-08-18,49.55,49.83,48.81,49.35,1971700,47.04
2011-08-17,50.89,51.15,50.45,50.91,1517000,48.52
2011-08-16,50.33,50.88,49.89,50.47,928100,48.10
2011-08-15,50.40,50.83,49.75,50.79,1002500,48.41
2011-08-12,49.79,50.37,49.21,50.12,1053600,47.77
2011-08-11,47.43,49.93,47.24,49.30,1745200,46.99
2011-08-10,48.21,48.68,46.91,47.01,2188400,44.81
2011-08-09,47.41,49.25,46.10,49.22,2438100,46.91
2011-08-08,48.69,49.34,46.73,46.73,2047400,44.54
2011-08-05,49.98,50.21,48.18,49.71,2384300,47.38
2011-08-04,50.43,50.74,49.22,49.36,2448800,47.05
2011-08-03,51.16,51.43,50.43,51.12,2875500,48.72
2011-08-02,52.21,52.55,50.93,50.97,1447500,48.58
2011-08-01,53.68,53.72,52.22,52.55,1582000,50.09
2011-07-29,52.89,53.69,52.61,53.16,1010400,50.67
2011-07-28,53.48,53.69,53.00,53.31,1439100,50.81
2011-07-27,54.38,54.46,53.24,53.33,1183400,50.83
2011-07-26,56.27,56.27,54.33,54.48,1343700,51.93
2011-07-25,55.89,56.42,55.67,56.18,520000,53.55
2011-07-22,56.55,56.68,56.02,56.34,752400,53.70
2011-07-21,56.85,56.87,56.28,56.40,1059500,53.76
2011-07-20,57.24,57.24,56.00,56.45,1056400,53.80
2011-07-19,56.53,57.22,56.45,57.07,1047900,54.39
2011-07-18,56.82,56.90,55.95,56.21,971800,53.57
2011-07-15,57.30,57.62,56.52,57.10,2116500,54.42
2011-07-14,55.34,55.80,54.74,55.12,884500,52.54
2011-07-13,55.66,55.75,54.94,55.08,1007900,52.50
2011-07-12,55.49,55.70,55.18,55.37,1211100,52.77
2011-07-11,56.82,56.93,55.35,55.51,1502000,52.91
2011-07-08,56.67,57.31,56.31,57.25,1064300,54.57
2011-07-07,57.44,57.66,56.94,57.37,1341100,54.68
2011-07-06,55.87,57.06,55.64,57.01,1477900,54.34
2011-07-05,55.54,55.75,55.17,55.58,688100,52.97
2011-07-01,54.52,55.50,54.35,55.46,546400,52.86
2011-06-30,54.04,54.49,53.82,54.40,870200,51.85
2011-06-29,53.97,54.35,53.60,53.85,713200,51.33
2011-06-28,52.71,53.74,52.69,53.69,551600,51.17
2011-06-27,52.06,53.04,52.06,52.84,673300,50.36
2011-06-24,52.56,52.68,52.00,52.20,1041700,49.75
2011-06-23,51.53,52.59,51.43,52.52,663000,50.06
2011-06-22,52.26,52.62,52.12,52.15,589100,49.70
2011-06-21,52.05,52.63,51.84,52.48,1155500,50.02
2011-06-20,51.01,51.90,51.01,51.79,1263000,49.36
2011-06-17,51.15,51.67,51.01,51.24,874200,48.84
2011-06-16,50.55,50.89,50.27,50.76,849700,48.38
2011-06-15,50.51,50.99,50.27,50.50,758300,48.13
2011-06-14,50.62,51.25,50.53,50.98,874700,48.59
2011-06-13,50.04,50.13,49.92,50.04,912600,47.69
2011-06-10,50.51,50.61,49.74,49.82,1157700,47.48
2011-06-09,50.68,50.96,50.44,50.77,720500,48.39
2011-06-08,50.83,50.84,50.33,50.50,1030200,48.13
2011-06-07,51.77,51.83,51.02,51.09,1201900,48.27
2011-06-06,51.50,51.85,51.30,51.52,881700,48.67
2011-06-03,51.60,52.08,51.33,51.67,1010200,48.81
2011-06-02,52.75,52.87,52.00,52.25,1240700,49.36
2011-06-01,54.60,54.73,52.65,52.66,1271800,49.75
2011-05-31,54.19,54.81,54.14,54.80,1094200,51.77
2011-05-27,53.91,54.09,53.69,53.86,438000,50.88
2011-05-26,53.45,53.82,53.12,53.69,930500,50.72
2011-05-25,53.57,53.85,53.14,53.57,1052100,50.61
2011-05-24,54.09,54.09,53.59,53.87,832200,50.89
2011-05-23,53.54,54.07,53.44,53.90,1090800,50.92
2011-05-20,55.31,55.31,54.23,54.42,1055800,51.41
2011-05-19,55.38,55.47,54.46,55.26,1553000,52.21
2011-05-18,55.05,55.49,54.78,55.38,751400,52.32
2011-05-17,55.01,55.50,54.59,54.97,661200,51.93
2011-05-16,55.45,55.46,55.07,55.24,692400,52.19
2011-05-13,55.99,55.99,55.32,55.48,541900,52.41
2011-05-12,55.10,55.94,54.87,55.90,761000,52.81
