Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,18.70,18.74,18.51,18.55,3046800,18.24
2011-12-29,18.92,18.97,18.74,18.82,2345700,18.39
2011-12-28,19.15,19.18,18.86,18.90,2849200,18.47
2011-12-27,18.73,19.10,18.67,19.06,4970400,18.63
2011-12-23,18.65,18.71,18.52,18.61,2667400,18.19
2011-12-22,18.63,18.65,18.39,18.55,2237200,18.13
2011-12-21,18.40,18.55,18.14,18.51,2756900,18.09
2011-12-20,17.97,18.43,17.92,18.39,3289800,17.97
2011-12-19,18.39,18.43,17.71,17.76,3748900,17.36
2011-12-16,18.54,18.72,18.24,18.30,5190600,17.88
2011-12-15,18.49,18.57,18.34,18.36,3463600,17.94
2011-12-14,18.22,18.49,18.08,18.31,4345400,17.89
2011-12-13,18.99,18.99,18.27,18.38,3521400,17.96
2011-12-12,18.65,18.81,18.47,18.79,3363500,18.36
2011-12-09,18.66,18.90,18.54,18.85,2779300,18.42
2011-12-08,19.10,19.10,18.56,18.59,3729600,18.17
2011-12-07,18.90,19.18,18.75,19.05,4285900,18.62
2011-12-06,19.10,19.10,18.69,18.86,4886900,18.43
2011-12-05,18.96,19.25,18.82,19.04,4826800,18.61
2011-12-02,18.92,19.04,18.70,18.70,4653500,18.28
2011-12-01,18.58,18.90,18.47,18.81,4338000,18.38
2011-11-30,18.53,18.76,18.43,18.69,5953200,18.27
2011-11-29,18.01,18.30,17.82,17.97,5997200,17.56
2011-11-28,18.21,18.24,17.83,17.99,6715700,17.58
2011-11-25,17.76,17.95,17.62,17.62,1824200,17.22
2011-11-23,18.00,18.08,17.80,17.80,4092200,17.40
2011-11-22,18.40,18.51,18.06,18.13,5513600,17.72
2011-11-21,18.50,18.69,18.06,18.49,6591800,18.07
2011-11-18,19.40,19.48,18.39,18.76,13065100,18.33
2011-11-17,19.49,19.69,19.00,19.25,6522800,18.81
2011-11-16,19.83,20.11,19.48,19.48,6704100,19.04
2011-11-15,20.01,20.26,19.95,20.15,4921300,19.69
2011-11-14,20.24,20.39,20.05,20.17,4398700,19.71
2011-11-11,19.92,20.41,19.87,20.33,6718700,19.87
2011-11-10,19.60,19.88,19.53,19.68,4857400,19.23
2011-11-09,19.61,20.00,19.41,19.46,6175700,19.02
2011-11-08,19.92,20.07,19.50,19.99,6645900,19.54
2011-11-07,19.41,20.10,19.41,19.90,7963400,19.45
2011-11-04,19.47,19.89,19.37,19.65,5952400,19.20
2011-11-03,19.52,19.81,18.93,19.71,10467600,19.26
2011-11-02,19.38,19.38,18.65,18.95,6389500,18.52
2011-11-01,18.36,18.89,18.21,18.57,6756200,18.15
2011-10-31,19.14,19.20,18.90,18.90,4879700,18.47
2011-10-28,19.44,19.68,19.22,19.33,6112300,18.89
2011-10-27,19.39,19.63,18.89,19.43,6820800,18.99
2011-10-26,18.96,18.96,18.25,18.64,7178100,18.22
