Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,14.17,14.34,14.10,14.17,1687000,14.17
2011-12-29,14.00,14.17,13.93,14.14,1970300,14.14
2011-12-28,14.19,14.22,13.81,13.94,2204500,13.94
2011-12-27,14.30,14.35,14.09,14.16,2047600,14.16
2011-12-23,14.17,14.33,13.95,14.31,2316100,14.31
2011-12-22,13.95,14.15,13.92,14.07,2258600,14.07
2011-12-21,13.71,13.94,13.48,13.84,3263600,13.84
2011-12-20,13.44,13.74,13.42,13.66,4165600,13.66
2011-12-19,13.68,13.71,13.06,13.11,3429600,13.11
2011-12-16,13.68,13.86,13.46,13.58,3734900,13.58
2011-12-15,13.50,13.63,13.28,13.53,3511300,13.53
2011-12-14,13.25,13.42,13.09,13.26,5596900,13.26
2011-12-13,14.44,14.56,13.22,13.42,7291000,13.42
2011-12-12,14.25,14.34,14.04,14.29,3390200,14.29
2011-12-09,14.01,14.69,14.01,14.55,5676300,14.55
2011-12-08,14.18,14.43,13.90,13.93,3653400,13.93
2011-12-07,14.13,14.41,13.92,14.29,3425700,14.29
2011-12-06,14.23,14.44,14.04,14.27,3237900,14.27
2011-12-05,14.50,14.60,14.14,14.25,3600600,14.25
2011-12-02,14.17,14.54,14.08,14.12,5341300,14.12
2011-12-01,13.91,14.13,13.67,13.92,5594400,13.92
2011-11-30,13.52,14.02,13.42,13.99,7734800,13.99
2011-11-29,12.94,13.08,12.76,12.81,3426500,12.81
2011-11-28,12.54,13.00,12.47,12.90,5116000,12.90
2011-11-25,11.99,12.19,11.89,11.93,1593200,11.93
2011-11-23,12.20,12.25,11.97,12.01,3575700,12.01
2011-11-22,12.08,12.48,12.07,12.35,5537000,12.35
2011-11-21,12.20,12.28,11.83,12.14,8202900,12.14
2011-11-18,13.10,13.13,12.68,12.76,5650600,12.76
2011-11-17,13.60,13.64,12.86,12.99,7082400,12.99
2011-11-16,13.72,14.10,13.59,13.60,6573800,13.60
2011-11-15,13.62,14.01,13.52,13.91,8383300,13.91
2011-11-14,13.80,13.99,13.58,13.72,3723200,13.72
2011-11-11,13.76,14.10,13.73,13.93,4246100,13.93
2011-11-10,13.64,13.73,13.25,13.51,5157300,13.51
2011-11-09,13.70,13.94,13.23,13.38,7460800,13.38
2011-11-08,14.30,14.35,13.89,14.28,5820100,14.28
2011-11-07,14.28,14.42,13.77,14.20,4308000,14.20
2011-11-04,14.22,14.42,13.78,14.30,5304500,14.30
2011-11-03,14.16,14.43,13.59,14.38,7327300,14.38
2011-11-02,13.94,14.08,13.57,13.84,5388300,13.84
2011-11-01,13.53,13.87,13.00,13.59,10312300,13.59
2011-10-31,14.77,14.93,14.05,14.36,8900000,14.36
2011-10-28,15.17,15.47,14.62,14.84,13223800,14.84
2011-10-27,14.01,14.40,13.85,14.15,10843800,14.15
2011-10-26,13.49,13.58,13.08,13.46,6471400,13.46
2011-10-25,13.51,13.52,13.04,13.34,6256800,13.34
2011-10-24,13.04,13.99,12.95,13.64,9813100,13.64
2011-10-21,12.30,13.04,12.30,12.97,8055100,12.97
2011-10-20,11.94,12.17,11.67,12.13,3434400,12.13
2011-10-19,12.30,12.40,11.81,11.92,4389400,11.92
2011-10-18,11.87,12.57,11.70,12.37,5815500,12.37
2011-10-17,12.15,12.27,11.77,11.83,4756600,11.83
2011-10-14,12.04,12.30,11.85,12.27,5705900,12.27
2011-10-13,11.72,11.91,11.44,11.82,5266200,11.82
2011-10-12,11.59,12.00,11.59,11.85,8557000,11.85
2011-10-11,10.85,11.48,10.77,11.44,6208700,11.44
2011-10-10,10.67,10.99,10.61,10.93,5374000,10.93
2011-10-07,10.93,11.00,10.25,10.30,7037800,10.30
2011-10-06,10.27,10.76,10.09,10.73,5706300,10.73
2011-10-05,9.87,10.32,9.63,10.25,6184700,10.25
2011-10-04,9.09,9.91,8.53,9.88,8300000,9.88
2011-10-03,10.00,10.22,9.35,9.37,8720200,9.37
2011-09-30,10.23,10.56,10.03,10.09,6906900,10.09
2011-09-29,10.25,10.66,10.18,10.45,8916600,10.45
2011-09-28,10.57,10.69,9.92,9.95,3586500,9.95
2011-09-27,10.61,10.99,10.48,10.54,6857300,10.54
