Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,33.71,34.86,33.70,34.51,9549200,34.13
2011-12-29,33.28,33.97,33.28,33.79,7899000,33.42
2011-12-28,34.31,34.46,33.15,33.25,8919700,32.89
2011-12-27,33.74,34.40,33.70,34.14,7549500,33.77
2011-12-23,33.74,33.83,33.31,33.80,6072600,33.43
2011-12-22,33.90,34.05,33.20,33.54,16201300,33.17
2011-12-21,33.28,33.87,32.62,33.73,15956900,33.36
2011-12-20,31.74,33.47,31.65,33.21,24754300,32.85
2011-12-19,32.02,32.02,30.66,30.80,15791600,30.46
2011-12-16,31.60,32.15,31.12,31.76,18208200,31.41
2011-12-15,31.77,31.99,31.00,31.26,24418400,30.92
2011-12-14,31.26,31.37,30.32,31.00,29702500,30.66
2011-12-13,32.92,33.60,31.45,31.86,19276100,31.51
2011-12-12,33.33,33.33,32.02,32.56,16651100,32.20
2011-12-09,33.49,34.27,33.28,34.08,16391400,33.71
2011-12-08,33.99,34.36,33.00,33.13,27849100,32.77
2011-12-07,35.54,35.54,33.27,33.40,34931100,33.04
2011-12-06,36.57,36.73,34.86,35.57,35182600,35.18
2011-12-05,37.22,37.90,36.69,37.02,15271600,36.62
2011-12-02,37.16,37.39,36.49,36.58,14961600,36.18
2011-12-01,36.51,37.07,36.01,36.41,15813000,36.01
2011-11-30,35.01,36.85,34.99,36.80,23339200,36.40
2011-11-29,32.98,34.10,32.60,33.63,16560300,33.17
2011-11-28,33.23,33.61,32.30,32.77,17709100,32.33
2011-11-25,32.06,32.83,31.80,31.80,6717600,31.37
2011-11-23,33.18,33.29,31.95,32.20,17435500,31.76
2011-11-22,34.73,34.78,33.60,33.70,18828700,33.24
2011-11-21,34.88,35.10,33.94,34.86,14968100,34.39
2011-11-18,37.45,37.45,35.58,35.96,20485200,35.47
2011-11-17,39.03,39.08,36.58,37.04,22417900,36.54
2011-11-16,38.72,40.43,38.58,39.00,21006100,38.47
2011-11-15,38.31,39.31,37.74,38.91,14983800,38.38
2011-11-14,38.45,38.75,38.00,38.53,12627000,38.01
2011-11-11,37.97,38.66,37.60,38.59,14729800,38.07
2011-11-10,37.49,37.83,36.29,37.29,14051700,36.78
2011-11-09,37.51,37.56,36.30,36.43,17607300,35.94
2011-11-08,38.70,38.94,37.66,38.83,17955200,38.30
2011-11-07,37.23,38.10,36.74,38.02,13921400,37.50
2011-11-04,37.52,38.18,36.78,37.16,12655100,36.66
2011-11-03,37.34,38.04,36.35,37.85,18785300,37.34
2011-11-02,36.85,36.97,35.57,36.58,13904600,36.08
2011-11-01,34.72,36.43,33.92,35.25,28787900,34.77
2011-10-31,38.19,38.44,37.32,37.36,17488000,36.85
2011-10-28,38.39,39.43,38.34,39.13,14910400,38.60
2011-10-27,37.73,39.62,37.73,38.95,27042800,38.42
2011-10-26,35.80,36.13,34.47,35.87,16359000,35.38
2011-10-25,35.55,35.87,34.53,35.12,20346900,34.64
2011-10-24,34.20,35.56,33.82,35.32,20482900,34.84
2011-10-21,34.90,35.39,33.01,33.50,33369500,33.05
2011-10-20,34.10,34.61,33.23,34.47,21020500,34.00
2011-10-19,35.26,35.26,33.64,33.88,26035700,33.42
2011-10-18,34.54,35.54,33.16,35.29,34623700,34.81
2011-10-17,36.63,36.83,34.43,34.48,31387400,34.01
2011-10-14,36.32,37.44,35.84,37.43,17633200,36.92
2011-10-13,35.07,35.41,34.23,35.02,15289900,34.54
