Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,54.87,55.17,54.53,54.53,1079500,51.84
2011-12-29,54.18,54.69,54.16,54.64,976600,51.94
2011-12-28,54.54,54.73,54.02,54.04,948300,51.37
2011-12-27,53.98,54.87,53.76,54.55,797500,51.86
2011-12-23,53.79,54.03,53.66,54.03,1057900,51.36
2011-12-22,52.90,53.72,52.78,53.69,1555500,51.04
2011-12-21,52.68,52.85,52.34,52.76,1585700,50.16
2011-12-20,52.10,52.62,51.96,52.60,1767200,50.00
2011-12-19,52.09,52.12,51.38,51.46,1138300,48.92
2011-12-16,51.40,52.04,51.18,52.04,3717500,49.47
2011-12-15,51.14,51.49,50.82,51.18,1796300,48.65
2011-12-14,50.12,51.14,50.08,50.67,1942000,48.17
2011-12-13,50.74,50.98,50.03,50.36,1580400,47.88
2011-12-12,50.27,50.46,49.77,50.41,1645700,47.92
2011-12-09,49.98,50.90,49.92,50.74,2390900,48.24
2011-12-08,50.00,50.02,49.41,49.64,2603500,47.19
2011-12-07,49.77,50.37,49.40,50.25,1314400,47.77
2011-12-06,49.57,50.08,49.33,49.81,2922600,47.35
2011-12-05,50.19,50.28,49.32,49.61,1732300,47.16
2011-12-02,50.09,50.24,49.50,49.53,2552000,47.09
2011-12-01,50.00,50.00,49.31,49.78,1173700,47.32
2011-11-30,49.54,50.23,49.26,50.17,2941100,47.69
2011-11-29,48.93,48.95,48.32,48.48,1280600,46.09
2011-11-28,49.21,49.29,48.17,48.67,2199900,46.27
2011-11-25,47.13,48.34,47.13,47.81,690400,45.45
2011-11-23,47.71,47.85,47.08,47.16,1608600,44.83
2011-11-22,48.23,48.53,47.60,48.16,1616800,45.78
2011-11-21,48.39,48.45,47.81,48.13,2057100,45.76
2011-11-18,49.08,49.27,48.52,49.12,1833000,46.70
2011-11-17,49.70,49.79,48.55,48.80,2041900,46.39
2011-11-16,49.85,50.42,49.51,49.74,1727100,47.29
2011-11-15,49.83,50.41,49.50,50.05,1943600,47.58
2011-11-14,50.93,50.94,49.72,49.93,2133100,47.47
2011-11-11,50.32,51.19,49.91,51.10,2560200,48.58
2011-11-10,50.40,50.57,49.20,49.55,2047300,47.11
2011-11-09,50.11,50.49,49.50,49.70,2839900,47.25
2011-11-08,50.50,51.22,49.96,51.14,2833900,48.62
2011-11-07,50.27,50.48,49.75,50.24,3793500,47.76
2011-11-04,50.33,50.58,50.00,50.00,12290000,47.53
2011-11-03,53.41,53.77,51.90,52.99,1691000,49.70
2011-11-02,52.48,52.99,51.49,52.24,2691400,48.99
2011-11-01,50.85,52.26,50.68,51.42,3184500,48.22
2011-10-31,52.43,53.88,52.35,52.69,2561600,49.41
2011-10-28,52.66,53.62,52.66,53.54,2170700,50.21
2011-10-27,52.29,53.05,51.97,52.79,3339400,49.51
2011-10-26,51.00,51.28,50.48,51.10,2101400,47.92
2011-10-25,50.10,50.86,49.86,50.44,2234300,47.30
2011-10-24,50.00,50.94,49.72,50.86,1575100,47.70
2011-10-21,48.82,49.93,48.79,49.90,1998000,46.80
2011-10-20,48.02,48.42,47.20,48.34,1938600,45.33
2011-10-19,48.34,48.47,47.69,47.92,1680100,44.94
2011-10-18,47.23,48.28,47.02,48.16,2403000,45.17
2011-10-17,47.78,48.07,46.98,47.11,1904800,44.18
2011-10-14,47.75,48.23,47.59,48.13,1709300,45.14
2011-10-13,47.25,47.51,46.50,47.23,1767200,44.29
2011-10-12,47.60,48.24,47.25,47.53,2141900,44.58
2011-10-11,47.75,47.91,46.93,47.30,2502100,44.36
2011-10-10,46.96,48.21,46.64,48.20,2873100,45.20
2011-10-07,47.36,47.46,45.73,46.09,3114400,43.22
2011-10-06,46.44,47.27,45.90,47.20,1974300,44.27
2011-10-05,46.75,46.98,44.80,46.51,3061100,43.62
2011-10-04,44.65,46.59,43.65,46.49,3400000,43.60
2011-10-03,46.62,47.26,45.00,45.03,3512300,42.23
2011-09-30,47.62,48.35,46.80,46.80,2821100,43.89
2011-09-29,48.29,48.69,47.83,48.66,2242000,45.63
