Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,16.30,16.41,16.23,16.25,2858800,15.91
2011-12-29,16.09,16.45,16.04,16.39,2942700,16.05
2011-12-28,16.36,16.36,15.97,16.07,4535200,15.74
2011-12-27,16.71,16.85,16.33,16.35,4843100,16.01
2011-12-23,16.74,16.90,16.45,16.80,3276300,16.45
2011-12-22,16.33,16.68,16.25,16.62,4477500,16.28
2011-12-21,15.90,16.40,15.78,16.26,7362800,15.92
2011-12-20,15.37,16.00,15.32,15.91,8623000,15.58
2011-12-19,15.70,15.87,14.95,14.96,10824800,14.65
2011-12-16,16.10,16.24,15.55,15.66,13341700,15.34
2011-12-15,16.66,16.73,15.96,15.97,7179400,15.64
2011-12-14,16.00,16.56,15.91,16.22,7614400,15.88
2011-12-13,16.63,17.07,15.84,16.12,10726200,15.79
2011-12-12,17.12,17.12,16.36,16.52,9162900,16.18
2011-12-09,17.12,17.59,17.12,17.49,8006400,17.13
2011-12-08,18.51,18.52,17.08,17.20,14289800,16.84
2011-12-07,18.32,18.82,18.04,18.73,6002600,18.34
2011-12-06,18.39,18.70,18.21,18.52,5249400,18.14
2011-12-05,18.40,18.90,18.26,18.50,6034100,18.12
2011-12-02,18.07,18.40,17.90,17.91,6469400,17.54
2011-12-01,17.54,17.96,17.37,17.87,5670800,17.50
2011-11-30,17.12,17.77,17.01,17.76,8787200,17.39
2011-11-29,16.38,16.72,16.15,16.39,6724600,16.05
2011-11-28,16.08,16.49,16.08,16.44,6853300,16.00
2011-11-25,15.55,15.96,15.43,15.46,3225800,15.05
2011-11-23,16.09,16.13,15.50,15.66,7468100,15.24
2011-11-22,16.55,16.75,16.27,16.36,5871700,15.92
2011-11-21,16.89,16.89,16.30,16.65,6538100,16.21
2011-11-18,17.33,17.57,16.99,17.27,6612100,16.81
2011-11-17,17.61,17.64,17.00,17.21,10667400,16.75
2011-11-16,17.37,18.02,17.28,17.59,9901800,17.12
2011-11-15,17.39,17.96,17.26,17.70,8819400,17.23
2011-11-14,17.40,17.58,17.21,17.53,6979500,17.06
2011-11-11,17.45,17.80,17.40,17.59,9660400,17.12
2011-11-10,17.43,17.46,16.76,17.10,7074600,16.64
2011-11-09,17.32,17.67,17.00,17.04,9851800,16.59
2011-11-08,18.06,18.22,17.50,17.95,8679100,17.47
2011-11-07,17.67,17.96,17.40,17.87,6458800,17.39
2011-11-04,17.85,18.02,17.50,17.83,5979200,17.36
2011-11-03,18.40,18.45,17.08,17.90,17148800,17.42
2011-11-02,18.76,19.34,18.54,18.99,7992700,18.48
2011-11-01,17.98,18.75,17.80,18.21,13862000,17.73
2011-10-31,19.83,19.85,19.23,19.25,9295000,18.74
2011-10-28,20.05,20.72,19.91,20.26,6612700,19.72
2011-10-27,19.41,20.47,19.37,20.27,12776800,19.73
2011-10-26,18.35,18.65,17.67,18.54,12137400,18.05
2011-10-25,18.96,19.02,17.86,17.95,12992700,17.47
2011-10-24,19.25,19.46,19.05,19.19,10859400,18.68
2011-10-21,19.11,19.60,18.75,19.19,8080600,18.68
2011-10-20,18.30,18.86,17.95,18.79,7259600,18.29
