Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,54.35,54.40,54.03,54.04,911900,52.10
2011-12-29,54.12,54.35,53.88,54.31,1032300,52.36
2011-12-28,54.42,54.42,53.92,53.93,929800,52.00
2011-12-27,54.22,54.49,54.13,54.31,816100,52.36
2011-12-23,53.90,54.21,53.81,54.15,1134600,52.21
2011-12-22,53.79,53.98,53.52,53.80,1521700,51.87
2011-12-21,53.17,53.94,53.09,53.78,1956700,51.85
2011-12-20,52.75,53.09,52.57,53.03,2023200,51.13
2011-12-19,53.28,53.67,52.80,52.90,2068400,50.54
2011-12-16,53.12,53.44,52.80,52.97,2757200,50.61
2011-12-15,52.93,53.26,52.64,52.96,1443600,50.60
2011-12-14,52.55,52.98,52.51,52.59,2300800,50.25
2011-12-13,52.70,53.23,52.47,52.56,2426200,50.22
2011-12-12,52.85,52.90,52.18,52.53,1646100,50.19
2011-12-09,52.42,53.16,52.36,53.00,1601300,50.64
2011-12-08,52.52,52.65,52.13,52.24,1478300,49.91
2011-12-07,52.48,52.84,52.09,52.59,1583900,50.25
2011-12-06,52.63,52.81,52.48,52.52,1192800,50.18
2011-12-05,52.86,52.94,52.22,52.48,1315500,50.14
2011-12-02,52.72,52.86,52.10,52.38,1597800,50.04
2011-12-01,52.62,52.63,52.31,52.55,2015000,50.21
2011-11-30,52.03,52.70,51.90,52.65,2400100,50.30
2011-11-29,51.03,51.53,50.83,51.18,1825300,48.90
2011-11-28,50.63,51.05,50.52,50.81,1765400,48.54
2011-11-25,49.75,50.31,49.75,49.99,724900,47.76
2011-11-23,50.46,50.46,49.88,49.91,2019400,47.69
2011-11-22,50.61,51.21,50.59,50.72,2845700,48.46
2011-11-21,50.60,50.92,50.23,50.55,2984000,48.30
2011-11-18,51.75,52.28,50.92,51.07,5420400,48.79
2011-11-17,52.72,53.03,52.42,52.82,2580300,50.47
2011-11-16,53.40,53.40,52.68,52.73,2395500,50.38
2011-11-15,53.38,53.92,53.08,53.78,1633200,51.38
2011-11-14,53.55,53.67,53.25,53.61,1072400,51.22
2011-11-11,53.63,53.90,53.48,53.64,1274600,51.25
2011-11-10,53.07,53.20,52.54,53.15,1453300,50.78
2011-11-09,53.16,53.35,52.48,52.60,2235200,50.26
2011-11-08,53.46,53.91,53.19,53.82,1347100,51.42
