Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,29.36,29.46,29.25,29.29,474700,28.69
2011-12-29,29.18,29.54,29.18,29.43,383900,28.83
2011-12-28,29.49,29.51,29.20,29.22,455900,28.62
2011-12-27,29.39,29.56,29.37,29.53,340000,28.92
2011-12-23,29.33,29.50,29.24,29.47,318100,28.86
2011-12-22,29.27,29.32,29.05,29.28,587900,28.68
2011-12-21,28.99,29.28,28.92,29.27,663500,28.67
2011-12-20,29.00,29.04,28.75,28.92,739100,28.33
2011-12-19,28.79,28.82,28.58,28.65,864900,28.06
2011-12-16,28.97,29.13,28.52,28.59,1556400,28.00
2011-12-15,28.82,28.95,28.67,28.85,1034400,28.26
2011-12-14,28.89,28.95,28.51,28.60,998400,28.01
2011-12-13,29.10,29.31,28.74,28.91,1235500,28.32
2011-12-12,29.44,29.49,28.90,29.04,953900,28.44
2011-12-09,29.22,29.72,29.15,29.58,795300,28.97
2011-12-08,29.31,29.42,29.00,29.09,1034300,28.49
2011-12-07,29.46,29.62,29.12,29.50,4936100,28.89
2011-12-06,29.16,29.70,29.10,29.60,1160900,28.99
2011-12-05,29.17,29.46,28.37,29.21,1691400,28.61
2011-12-02,29.78,29.87,28.81,28.99,2755400,28.39
2011-12-01,30.01,30.33,29.88,29.93,1189000,29.32
2011-11-30,29.97,30.14,29.79,30.11,1206100,29.49
2011-11-29,29.01,29.47,28.96,29.27,1223600,28.67
2011-11-28,29.10,29.24,28.76,28.85,1059400,28.26
2011-11-25,28.17,28.73,28.17,28.69,902000,28.10
2011-11-23,28.73,28.74,28.17,28.26,871200,27.68
2011-11-22,29.07,29.63,28.75,28.82,1706400,28.23
2011-11-21,28.81,28.97,28.55,28.83,1433400,28.24
2011-11-18,29.38,29.61,29.24,29.26,849400,28.66
2011-11-17,29.50,29.83,29.09,29.28,691200,28.68
2011-11-16,29.66,30.01,29.41,29.58,702100,28.97
2011-11-15,29.36,29.97,29.27,29.93,926500,29.32
2011-11-14,29.55,29.58,29.31,29.44,397200,28.84
2011-11-11,29.71,29.76,29.47,29.59,601800,28.98
2011-11-10,29.29,29.44,28.95,29.35,548800,28.75
2011-11-09,29.37,29.47,28.93,28.99,769100,28.39
2011-11-08,29.88,30.00,29.54,29.95,662600,29.33
2011-11-07,29.51,29.81,29.35,29.80,500800,29.19
