Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,36.28,36.35,36.04,36.04,675900,34.91
2011-12-29,36.32,36.52,35.76,36.20,801100,35.07
2011-12-28,36.91,36.98,36.11,36.14,774000,35.01
2011-12-27,36.83,37.11,36.57,36.99,509500,35.84
2011-12-23,36.84,36.91,36.57,36.88,490400,35.73
2011-12-22,35.72,36.86,35.46,36.64,1017400,35.50
2011-12-21,34.99,35.50,34.71,35.45,805600,34.34
2011-12-20,34.54,35.50,34.50,35.18,814700,34.08
2011-12-19,34.46,34.61,33.75,33.84,789900,32.78
2011-12-16,34.28,34.60,33.75,34.29,1761900,33.22
2011-12-15,34.58,34.74,33.91,34.01,583400,32.95
2011-12-14,34.58,34.58,33.99,34.23,921800,33.16
2011-12-13,35.45,35.70,34.56,34.72,841200,33.64
2011-12-12,35.23,35.35,34.65,35.30,907800,34.20
2011-12-09,35.16,35.76,35.10,35.51,781900,34.40
2011-12-08,35.68,35.87,34.98,35.05,887700,33.96
2011-12-07,35.94,36.17,35.56,35.91,942400,34.79
2011-12-06,36.47,36.50,36.17,36.21,882400,35.08
2011-12-05,36.45,36.80,36.13,36.41,1399300,35.27
2011-12-02,36.13,36.41,35.81,35.87,893900,34.75
2011-12-01,35.45,35.95,35.45,35.71,854200,34.60
2011-11-30,34.97,35.62,34.88,35.60,1842600,34.49
2011-11-29,34.25,34.33,33.78,33.89,912400,32.83
2011-11-28,34.18,34.45,34.02,34.25,896200,33.18
2011-11-25,33.57,33.95,33.24,33.26,388300,32.22
2011-11-23,34.24,34.25,33.67,33.68,1285900,32.63
2011-11-22,35.64,35.73,34.37,34.47,1421400,33.39
2011-11-21,35.99,36.12,35.32,35.65,780900,34.54
2011-11-18,36.97,37.04,36.39,36.53,729300,35.39
2011-11-17,37.39,37.49,36.49,36.87,969700,35.72
2011-11-16,37.64,38.47,37.49,37.60,1036700,36.43
2011-11-15,37.54,38.50,37.45,38.31,775300,36.84
2011-11-14,38.18,38.40,37.43,37.71,880100,36.27
2011-11-11,37.84,38.34,37.66,38.29,672000,36.82
2011-11-10,37.62,37.62,36.91,37.26,1046600,35.83
2011-11-09,37.17,37.26,36.74,37.00,1125500,35.58
2011-11-08,38.01,38.08,37.17,38.00,693000,36.54
2011-11-07,37.83,38.03,37.12,37.81,760800,36.36
2011-11-04,37.74,38.01,37.20,37.99,782800,36.54
2011-11-03,37.38,38.23,36.86,38.15,936500,36.69
2011-11-02,37.30,37.33,36.61,36.99,965300,35.57
2011-11-01,36.55,37.36,36.23,36.66,1556500,35.26
2011-10-31,38.42,38.68,37.61,37.75,1367900,36.30
2011-10-28,38.69,38.98,38.21,38.85,816000,37.36
2011-10-27,38.85,39.92,36.86,38.48,2889600,37.01
2011-10-26,37.40,37.61,36.65,36.99,1135200,35.57
2011-10-25,37.64,37.73,36.91,36.96,996000,35.54
2011-10-24,37.04,37.99,37.00,37.75,1145900,36.30
2011-10-21,36.70,37.07,36.23,36.79,994500,35.38
2011-10-20,35.74,36.38,35.22,36.22,945500,34.83
2011-10-19,36.42,36.62,35.70,35.79,1006100,34.42
2011-10-18,35.72,36.73,35.25,36.51,865800,35.11
2011-10-17,36.48,36.59,35.65,35.83,594400,34.46
2011-10-14,36.63,36.80,36.11,36.74,940800,35.33
2011-10-13,36.12,36.25,35.57,36.17,697500,34.78
2011-10-12,36.59,37.14,36.17,36.39,1925800,35.00
2011-10-11,35.50,36.48,35.50,36.16,1492700,34.78
2011-10-10,35.34,36.22,35.22,35.83,1244800,34.46
2011-10-07,35.67,35.86,34.00,34.54,2604700,33.22
2011-10-06,34.99,36.03,34.69,35.99,1088100,34.61
2011-10-05,34.44,35.09,34.08,34.92,973200,33.58
2011-10-04,32.85,34.30,32.68,34.28,1900000,32.97
2011-10-03,33.86,34.02,33.23,33.23,2111400,31.96
2011-09-30,34.85,35.25,34.13,34.17,1437300,32.86
2011-09-29,35.89,36.08,34.63,35.45,1003600,34.09
2011-09-28,36.80,37.16,34.97,35.13,1718800,33.78
2011-09-27,37.15,37.62,36.62,36.79,1400400,35.38
2011-09-26,36.07,36.34,35.64,36.28,1276700,34.89
2011-09-23,34.92,35.85,34.73,35.54,1574300,34.18
2011-09-22,36.22,36.61,34.88,35.19,2674500,33.84
2011-09-21,39.25,39.38,37.35,37.36,1252700,35.93
2011-09-20,40.22,40.34,39.08,39.12,1235600,37.62
2011-09-19,39.95,40.20,39.48,40.03,740600,38.50
2011-09-16,40.86,41.09,40.47,40.72,1423500,39.16
2011-09-15,40.66,40.71,39.99,40.69,871600,39.13
2011-09-14,39.90,40.77,39.37,40.10,1866900,38.56
2011-09-13,39.18,39.79,38.91,39.65,1582500,38.13
2011-09-12,37.87,39.23,37.85,39.19,1465200,37.69
2011-09-09,39.00,39.40,38.13,38.51,1440500,37.04
2011-09-08,39.00,40.15,38.94,39.41,1451300,37.90
2011-09-07,38.64,39.46,38.54,39.31,2217200,37.80
2011-09-06,37.00,38.05,36.88,37.95,1534700,36.50
2011-09-02,38.55,38.65,37.93,38.23,1466600,36.77
2011-09-01,40.48,41.21,39.64,39.68,1632300,37.89
2011-08-31,40.25,40.96,40.13,40.35,1960900,38.53
2011-08-30,39.41,40.42,39.00,39.98,1717300,38.18
2011-08-29,38.31,39.63,38.12,39.63,3354100,37.84
2011-08-26,36.19,37.99,35.70,37.69,2162500,35.99
2011-08-25,37.69,38.06,36.42,36.53,2399500,34.88
2011-08-24,36.88,37.68,36.49,37.55,1905500,35.86
2011-08-23,35.02,37.03,35.00,37.03,1790300,35.36
2011-08-22,35.47,36.13,34.72,34.85,1786100,33.28
2011-08-19,34.29,35.61,34.27,34.78,1845800,33.21
2011-08-18,35.95,35.96,34.15,34.71,2052400,33.15
2011-08-17,37.20,37.66,36.69,36.98,1255300,35.31
2011-08-16,37.12,37.48,36.61,37.05,1309800,35.38
2011-08-15,36.61,37.57,36.56,37.49,1435600,35.80
2011-08-12,36.73,37.07,36.43,36.70,1366300,35.05
2011-08-11,34.88,37.12,34.77,36.62,1947000,34.97
2011-08-10,35.67,35.89,34.44,34.52,2649300,32.96
2011-08-09,35.58,36.62,34.30,36.60,2503700,34.95
2011-08-08,36.42,37.14,34.84,34.90,2940200,33.33
2011-08-05,37.35,38.00,36.00,37.51,2992000,35.82
2011-08-04,38.55,38.83,36.65,36.70,1833700,35.05
2011-08-03,41.23,41.30,38.54,39.09,2885500,37.33
