Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,30.51,30.63,30.25,30.37,1080500,30.37
2011-12-29,30.13,30.66,29.92,30.62,1356200,30.62
2011-12-28,30.55,30.68,30.01,30.16,1482200,30.16
2011-12-27,30.88,30.99,30.50,30.54,1056100,30.54
2011-12-23,30.54,31.17,30.48,30.92,2304100,30.92
2011-12-22,29.37,30.52,29.30,30.45,3696400,30.45
2011-12-21,29.12,29.35,28.85,29.28,2195700,29.28
2011-12-20,29.06,29.52,28.94,29.20,3039000,29.20
2011-12-19,28.61,29.20,28.28,28.64,2987900,28.64
2011-12-16,29.09,29.36,28.71,28.92,2727000,28.92
2011-12-15,28.21,28.99,28.10,28.84,2685400,28.84
2011-12-14,27.95,28.21,27.81,28.21,2112000,28.21
2011-12-13,28.10,28.27,27.93,28.07,2883300,28.07
2011-12-12,28.03,28.09,27.62,27.92,1386700,27.92
2011-12-09,27.42,28.31,27.40,28.07,1250700,28.07
2011-12-08,27.77,28.05,27.24,27.29,1726100,27.29
2011-12-07,27.92,28.15,27.57,27.86,1807000,27.86
2011-12-06,27.99,28.41,27.92,28.14,1506000,28.14
2011-12-05,28.11,28.26,27.68,27.92,2088100,27.92
2011-12-02,28.92,29.22,27.31,27.64,4206800,27.64
2011-12-01,28.11,28.63,28.11,28.29,2017200,28.29
2011-11-30,28.06,29.16,27.57,28.19,6627400,28.19
2011-11-29,30.65,30.73,26.92,28.17,6891800,28.17
2011-11-28,30.85,31.52,30.70,30.98,1584700,30.98
2011-11-25,29.99,30.51,29.99,30.07,448900,30.07
2011-11-23,30.32,30.61,30.14,30.18,1267300,30.18
2011-11-22,30.79,31.00,30.51,30.57,2020900,30.57
2011-11-21,30.48,30.96,29.88,30.77,1717500,30.77
2011-11-18,31.10,31.20,30.78,30.90,1230500,30.90
2011-11-17,31.10,31.22,30.46,30.87,1663400,30.87
2011-11-16,31.00,31.72,30.88,30.98,1631600,30.98
2011-11-15,31.21,31.66,30.64,31.26,2132900,31.26
2011-11-14,32.21,32.42,31.16,31.20,1440800,31.20
2011-11-11,31.96,32.49,31.96,32.39,1183000,32.39
2011-11-10,31.77,32.29,31.38,31.63,1597200,31.63
2011-11-09,32.16,32.42,31.28,31.41,2182900,31.41
2011-11-08,32.19,33.05,32.06,32.95,1789500,32.95
2011-11-07,31.17,32.17,30.90,31.98,1810800,31.98
2011-11-04,31.74,31.90,31.03,31.31,1318400,31.31
2011-11-03,31.56,32.20,31.40,31.94,1956000,31.94
2011-11-02,31.50,31.92,31.05,31.46,1808300,31.46
2011-11-01,30.58,31.56,30.40,30.92,2393600,30.92
2011-10-31,31.36,31.84,31.20,31.45,2184400,31.45
2011-10-28,31.05,31.85,30.84,31.71,2019400,31.71
2011-10-27,31.29,32.23,30.27,31.18,3014300,31.18
