Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,62.05,62.19,61.72,61.78,606400,60.38
2011-12-29,61.65,62.26,61.64,62.00,959300,60.59
2011-12-28,61.50,61.75,61.50,61.63,654700,60.23
2011-12-27,61.03,61.59,61.03,61.53,605800,60.13
2011-12-23,61.22,61.36,60.87,61.00,789800,59.62
2011-12-22,60.85,61.23,60.55,61.06,994200,59.67
2011-12-21,60.46,60.75,60.20,60.62,1531400,59.24
2011-12-20,59.91,60.11,59.42,59.57,1322100,58.22
2011-12-19,59.49,59.99,59.46,59.60,1082100,58.25
2011-12-16,59.50,59.65,58.95,59.40,1657000,58.05
2011-12-15,59.34,59.72,59.11,59.31,1253800,57.96
2011-12-14,58.61,58.94,58.50,58.84,1102400,57.50
2011-12-13,59.30,59.74,58.52,58.77,925500,57.44
2011-12-12,59.22,59.28,58.77,59.05,1186000,57.71
2011-12-09,58.59,59.57,58.50,59.30,1210300,57.95
2011-12-08,58.16,58.99,58.15,58.69,895300,57.36
2011-12-07,58.32,58.45,57.80,58.20,824000,56.88
2011-12-06,58.64,58.81,58.24,58.55,645400,57.22
2011-12-05,58.59,58.80,58.13,58.48,954600,57.15
2011-12-02,57.97,58.19,57.79,57.84,1251200,56.53
2011-12-01,57.68,58.04,57.50,57.79,778800,56.48
2011-11-30,57.21,57.72,56.95,57.68,1511700,56.37
2011-11-29,55.59,56.29,55.59,56.24,1587300,54.96
2011-11-28,55.75,56.08,55.38,55.62,1793200,54.36
2011-11-25,55.48,55.79,55.36,55.36,388200,54.10
2011-11-23,56.05,56.15,55.39,55.39,1294100,54.13
2011-11-22,55.74,56.56,55.32,56.36,1092400,55.08
2011-11-21,56.47,56.97,56.00,56.27,1572100,54.66
2011-11-18,56.45,56.61,56.00,56.38,1052100,54.76
2011-11-17,56.12,56.63,55.84,56.24,1113900,54.63
2011-11-16,56.33,56.99,55.99,56.19,1029100,54.58
2011-11-15,56.12,56.90,56.08,56.75,1041800,55.12
2011-11-14,56.15,56.74,55.64,56.08,2438000,54.47
2011-11-11,57.31,57.44,56.90,56.99,1078900,55.36
2011-11-10,56.13,57.12,56.13,56.96,985500,55.33
2011-11-09,56.79,57.05,56.30,56.55,1368700,54.93
2011-11-08,57.59,57.84,57.04,57.38,1761700,55.73
2011-11-07,57.43,57.61,56.90,57.58,1440700,55.93
2011-11-04,58.07,58.13,57.42,57.61,1721600,55.96
2011-11-03,57.88,58.88,57.67,58.44,1630600,56.76
2011-11-02,57.64,57.77,57.06,57.65,1635700,56.00
2011-11-01,56.39,57.47,56.21,57.28,2069000,55.64
2011-10-31,57.33,57.81,57.12,57.23,1233100,55.59
2011-10-28,57.55,57.96,56.40,57.45,2901800,55.80
2011-10-27,60.04,60.04,56.73,57.46,4728000,55.81
2011-10-26,60.33,60.34,59.69,59.88,1178900,58.16
2011-10-25,60.45,60.70,59.80,59.93,1347900,58.21
2011-10-24,60.40,60.58,59.77,60.50,1340600,58.76
2011-10-21,60.34,60.55,59.87,60.26,1695200,58.53
2011-10-20,59.59,59.99,59.39,59.57,807100,57.86
2011-10-19,60.57,60.90,59.66,59.69,784000,57.98
2011-10-18,59.81,60.90,59.42,60.55,808900,58.81
2011-10-17,59.97,60.77,59.67,59.73,1021400,58.02
2011-10-14,59.91,60.08,59.65,60.04,884500,58.32
2011-10-13,59.16,59.72,58.97,59.62,882400,57.91
2011-10-12,59.52,59.70,59.24,59.34,844900,57.64
2011-10-11,59.79,59.96,59.33,59.45,1036900,57.74
2011-10-10,59.91,59.91,59.03,59.91,676300,58.19
2011-10-07,59.20,59.41,58.46,58.99,992200,57.30
2011-10-06,58.71,59.12,58.23,58.94,1147600,57.25
2011-10-05,58.18,58.72,57.60,58.64,1240100,56.96
2011-10-04,57.91,58.17,56.93,58.01,2000000,56.35
2011-10-03,59.03,59.44,58.26,58.32,1241000,56.65
2011-09-30,58.38,59.94,58.38,59.24,1320800,57.54
2011-09-29,59.29,59.65,58.37,58.95,780400,57.26
2011-09-28,59.90,59.90,58.67,58.74,1445800,57.06
2011-09-27,60.06,60.96,59.55,59.97,1892900,58.25
2011-09-26,59.42,60.00,58.96,60.00,1638100,58.28
2011-09-23,57.58,59.09,57.51,59.08,2167700,57.39
2011-09-22,56.98,57.85,56.64,57.70,2277100,56.04
2011-09-21,59.16,59.63,57.89,58.21,1138200,56.54
