Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,88.40,88.40,87.50,87.61,739800,86.42
2011-12-29,88.03,88.77,87.59,88.25,683900,87.05
2011-12-28,89.91,90.40,87.37,87.63,834400,86.44
2011-12-27,89.70,90.95,89.28,89.83,741300,88.37
2011-12-23,88.81,89.86,88.56,89.60,585000,88.14
2011-12-22,87.99,88.77,87.77,88.27,658300,86.83
2011-12-21,86.43,88.05,86.26,87.93,1196500,86.50
2011-12-20,85.82,86.73,85.46,86.63,906500,85.22
2011-12-19,84.71,85.62,84.42,84.67,765500,83.29
2011-12-16,85.31,86.33,84.47,84.75,1834100,83.37
2011-12-15,85.11,85.88,84.41,84.59,1218400,83.21
2011-12-14,85.94,86.52,84.38,84.54,1815800,83.16
2011-12-13,87.01,88.23,85.66,86.00,1522400,84.60
2011-12-12,86.49,87.42,85.98,86.54,1323100,85.13
2011-12-09,86.13,87.07,85.93,86.85,955700,85.43
2011-12-08,86.51,87.16,85.24,85.37,757200,83.98
2011-12-07,86.38,87.28,85.36,86.82,1674100,85.40
2011-12-06,87.10,87.39,85.80,86.56,1317200,85.15
2011-12-05,90.04,90.76,86.02,86.87,2304800,85.45
2011-12-02,89.98,90.00,87.98,89.11,2133200,87.66
2011-12-01,87.99,89.38,87.99,89.03,1223500,87.58
2011-11-30,87.56,88.68,86.54,88.68,1605600,87.23
2011-11-29,84.34,86.75,84.34,85.48,1448900,84.09
2011-11-28,83.19,84.61,82.88,84.16,892600,82.79
2011-11-25,81.93,82.43,80.89,80.89,534100,79.57
2011-11-23,83.59,83.59,81.50,82.01,968400,80.67
2011-11-22,83.68,85.16,83.30,84.44,921900,83.06
2011-11-21,84.13,84.67,83.50,83.94,1117600,82.57
2011-11-18,86.44,86.50,84.85,85.12,1405300,83.73
2011-11-17,84.69,86.20,83.94,84.79,1609500,83.41
2011-11-16,88.93,89.06,84.91,85.03,1676400,83.64
2011-11-15,87.65,89.22,87.08,88.66,1220400,87.21
2011-11-14,87.51,88.60,86.79,87.72,1278800,86.29
2011-11-11,87.38,88.33,87.38,88.11,1355800,86.67
2011-11-10,86.89,87.11,84.96,86.57,1190500,85.16
2011-11-09,85.84,87.15,85.58,86.31,1781800,84.90
2011-11-08,87.41,87.47,85.71,87.15,2149500,85.73
2011-11-07,87.01,88.32,86.09,87.15,1901200,85.73
2011-11-04,86.22,86.89,84.89,86.58,1624400,85.17
