Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,52.58,52.91,52.36,52.42,250700,51.29
2011-12-29,52.07,52.76,52.07,52.69,326100,51.56
2011-12-28,53.43,53.54,52.01,52.07,373100,50.95
2011-12-27,53.06,53.56,52.92,53.34,262200,52.19
2011-12-23,52.04,53.13,51.94,53.13,662400,51.99
2011-12-22,52.23,52.42,52.03,52.18,546300,50.75
2011-12-21,52.31,52.57,51.97,52.17,554300,50.74
2011-12-20,52.24,52.45,52.04,52.25,818300,50.82
2011-12-19,52.07,52.55,51.20,51.31,603200,49.91
2011-12-16,52.64,52.90,51.50,51.89,1571600,50.47
2011-12-15,52.59,52.59,51.70,52.17,677700,50.74
2011-12-14,52.19,52.54,51.88,52.09,539100,50.67
2011-12-13,53.19,53.56,52.06,52.35,640900,50.92
2011-12-12,53.63,53.64,52.40,52.84,628300,51.40
2011-12-09,53.49,54.49,53.25,54.20,531700,52.72
2011-12-08,54.13,54.20,53.16,53.36,590000,51.90
2011-12-07,53.96,54.80,53.71,54.46,682900,52.97
2011-12-06,54.18,54.45,53.76,54.02,708100,52.54
2011-12-05,54.47,54.57,53.68,54.12,687100,52.64
2011-12-02,54.33,54.57,53.46,53.66,565900,52.19
2011-12-01,54.04,54.62,53.59,53.80,727700,52.33
2011-11-30,54.12,54.31,53.66,54.26,912400,52.78
2011-11-29,53.23,53.54,52.28,52.62,1086600,51.18
2011-11-28,53.13,53.52,52.69,53.25,1023300,51.79
2011-11-25,51.63,52.10,51.49,51.62,220400,50.21
2011-11-23,51.83,52.24,51.45,51.71,934000,50.30
2011-11-22,52.57,53.27,52.27,52.38,782200,50.95
2011-11-21,52.63,53.14,52.25,52.66,1498100,51.22
2011-11-18,52.67,52.85,52.06,52.53,1101400,51.09
2011-11-17,53.12,53.25,52.17,52.41,1990400,50.98
2011-11-16,53.22,54.04,53.20,53.31,944400,51.85
2011-11-15,53.91,54.32,53.57,53.78,881700,52.31
2011-11-14,54.30,54.72,53.88,54.17,756000,52.69
2011-11-11,54.19,54.89,54.09,54.45,1154000,52.96
2011-11-10,54.26,54.59,53.29,53.64,1785100,52.17
2011-11-09,53.34,54.49,53.26,53.82,2319000,52.35
2011-11-08,57.50,59.04,54.51,55.03,5063000,53.53
2011-11-07,60.85,61.48,60.43,61.31,1475000,59.63
2011-11-04,61.28,61.57,60.38,61.07,756700,59.40
2011-11-03,60.82,61.84,60.31,61.61,844000,59.93
2011-11-02,60.01,60.61,59.18,60.09,421800,58.45
2011-11-01,58.62,60.03,58.38,59.04,976300,57.43
2011-10-31,62.12,62.39,60.56,60.56,1083100,58.91
2011-10-28,63.07,63.49,62.50,62.93,595500,61.21
2011-10-27,62.41,63.78,61.99,63.01,876600,61.29
2011-10-26,60.08,61.03,59.26,60.55,1051900,58.90
2011-10-25,60.44,61.04,59.33,59.38,1101600,57.76
2011-10-24,60.83,60.87,59.79,60.86,1094900,59.20
2011-10-21,59.96,61.24,59.79,61.24,842300,59.57
2011-10-20,59.79,60.02,58.82,59.66,686200,58.03
2011-10-19,60.45,60.92,59.45,59.74,545200,58.11
2011-10-18,60.01,61.23,58.90,60.56,742900,58.91
2011-10-17,61.03,61.25,59.68,59.90,420800,58.26
2011-10-14,60.41,61.51,60.05,61.25,582600,59.58
2011-10-13,60.07,60.18,59.11,59.51,823400,57.88
2011-10-12,60.35,61.02,59.80,60.54,580300,58.89
2011-10-11,59.55,60.28,59.51,59.99,414900,58.35
2011-10-10,59.44,60.25,59.37,60.25,587800,58.60
2011-10-07,59.39,59.39,58.01,58.48,681000,56.88
2011-10-06,58.21,59.02,57.63,58.90,444900,57.29
2011-10-05,57.68,58.62,57.25,58.28,755100,56.69
2011-10-04,54.95,57.66,54.79,57.63,1300000,56.06
2011-10-03,55.71,57.00,55.57,55.77,1214500,54.25
2011-09-30,56.73,57.41,56.21,56.22,785700,54.68
2011-09-29,57.68,58.14,56.53,57.60,975100,56.03
2011-09-28,59.14,59.23,56.84,56.84,829700,55.29
2011-09-27,58.69,60.25,58.28,59.05,953700,57.44
2011-09-26,56.90,57.23,55.94,57.21,1029200,55.65
