Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,24.43,24.62,24.25,24.25,21710100,23.44
2011-12-29,24.36,24.58,24.28,24.55,22319300,23.73
2011-12-28,24.52,24.56,24.18,24.23,23703400,23.42
2011-12-27,24.45,24.70,24.40,24.56,24136000,23.74
2011-12-23,24.13,24.40,24.04,24.40,24832700,23.58
2011-12-22,23.83,24.10,23.76,24.02,32002200,23.21
2011-12-21,23.95,24.09,23.43,23.68,45222100,22.88
2011-12-20,23.49,23.98,23.44,23.84,46309500,23.04
2011-12-19,23.39,23.48,23.05,23.10,42243000,22.32
2011-12-16,23.47,23.89,23.23,23.23,94567200,22.45
2011-12-15,23.58,23.67,23.25,23.31,38692600,22.53
2011-12-14,23.48,23.56,23.14,23.31,56395100,22.53
2011-12-13,24.05,24.06,23.42,23.56,78519000,22.77
2011-12-12,24.18,24.29,23.61,24.00,94831300,23.19
2011-12-09,24.41,25.10,24.38,25.01,44071500,24.17
2011-12-08,25.45,25.53,24.63,24.71,58000600,23.88
2011-12-07,25.33,25.78,25.13,25.66,54791500,24.80
2011-12-06,25.09,25.48,25.00,25.35,49516000,24.50
2011-12-05,25.03,25.20,24.79,25.01,42526800,24.17
2011-12-02,25.01,25.14,24.60,24.64,41486500,23.81
2011-12-01,24.87,24.97,24.40,24.92,51820400,24.08
2011-11-30,24.28,24.94,24.23,24.91,73450200,24.07
2011-11-29,23.49,23.90,23.42,23.58,44191100,22.79
2011-11-28,23.28,23.57,23.25,23.46,39753000,22.67
2011-11-25,22.55,23.22,22.51,22.73,28346900,21.97
2011-11-23,23.04,23.14,22.69,22.70,52698400,21.94
2011-11-22,23.38,23.53,23.09,23.24,48479200,22.46
2011-11-21,24.03,24.15,23.35,23.57,58579300,22.78
2011-11-18,24.17,24.43,24.02,24.29,45683600,23.47
2011-11-17,24.90,24.95,24.12,24.34,62125300,23.52
2011-11-16,25.13,25.50,24.88,24.94,74241700,24.10
2011-11-15,24.66,25.46,24.62,25.34,77391300,24.49
2011-11-14,24.78,24.90,24.48,24.63,49418100,23.80
2011-11-11,24.31,24.90,24.30,24.85,43867200,24.02
2011-11-10,24.14,24.25,23.74,24.06,45508700,23.25
2011-11-09,24.24,24.32,23.80,23.84,56872200,23.04
2011-11-08,24.48,24.77,24.26,24.75,55961900,23.92
2011-11-07,23.70,24.31,23.63,24.28,51137900,23.46
2011-11-04,24.04,24.07,23.66,23.74,46476000,22.94
2011-11-03,23.79,24.23,23.28,24.20,58297700,23.39
2011-11-02,24.02,24.06,23.55,23.85,56702800,22.85
2011-11-01,24.11,24.35,23.82,23.90,68002400,22.89
2011-10-31,24.57,24.92,24.49,24.54,43121800,23.51
2011-10-28,24.87,25.03,24.73,24.98,44897400,23.93
2011-10-27,24.93,25.20,24.85,25.13,84559200,24.07
2011-10-26,24.80,24.84,24.34,24.70,58249900,23.66
2011-10-25,24.47,24.85,24.39,24.63,60939200,23.59
2011-10-24,24.05,24.79,24.02,24.59,138273600,23.56
2011-10-21,23.86,24.25,23.80,24.03,123273100,23.02
2011-10-20,23.88,23.88,23.35,23.61,88682000,22.62
2011-10-19,24.01,24.50,23.86,24.24,139956200,23.22
2011-10-18,23.17,23.49,23.07,23.40,85272200,22.42
2011-10-17,23.32,23.60,23.14,23.28,47936100,22.30
2011-10-14,23.44,23.50,23.25,23.50,44894100,22.51
2011-10-13,23.02,23.46,22.96,23.39,51288900,22.41
2011-10-12,23.00,23.28,22.98,23.12,59913300,22.15
2011-10-11,22.76,23.00,22.61,22.99,50604700,22.02
2011-10-10,22.48,22.89,22.47,22.88,40172800,21.92
2011-10-07,22.07,22.50,21.91,22.29,58425800,21.35
2011-10-06,21.92,22.05,21.67,22.03,58483000,21.10
2011-10-05,21.25,21.97,21.06,21.85,70932100,20.93
2011-10-04,20.45,21.27,20.40,21.22,77896900,20.33
2011-10-03,21.18,21.40,20.57,20.62,95768300,19.75
2011-09-30,21.93,22.07,21.33,21.34,64453700,20.44
2011-09-29,22.38,22.60,21.87,22.21,85510500,21.28
2011-09-28,22.61,22.71,22.30,22.31,74789100,21.37
2011-09-27,22.50,22.98,22.37,22.54,88219700,21.59
2011-09-26,22.16,22.44,21.79,22.24,64847800,21.30
2011-09-23,21.39,22.27,21.22,22.16,74135600,21.23
2011-09-22,21.55,21.90,21.34,21.62,94232800,20.71
2011-09-21,22.18,22.50,21.90,21.94,66811700,21.02
2011-09-20,21.99,22.47,21.86,22.20,71495200,21.27
2011-09-19,21.77,22.06,21.63,21.93,57738000,21.01
2011-09-16,21.65,22.09,21.43,21.97,90738900,21.05
2011-09-15,21.31,21.67,21.22,21.54,53239300,20.63
2011-09-14,20.89,21.40,20.71,21.12,58352700,20.23
2011-09-13,20.32,20.90,20.21,20.76,60222400,19.89
2011-09-12,19.53,20.29,19.52,20.28,53318000,19.43
2011-09-09,19.75,20.22,19.66,19.70,61406600,18.87
