Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,52.93,52.96,52.59,52.59,1084400,52.03
2011-12-29,52.63,52.93,52.54,52.77,1238400,52.21
2011-12-28,52.94,53.02,52.28,52.41,1394900,51.85
2011-12-27,53.01,53.41,52.81,53.17,1217900,52.61
2011-12-23,53.26,53.48,52.89,53.10,1434600,52.54
2011-12-22,53.05,53.36,52.92,53.21,1938000,52.64
2011-12-21,53.58,53.86,52.81,53.07,2829600,52.51
2011-12-20,52.09,53.84,51.93,53.77,3679500,53.20
2011-12-19,52.02,52.22,50.89,51.02,1641000,50.48
2011-12-16,51.59,52.43,51.34,51.78,3406400,51.23
2011-12-15,52.43,52.52,51.05,51.29,1998600,50.75
2011-12-14,53.11,53.24,51.76,51.80,2249900,51.25
2011-12-13,53.35,54.32,53.04,53.37,2633300,52.80
2011-12-12,52.63,52.95,51.98,52.84,2236000,52.28
2011-12-09,52.76,53.50,52.73,53.27,1944000,52.70
2011-12-08,53.17,53.85,52.46,52.56,1982000,52.00
2011-12-07,54.01,54.07,53.01,53.65,2130500,53.08
2011-12-06,54.40,54.79,53.98,54.16,1890000,53.58
2011-12-05,53.50,54.57,53.07,54.56,2538900,53.98
2011-12-02,53.05,53.67,52.69,52.72,1875000,52.16
2011-12-01,53.00,53.59,52.79,52.92,2170700,52.36
2011-11-30,51.90,53.28,51.90,53.24,2498500,52.67
2011-11-29,50.93,51.50,50.59,50.86,1633600,50.32
2011-11-28,50.64,51.35,50.36,50.92,1640200,50.38
2011-11-25,49.00,49.69,48.91,49.27,939800,48.75
2011-11-23,49.95,50.10,49.24,49.29,1794000,48.77
2011-11-22,50.79,51.10,49.78,50.39,2383500,49.85
2011-11-21,51.39,51.49,50.13,50.76,2989400,50.22
2011-11-18,51.51,52.74,51.51,52.04,2939900,51.49
2011-11-17,53.12,53.42,51.29,51.75,2812200,51.20
2011-11-16,53.49,54.90,53.17,53.45,2666400,52.88
2011-11-15,53.02,54.16,52.71,53.89,1633100,53.32
2011-11-14,53.81,54.64,53.17,53.26,2128500,52.69
2011-11-11,53.39,54.07,53.39,54.02,1680500,53.45
2011-11-10,52.90,53.17,52.27,52.80,1789600,52.24
2011-11-09,52.96,53.54,52.05,52.34,1975500,51.78
2011-11-08,53.86,54.12,53.16,54.07,1847900,53.50
2011-11-07,53.39,53.60,52.61,53.33,1822200,52.76
2011-11-04,53.46,53.91,53.06,53.72,1121000,53.15
2011-11-03,53.09,54.05,52.45,53.95,2085000,53.38
2011-11-02,52.52,53.18,52.02,52.41,2604600,51.85
2011-11-01,52.30,53.06,51.75,51.90,2840500,51.35
2011-10-31,53.93,54.62,53.67,53.67,1952800,53.10
2011-10-28,53.90,54.99,53.75,54.61,2401400,54.03
2011-10-27,54.17,55.43,54.00,55.21,2503900,54.62
2011-10-26,53.83,53.83,51.77,52.97,2648200,52.41
2011-10-25,54.99,54.99,53.24,53.32,1577000,52.75
2011-10-24,53.46,54.29,53.33,54.00,2166800,53.43
2011-10-21,52.83,53.50,52.56,53.50,2378400,52.93
2011-10-20,52.11,52.59,51.40,52.28,1802700,51.72
2011-10-19,52.31,52.85,51.83,51.94,1654300,51.39
2011-10-18,52.24,52.75,51.57,52.50,3055400,51.94
2011-10-17,52.72,53.18,51.91,52.28,1820200,51.72
2011-10-14,52.49,53.01,52.28,53.01,1592000,52.45
2011-10-13,51.71,52.14,51.41,51.99,2069800,51.44
2011-10-12,51.50,52.30,51.32,52.00,2439100,51.45
2011-10-11,50.00,51.41,50.00,51.18,2936700,50.64
2011-10-10,49.25,50.28,48.42,50.27,1766300,49.74
2011-10-07,48.73,49.31,48.26,48.53,1580300,48.01
2011-10-06,47.19,48.78,47.19,48.77,2300500,48.25
2011-10-05,46.86,47.61,46.40,47.24,3311000,46.74
2011-10-04,45.27,46.93,44.82,46.90,2914000,46.25
2011-10-03,47.26,47.73,45.80,45.84,2957100,45.21
2011-09-30,47.93,49.26,47.41,47.44,4172100,46.79
2011-09-29,49.03,49.46,47.41,48.44,3206100,47.77
2011-09-28,49.10,49.32,47.98,48.33,2892700,47.66
2011-09-27,48.65,49.50,48.53,48.77,2975200,48.10
2011-09-26,47.54,48.12,46.71,48.03,3204900,47.37
2011-09-23,46.47,47.38,45.80,47.27,3346200,46.62
2011-09-22,46.58,47.54,45.98,46.70,5364800,46.06
2011-09-21,49.26,49.49,47.67,47.69,3013200,47.03
2011-09-20,49.38,49.90,48.90,48.94,2433500,48.27
2011-09-19,48.96,49.52,48.37,49.36,3622800,48.68
2011-09-16,48.58,49.56,48.29,49.31,10276800,48.63
2011-09-15,48.00,48.59,47.40,48.43,2956400,47.76
2011-09-14,46.75,48.00,46.30,47.49,5955200,46.84
2011-09-13,46.52,47.04,46.28,46.49,4925700,45.85
2011-09-12,45.45,46.81,45.20,46.80,3326400,46.15
2011-09-09,46.47,47.03,45.84,46.24,3886000,45.60
2011-09-08,47.63,47.75,46.90,46.95,4307900,46.30
2011-09-07,47.84,47.99,47.11,47.73,5286700,47.07
2011-09-06,46.43,47.50,46.21,47.10,5070700,46.45
2011-09-02,47.70,48.20,47.06,47.35,2693400,46.70
2011-09-01,49.35,49.86,48.41,48.58,3299200,47.91
2011-08-31,49.05,49.70,48.69,49.33,3714900,48.65
2011-08-30,48.08,49.11,47.99,48.73,4027400,48.06
2011-08-29,47.07,48.44,46.88,48.40,4878600,47.73
2011-08-26,44.44,46.67,44.44,46.56,4754600,45.92
2011-08-25,45.92,45.97,44.46,44.62,3417300,44.00
2011-08-24,45.25,45.88,44.82,45.85,4150600,45.22
2011-08-23,44.10,45.42,43.54,45.42,5907400,44.79
2011-08-22,44.48,44.96,43.41,43.90,7298800,43.29
2011-08-19,42.20,45.51,42.16,43.65,10828500,43.05
2011-08-18,41.04,41.62,39.87,40.30,5205200,39.74
2011-08-17,42.80,43.53,41.73,42.38,2807300,41.80
2011-08-16,42.68,43.14,42.25,42.88,2751200,42.29
2011-08-15,42.65,43.13,42.47,43.13,2004400,42.54
2011-08-12,42.21,42.65,41.70,42.39,2788700,41.81
2011-08-11,40.29,42.41,40.27,42.05,4511200,41.47
2011-08-10,42.01,42.01,39.89,39.94,7547800,39.39
2011-08-09,41.50,43.20,40.19,42.78,5975400,42.19
2011-08-08,42.57,42.93,40.80,40.94,6936600,40.38
2011-08-05,44.68,44.83,42.61,43.60,5987800,43.00
2011-08-04,45.40,45.78,44.37,44.39,4821700,43.78
2011-08-03,45.45,45.98,44.51,45.91,3955400,45.28
2011-08-02,45.71,46.35,45.36,45.40,3738800,44.77
2011-08-01,46.98,47.13,45.41,46.10,3210600,45.46
2011-07-29,46.83,47.04,46.36,46.70,4077900,46.06
2011-07-28,47.11,47.59,46.92,47.16,2439900,46.51
2011-07-27,48.17,48.31,47.16,47.25,3612000,46.60
2011-07-26,48.68,48.95,48.30,48.61,3915700,47.94
2011-07-25,48.24,49.15,47.96,48.68,5195200,48.01
2011-07-22,47.44,48.01,47.31,47.96,3230900,47.30
2011-07-21,47.98,48.12,47.37,47.45,3556000,46.80
2011-07-20,48.87,48.96,47.74,47.79,3023400,47.13
2011-07-19,48.82,49.24,48.50,48.96,2924900,48.28
2011-07-18,49.05,49.20,48.15,48.40,2496200,47.73
2011-07-15,49.44,49.54,48.59,49.35,2348400,48.67
2011-07-14,49.86,50.44,49.05,49.19,2329900,48.51
2011-07-13,50.49,50.94,49.69,49.86,2530000,49.17
2011-07-12,50.66,50.96,50.22,50.26,2118400,49.57
2011-07-11,51.15,51.57,50.77,50.89,1590600,50.19
2011-07-08,51.87,52.12,51.23,51.69,2732100,50.98
2011-07-07,52.72,52.75,52.02,52.25,2768700,51.53
2011-07-06,51.66,52.55,51.14,52.34,3341300,51.62
2011-07-05,52.29,52.70,51.99,52.36,2100300,51.64
2011-07-01,51.97,52.37,51.63,52.24,1607800,51.52
2011-06-30,52.00,52.22,51.55,51.86,1969100,51.14
2011-06-29,51.52,51.94,51.18,51.75,2218700,51.04
2011-06-28,51.11,51.81,50.90,51.49,2100700,50.78
2011-06-27,50.11,51.07,49.91,50.82,2128600,50.12
2011-06-24,50.59,50.68,50.13,50.50,3283900,49.80
2011-06-23,49.85,50.78,49.45,50.72,2587800,50.02
2011-06-22,50.08,50.87,49.88,50.37,2656000,49.68
2011-06-21,49.46,50.57,49.12,50.39,2522500,49.70
2011-06-20,49.18,49.93,49.18,49.40,2079700,48.72
2011-06-17,49.92,50.18,49.13,49.16,3530200,48.48
2011-06-16,49.66,50.08,48.71,49.20,2731000,48.52
2011-06-15,50.30,50.64,49.59,49.66,2529800,48.98
2011-06-14,50.74,50.94,50.47,50.74,2019300,50.04
2011-06-13,50.38,50.54,50.11,50.38,2102800,49.69
2011-06-10,50.74,50.93,50.22,50.36,2284400,49.67
2011-06-09,51.16,51.19,50.57,50.80,2459900,50.10
2011-06-08,51.25,51.55,50.84,51.00,2512600,50.30
2011-06-07,51.36,51.98,50.95,51.56,2540100,50.85
2011-06-06,51.04,51.45,50.88,51.18,2688100,50.47
2011-06-03,52.08,52.31,51.39,51.42,2343000,50.71
2011-06-02,53.21,53.26,52.40,52.48,2809200,51.76
2011-06-01,53.86,54.01,53.27,53.32,2663600,52.58
2011-05-31,53.88,53.98,53.40,53.97,2524900,53.23
2011-05-27,53.50,53.87,53.24,53.37,1709000,52.63
2011-05-26,52.82,53.82,52.76,53.61,1552900,52.87
2011-05-25,53.07,53.39,52.65,53.07,2346700,52.34
2011-05-24,53.00,53.44,52.54,52.80,3112100,52.07
2011-05-23,54.00,54.08,52.66,52.93,3300000,52.20
2011-05-20,54.13,55.53,54.00,54.98,5317800,54.22
2011-05-19,54.63,56.00,54.27,55.90,3378500,55.13
2011-05-18,54.58,54.74,53.93,54.28,2452400,53.53
2011-05-17,54.20,54.82,54.06,54.73,1602800,53.98
2011-05-16,55.32,55.32,54.12,54.30,1873700,53.55
2011-05-13,55.84,56.46,55.32,55.35,2375700,54.59
2011-05-12,54.42,55.99,54.12,55.89,2500000,55.12
2011-05-11,54.75,55.22,53.87,54.44,1900000,53.69
2011-05-10,54.41,55.17,54.28,54.89,1375300,54.13
2011-05-09,53.96,54.39,53.63,54.14,1411800,53.39
2011-05-06,54.49,54.88,53.55,53.78,2392900,53.04
2011-05-05,54.36,55.00,53.81,53.98,1800000,53.24
2011-05-04,55.20,55.34,53.56,54.55,2211100,53.80
2011-05-03,55.03,55.47,54.53,55.23,1700000,54.47
2011-05-02,55.80,55.98,54.99,55.12,1488800,54.36
2011-04-29,55.56,55.94,54.97,55.56,5635400,54.79
2011-04-28,55.66,55.90,55.21,55.60,1500000,54.83
2011-04-27,55.25,55.78,54.70,55.74,1752500,54.97
2011-04-26,55.16,55.31,54.60,54.99,2200900,54.23
2011-04-25,55.23,55.77,54.93,55.03,1292700,54.27
2011-04-21,55.92,56.40,54.79,55.35,2980700,54.59
2011-04-20,55.15,56.27,55.15,56.07,2815500,55.30
2011-04-19,54.11,54.80,54.07,54.46,2576400,53.71
2011-04-18,53.85,54.21,53.13,54.15,2053500,53.40
2011-04-15,54.49,55.12,53.96,54.46,3529300,53.71
2011-04-14,52.75,54.37,52.72,54.28,2626400,53.53
2011-04-13,53.13,53.51,52.53,53.14,1704200,52.41
2011-04-12,53.32,53.41,52.58,52.78,1695700,52.05
2011-04-11,53.23,53.90,53.23,53.56,1570700,52.82
2011-04-08,53.91,53.92,52.84,53.14,1816400,52.41
2011-04-07,53.47,54.33,53.16,53.70,2570600,52.96
2011-04-06,53.76,54.14,53.07,53.66,2388600,52.92
2011-04-05,53.85,54.01,53.37,53.49,2411200,52.75
2011-04-04,53.95,54.14,53.76,54.08,1900500,53.33
2011-04-01,53.47,54.23,53.27,53.95,3204800,53.21
2011-03-31,52.06,53.13,52.05,53.11,3419700,52.38
2011-03-30,51.97,52.37,51.79,52.18,2008200,51.46
2011-03-29,50.98,51.83,50.87,51.75,1517000,51.04
2011-03-28,51.38,51.63,51.04,51.06,2059300,50.36
2011-03-25,51.27,51.85,50.91,51.37,1957900,50.66
2011-03-24,50.65,51.36,50.65,51.16,2314500,50.45
2011-03-23,49.84,50.61,49.50,50.42,2229000,49.72
2011-03-22,50.38,50.40,49.73,49.81,2099800,49.12
2011-03-21,50.45,51.35,50.08,50.46,2413800,49.76
2011-03-18,50.00,51.67,49.71,49.92,7522700,49.23
2011-03-17,49.24,49.24,48.39,48.43,2636800,47.76
2011-03-16,48.67,49.02,48.26,48.51,2806400,47.84
2011-03-15,48.05,49.26,47.85,48.98,2099500,48.30
2011-03-14,49.24,49.98,48.84,49.43,2190500,48.75
2011-03-11,49.73,50.00,49.26,49.46,2855700,48.78
2011-03-10,50.86,50.94,49.60,49.85,5058300,49.16
2011-03-09,51.99,52.05,50.95,51.66,2086300,50.95
2011-03-08,51.97,52.55,51.52,52.11,2189100,51.39
2011-03-07,53.11,53.24,51.18,51.93,2070700,51.21
2011-03-04,52.85,53.18,52.11,52.81,1822100,52.08
2011-03-03,52.20,53.61,52.16,52.90,2808700,52.17
2011-03-02,51.54,52.02,51.34,51.78,1294000,51.07
2011-03-01,52.60,52.90,51.12,51.42,2226800,50.71
2011-02-28,52.47,52.97,52.19,52.58,2393900,51.85
2011-02-25,51.87,52.80,51.69,52.40,2252400,51.68
2011-02-24,51.87,52.25,50.67,51.68,4265600,50.97
2011-02-23,52.67,52.89,51.32,52.00,3148600,51.28
2011-02-22,53.36,53.68,52.40,52.84,4715000,52.11
2011-02-18,51.55,54.68,51.55,54.11,8126500,53.36
2011-02-17,50.24,50.66,49.72,50.44,3203800,49.74
2011-02-16,49.90,50.55,49.42,50.12,3215400,49.43
2011-02-15,50.44,50.93,49.72,49.78,3514900,49.09
2011-02-14,50.46,51.10,50.19,50.79,2391100,50.09
2011-02-11,50.33,50.70,50.07,50.62,2010500,49.92
2011-02-10,48.66,50.72,48.66,50.54,3493700,49.84
2011-02-09,49.28,49.39,48.58,48.87,2001500,48.20
2011-02-08,48.95,49.19,48.60,49.03,1863300,48.35
2011-02-07,48.34,48.90,48.13,48.79,1672700,48.12
2011-02-04,47.92,48.54,47.63,48.40,1988300,47.73
2011-02-03,47.57,48.30,47.49,48.20,1827000,47.54
2011-02-02,47.50,48.00,47.44,47.81,1906800,47.15
2011-02-01,47.15,47.67,46.98,47.57,2151700,46.91
2011-01-31,46.63,46.94,46.06,46.93,2264000,46.28
2011-01-28,47.54,47.67,46.02,46.77,2800800,46.13
2011-01-27,47.19,47.53,47.08,47.31,1995600,46.66
2011-01-26,46.42,47.33,46.17,47.12,3463800,46.47
2011-01-25,46.90,46.90,46.17,46.50,2805700,45.86
2011-01-24,47.00,47.36,46.65,47.12,1777800,46.47
2011-01-21,47.21,47.47,46.81,46.86,2523500,46.21
2011-01-20,47.48,47.54,46.85,47.18,3188500,46.53
2011-01-19,47.25,47.76,47.07,47.40,3161700,46.75
2011-01-18,46.82,47.50,46.50,47.35,4457200,46.70
2011-01-14,46.18,47.00,45.90,46.98,2512600,46.33
2011-01-13,46.51,47.04,46.15,46.36,3267500,45.72
2011-01-12,47.16,47.28,46.42,46.58,4392600,45.94
2011-01-11,47.81,47.84,46.96,47.05,4317700,46.40
2011-01-10,48.10,48.18,47.66,47.75,2698400,47.09
2011-01-07,48.41,48.74,47.96,48.39,2298700,47.72
2011-01-06,48.87,48.90,48.17,48.30,3327700,47.63
2011-01-05,49.03,49.52,48.24,48.74,3441500,48.07
2011-01-04,49.79,50.20,48.84,49.29,2220600,48.61
2011-01-03,49.68,50.54,49.68,49.83,3190300,49.14
