Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,9.74,9.78,9.63,9.73,3322100,9.51
2011-12-29,9.56,9.74,9.46,9.69,2246700,9.47
2011-12-28,9.72,9.74,9.44,9.47,2780800,9.26
2011-12-27,9.60,9.87,9.60,9.69,2938000,9.47
2011-12-23,9.62,9.69,9.50,9.69,2061000,9.47
2011-12-22,9.41,9.57,9.37,9.52,3078200,9.31
2011-12-21,9.45,9.47,9.11,9.41,6082200,9.20
2011-12-20,9.25,9.49,9.16,9.38,6526900,9.17
2011-12-19,9.15,9.19,8.97,9.03,4850600,8.83
2011-12-16,9.18,9.25,9.02,9.09,8243900,8.89
2011-12-15,9.08,9.21,9.00,9.09,4589300,8.89
2011-12-14,9.16,9.23,8.83,8.90,6549600,8.70
2011-12-13,9.54,9.61,9.23,9.32,5516800,9.11
2011-12-12,9.37,9.49,9.18,9.46,8552100,9.25
2011-12-09,9.31,9.67,9.29,9.58,3478100,9.37
2011-12-08,9.57,9.72,9.22,9.26,5511700,9.05
2011-12-07,9.57,9.73,9.36,9.64,4538800,9.43
2011-12-06,9.76,9.79,9.51,9.63,4287500,9.42
2011-12-05,9.76,10.00,9.69,9.76,9378500,9.54
2011-12-02,9.68,9.72,9.51,9.54,5543500,9.33
2011-12-01,9.34,9.63,9.27,9.52,6532800,9.31
2011-11-30,9.36,9.42,9.12,9.38,7718100,9.17
2011-11-29,8.78,9.00,8.72,8.84,5313200,8.64
2011-11-28,8.83,9.01,8.71,8.79,6945300,8.54
2011-11-25,8.28,8.58,8.27,8.41,2894900,8.17
2011-11-23,8.57,8.65,8.32,8.32,5544500,8.08
2011-11-22,8.86,8.95,8.68,8.75,4182500,8.50
2011-11-21,8.73,8.92,8.70,8.87,4873400,8.61
2011-11-18,9.27,9.27,8.95,8.96,5834600,8.70
2011-11-17,9.36,9.44,9.12,9.20,5696200,8.93
2011-11-16,9.28,9.61,9.27,9.41,7368600,9.14
2011-11-15,9.38,9.51,9.23,9.42,4365300,9.15
2011-11-14,9.48,9.57,9.30,9.43,3717700,9.16
2011-11-11,9.50,9.66,9.45,9.58,5091200,9.30
2011-11-10,9.44,9.53,9.22,9.32,7044500,9.05
2011-11-09,9.39,9.52,9.19,9.29,10276000,9.02
2011-11-08,9.80,9.82,9.51,9.71,6379300,9.43
2011-11-07,9.68,9.78,9.58,9.70,6701100,9.42
2011-11-04,9.55,9.79,9.53,9.68,7077000,9.40
2011-11-03,9.45,9.75,9.19,9.72,9707400,9.44
2011-11-02,9.18,9.44,9.12,9.35,7350300,9.08
2011-11-01,8.99,9.44,8.92,9.00,14980500,8.74
2011-10-31,9.78,9.86,9.47,9.48,10494600,9.21
2011-10-28,10.21,10.50,9.79,9.92,24492100,9.63
2011-10-27,8.93,9.03,8.76,8.92,15644200,8.66
2011-10-26,8.53,8.67,8.34,8.60,6040900,8.35
2011-10-25,8.69,8.69,8.38,8.39,5702700,8.15
2011-10-24,8.50,8.86,8.44,8.75,5577600,8.50
2011-10-21,8.44,8.63,8.23,8.43,6816000,8.19
2011-10-20,8.11,8.39,7.96,8.30,7814700,8.06
2011-10-19,7.95,8.22,7.82,8.06,8038200,7.83
2011-10-18,7.46,8.07,7.35,7.99,19045200,7.76
2011-10-17,7.61,7.84,7.41,7.44,14132300,7.22
2011-10-14,8.05,8.11,7.83,8.01,7132900,7.78
2011-10-13,8.13,8.13,7.77,7.89,10141700,7.66
2011-10-12,8.14,8.31,8.10,8.21,5103500,7.97
2011-10-11,7.80,8.11,7.71,8.04,5574900,7.81
2011-10-10,7.81,8.01,7.70,7.85,4792200,7.62
2011-10-07,7.86,7.93,7.45,7.60,7359500,7.38
2011-10-06,7.57,7.86,7.37,7.79,9113700,7.56
2011-10-05,7.47,7.67,7.30,7.61,9473100,7.39
2011-10-04,6.76,7.47,6.73,7.45,10603600,7.23
2011-10-03,7.14,7.21,6.93,6.95,17620400,6.75
2011-09-30,7.24,7.36,7.11,7.20,8269600,6.99
2011-09-29,7.45,7.56,7.23,7.41,7580000,7.20
2011-09-28,7.91,7.95,7.23,7.27,10613700,7.06
2011-09-27,7.69,8.03,7.69,7.91,9703500,7.68
2011-09-26,7.33,7.46,6.97,7.45,10787100,7.23
2011-09-23,7.18,7.32,7.11,7.24,10802600,7.03
2011-09-22,7.33,7.55,7.09,7.24,12674400,7.03
2011-09-21,8.06,8.12,7.66,7.67,15244700,7.45
2011-09-20,7.57,8.36,7.57,8.13,18271600,7.90
2011-09-19,7.73,7.75,7.45,7.51,11796200,7.29
2011-09-16,8.06,8.13,7.89,7.96,8584600,7.73
2011-09-15,7.91,8.04,7.87,7.96,9393300,7.73
2011-09-14,7.70,7.94,7.60,7.84,9032800,7.61
2011-09-13,7.48,7.68,7.45,7.64,7080900,7.42
2011-09-12,7.38,7.47,7.22,7.45,9444300,7.23
2011-09-09,7.65,7.67,7.42,7.49,7510800,7.27
2011-09-08,7.93,8.02,7.70,7.75,9196100,7.53
2011-09-07,7.66,8.01,7.59,8.00,6568700,7.77
2011-09-06,7.50,7.69,7.46,7.59,8452300,7.31
2011-09-02,7.96,8.07,7.79,7.85,6345900,7.56
2011-09-01,8.65,8.67,8.14,8.21,9440600,7.91
2011-08-31,8.75,8.86,8.53,8.63,5554100,8.31
2011-08-30,8.61,8.77,8.49,8.67,6023100,8.35
2011-08-29,8.21,8.67,8.21,8.66,12410000,8.34
2011-08-26,7.91,8.31,7.76,8.08,15742200,7.78
2011-08-25,8.30,8.33,7.95,7.98,13071000,7.69
2011-08-24,8.21,8.36,8.14,8.23,8731900,7.93
2011-08-23,7.84,8.34,7.78,8.29,10052600,7.99
2011-08-22,7.96,8.00,7.63,7.78,7625500,7.50
2011-08-19,7.79,8.06,7.65,7.74,10708700,7.46
2011-08-18,8.33,8.33,7.76,7.85,10589200,7.56
2011-08-17,8.90,9.00,8.53,8.61,5411800,8.30
2011-08-16,8.79,8.89,8.69,8.79,8305200,8.47
2011-08-15,8.73,8.92,8.64,8.90,9107100,8.57
2011-08-12,8.61,8.73,8.42,8.64,13785400,8.32
2011-08-11,8.01,8.67,7.97,8.53,22386000,8.22
2011-08-10,7.87,8.13,7.75,7.89,17003500,7.60
2011-08-09,7.63,8.15,7.50,8.15,14772300,7.85
2011-08-08,8.04,8.16,7.49,7.49,14322100,7.22
2011-08-05,8.91,8.91,8.00,8.37,23325100,8.06
2011-08-04,9.14,9.15,8.73,8.74,14118900,8.42
2011-08-03,9.10,9.44,8.89,9.38,15840600,9.04
2011-08-02,9.59,9.71,9.04,9.04,20809400,8.71
2011-08-01,9.94,10.06,9.44,9.57,21296500,9.22
2011-07-29,9.77,10.00,9.22,9.81,20802800,9.45
2011-07-28,11.04,11.04,9.84,10.13,41801700,9.76
2011-07-27,12.37,12.41,11.97,12.10,13243000,11.66
2011-07-26,12.50,12.55,12.35,12.49,4332500,12.03
2011-07-25,12.44,12.57,12.44,12.53,9495700,12.07
2011-07-22,12.48,12.70,12.42,12.66,4251000,12.20
2011-07-21,12.47,12.55,12.36,12.44,6048900,11.98
2011-07-20,12.62,12.62,12.32,12.36,3728200,11.91
2011-07-19,12.15,12.57,12.15,12.56,10479700,12.10
2011-07-18,12.02,12.08,11.76,11.86,6420500,11.43
2011-07-15,12.05,12.16,11.90,12.12,6502100,11.68
2011-07-14,12.20,12.28,11.89,11.92,7357300,11.48
2011-07-13,12.49,12.55,12.09,12.16,9047900,11.72
2011-07-12,12.23,12.38,12.09,12.33,8014400,11.88
2011-07-11,12.44,12.57,12.32,12.36,8604600,11.91
2011-07-08,12.64,12.76,12.56,12.72,6201800,12.25
2011-07-07,12.77,12.91,12.67,12.84,5598600,12.37
2011-07-06,12.68,12.70,12.43,12.59,8395600,12.13
2011-07-05,12.68,12.87,12.64,12.75,7193300,12.28
2011-07-01,12.47,12.73,12.40,12.71,5603100,12.25
2011-06-30,12.25,12.63,12.21,12.50,7937000,12.04
2011-06-29,12.17,12.32,12.12,12.18,5612000,11.73
2011-06-28,11.73,12.15,11.71,12.08,7803300,11.64
2011-06-27,11.61,11.72,11.44,11.66,3464400,11.23
2011-06-24,11.61,11.70,11.45,11.46,7302700,11.04
2011-06-23,11.40,11.64,11.32,11.61,7733400,11.19
2011-06-22,11.75,11.88,11.62,11.62,4676400,11.19
2011-06-21,11.51,11.82,11.46,11.81,6026600,11.38
2011-06-20,11.18,11.57,11.18,11.45,4289300,11.03
2011-06-17,11.56,11.59,11.28,11.36,6609000,10.94
2011-06-16,11.55,11.57,11.27,11.42,5610100,11.00
2011-06-15,11.64,11.78,11.49,11.62,6625500,11.19
2011-06-14,11.70,11.80,11.59,11.76,4130500,11.33
2011-06-13,11.53,11.76,11.45,11.53,6252100,11.11
2011-06-10,11.86,11.86,11.47,11.50,10117100,11.08
2011-06-09,11.21,12.00,11.18,11.90,16413000,11.46
2011-06-08,11.31,11.36,11.14,11.18,12891100,10.77
2011-06-07,11.29,11.42,11.25,11.40,7899700,10.93
2011-06-06,11.38,11.48,11.22,11.25,6419500,10.78
2011-06-03,11.30,11.44,11.14,11.40,8605400,10.93
2011-06-02,11.49,11.67,11.45,11.50,10561500,11.02
2011-06-01,11.85,11.90,11.50,11.51,11188100,11.03
2011-05-31,11.96,12.00,11.83,11.93,4928900,11.43
2011-05-27,11.87,12.00,11.82,11.86,5451300,11.37
2011-05-26,11.65,11.91,11.58,11.79,5746300,11.30
2011-05-25,11.72,11.76,11.45,11.72,5451100,11.23
2011-05-24,11.76,11.79,11.48,11.54,5728700,11.06
2011-05-23,11.68,11.84,11.66,11.75,7215700,11.26
2011-05-20,11.90,12.05,11.75,11.89,8487100,11.39
2011-05-19,11.72,11.95,11.68,11.87,7427800,11.38
2011-05-18,11.17,11.72,11.16,11.71,11264200,11.22
2011-05-17,11.10,11.22,10.98,11.15,7448000,10.69
2011-05-16,11.42,11.46,11.13,11.17,8869400,10.70
2011-05-13,11.42,11.63,11.38,11.56,9655400,11.08
2011-05-12,11.20,11.47,11.09,11.39,7751300,10.92
2011-05-11,11.31,11.37,11.03,11.20,7266600,10.73
2011-05-10,11.20,11.36,11.17,11.30,10017500,10.83
2011-05-09,11.36,11.45,11.10,11.16,7861900,10.70
2011-05-06,11.40,11.52,11.25,11.32,8025100,10.85
2011-05-05,11.20,11.41,11.13,11.22,6676700,10.75
2011-05-04,11.44,11.50,11.14,11.27,9039600,10.80
2011-05-03,11.39,11.52,11.27,11.45,13705700,10.97
2011-05-02,11.86,11.86,11.29,11.40,19249100,10.93
2011-04-29,11.75,11.82,11.52,11.75,13119600,11.26
2011-04-28,12.35,12.39,11.66,11.73,27840600,11.24
2011-04-27,12.17,12.54,11.95,12.42,13995500,11.90
2011-04-26,12.27,12.31,12.10,12.12,4000000,11.62
2011-04-25,12.31,12.38,12.23,12.25,4315300,11.74
2011-04-21,11.86,12.36,11.79,12.34,9454400,11.83
2011-04-20,11.99,11.99,11.75,11.81,8747300,11.32
2011-04-19,11.71,11.79,11.51,11.77,8043900,11.28
2011-04-18,11.68,11.79,11.51,11.74,5771800,11.25
2011-04-15,12.00,12.09,11.88,11.88,5630300,11.39
2011-04-14,11.94,12.01,11.80,11.96,5976200,11.46
2011-04-13,12.01,12.11,11.86,12.02,5612600,11.52
2011-04-12,11.88,11.98,11.71,11.93,7565000,11.43
2011-04-11,12.14,12.21,11.93,11.97,6617300,11.47
2011-04-08,12.40,12.43,11.99,12.10,6310300,11.60
2011-04-07,12.41,12.48,12.23,12.33,5765600,11.82
2011-04-06,12.67,12.71,12.34,12.41,6541700,11.89
2011-04-05,12.63,12.76,12.52,12.56,5240500,12.04
2011-04-04,12.67,12.79,12.57,12.63,6116100,12.10
2011-04-01,12.45,12.80,12.38,12.62,9632700,12.09
2011-03-31,12.33,12.62,12.27,12.57,10896200,12.05
2011-03-30,12.20,12.43,12.14,12.38,20695500,11.86
2011-03-29,12.14,12.15,12.00,12.10,7082200,11.60
2011-03-28,12.15,12.23,12.09,12.11,11159700,11.61
2011-03-25,12.10,12.20,11.98,12.10,19964100,11.60
2011-03-24,11.96,12.04,11.78,11.99,12513600,11.49
2011-03-23,11.93,11.95,11.75,11.89,12559800,11.39
2011-03-22,12.20,12.24,11.88,11.96,5720100,11.46
2011-03-21,12.15,12.22,12.09,12.18,8544700,11.67
2011-03-18,12.17,12.22,11.89,11.92,11892300,11.42
2011-03-17,12.04,12.11,11.95,12.02,6983600,11.52
2011-03-16,11.98,12.13,11.74,11.75,11806100,11.26
2011-03-15,11.99,12.21,11.97,12.05,10884300,11.55
2011-03-14,12.60,12.76,12.28,12.43,7587000,11.91
2011-03-11,12.63,12.84,12.59,12.71,6741000,12.18
2011-03-10,12.84,12.90,12.65,12.70,9944500,12.17
2011-03-09,12.98,13.25,12.82,13.07,9242200,12.53
2011-03-08,12.90,13.26,12.80,13.08,9300400,12.48
2011-03-07,13.09,13.16,12.75,12.84,7919800,12.25
2011-03-04,12.98,13.16,12.86,13.03,5703800,12.43
2011-03-03,13.00,13.22,12.96,13.02,5566700,12.42
2011-03-02,12.55,13.00,12.55,12.81,6265400,12.22
2011-03-01,13.23,13.26,12.52,12.61,15984700,12.03
2011-02-28,12.67,13.35,12.53,13.20,14330000,12.59
2011-02-25,12.82,12.90,12.37,12.57,14551500,11.99
2011-02-24,11.52,11.75,11.36,11.62,7887800,11.08
2011-02-23,11.88,12.01,11.40,11.52,7689500,10.99
2011-02-22,12.42,12.51,11.88,11.90,7401100,11.35
2011-02-18,12.53,12.64,12.45,12.64,3410800,12.06
2011-02-17,12.39,12.57,12.34,12.55,3176700,11.97
2011-02-16,12.40,12.46,12.29,12.46,3906000,11.89
2011-02-15,12.26,12.55,12.20,12.37,6837400,11.80
2011-02-14,12.32,12.40,12.18,12.30,4788400,11.73
2011-02-11,12.20,12.40,12.05,12.31,6569100,11.74
2011-02-10,11.71,12.05,11.69,11.86,5525900,11.31
2011-02-09,11.84,11.95,11.73,11.74,7027500,11.20
2011-02-08,11.74,11.96,11.65,11.95,6199700,11.40
2011-02-07,11.76,11.79,11.50,11.72,5416500,11.18
2011-02-04,11.66,11.97,11.61,11.75,7725100,11.21
2011-02-03,10.96,11.72,10.96,11.72,15754500,11.18
2011-02-02,10.78,11.06,10.76,10.94,3181000,10.44
2011-02-01,10.79,10.90,10.61,10.85,3732800,10.35
2011-01-31,10.74,10.93,10.62,10.69,7295400,10.20
2011-01-28,11.09,11.22,10.70,10.72,5511300,10.23
2011-01-27,11.01,11.17,10.94,11.07,4725200,10.56
2011-01-26,10.91,11.06,10.85,10.98,4632400,10.47
2011-01-25,10.91,10.93,10.71,10.89,3280200,10.39
2011-01-24,10.92,10.95,10.72,10.93,5390300,10.43
2011-01-21,10.98,11.12,10.88,10.94,3428900,10.44
2011-01-20,10.98,11.03,10.78,10.93,3053100,10.43
2011-01-19,11.25,11.29,11.04,11.04,5085600,10.53
2011-01-18,11.09,11.34,11.04,11.29,4029000,10.77
2011-01-14,11.08,11.15,11.00,11.10,2374700,10.59
2011-01-13,11.14,11.26,11.05,11.13,3383600,10.62
2011-01-12,11.18,11.24,11.04,11.13,4762300,10.62
2011-01-11,11.20,11.20,10.91,11.07,5950000,10.56
2011-01-10,11.06,11.22,11.00,11.17,4883400,10.66
2011-01-07,10.64,11.24,10.64,11.11,14208900,10.60
2011-01-06,10.64,10.66,10.55,10.61,2888600,10.12
2011-01-05,10.44,10.67,10.36,10.62,7466900,10.13
2011-01-04,10.74,10.78,10.45,10.47,5838300,9.99
2011-01-03,10.71,10.78,10.69,10.76,5756200,10.26
