Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,30.57,30.67,30.22,30.47,1418500,30.01
2011-12-29,30.33,30.82,30.29,30.64,1434100,30.18
2011-12-28,31.13,31.18,30.03,30.28,1916300,29.83
2011-12-27,31.11,31.39,31.02,31.20,1717000,30.73
2011-12-23,31.31,31.35,31.05,31.24,1663000,30.77
2011-12-22,31.15,31.42,30.83,31.14,3206500,30.67
2011-12-21,31.40,31.55,30.62,30.92,4432000,30.46
2011-12-20,30.43,31.54,30.38,31.44,3961600,30.97
2011-12-19,30.83,30.92,29.68,29.82,2701700,29.37
2011-12-16,31.22,31.75,30.56,30.65,6578800,30.19
2011-12-15,30.86,31.03,30.49,30.97,3846600,30.51
2011-12-14,30.61,30.77,29.99,30.37,4341100,29.92
2011-12-13,32.24,32.44,30.71,30.92,3581700,30.46
2011-12-12,32.61,32.71,31.78,32.11,2637600,31.63
2011-12-09,32.38,33.38,32.27,33.18,3077200,32.57
2011-12-08,33.19,33.58,32.17,32.29,2954200,31.69
2011-12-07,33.46,33.79,32.58,33.58,4759100,32.96
2011-12-06,33.57,34.01,33.45,33.67,3471100,33.05
2011-12-05,33.91,34.78,33.89,34.18,2641200,33.55
2011-12-02,33.88,34.23,33.17,33.23,3281700,32.61
2011-12-01,32.81,33.70,32.65,33.43,4628700,32.81
2011-11-30,32.26,33.18,32.26,33.12,4976900,32.51
2011-11-29,31.08,31.78,30.86,30.92,3680900,30.35
2011-11-28,30.29,31.04,30.07,30.82,4862100,30.25
2011-11-25,29.17,29.91,29.06,29.17,1345100,28.63
2011-11-23,30.39,30.47,29.26,29.33,3160600,28.79
2011-11-22,30.91,31.12,30.37,30.77,3221800,30.20
2011-11-21,30.67,31.57,30.42,31.06,6881800,30.48
2011-11-18,30.47,31.60,30.15,31.20,4559500,30.62
2011-11-17,31.26,31.34,29.94,30.14,4404300,29.58
2011-11-16,31.30,32.33,30.98,31.50,4077700,30.92
2011-11-15,30.95,32.02,30.83,31.78,3402000,31.19
2011-11-14,31.15,31.55,30.87,31.19,3087300,30.61
2011-11-11,30.54,31.50,30.44,31.41,4836600,30.83
2011-11-10,30.60,30.76,29.75,29.98,5501600,29.42
2011-11-09,31.21,31.46,29.94,30.10,8901100,29.54
2011-11-08,32.42,32.66,31.59,32.26,4678100,31.66
2011-11-07,32.54,32.80,31.38,32.26,3988900,31.66
2011-11-04,32.70,32.71,32.01,32.46,4030000,31.86
2011-11-03,32.74,33.03,31.73,32.95,5085700,32.34
2011-11-02,31.19,32.66,30.97,32.35,6822800,31.75
2011-11-01,29.94,31.37,29.47,30.71,6328400,30.14
2011-10-31,31.64,31.84,31.01,31.13,5734900,30.55
2011-10-28,31.31,32.40,31.09,32.34,4440000,31.74
2011-10-27,31.34,32.07,30.87,31.50,6352700,30.92
2011-10-26,30.10,30.59,29.43,30.36,6841600,29.80
2011-10-25,29.22,30.05,28.59,29.62,7358600,29.07
2011-10-24,28.07,29.83,28.07,29.50,6996100,28.95
2011-10-21,27.57,27.94,27.10,27.94,7446600,27.42
2011-10-20,29.84,29.88,26.62,27.38,12692900,26.87
2011-10-19,30.32,30.77,29.59,29.73,5856400,29.18
2011-10-18,29.11,30.52,28.74,30.30,5710500,29.74
2011-10-17,30.32,30.50,28.93,29.02,3478000,28.48
2011-10-14,29.78,30.60,29.71,30.53,3445900,29.96
2011-10-13,29.49,29.55,28.81,29.28,4043100,28.74
2011-10-12,29.00,30.31,28.95,29.94,6219100,29.39
2011-10-11,28.28,28.95,28.12,28.80,6864400,28.27
2011-10-10,27.89,28.54,27.89,28.40,6386300,27.87
2011-10-07,28.46,28.48,27.50,27.74,8561000,27.23
