Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,46.69,47.13,46.66,46.71,1313000,45.52
2011-12-29,46.54,46.99,46.40,46.91,1500100,45.72
2011-12-28,47.47,47.55,46.28,46.41,1847700,45.23
2011-12-27,47.62,48.00,47.44,47.87,1093900,46.30
2011-12-23,47.22,47.79,47.07,47.72,1563500,46.16
2011-12-22,46.99,47.33,46.76,46.97,2422000,45.43
2011-12-21,47.33,47.87,46.19,46.70,4179500,45.17
2011-12-20,46.58,47.33,46.39,47.23,2807000,45.68
2011-12-19,46.22,46.28,45.49,45.62,3307800,44.13
2011-12-16,46.13,47.09,45.80,46.00,5745900,44.49
2011-12-15,46.46,46.66,45.66,45.75,2567200,44.25
2011-12-14,46.09,46.17,45.48,45.82,4168000,44.32
2011-12-13,47.16,47.33,46.13,46.43,3789300,44.91
2011-12-12,46.64,46.86,46.05,46.76,2926100,45.23
2011-12-09,46.50,47.24,46.28,47.13,3034100,45.59
2011-12-08,47.10,47.20,46.20,46.32,4231900,44.80
2011-12-07,46.97,47.73,46.19,47.51,8082500,45.95
2011-12-06,46.92,47.53,46.71,47.19,3059500,45.65
2011-12-05,46.86,47.25,46.54,47.03,4440100,45.49
2011-12-02,45.56,46.49,45.53,45.95,5096000,44.45
2011-12-01,45.28,45.66,45.05,45.12,2838100,43.64
2011-11-30,44.93,45.60,44.92,45.44,6398100,43.95
2011-11-29,43.75,44.16,43.19,43.39,4092500,41.97
2011-11-28,43.85,44.22,43.34,43.70,3003400,42.27
2011-11-25,42.53,43.11,42.41,42.58,1302300,41.19
2011-11-23,43.63,43.76,42.50,42.50,2710300,41.11
2011-11-22,43.80,44.34,43.31,44.05,2717100,42.61
2011-11-21,44.30,44.42,43.29,43.79,3092300,42.36
2011-11-18,44.91,45.26,44.37,44.94,3535100,43.47
2011-11-17,45.17,45.31,44.00,44.38,3618800,42.93
2011-11-16,45.88,46.31,45.35,45.44,4207200,43.95
2011-11-15,46.24,46.68,46.11,46.24,8102200,44.73
2011-11-14,46.74,47.03,46.03,46.34,3247200,44.82
2011-11-11,46.98,47.18,46.65,46.93,3551700,45.39
2011-11-10,46.83,46.95,45.85,46.19,5612100,44.68
2011-11-09,47.47,47.49,45.99,46.14,6247700,44.63
2011-11-08,49.56,49.66,48.32,48.98,4518400,47.38
2011-11-07,49.41,49.92,48.56,49.72,2871900,48.09
2011-11-04,48.94,49.48,48.71,49.23,2630200,47.62
2011-11-03,48.51,49.62,47.99,49.52,4094900,47.90
2011-11-02,47.42,48.22,47.30,47.86,3392000,46.29
2011-11-01,46.89,47.92,46.29,46.65,4627100,45.12
2011-10-31,48.25,49.29,47.68,48.63,6078300,47.04
2011-10-28,48.94,49.60,48.57,49.13,3803200,47.52
2011-10-27,47.90,49.67,47.85,49.18,5438200,47.57
2011-10-26,46.33,46.63,45.17,46.28,4752900,44.77
2011-10-25,47.92,47.92,45.45,45.65,5355000,44.16
2011-10-24,47.50,48.58,47.36,48.23,3174600,46.65
2011-10-21,47.20,47.38,46.71,47.36,3254100,45.81
2011-10-20,46.42,46.83,45.64,46.53,2705900,45.01
2011-10-19,46.72,47.10,45.99,46.21,2211300,44.70
2011-10-18,45.50,47.26,45.00,46.82,3803000,45.29
2011-10-17,46.72,46.79,45.22,45.43,2602400,43.94
2011-10-14,46.45,46.99,46.26,46.89,2722600,45.36
2011-10-13,45.64,45.90,44.90,45.69,2389000,44.19
2011-10-12,45.04,46.60,45.04,46.02,3185600,44.51
2011-10-11,44.77,44.98,44.22,44.74,3291900,43.28
2011-10-10,44.04,44.99,43.85,44.99,2329000,43.52
2011-10-07,44.28,44.28,42.64,43.15,4907800,41.74
2011-10-06,42.89,43.85,42.43,43.85,5065200,42.41
2011-10-05,42.04,43.00,41.60,42.85,4469800,41.45
2011-10-04,39.38,41.88,39.12,41.85,5000000,40.48
2011-10-03,41.15,41.70,40.13,40.15,4906100,38.84
2011-09-30,42.63,43.00,41.59,41.60,4178400,40.24
2011-09-29,43.86,44.19,42.49,43.20,3867200,41.79
2011-09-28,44.76,45.07,42.87,42.96,3678800,41.55
2011-09-27,45.34,46.06,44.68,44.96,3067300,43.14
2011-09-26,43.03,44.12,42.24,44.08,3702300,42.30
2011-09-23,41.50,43.35,41.50,42.66,4468900,40.93
2011-09-22,42.34,42.52,41.56,42.08,7108300,40.38
2011-09-21,44.89,45.38,43.62,43.65,4734100,41.88
2011-09-20,45.32,45.95,44.89,45.00,3629500,43.18
2011-09-19,44.57,45.34,44.08,45.11,3652100,43.28
2011-09-16,45.94,46.29,45.05,45.39,4960800,43.55
2011-09-15,45.34,45.62,44.73,45.60,3622700,43.75
2011-09-14,43.74,45.33,43.00,44.80,5174000,42.99
2011-09-13,42.52,43.65,42.27,43.41,4310800,41.65
2011-09-12,41.99,42.47,41.24,42.36,4648800,40.65
2011-09-09,43.59,43.67,42.26,42.51,4226000,40.79
2011-09-08,44.51,44.89,43.91,44.15,3272300,42.36
2011-09-07,44.12,45.04,43.89,45.00,3549000,43.18
2011-09-06,42.30,43.59,42.18,43.40,4540500,41.64
2011-09-02,44.40,44.60,43.50,43.67,3966600,41.90
2011-09-01,46.78,46.88,45.09,45.21,5124500,43.38
2011-08-31,46.79,47.27,46.14,46.54,3761200,44.66
2011-08-30,46.39,46.71,45.72,46.42,3931800,44.54
2011-08-29,45.41,46.57,45.40,46.45,2708400,44.57
2011-08-26,43.33,45.10,42.54,44.79,4798300,42.98
2011-08-25,45.00,45.15,43.46,43.57,6498800,41.81
2011-08-24,43.85,44.86,43.37,44.73,4863500,42.92
2011-08-23,42.17,43.85,41.80,43.83,5919100,42.06
2011-08-22,42.36,42.67,41.90,42.04,6677800,40.34
2011-08-19,40.99,42.18,40.82,41.36,7705700,39.69
2011-08-18,42.59,42.77,41.08,41.42,8271600,39.74
2011-08-17,45.09,45.47,43.82,44.05,4732100,42.27
2011-08-16,44.46,45.24,44.31,44.77,4400000,42.96
2011-08-15,45.01,45.98,44.80,45.29,5269100,43.46
2011-08-12,44.99,45.43,44.45,45.09,5034900,43.26
2011-08-11,42.56,45.55,42.52,44.83,6940500,43.02
2011-08-10,43.43,44.29,42.22,42.32,10189900,40.61
2011-08-09,43.13,44.49,41.69,44.38,11071900,42.58
2011-08-08,45.01,45.37,42.80,42.90,8200500,41.16
2011-08-05,47.29,47.80,45.48,46.33,9731700,44.45
2011-08-04,48.22,48.22,46.48,46.50,6749900,44.62
2011-08-03,48.34,49.33,47.62,48.87,7930300,46.89
2011-08-02,48.94,49.66,48.34,48.34,6119600,46.38
2011-08-01,50.51,51.20,49.41,49.90,5047500,47.88
2011-07-29,49.22,50.29,49.05,49.80,7215800,47.78
2011-07-28,50.79,51.36,49.77,49.79,7165100,47.77
2011-07-27,51.99,52.00,50.50,50.72,7590500,48.67
2011-07-26,52.46,54.07,51.70,52.34,12866100,50.22
2011-07-25,56.56,57.60,56.38,57.01,3171700,54.70
2011-07-22,56.90,56.98,56.27,56.97,1947500,54.66
2011-07-21,57.02,57.60,56.57,56.96,3304100,54.65
2011-07-20,56.92,56.92,56.20,56.58,1758000,54.29
2011-07-19,56.55,56.72,55.93,56.62,2725100,54.33
2011-07-18,56.87,56.87,55.95,56.33,2243100,54.05
2011-07-15,56.99,57.09,56.50,57.09,2902400,54.78
2011-07-14,57.78,58.07,56.66,56.82,2587500,54.52
2011-07-13,57.99,58.34,57.63,57.72,2308600,55.38
2011-07-12,58.01,58.15,57.53,57.60,3195300,55.27
2011-07-11,58.05,58.26,57.93,58.14,3448200,55.79
2011-07-08,58.15,58.95,58.01,58.91,2948900,56.53
2011-07-07,58.59,59.27,58.47,59.02,3128000,56.63
2011-07-06,57.60,58.28,57.56,58.12,2496300,55.77
2011-07-05,57.64,57.85,57.22,57.65,2996300,55.32
2011-07-01,56.29,57.71,56.18,57.61,3097000,55.28
2011-06-30,55.42,56.65,55.33,56.49,3313600,54.20
2011-06-29,55.16,55.28,54.73,55.18,2648700,52.95
2011-06-28,54.63,55.24,54.44,54.99,2631600,52.76
2011-06-27,54.40,55.06,54.18,54.75,1792600,52.21
2011-06-24,54.92,55.14,54.27,54.35,2311000,51.83
2011-06-23,54.64,54.97,54.04,54.88,4160400,52.33
2011-06-22,56.00,56.58,55.39,55.44,3356600,52.87
2011-06-21,54.93,55.67,54.51,55.54,2786100,52.96
2011-06-20,54.84,55.09,54.28,54.62,3625100,52.08
2011-06-17,55.08,55.27,54.77,54.93,2988400,52.38
