Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,20.13,20.20,20.00,20.09,1431800,19.55
2011-12-29,19.78,20.20,19.67,20.10,2339800,19.56
2011-12-28,20.17,20.17,19.64,19.67,1960600,19.14
2011-12-27,20.08,20.35,20.03,20.10,1295400,19.56
2011-12-23,20.05,20.27,19.88,20.22,1896000,19.67
2011-12-22,19.81,19.91,19.65,19.90,3653700,19.36
2011-12-21,19.60,19.81,19.30,19.66,3946600,19.13
2011-12-20,19.16,19.63,19.16,19.60,3918400,19.07
2011-12-19,19.33,19.37,18.55,18.67,4801900,18.17
2011-12-16,19.21,19.50,19.04,19.24,6247000,18.72
2011-12-15,19.44,19.44,19.01,19.04,3406400,18.53
2011-12-14,19.11,19.34,18.94,19.11,4873500,18.59
2011-12-13,20.23,20.34,18.99,19.32,6613700,18.80
2011-12-12,20.37,20.37,19.78,20.02,3743000,19.48
2011-12-09,20.30,20.84,20.25,20.78,4312900,20.22
2011-12-08,20.71,20.81,20.09,20.17,3932100,19.63
2011-12-07,20.44,21.05,20.26,20.96,2902400,20.39
2011-12-06,20.67,20.89,20.46,20.67,3147300,20.11
2011-12-05,20.75,20.93,20.42,20.71,3769000,20.15
2011-12-02,20.51,21.00,20.10,20.28,6221800,19.73
2011-12-01,20.07,20.35,19.84,20.23,3156300,19.68
2011-11-30,19.88,20.33,19.74,20.25,6531100,19.70
2011-11-29,18.93,19.09,18.70,18.97,3631600,18.46
2011-11-28,18.71,19.28,18.66,18.86,5385600,18.35
2011-11-25,17.78,18.18,17.71,17.91,1661200,17.43
2011-11-23,17.93,18.23,17.80,17.80,5223000,17.32
2011-11-22,18.50,18.71,18.21,18.23,5873900,17.74
2011-11-21,18.94,19.01,18.40,18.64,6000900,18.14
2011-11-18,19.46,19.63,19.24,19.39,3400900,18.87
2011-11-17,19.62,19.74,19.05,19.30,5802000,18.78
2011-11-16,19.86,20.27,19.66,19.68,4256000,19.15
2011-11-15,19.92,20.43,19.84,20.27,3614400,19.60
2011-11-14,20.15,20.29,19.76,20.10,5486300,19.44
2011-11-11,20.15,20.50,20.10,20.34,3687200,19.67
2011-11-10,19.60,19.94,19.31,19.74,5785000,19.09
2011-11-09,19.62,19.64,18.86,18.94,5751900,18.32
2011-11-08,20.18,20.45,19.84,20.28,6449900,19.61
