Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,19.88,20.07,19.63,19.66,1351400,19.45
2011-12-29,19.54,19.95,19.50,19.91,1479900,19.70
2011-12-28,20.00,20.00,19.53,19.55,2268500,19.34
2011-12-27,19.83,20.20,19.77,20.11,1292400,19.90
2011-12-23,19.90,19.99,19.73,19.91,1243500,19.70
2011-12-22,19.37,19.86,19.34,19.77,2307600,19.56
2011-12-21,19.53,19.64,18.79,19.40,6501100,19.19
2011-12-20,19.43,20.38,19.42,19.95,4948900,19.74
2011-12-19,19.53,19.64,18.91,18.96,3350300,18.76
2011-12-16,19.65,20.01,19.35,19.42,4422900,19.21
2011-12-15,19.54,19.82,19.47,19.51,3522500,19.30
2011-12-14,19.72,19.76,19.17,19.22,2720600,19.02
2011-12-13,20.53,20.62,19.63,19.73,4309700,19.52
2011-12-12,20.32,20.32,19.94,20.28,1837100,20.06
2011-12-09,20.16,20.73,20.09,20.65,2215800,20.43
2011-12-08,20.52,20.68,20.00,20.08,3004300,19.87
2011-12-07,20.69,20.81,20.22,20.66,2774800,20.44
2011-12-06,21.10,21.26,20.70,20.86,2370400,20.64
2011-12-05,21.05,21.39,20.74,21.12,2765100,20.90
2011-12-02,20.53,20.92,20.25,20.71,4547900,20.49
2011-12-01,20.28,20.56,20.07,20.40,3130600,20.18
2011-11-30,19.92,20.28,19.74,20.27,5239700,20.05
2011-11-29,19.06,19.32,18.94,19.07,3451600,18.87
2011-11-28,19.06,19.24,18.77,19.03,3800500,18.83
2011-11-25,18.23,18.63,18.18,18.34,2416600,18.14
2011-11-23,19.82,19.82,18.33,18.36,5953600,18.16
2011-11-22,20.36,20.41,19.91,20.08,4648200,19.87
2011-11-21,19.95,20.53,19.84,20.47,5062900,20.25
2011-11-18,20.46,20.59,20.15,20.32,3984000,20.10
2011-11-17,20.83,20.88,20.02,20.23,3707900,20.01
2011-11-16,20.84,21.29,20.77,20.86,3216700,20.64
2011-11-15,20.59,21.34,20.50,21.14,2605000,20.91
2011-11-14,20.73,20.96,20.53,20.69,2008500,20.47
2011-11-11,20.60,21.05,20.59,20.91,2295600,20.69
2011-11-10,20.20,20.58,19.90,20.27,3321800,20.05
2011-11-09,20.38,20.38,19.73,19.83,3844000,19.54
2011-11-08,20.88,21.19,20.67,21.01,3421900,20.70
2011-11-07,20.61,20.74,20.05,20.71,3125000,20.41
2011-11-04,20.43,20.74,20.11,20.59,3331500,20.29
2011-11-03,20.25,20.67,19.63,20.61,3696000,20.31
2011-11-02,20.13,20.21,19.49,19.80,4119900,19.51
2011-11-01,19.78,20.31,19.39,19.71,5527300,19.42
2011-10-31,21.02,21.02,20.53,20.56,3401300,20.26
2011-10-28,21.18,21.49,21.00,21.32,5413800,21.01
2011-10-27,21.06,21.22,20.66,21.12,7491400,20.81
2011-10-26,20.00,20.31,19.57,20.16,5295300,19.86
2011-10-25,20.35,20.43,19.66,19.73,3626300,19.44
2011-10-24,20.00,20.71,19.96,20.57,4078500,20.27
2011-10-21,19.56,19.99,19.39,19.92,4314600,19.63
2011-10-20,19.53,19.70,19.02,19.30,3849900,19.02
2011-10-19,19.97,20.02,19.40,19.54,3579100,19.25
2011-10-18,19.61,20.22,19.04,20.06,4851200,19.77
2011-10-17,19.85,19.95,19.45,19.61,4072900,19.32
2011-10-14,20.50,20.50,19.74,20.07,3554900,19.78
2011-10-13,20.08,20.35,19.60,20.04,4762300,19.75
2011-10-12,20.07,20.64,20.00,20.18,4479800,19.88
2011-10-11,19.99,20.01,19.62,19.83,3863600,19.54
2011-10-10,18.95,20.32,18.95,20.15,8172900,19.85
2011-10-07,19.00,19.10,18.36,18.60,4516300,18.33
2011-10-06,18.74,18.94,18.32,18.87,6201800,18.59
2011-10-05,18.02,18.81,17.95,18.70,8694400,18.43
2011-10-04,16.74,18.04,16.62,18.03,6600000,17.77
2011-10-03,17.76,18.49,16.97,17.04,6523100,16.79
2011-09-30,18.21,18.54,17.79,17.79,7019200,17.53
2011-09-29,19.22,19.22,18.00,18.65,7390600,18.38
2011-09-28,18.88,19.30,18.53,18.84,17575100,18.56
2011-09-27,17.30,17.78,17.11,17.38,6874000,17.13
2011-09-26,16.46,16.75,15.65,16.73,4592500,16.49
2011-09-23,15.89,16.39,15.75,16.28,2806200,16.04
2011-09-22,15.97,16.48,15.72,16.08,5444500,15.84
2011-09-21,17.33,17.62,16.82,16.84,3157900,16.59
2011-09-20,17.56,17.74,17.26,17.29,2923000,17.04
2011-09-19,17.18,17.62,16.99,17.51,2738100,17.25
2011-09-16,17.68,17.72,17.21,17.66,3379800,17.40
2011-09-15,17.68,17.75,17.24,17.64,3463200,17.38
2011-09-14,16.87,17.76,16.55,17.47,4092600,17.21
2011-09-13,16.23,16.83,16.11,16.76,3593500,16.51
2011-09-12,15.48,16.06,15.39,16.03,3535000,15.80
2011-09-09,16.10,16.36,15.52,15.76,3759900,15.53
2011-09-08,16.70,16.91,16.29,16.43,3013400,16.19
2011-09-07,16.30,16.90,16.29,16.84,5127200,16.59
2011-09-06,15.64,16.05,14.93,15.91,6561900,15.68
2011-09-02,16.34,16.51,16.16,16.37,4475500,16.13
