Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,35.50,35.72,35.15,35.15,2496300,34.75
2011-12-29,35.52,35.88,35.40,35.51,1560300,35.10
2011-12-28,35.29,35.60,34.86,35.34,1907900,34.93
2011-12-27,35.36,35.47,34.99,35.29,1842800,34.89
2011-12-23,35.43,35.67,35.02,35.67,2225600,35.26
2011-12-22,34.61,35.35,34.56,35.19,3150700,34.79
2011-12-21,33.51,34.82,33.24,34.61,3773700,34.21
2011-12-20,32.68,33.52,32.66,33.44,2497500,33.06
2011-12-19,32.96,33.06,32.14,32.28,2497300,31.91
2011-12-16,32.98,33.08,32.47,32.64,2663000,32.27
2011-12-15,32.72,32.95,32.40,32.59,2505100,32.22
2011-12-14,31.69,32.88,31.69,32.37,3308700,32.00
2011-12-13,33.45,33.45,31.75,31.88,3483000,31.51
2011-12-12,33.12,33.24,32.57,33.18,2049200,32.80
2011-12-09,33.29,33.83,33.26,33.58,2439300,33.20
2011-12-08,33.42,33.67,33.13,33.20,2720700,32.82
2011-12-07,33.04,33.71,32.98,33.51,3852500,33.13
2011-12-06,33.54,33.69,33.01,33.30,2713100,32.92
2011-12-05,33.43,33.90,33.15,33.52,3251600,33.14
2011-12-02,32.54,33.20,32.44,32.98,4514400,32.60
2011-12-01,31.79,33.13,31.71,32.22,4368900,31.85
2011-11-30,31.30,32.10,30.93,32.04,6376900,31.67
2011-11-29,30.24,30.39,29.93,30.27,5330700,29.92
2011-11-28,30.76,30.87,29.92,30.09,3052300,29.75
2011-11-25,29.83,30.05,29.55,29.61,939100,29.27
2011-11-23,30.28,30.48,29.84,29.87,2719300,29.53
2011-11-22,31.15,31.27,30.35,30.62,2966300,30.27
2011-11-21,31.28,31.45,30.71,31.19,3304300,30.83
2011-11-18,31.82,31.82,31.14,31.57,2981700,31.21
2011-11-17,32.14,32.58,31.46,31.67,3456200,31.31
2011-11-16,32.07,32.91,31.80,32.13,3842700,31.76
2011-11-15,32.93,33.10,31.67,32.25,4921100,31.88
2011-11-14,33.15,34.47,32.86,32.98,6812700,32.60
2011-11-11,33.18,34.12,32.78,33.92,5938300,33.53
2011-11-10,33.05,33.49,32.63,32.90,3080400,32.52
2011-11-09,32.93,33.33,32.33,32.70,5089800,32.33
2011-11-08,33.63,33.92,32.87,33.77,3268600,33.38
2011-11-07,33.79,33.88,32.96,33.44,4344800,33.06
2011-11-04,33.20,33.89,32.96,33.69,2797200,33.30
2011-11-03,31.68,33.80,31.68,33.52,5035800,33.14
2011-11-02,32.25,32.83,32.03,32.58,3729900,32.21
2011-11-01,31.69,32.02,30.28,31.71,3956100,31.35
2011-10-31,32.71,33.17,32.08,32.08,3535900,31.71
2011-10-28,33.28,33.52,32.71,33.08,2413700,32.70
2011-10-27,33.80,33.96,33.03,33.39,4422000,33.01
2011-10-26,33.51,33.65,32.41,32.68,3593800,32.31
2011-10-25,33.65,33.69,32.93,33.02,3213700,32.64
2011-10-24,33.14,34.50,32.93,34.00,6578800,33.61
2011-10-21,32.44,33.47,32.25,32.89,5008000,32.51
2011-10-20,31.50,32.11,30.72,31.93,5030000,31.56
2011-10-19,31.40,31.85,31.10,31.46,4527600,31.10
2011-10-18,29.99,31.86,29.46,31.49,6005700,31.13
2011-10-17,29.91,30.77,29.82,29.99,3201800,29.65
2011-10-14,30.25,30.29,29.43,30.04,2905300,29.70
2011-10-13,30.14,30.39,29.42,29.67,2814200,29.33
2011-10-12,30.24,30.81,29.80,30.23,4671400,29.88
2011-10-11,29.89,30.09,29.40,29.97,5487000,29.63
2011-10-10,29.38,30.97,29.32,30.01,6485500,29.67
2011-10-07,28.46,29.26,28.26,28.93,7911700,28.60
2011-10-06,27.06,28.85,26.98,28.42,11451100,28.09
2011-10-05,27.76,28.10,27.04,27.64,6054400,27.32
2011-10-04,25.76,27.99,25.44,27.94,8700000,27.42
2011-10-03,26.52,27.33,26.06,26.12,6563200,25.64
2011-09-30,27.19,27.96,26.74,26.78,4774900,26.28
2011-09-29,28.11,28.14,26.74,27.58,4828700,27.07
2011-09-28,27.72,28.59,27.49,27.55,6158900,27.04
2011-09-27,27.68,28.19,27.21,27.48,5379300,26.97
2011-09-26,25.92,27.25,25.90,27.17,5474200,26.67
2011-09-23,25.04,26.40,24.72,25.53,6944600,25.06
2011-09-22,25.39,26.42,24.98,25.38,8471800,24.91
2011-09-21,27.00,27.12,26.23,26.29,7324400,25.80
2011-09-20,27.58,27.88,27.00,27.04,4374700,26.54
2011-09-19,27.55,27.91,26.87,27.44,4975200,26.93
2011-09-16,27.37,28.32,27.37,28.00,18407200,27.48
2011-09-15,27.19,27.31,26.37,27.22,8208400,26.72
2011-09-14,26.42,27.64,26.27,27.00,7440500,26.50
2011-09-13,25.70,26.47,25.35,26.23,8246300,25.74
2011-09-12,24.93,25.88,24.79,25.82,5703300,25.34
2011-09-09,25.75,26.43,25.10,25.34,7414500,24.87
2011-09-08,26.45,26.86,25.82,26.07,4572700,25.59
2011-09-07,26.17,26.75,25.96,26.69,6088400,26.20
2011-09-06,24.25,25.95,24.10,25.89,8360000,25.41
2011-09-02,25.55,25.86,25.00,25.15,6407500,24.68
2011-09-01,26.47,27.03,26.00,26.26,7325500,25.77
2011-08-31,27.34,27.44,26.37,26.63,6679700,26.14
2011-08-30,27.16,27.41,26.72,26.97,5818700,26.47
2011-08-29,27.15,27.57,26.93,27.45,4903900,26.94
2011-08-26,25.99,27.23,25.81,26.69,5558700,26.20
2011-08-25,26.90,27.13,25.99,26.18,4748100,25.69
2011-08-24,25.92,26.91,25.66,26.70,4687600,26.21
2011-08-23,25.12,26.06,24.97,26.01,4680400,25.53
2011-08-22,25.01,25.52,24.45,25.03,6652000,24.57
2011-08-19,23.44,25.46,23.44,24.38,10887100,23.93
2011-08-18,24.71,24.71,23.50,23.81,6894300,23.37
2011-08-17,26.58,26.90,25.29,25.82,5014900,25.34
2011-08-16,26.67,27.11,26.13,26.47,5184700,25.98
2011-08-15,26.74,27.33,26.63,27.06,4094400,26.56
2011-08-12,26.65,27.50,25.76,26.55,8924300,26.06
2011-08-11,25.73,27.72,25.73,26.83,6773300,26.33
2011-08-10,25.91,26.57,25.24,25.29,7980100,24.82
2011-08-09,26.26,26.88,24.80,26.65,7234700,26.16
2011-08-08,27.42,27.52,25.07,25.60,6669700,25.13
2011-08-05,29.13,29.13,27.25,28.35,7236500,27.82
2011-08-04,30.10,30.16,28.53,28.67,7795700,28.14
2011-08-03,30.22,31.05,29.93,30.43,6882900,29.87
2011-08-02,30.12,31.81,29.92,30.28,9009400,29.72
2011-08-01,31.09,31.12,30.10,30.45,6254600,29.89
2011-07-29,30.59,31.09,30.41,30.76,5262200,30.19
2011-07-28,31.45,31.95,30.90,30.98,4499100,30.41
2011-07-27,31.24,31.88,30.86,30.93,5814300,30.36
2011-07-26,31.20,31.54,30.82,31.48,4804600,30.90
2011-07-25,31.10,31.66,30.93,31.22,3406700,30.64
2011-07-22,31.66,31.75,31.17,31.42,2822700,30.84
2011-07-21,31.55,32.10,31.54,31.70,3962000,31.11
2011-07-20,31.88,31.95,31.18,31.31,3071100,30.73
2011-07-19,31.38,31.81,31.20,31.73,3403400,31.14
2011-07-18,31.48,31.83,31.08,31.36,3936600,30.78
2011-07-15,31.94,32.09,31.44,31.57,4049100,30.98
2011-07-14,32.09,32.29,31.58,31.85,5672300,31.26
2011-07-13,32.34,32.66,32.02,32.10,4654800,31.50
2011-07-12,31.64,32.69,31.24,32.09,6352700,31.50
2011-07-11,32.47,32.62,31.72,31.81,5490400,31.22
2011-07-08,33.04,33.34,32.80,32.96,5784600,32.35
2011-07-07,33.53,33.98,32.80,33.73,12163100,33.10
2011-07-06,34.20,34.43,33.96,34.19,4309400,33.56
2011-07-05,35.08,35.19,34.05,34.36,4707000,33.53
2011-07-01,34.55,35.16,34.23,35.03,3199300,34.18
2011-06-30,34.84,34.94,34.35,34.54,4133800,33.70
2011-06-29,35.36,35.51,34.74,34.93,3986500,34.08
