Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,10.47,10.58,10.40,10.44,1820200,10.44
2011-12-29,10.45,10.55,10.25,10.51,2434800,10.51
2011-12-28,10.69,10.70,10.28,10.44,3049300,10.44
2011-12-27,10.49,10.70,10.47,10.63,1998700,10.63
2011-12-23,10.44,10.56,10.35,10.55,2695000,10.55
2011-12-22,9.84,10.45,9.83,10.41,3832700,10.41
2011-12-21,9.86,9.86,9.53,9.80,3439300,9.80
2011-12-20,9.51,9.93,9.48,9.91,4909000,9.91
2011-12-19,9.55,9.64,9.22,9.27,4810400,9.27
2011-12-16,9.65,9.77,9.38,9.53,7264100,9.53
2011-12-15,9.85,9.90,9.50,9.57,5520200,9.57
2011-12-14,10.01,10.05,9.55,9.63,5973400,9.63
2011-12-13,10.67,10.76,9.93,10.08,7885000,10.08
2011-12-12,10.60,10.64,10.37,10.61,3989500,10.61
2011-12-09,10.56,10.83,10.40,10.80,3999300,10.80
2011-12-08,10.53,11.09,10.34,10.39,6579400,10.39
2011-12-07,10.56,10.67,10.33,10.55,4455800,10.55
2011-12-06,10.73,10.79,10.34,10.47,3974100,10.47
2011-12-05,11.27,11.27,10.63,10.71,5049200,10.71
2011-12-02,11.12,11.37,10.89,10.91,5020200,10.91
2011-12-01,10.92,11.12,10.70,10.81,4335900,10.81
2011-11-30,10.74,10.99,10.61,10.98,5766100,10.98
2011-11-29,10.33,10.44,10.11,10.22,4641700,10.22
2011-11-28,10.06,10.50,10.00,10.25,5554700,10.25
2011-11-25,9.85,9.99,9.56,9.56,2062400,9.56
2011-11-23,10.20,10.32,9.86,9.88,4806200,9.88
2011-11-22,10.44,10.53,10.15,10.36,3955700,10.36
2011-11-21,10.71,10.75,10.27,10.49,5519200,10.49
2011-11-18,11.36,11.39,10.98,10.99,4192600,10.99
2011-11-17,11.80,11.89,11.24,11.33,5976100,11.33
2011-11-16,11.80,12.22,11.78,11.80,5987000,11.80
2011-11-15,11.76,12.07,11.72,11.96,4192000,11.96
2011-11-14,11.66,12.17,11.65,11.84,4132700,11.84
2011-11-11,11.78,11.98,11.74,11.75,5012200,11.75
2011-11-10,11.95,12.00,11.39,11.61,6802800,11.61
2011-11-09,12.19,12.22,11.56,11.62,7270200,11.62
2011-11-08,12.21,12.68,12.20,12.50,7112200,12.50
2011-11-07,12.19,12.36,11.72,12.00,5016900,12.00
2011-11-04,12.25,12.44,12.10,12.25,5416100,12.25
2011-11-03,12.64,12.65,11.93,12.43,8732800,12.43
2011-11-02,12.23,12.76,12.10,12.46,16650900,12.46
2011-11-01,11.46,11.79,11.25,11.48,11661300,11.48
2011-10-31,12.40,12.46,11.99,12.00,8241500,12.00
2011-10-28,11.70,12.72,11.65,12.64,12598400,12.64
2011-10-27,11.06,12.21,11.05,11.86,14787900,11.86
2011-10-26,10.60,10.72,10.26,10.62,6623800,10.62
2011-10-25,10.86,11.05,10.08,10.28,11908600,10.28
2011-10-24,10.58,11.22,10.51,11.20,5992900,11.20
2011-10-21,10.49,10.74,10.35,10.52,5061200,10.52
2011-10-20,10.36,10.41,10.00,10.33,5447500,10.33
2011-10-19,10.72,10.73,10.21,10.27,5455600,10.27
2011-10-18,10.29,10.84,9.97,10.76,6362000,10.76
2011-10-17,10.81,10.86,10.22,10.28,3567700,10.28
2011-10-14,10.83,10.95,10.63,10.91,4492100,10.91
2011-10-13,10.74,10.85,10.30,10.53,5285600,10.53
2011-10-12,10.98,11.22,10.74,10.76,6980600,10.76
2011-10-11,10.44,10.86,10.35,10.80,5761200,10.80
2011-10-10,10.14,10.58,10.08,10.56,5354300,10.56
