Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,40.81,41.00,40.55,40.58,921700,40.58
2011-12-29,40.33,40.94,40.26,40.86,935300,40.86
2011-12-28,41.08,41.14,39.99,40.14,953300,40.14
2011-12-27,40.71,41.37,40.58,41.09,730100,41.09
2011-12-23,40.74,40.91,39.95,40.89,852500,40.89
2011-12-22,40.32,40.96,40.08,40.69,1441200,40.69
2011-12-21,40.20,40.26,39.20,40.11,1246300,40.11
2011-12-20,39.33,40.66,39.33,40.26,1649800,40.26
2011-12-19,40.12,40.16,38.39,38.53,1134500,38.53
2011-12-16,40.20,40.74,39.63,39.81,1666900,39.81
2011-12-15,40.44,40.63,39.60,39.81,1480200,39.81
2011-12-14,40.32,40.42,39.34,39.75,1483500,39.75
2011-12-13,42.09,42.29,40.39,40.69,1446400,40.69
2011-12-12,41.81,41.84,41.29,41.71,1013600,41.71
2011-12-09,41.81,42.81,41.59,42.53,1039800,42.53
2011-12-08,42.43,42.60,41.65,41.80,1567800,41.80
2011-12-07,42.35,43.00,42.24,42.76,1540800,42.76
2011-12-06,42.83,43.08,42.23,42.61,1247400,42.61
2011-12-05,42.75,43.10,42.34,42.65,1477400,42.65
2011-12-02,41.85,42.82,41.70,42.05,1951100,42.05
2011-12-01,41.37,41.63,41.10,41.27,1153400,41.27
2011-11-30,41.49,41.80,40.99,41.54,1548900,41.54
2011-11-29,39.88,40.39,39.50,39.83,1489000,39.83
2011-11-28,39.87,40.35,39.35,39.84,1436200,39.84
2011-11-25,38.00,39.06,38.00,38.51,700900,38.51
2011-11-23,39.06,39.28,38.42,38.49,2179400,38.49
2011-11-22,39.65,40.04,39.25,39.60,1313800,39.60
2011-11-21,39.86,39.98,38.97,39.67,1413600,39.67
2011-11-18,40.98,41.53,40.56,40.69,1293200,40.69
2011-11-17,41.19,41.92,40.40,40.82,2280100,40.82
2011-11-16,40.72,42.62,40.45,41.23,3322100,41.23
2011-11-15,38.23,41.78,38.14,41.17,4263000,41.17
2011-11-14,38.69,38.74,37.80,38.14,1545700,38.14
2011-11-11,38.51,39.32,38.36,38.96,1479600,38.96
2011-11-10,38.35,38.60,37.58,37.89,1521300,37.89
2011-11-09,38.70,38.93,37.58,37.77,2024300,37.77
2011-11-08,39.43,40.01,38.80,39.94,1098000,39.94
2011-11-07,39.21,39.52,38.17,39.05,1374100,39.05
2011-11-04,39.98,40.13,38.98,39.24,1754000,39.24
2011-11-03,39.98,40.86,39.32,40.74,1649400,40.74
2011-11-02,38.36,39.55,38.00,39.30,1360500,39.30
2011-11-01,37.46,38.59,37.11,38.07,1805800,38.07
2011-10-31,39.82,39.92,38.77,38.80,1799900,38.80
2011-10-28,40.75,41.68,40.35,40.39,1955900,40.39
2011-10-27,39.97,41.48,39.49,40.90,1525800,40.90
2011-10-26,38.76,39.06,37.66,38.78,1334700,38.78
2011-10-25,38.53,38.94,37.51,38.01,976200,38.01
2011-10-24,38.02,38.92,37.82,38.86,1278200,38.86
2011-10-21,36.95,37.98,36.72,37.96,1260000,37.96
2011-10-20,36.32,36.67,35.52,36.43,1216700,36.43
2011-10-19,37.33,37.46,36.28,36.43,1230000,36.43
2011-10-18,36.45,37.66,35.92,37.21,1558300,37.21
2011-10-17,37.55,37.55,36.26,36.38,822500,36.38
2011-10-14,37.86,38.00,37.42,37.81,1075100,37.81
2011-10-13,37.03,37.48,36.44,37.27,1050400,37.27
2011-10-12,36.88,37.95,36.54,37.46,1310100,37.46
2011-10-11,35.26,36.80,35.23,36.57,1435900,36.57
2011-10-10,34.97,35.84,34.91,35.73,966300,35.73
2011-10-07,35.14,35.22,33.47,34.17,1500000,34.17
2011-10-06,33.98,35.00,33.68,34.98,1399800,34.98
2011-10-05,33.62,34.27,32.97,34.05,1693200,34.05
2011-10-04,31.12,33.50,30.74,33.46,3700000,33.46
2011-10-03,32.04,32.97,31.20,31.55,3254500,31.55
2011-09-30,33.94,34.19,32.24,32.29,2845000,32.29
2011-09-29,34.68,35.19,33.61,34.61,1147000,34.61
2011-09-28,34.99,35.31,33.68,33.81,1228400,33.81
2011-09-27,35.48,35.92,34.60,34.84,1339700,34.84
2011-09-26,34.22,34.52,33.39,34.48,1516700,34.48
2011-09-23,32.24,34.00,32.20,33.76,1737300,33.76
2011-09-22,32.76,33.81,31.95,32.51,3127000,32.51
2011-09-21,34.99,35.34,33.87,33.90,1470800,33.90
2011-09-20,35.79,36.31,34.96,34.99,1219900,34.99
2011-09-19,35.85,35.85,35.02,35.59,923600,35.59
2011-09-16,36.94,37.01,36.12,36.54,1123600,36.54
2011-09-15,36.41,36.87,35.96,36.77,877000,36.77
2011-09-14,35.82,36.49,34.89,36.02,1282600,36.02
2011-09-13,34.90,35.91,34.85,35.67,1220900,35.67
2011-09-12,34.76,35.48,34.10,34.85,1752000,34.85
2011-09-09,35.86,36.02,34.86,35.23,1249400,35.23
2011-09-08,36.62,37.15,36.15,36.31,1019200,36.31
2011-09-07,35.80,37.41,35.79,37.11,1259400,37.11
2011-09-06,33.65,35.44,33.56,35.14,1251200,35.14
2011-09-02,35.50,35.80,34.78,35.03,852100,35.03
2011-09-01,37.17,37.63,36.50,36.55,997000,36.55
2011-08-31,37.47,38.04,36.87,37.24,1168800,37.24
2011-08-30,36.02,37.43,35.80,37.13,1305800,37.13
2011-08-29,35.70,36.27,35.50,36.27,1144300,36.27
2011-08-26,33.78,35.48,33.47,35.25,1517400,35.25
2011-08-25,35.15,35.41,33.98,34.12,1742400,34.12
2011-08-24,33.52,35.08,33.52,34.97,1520500,34.97
2011-08-23,32.38,33.78,31.94,33.76,1447600,33.76
2011-08-22,32.83,32.83,32.07,32.26,1639900,32.26
2011-08-19,32.10,33.53,31.69,31.88,2869200,31.88
2011-08-18,33.81,33.84,32.21,32.56,1757400,32.56
2011-08-17,35.41,35.89,34.62,34.95,1215800,34.95
2011-08-16,35.40,35.74,34.81,35.14,1344500,35.14
2011-08-15,35.60,36.10,35.53,36.05,1826600,36.05
2011-08-12,35.69,35.93,34.80,35.23,1456200,35.23
2011-08-11,33.74,35.81,33.39,35.24,2473500,35.24
2011-08-10,33.60,34.98,33.03,33.32,3449200,33.32
2011-08-09,33.68,34.59,32.25,34.50,4432400,34.50
2011-08-08,34.55,35.06,32.14,33.13,4910600,33.13
2011-08-05,36.87,37.11,34.72,35.64,3205600,35.64
2011-08-04,37.33,37.34,35.98,36.01,3549100,36.01
2011-08-03,37.69,38.22,36.69,38.08,2249600,38.08
2011-08-02,38.56,39.18,37.72,37.72,2015200,37.72
2011-08-01,39.65,39.83,38.25,38.86,1330300,38.86
2011-07-29,38.80,39.61,38.50,39.14,1419400,39.14
2011-07-28,39.93,40.13,38.99,39.16,1368700,39.16
2011-07-27,40.92,40.92,39.54,39.84,1431900,39.84
2011-07-26,42.79,43.17,40.84,41.23,1621600,41.23
2011-07-25,42.02,43.41,42.02,43.00,1125900,43.00
2011-07-22,42.78,42.94,42.31,42.81,940600,42.81
2011-07-21,41.95,43.02,41.73,42.95,1112100,42.95
2011-07-20,41.63,41.91,41.31,41.64,877700,41.64
2011-07-19,41.22,41.47,40.75,41.46,1307300,41.46
2011-07-18,41.32,41.38,40.59,40.93,901900,40.93
2011-07-15,41.30,41.56,40.82,41.56,1113100,41.56
2011-07-14,41.69,42.09,41.14,41.24,1251700,41.24
2011-07-13,41.67,42.34,41.46,41.58,1528300,41.58
2011-07-12,41.55,42.33,41.33,41.40,1553100,41.40
2011-07-11,42.78,42.79,41.61,41.64,1298300,41.64
2011-07-08,42.94,43.56,42.73,43.48,1159900,43.48
2011-07-07,43.67,43.96,43.47,43.67,864900,43.67
2011-07-06,42.95,43.35,42.37,43.12,830000,43.12
2011-07-05,43.32,43.37,42.81,43.05,666200,43.05
2011-07-01,43.25,43.54,42.89,43.35,924600,43.35
2011-06-30,42.54,43.46,42.42,43.25,1080700,43.25
2011-06-29,42.15,42.59,41.85,42.35,834400,42.35
2011-06-28,41.26,42.08,41.05,42.01,780500,42.01
2011-06-27,40.79,41.21,40.71,40.99,674800,40.99
2011-06-24,41.93,42.22,40.83,40.88,1485800,40.88
2011-06-23,41.02,42.00,40.62,41.92,1060300,41.92
2011-06-22,41.77,42.33,41.71,41.76,860900,41.76
2011-06-21,41.57,42.07,41.50,41.93,1128300,41.93
2011-06-20,40.72,41.51,40.53,41.27,1023900,41.27
2011-06-17,41.65,41.86,40.76,40.95,1125300,40.95
2011-06-16,41.19,41.55,40.81,41.14,1192100,41.14
2011-06-15,42.08,42.29,41.14,41.18,973300,41.18
2011-06-14,41.92,42.77,41.75,42.61,1361100,42.61
2011-06-13,41.36,41.68,40.87,41.36,664800,41.36
2011-06-10,41.89,42.09,41.25,41.51,826500,41.51
2011-06-09,42.15,42.49,41.89,42.19,669100,42.19
2011-06-08,42.26,42.40,41.89,42.05,964200,42.05
2011-06-07,42.98,42.98,42.42,42.44,1524600,42.44
2011-06-06,43.29,43.45,42.48,42.65,1362500,42.65
2011-06-03,43.41,43.99,43.17,43.46,1364000,43.46
2011-06-02,44.06,44.89,43.82,44.10,1533900,44.10
2011-06-01,45.85,46.06,43.99,44.04,1493100,44.04
2011-05-31,45.87,46.06,45.45,46.06,1188300,46.06
2011-05-27,45.15,45.78,45.05,45.38,1100200,45.38
2011-05-26,44.54,45.13,44.19,44.91,1283700,44.91
2011-05-25,44.61,45.05,43.82,44.61,1456400,44.61
2011-05-24,44.83,44.98,44.00,44.14,1585600,44.14
2011-05-23,45.71,45.71,44.29,44.53,2085700,44.53
2011-05-20,47.14,47.14,46.15,46.25,1401500,46.25
2011-05-19,46.71,47.25,46.42,47.13,1757900,47.13
2011-05-18,46.02,46.52,45.67,46.37,1214700,46.37
2011-05-17,45.91,45.99,45.14,45.70,1883500,45.70
2011-05-16,46.99,46.99,46.14,46.25,1453800,46.25
2011-05-13,47.18,47.49,46.33,46.59,1134900,46.59
2011-05-12,47.59,47.93,46.76,47.36,1185700,47.36
2011-05-11,48.43,48.54,47.59,47.89,1261100,47.89
2011-05-10,48.08,48.68,47.78,48.61,1375000,48.61
2011-05-09,47.04,48.13,46.97,47.79,1155600,47.79
2011-05-06,47.63,48.23,46.78,47.04,1501800,47.04
2011-05-05,46.65,47.43,46.11,46.81,2450800,46.81
2011-05-04,48.15,48.27,46.93,47.20,1684600,47.20
2011-05-03,48.41,48.51,47.94,48.23,1571400,48.23
2011-05-02,49.88,50.19,48.54,48.67,1401200,48.67
2011-04-29,48.84,49.79,48.77,49.61,1039600,49.61
2011-04-28,49.06,49.23,48.54,48.84,1516700,48.84
2011-04-27,49.84,50.07,48.58,49.35,1829400,49.35
2011-04-26,51.13,51.79,49.23,49.53,2800000,49.53
2011-04-25,51.35,51.54,50.74,51.34,1444500,51.34
2011-04-21,50.65,51.37,50.42,51.35,1238000,51.35
2011-04-20,50.19,50.34,49.70,50.26,1698600,50.26
2011-04-19,48.62,49.72,48.62,49.25,1261900,49.25
2011-04-18,49.05,49.05,47.87,48.39,1375000,48.39
2011-04-15,48.21,49.75,48.19,49.59,1821800,49.59
2011-04-14,47.72,48.26,47.52,48.13,994300,48.13
2011-04-13,48.68,48.85,47.79,47.97,1529500,47.97
2011-04-12,49.13,49.50,48.19,48.32,1392500,48.32
2011-04-11,50.52,50.52,49.47,49.68,1199800,49.68
2011-04-08,52.06,52.06,50.30,50.59,760800,50.59
2011-04-07,51.84,52.13,51.47,51.54,866100,51.54
2011-04-06,52.07,52.49,51.51,51.97,927300,51.97
2011-04-05,51.72,52.30,51.35,51.94,1308800,51.94
2011-04-04,51.61,51.84,51.17,51.81,975200,51.81
2011-04-01,51.84,52.44,51.26,51.54,1316500,51.54
2011-03-31,51.00,51.49,50.74,51.43,1299900,51.43
2011-03-30,49.56,51.27,49.45,51.08,1932200,51.08
2011-03-29,49.15,49.50,48.77,49.34,1434100,49.34
2011-03-28,48.78,48.93,48.23,48.24,806300,48.24
2011-03-25,48.68,49.14,48.42,48.73,652200,48.73
2011-03-24,48.37,48.76,47.84,48.56,647900,48.56
2011-03-23,47.88,48.34,47.32,48.05,744100,48.05
2011-03-22,49.37,49.37,47.85,48.12,1524700,48.12
2011-03-21,49.51,49.62,49.01,49.40,1241100,49.40
2011-03-18,49.35,49.35,48.49,48.66,1004000,48.66
2011-03-17,48.62,48.92,47.77,48.03,1250800,48.03
2011-03-16,48.34,48.70,46.88,47.49,1259300,47.49
2011-03-15,47.05,48.98,47.05,48.58,1334800,48.58
2011-03-14,48.45,49.39,47.99,48.80,1775400,48.80
2011-03-11,47.10,49.15,47.09,49.08,1454300,49.08
2011-03-10,47.77,47.96,47.05,47.11,1308300,47.11
2011-03-09,48.42,48.99,48.00,48.56,855000,48.56
2011-03-08,48.55,49.12,47.98,48.64,752900,48.64
2011-03-07,49.81,49.82,47.91,48.14,2349200,48.14
2011-03-04,50.73,50.84,49.28,49.60,2024700,49.60
2011-03-03,50.54,50.85,50.25,50.81,1698300,50.81
2011-03-02,49.32,50.64,49.32,49.85,1842700,49.85
2011-03-01,50.20,50.26,49.21,49.53,1990300,49.53
2011-02-28,49.84,50.13,49.34,50.06,906000,50.06
2011-02-25,49.06,49.80,49.02,49.67,879700,49.67
2011-02-24,48.35,49.50,47.95,48.83,1274000,48.83
2011-02-23,48.87,49.42,47.17,48.47,2287900,48.47
2011-02-22,50.99,50.99,48.96,49.09,1503400,49.09
2011-02-18,51.99,52.00,51.09,51.55,782400,51.55
2011-02-17,51.58,52.10,51.19,52.01,773200,52.01
2011-02-16,51.02,51.82,50.98,51.71,929100,51.71
2011-02-15,51.68,51.68,50.73,50.74,1051100,50.74
2011-02-14,52.17,52.40,51.82,51.86,1072400,51.86
2011-02-11,51.45,52.20,51.38,52.14,755700,52.14
2011-02-10,51.07,51.96,51.02,51.85,861800,51.85
2011-02-09,52.47,52.55,50.97,51.48,1282600,51.48
2011-02-08,52.88,53.00,52.17,52.80,1193600,52.80
2011-02-07,52.14,53.18,52.14,52.94,782600,52.94
2011-02-04,51.99,52.20,51.51,52.10,1278300,52.10
