Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,75.12,75.61,74.60,74.97,983400,74.13
2011-12-29,74.17,75.70,74.17,75.50,755100,74.65
2011-12-28,76.33,76.60,73.90,74.29,917400,73.46
2011-12-27,77.36,77.43,75.91,76.05,735900,75.20
2011-12-23,77.26,77.61,76.00,77.35,971500,76.48
2011-12-22,76.04,77.25,75.73,76.69,1182800,75.83
2011-12-21,76.81,77.00,74.03,75.51,1154400,74.66
2011-12-20,74.50,76.89,74.30,76.62,1579400,75.76
2011-12-19,76.20,76.74,72.59,73.05,1460100,72.23
2011-12-16,74.93,77.77,74.50,75.17,2388600,74.33
2011-12-15,77.35,77.35,73.78,74.21,3107000,73.38
2011-12-14,80.46,81.10,73.62,75.44,6581300,74.60
2011-12-13,87.01,87.68,83.12,84.55,1505400,83.60
2011-12-12,86.86,87.63,84.91,86.52,1269300,85.55
2011-12-09,87.55,89.32,86.22,89.04,1214800,88.04
2011-12-08,90.00,90.93,86.87,87.31,1285900,86.33
2011-12-07,89.71,90.78,88.32,90.35,1058200,89.34
2011-12-06,89.81,90.90,88.95,90.37,1173000,89.36
2011-12-05,92.22,92.39,89.59,89.65,3125700,88.65
2011-12-02,92.14,92.95,89.88,90.16,2023800,89.15
2011-12-01,90.97,91.76,89.50,91.29,1564600,90.27
2011-11-30,86.76,91.30,86.59,91.28,2990700,90.08
2011-11-29,85.00,85.11,82.62,82.67,1405000,81.59
2011-11-28,81.59,85.00,81.33,84.72,1863200,83.61
2011-11-25,78.55,81.26,78.50,78.78,600300,77.75
2011-11-23,80.99,81.29,79.10,79.27,1510400,78.23
2011-11-22,83.02,83.56,80.57,81.21,1524500,80.15
2011-11-21,83.75,83.90,81.45,83.30,1745400,82.21
2011-11-18,86.33,86.82,84.23,85.88,1732900,84.76
2011-11-17,88.55,89.25,84.95,85.81,2542100,84.69
2011-11-16,84.71,91.97,84.19,88.64,5595500,87.48
2011-11-15,84.70,86.35,83.89,86.06,1491400,84.93
2011-11-14,85.20,86.80,83.75,84.89,1254900,83.78
2011-11-11,83.47,85.40,82.97,85.17,1792200,84.05
2011-11-10,85.04,85.25,81.05,82.06,3538300,80.99
2011-11-09,86.32,86.75,83.00,83.56,2221700,82.47
2011-11-08,89.84,89.87,86.64,89.01,2278400,87.84
2011-11-07,89.35,90.10,86.53,89.04,1518600,87.87
2011-11-04,88.93,90.40,87.35,89.69,1864600,88.52
2011-11-03,88.83,90.29,87.13,89.99,1928200,88.81
2011-11-02,86.66,87.78,85.05,87.28,1592600,86.14
2011-11-01,84.39,86.55,83.10,84.74,2292000,83.63
2011-10-31,89.77,90.00,87.18,87.20,2401800,86.06
2011-10-28,91.36,92.30,89.92,91.19,2382000,90.00
2011-10-27,91.16,93.84,91.03,92.07,3836000,90.86
2011-10-26,86.99,88.36,84.30,87.59,2171000,86.44
2011-10-25,85.78,87.21,84.41,85.32,2144800,84.20
2011-10-24,84.23,87.40,83.95,86.67,3090900,85.54
2011-10-21,78.97,81.92,78.91,81.82,2100000,80.75
2011-10-20,77.69,78.19,75.05,77.68,2476700,76.66
2011-10-19,79.35,80.14,77.23,77.76,1854000,76.74
2011-10-18,74.68,80.61,74.51,79.85,3120800,78.80
2011-10-17,79.64,79.72,75.10,75.71,2451900,74.72
2011-10-14,77.89,79.23,77.35,78.82,1587000,77.79
2011-10-13,77.43,78.00,74.85,76.64,2274600,75.64
