Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,49.98,50.21,49.69,49.71,862400,48.72
2011-12-29,49.91,50.61,49.28,50.03,1419600,49.04
2011-12-28,49.83,50.26,49.22,49.91,2221900,48.92
2011-12-27,49.70,50.27,49.34,50.07,919600,49.08
2011-12-23,49.18,49.87,49.11,49.83,848600,48.84
2011-12-22,49.55,50.00,49.05,49.16,1283900,48.19
2011-12-21,48.83,49.66,48.37,49.53,1850500,48.55
2011-12-20,47.46,49.05,47.46,48.87,2298600,47.90
2011-12-19,47.21,47.81,46.73,46.90,1876600,45.97
2011-12-16,47.65,48.43,46.93,47.03,2355400,46.10
2011-12-15,47.50,47.84,47.21,47.28,1872900,46.34
2011-12-14,46.89,47.65,46.79,47.14,3208600,46.21
2011-12-13,48.72,48.90,46.74,46.98,2713000,46.05
2011-12-12,47.91,48.62,47.51,48.42,2461900,47.46
2011-12-09,47.50,48.33,47.49,48.20,2112100,47.24
2011-12-08,46.78,48.52,46.68,47.42,3118200,46.48
2011-12-07,47.07,47.47,46.75,47.12,1572600,46.19
2011-12-06,48.07,48.20,47.24,47.36,1612100,46.42
2011-12-05,47.90,49.03,47.64,48.13,2889400,47.18
2011-12-02,47.69,48.16,47.13,47.17,2463100,46.24
2011-12-01,45.65,47.48,45.25,47.10,3658700,46.17
2011-11-30,46.06,46.20,44.85,45.28,4859500,44.38
2011-11-29,44.70,45.30,44.29,44.66,3478900,43.77
2011-11-28,45.30,46.05,44.88,45.19,2443100,44.29
2011-11-25,44.47,45.07,44.22,44.29,804300,43.19
2011-11-23,45.19,45.58,44.66,44.74,1677600,43.63
2011-11-22,46.27,46.56,45.42,45.73,2620200,44.59
2011-11-21,46.21,46.70,45.60,46.31,2478000,45.16
2011-11-18,47.31,47.31,46.49,46.98,2987800,45.81
2011-11-17,48.07,48.29,46.57,47.01,3657700,45.84
2011-11-16,48.85,49.34,48.07,48.13,2077500,46.93
2011-11-15,48.96,49.65,48.54,49.30,2040200,48.07
2011-11-14,49.37,49.73,48.90,49.09,2604300,47.87
2011-11-11,47.89,49.53,47.65,49.48,4672200,48.25
2011-11-10,49.86,50.06,48.86,49.62,3106900,48.38
2011-11-09,49.97,50.78,48.74,48.93,3006000,47.71
2011-11-08,50.96,51.75,49.87,51.20,2312200,49.92
2011-11-07,50.24,50.88,49.55,50.63,1971700,49.37
2011-11-04,50.03,51.00,49.93,50.39,2380500,49.13
2011-11-03,49.33,51.14,48.38,51.07,4909400,49.80
2011-11-02,51.08,51.24,50.15,50.57,3100500,49.31
2011-11-01,49.08,50.75,48.87,50.25,2839500,49.00
2011-10-31,50.25,51.33,49.94,50.69,2564500,49.43
2011-10-28,51.90,52.34,50.67,51.17,2359200,49.90
2011-10-27,52.00,53.09,50.67,52.14,3252300,50.84
2011-10-26,51.57,51.73,49.61,50.46,2796800,49.20
2011-10-25,52.25,52.25,49.75,50.63,2821600,49.37
2011-10-24,51.73,53.35,51.43,52.77,3019000,51.46
2011-10-21,51.37,51.61,50.74,51.59,2820000,50.30
2011-10-20,51.14,51.33,49.88,50.58,3069800,49.32
2011-10-19,51.85,52.10,51.08,51.32,1805700,50.04
2011-10-18,49.93,52.61,49.06,51.97,3262900,50.68
2011-10-17,50.37,51.29,49.90,50.03,1976300,48.78
2011-10-14,50.47,51.00,49.48,50.70,2619400,49.44
2011-10-13,50.28,50.92,49.31,49.47,2384100,48.24
2011-10-12,50.07,51.49,49.49,50.18,3303400,48.93
2011-10-11,50.17,50.32,48.54,49.26,4529800,48.03
2011-10-10,49.56,50.81,48.79,50.67,2169400,49.41
2011-10-07,48.28,49.74,48.08,48.69,4441800,47.48
2011-10-06,48.82,48.98,47.24,48.00,5430400,46.80
2011-10-05,48.38,48.45,46.54,48.22,5518800,47.02
2011-10-04,44.62,48.56,44.62,48.44,5200000,47.23
2011-10-03,45.25,47.65,45.20,45.37,4241700,44.24
2011-09-30,46.04,46.86,45.47,45.68,2204700,44.54
2011-09-29,47.83,48.04,45.43,46.65,3166900,45.49
2011-09-28,47.54,48.30,46.89,46.95,2187300,45.78
2011-09-27,49.09,49.25,47.09,47.35,2789700,46.17
2011-09-26,45.75,48.19,45.07,48.16,2999300,46.96
2011-09-23,44.41,45.70,44.22,45.52,2405500,44.39
2011-09-22,44.25,45.89,43.63,44.81,3676200,43.69
2011-09-21,47.59,47.90,46.10,46.18,2016400,45.03
2011-09-20,48.17,48.93,47.42,47.49,2202700,46.31
2011-09-19,47.11,48.32,46.66,47.98,1920600,46.78
2011-09-16,47.31,48.06,47.00,47.89,3229100,46.70
2011-09-15,46.59,47.17,45.70,47.02,3630400,45.85
2011-09-14,44.87,46.66,44.17,45.92,3838600,44.78
2011-09-13,45.65,46.34,45.09,45.66,3248800,44.52
2011-09-12,43.33,45.56,43.05,45.54,3195200,44.41
2011-09-09,44.44,45.23,43.50,44.05,3190500,42.95
2011-09-08,45.41,46.40,44.82,45.14,3114900,44.02
2011-09-07,44.67,46.17,44.60,45.94,3390100,44.80
2011-09-06,41.90,43.85,41.62,43.80,3008300,42.71
2011-09-02,43.75,44.06,43.01,43.26,1948500,42.18
2011-09-01,45.26,45.96,44.29,44.71,4255800,43.60
2011-08-31,45.96,46.69,44.91,45.46,3461900,44.10
2011-08-30,44.51,45.94,44.40,45.60,4700100,44.24
2011-08-29,42.83,44.77,42.54,44.70,5845200,43.37
2011-08-26,39.56,42.63,39.56,42.09,6775300,40.83
2011-08-25,41.23,42.04,39.79,39.96,5849700,38.77
2011-08-24,39.66,41.14,39.43,41.10,3002200,39.87
2011-08-23,37.74,39.95,37.30,39.94,4048700,38.75
2011-08-22,38.21,38.50,37.41,37.78,2426300,36.65
2011-08-19,37.75,38.75,37.28,37.45,4024400,36.33
2011-08-18,39.96,40.07,37.87,38.30,5653300,37.16
2011-08-17,43.43,43.67,40.60,41.42,5705800,40.18
2011-08-16,44.35,44.35,42.40,42.95,4452500,41.67
2011-08-15,44.68,44.84,43.36,44.67,4647900,43.34
2011-08-12,45.68,46.00,43.92,44.28,5805100,42.96
2011-08-11,40.57,43.23,40.29,42.33,3707200,41.07
2011-08-10,40.33,41.96,39.93,40.14,5049000,38.94
2011-08-09,40.90,41.65,38.10,41.60,6285900,40.36
2011-08-08,42.50,43.24,39.18,39.85,5608300,38.66
2011-08-05,44.07,44.45,42.30,44.31,7168100,42.99
2011-08-04,46.38,47.08,43.12,43.15,7686800,41.86
2011-08-03,47.09,47.82,46.11,47.75,4606700,46.32
2011-08-02,49.34,49.56,47.01,47.05,5421300,45.65
2011-08-01,50.89,50.89,49.12,49.96,2697300,48.47
2011-07-29,49.51,50.97,49.22,50.16,2427900,48.66
2011-07-28,49.47,50.80,49.47,50.18,3335200,48.68
2011-07-27,50.59,50.67,49.17,49.23,2019300,47.76
2011-07-26,50.95,51.30,50.49,50.90,1911500,49.38
2011-07-25,50.87,51.39,50.78,51.04,1520700,49.52
2011-07-22,51.55,51.84,51.21,51.50,1638700,49.96
2011-07-21,51.51,52.15,51.33,51.40,1594200,49.87
2011-07-20,51.88,51.99,50.84,51.18,1097300,49.65
2011-07-19,50.42,51.86,50.27,51.79,2852500,50.24
2011-07-18,50.09,50.40,49.70,49.97,1626800,48.48
2011-07-15,50.27,50.46,49.50,50.44,1922900,48.93
2011-07-14,49.89,50.50,49.34,49.93,3447400,48.44
2011-07-13,49.82,50.44,49.54,49.61,1838600,48.13
2011-07-12,49.48,50.20,49.30,49.35,2274600,47.88
2011-07-11,49.50,50.05,49.35,49.76,2262700,48.27
2011-07-08,49.85,50.26,49.51,50.25,2174000,48.75
2011-07-07,49.25,50.92,49.23,50.56,4516600,49.05
2011-07-06,48.16,48.51,48.09,48.48,2032200,47.03
2011-07-05,48.08,48.73,47.93,48.42,2244900,46.97
2011-07-01,46.85,48.31,46.70,48.24,2257600,46.80
2011-06-30,46.26,47.00,46.25,46.94,3005500,45.54
2011-06-29,46.55,46.91,45.94,46.06,2513200,44.69
