Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,7.78,7.78,7.67,7.69,6660400,7.52
2011-12-29,7.64,7.79,7.61,7.77,6155600,7.60
2011-12-28,7.73,7.74,7.59,7.63,5925000,7.46
2011-12-27,7.79,7.79,7.67,7.73,4790000,7.56
2011-12-23,7.80,7.89,7.65,7.78,9703500,7.61
2011-12-22,7.58,7.78,7.56,7.73,11136300,7.56
2011-12-21,7.38,7.54,7.31,7.54,14784400,7.37
2011-12-20,7.25,7.44,7.21,7.37,11561400,7.21
2011-12-19,7.17,7.21,7.03,7.14,12787300,6.98
2011-12-16,7.17,7.30,7.14,7.18,11375000,7.02
2011-12-15,7.21,7.26,7.11,7.12,9312600,6.96
2011-12-14,7.07,7.22,7.00,7.11,11340300,6.95
2011-12-13,7.30,7.35,7.05,7.14,10645400,6.98
2011-12-12,7.28,7.31,7.10,7.22,9314000,7.06
2011-12-09,7.27,7.42,7.22,7.38,8341400,7.22
2011-12-08,7.35,7.35,7.16,7.19,14423100,7.03
2011-12-07,7.27,7.46,7.20,7.41,7941500,7.25
2011-12-06,7.35,7.39,7.21,7.33,9799000,7.17
2011-12-05,7.32,7.49,7.28,7.41,12917400,7.25
2011-12-02,7.30,7.41,7.16,7.20,17069100,7.04
2011-12-01,7.21,7.31,7.10,7.22,9156300,7.06
2011-11-30,7.19,7.32,7.08,7.29,20501200,7.13
2011-11-29,6.85,7.05,6.77,6.96,14282300,6.81
2011-11-28,6.92,6.97,6.70,6.82,10976100,6.67
2011-11-25,6.62,6.85,6.60,6.67,3190500,6.52
2011-11-23,6.68,6.86,6.64,6.67,17836400,6.49
2011-11-22,6.82,6.88,6.67,6.77,17352500,6.59
2011-11-21,6.97,7.07,6.85,6.85,20786700,6.67
2011-11-18,7.22,7.24,7.07,7.08,14769300,6.89
2011-11-17,7.22,7.45,7.10,7.14,15750800,6.95
2011-11-16,7.27,7.51,7.22,7.24,12841300,7.05
2011-11-15,7.17,7.40,7.15,7.30,9869000,7.11
2011-11-14,7.39,7.41,7.16,7.22,10225800,7.03
2011-11-11,7.37,7.52,7.35,7.47,9471300,7.27
2011-11-10,7.22,7.32,7.10,7.25,13867700,7.06
2011-11-09,7.30,7.35,7.07,7.09,16232100,6.90
2011-11-08,7.44,7.57,7.35,7.54,13649600,7.34
2011-11-07,7.30,7.53,7.28,7.39,12917000,7.19
2011-11-04,7.27,7.36,7.09,7.33,16912500,7.14
2011-11-03,7.25,7.44,7.03,7.36,17243600,7.16
2011-11-02,7.02,7.19,6.95,7.15,15131100,6.96
2011-11-01,6.77,7.12,6.63,6.83,24577300,6.65
2011-10-31,7.15,7.36,7.06,7.06,15204000,6.87
2011-10-28,7.53,7.53,7.19,7.33,18417300,7.14
2011-10-27,7.63,7.74,7.24,7.48,30110700,7.28
2011-10-26,7.13,7.31,7.00,7.28,21490000,7.09
2011-10-25,7.04,7.15,6.91,6.94,16649900,6.76
2011-10-24,7.07,7.23,6.98,7.17,16513100,6.98
2011-10-21,6.92,7.05,6.87,6.95,23756700,6.77
2011-10-20,6.43,6.89,6.34,6.81,24403800,6.63
2011-10-19,6.65,6.76,6.31,6.37,22547300,6.20
2011-10-18,6.29,6.75,6.24,6.64,17532200,6.46
2011-10-17,6.42,6.52,6.21,6.23,12037500,6.06
2011-10-14,6.65,6.70,6.30,6.51,17918800,6.34
2011-10-13,6.64,6.69,6.37,6.56,21175500,6.39
2011-10-12,6.66,6.97,6.63,6.76,17273500,6.58
2011-10-11,6.43,6.66,6.30,6.60,14982000,6.42
2011-10-10,6.32,6.47,6.27,6.47,12210500,6.30
2011-10-07,6.57,6.59,6.11,6.16,14028700,6.00
2011-10-06,6.12,6.56,6.04,6.55,27887200,6.38
2011-10-05,5.93,6.18,5.89,6.09,14476500,5.93
2011-10-04,5.60,6.03,5.59,6.00,22600000,5.84
2011-10-03,5.73,6.00,5.72,5.72,17436300,5.57
2011-09-30,6.14,6.22,5.92,5.93,15382600,5.77
2011-09-29,5.97,6.23,5.87,6.23,27304300,6.06
2011-09-28,6.03,6.07,5.79,5.79,15508300,5.64
2011-09-27,6.32,6.36,5.97,6.02,24198600,5.86
2011-09-26,5.83,6.08,5.78,6.07,17237800,5.91
2011-09-23,5.74,5.89,5.63,5.71,17633100,5.56
2011-09-22,5.72,5.86,5.63,5.79,19665600,5.64
2011-09-21,6.32,6.38,5.91,5.93,17835500,5.77
2011-09-20,6.36,6.47,6.29,6.34,8163500,6.17
2011-09-19,6.37,6.40,6.23,6.32,10666900,6.15
2011-09-16,6.55,6.59,6.40,6.53,12762500,6.36
2011-09-15,6.55,6.60,6.45,6.54,13321400,6.37
2011-09-14,6.40,6.53,6.25,6.47,14467400,6.30
2011-09-13,6.34,6.54,6.29,6.35,9706700,6.18
2011-09-12,6.03,6.38,6.02,6.30,17678600,6.13
2011-09-09,6.33,6.39,6.10,6.12,14449800,5.96
2011-09-08,6.58,6.67,6.31,6.42,14350500,6.25
2011-09-07,6.24,6.64,6.21,6.64,12068100,6.46
2011-09-06,6.07,6.23,6.00,6.11,13264600,5.95
2011-09-02,6.28,6.39,6.22,6.24,12077500,6.07
2011-09-01,6.61,6.69,6.39,6.44,12729900,6.27
2011-08-31,6.62,6.74,6.53,6.64,8562800,6.46
2011-08-30,6.71,6.72,6.50,6.57,12427100,6.40
2011-08-29,6.51,6.76,6.51,6.75,10154200,6.57
2011-08-26,6.30,6.51,6.14,6.42,13453000,6.25
2011-08-25,6.67,6.83,6.27,6.35,20240900,6.15
2011-08-24,6.33,6.54,6.27,6.46,15785100,6.26
2011-08-23,6.06,6.35,5.94,6.35,14464000,6.15
2011-08-22,6.20,6.24,5.98,6.05,14278200,5.86
2011-08-19,6.12,6.29,5.98,6.01,15743600,5.82
2011-08-18,6.48,6.49,6.19,6.25,19379500,6.06
2011-08-17,6.76,6.87,6.56,6.69,13070200,6.48
2011-08-16,6.71,6.80,6.57,6.68,12701700,6.47
2011-08-15,6.52,6.84,6.52,6.81,11357400,6.60
2011-08-12,6.82,6.91,6.38,6.43,19683300,6.23
2011-08-11,6.35,6.79,6.26,6.70,19721600,6.49
2011-08-10,6.77,6.77,6.16,6.20,31809600,6.01
2011-08-09,6.65,6.93,6.37,6.92,19024700,6.70
2011-08-08,6.93,7.23,6.45,6.50,24029700,6.30
2011-08-05,7.64,7.65,7.19,7.25,22406900,7.02
2011-08-04,7.78,7.87,7.49,7.50,17087800,7.27
2011-08-03,7.85,7.97,7.66,7.92,19350100,7.67
2011-08-02,8.03,8.10,7.85,7.86,16214700,7.62
2011-08-01,8.17,8.20,7.95,8.11,14687600,7.86
2011-07-29,7.96,8.12,7.87,8.04,15966900,7.79
2011-07-28,8.10,8.29,8.06,8.07,14207700,7.82
2011-07-27,8.27,8.37,8.09,8.10,16635900,7.85
2011-07-26,8.40,8.42,8.23,8.31,9742900,8.05
