Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,37.40,37.57,37.32,37.36,4405700,36.53
2011-12-29,37.32,37.68,37.29,37.68,4104700,36.84
2011-12-28,37.44,37.49,37.23,37.26,4320300,36.43
2011-12-27,37.70,37.93,37.61,37.70,4950900,36.57
2011-12-23,37.31,37.74,37.22,37.74,4739000,36.61
2011-12-22,37.54,37.54,37.06,37.31,8643700,36.20
2011-12-21,36.93,37.53,36.93,37.35,12053200,36.23
2011-12-20,36.51,36.97,36.48,36.91,8357500,35.81
2011-12-19,36.71,36.80,36.14,36.22,7449600,35.14
2011-12-16,36.65,36.80,36.28,36.49,14249100,35.40
2011-12-15,36.23,36.62,36.23,36.46,6424800,35.37
2011-12-14,36.01,36.42,36.01,36.16,7480500,35.08
2011-12-13,36.57,36.85,36.21,36.28,6916400,35.20
2011-12-12,36.64,36.66,36.17,36.42,5789900,35.33
2011-12-09,36.26,36.90,36.26,36.70,7018700,35.60
2011-12-08,36.24,36.54,36.08,36.15,7631900,35.07
2011-12-07,36.36,36.55,36.23,36.35,8526800,35.26
2011-12-06,36.55,36.71,36.29,36.51,8309600,35.42
2011-12-05,36.86,36.90,36.27,36.51,7598000,35.42
2011-12-02,36.63,36.63,36.37,36.50,9674500,35.41
2011-12-01,36.17,36.63,36.12,36.50,11229500,35.41
2011-11-30,35.97,36.15,35.85,36.15,12589100,35.07
2011-11-29,35.01,35.45,34.95,35.33,7402800,34.28
2011-11-28,34.57,35.04,34.48,34.89,5972400,33.85
2011-11-25,34.19,34.52,34.10,34.32,3364700,33.30
2011-11-23,34.40,34.50,34.22,34.23,7267400,33.21
2011-11-22,34.35,34.74,34.25,34.55,7628000,33.52
2011-11-21,34.39,34.65,34.14,34.30,12548700,33.28
2011-11-18,34.93,35.05,34.73,34.77,7735900,33.73
2011-11-17,35.00,35.27,34.73,34.96,7221600,33.92
2011-11-16,35.17,35.65,35.05,35.18,6956900,34.13
2011-11-15,35.40,35.60,35.30,35.48,5189000,34.42
2011-11-14,35.64,35.66,35.27,35.43,4833800,34.37
2011-11-11,35.45,35.70,35.45,35.57,8418300,34.51
2011-11-10,35.07,35.25,34.88,35.13,6955400,34.08
2011-11-09,35.12,35.16,34.67,34.76,9116700,33.72
2011-11-08,35.52,35.54,35.12,35.48,7523400,34.42
2011-11-07,35.31,35.40,34.85,35.33,12348700,34.28
2011-11-04,35.74,35.76,35.05,35.18,9785400,34.13
2011-11-03,35.92,36.30,35.37,35.78,14217000,34.71
2011-11-02,34.99,35.05,34.46,34.64,8235900,33.61
2011-11-01,34.56,34.92,34.47,34.56,10529700,33.53
2011-10-31,35.08,35.46,35.08,35.18,9504000,34.13
2011-10-28,35.40,35.67,35.17,35.40,7823000,34.34
2011-10-27,35.66,35.70,35.11,35.47,15826300,34.41
2011-10-26,35.36,35.39,34.85,35.02,9004500,33.97
2011-10-25,35.35,35.48,34.80,34.93,9273500,33.89
2011-10-24,35.24,35.36,35.00,35.28,5931400,34.23
2011-10-21,35.35,35.35,35.02,35.20,10737700,34.15
2011-10-20,34.97,35.30,34.93,35.06,8171600,34.01
2011-10-19,35.06,35.38,34.67,34.85,8062900,33.81
2011-10-18,34.81,35.50,34.75,35.24,10094700,34.19
2011-10-17,35.25,35.44,34.74,34.77,6767600,33.73
2011-10-14,35.25,35.32,34.90,35.23,7960500,34.18
2011-10-13,34.44,35.05,34.42,34.85,7154800,33.81
2011-10-12,34.57,34.83,34.48,34.60,8164800,33.57
2011-10-11,34.22,34.61,34.15,34.40,5839100,33.37
2011-10-10,34.14,34.30,33.73,34.30,7004500,33.28
2011-10-07,33.79,34.03,33.52,33.76,10070900,32.75
2011-10-06,32.83,33.58,32.65,33.56,10060300,32.56
2011-10-05,32.82,32.96,32.51,32.89,13360000,31.91
2011-10-04,32.88,32.90,31.88,32.86,20500000,31.88
2011-10-03,33.33,33.71,33.07,33.08,11764800,32.09
2011-09-30,34.30,34.79,33.56,33.58,12893400,32.58
2011-09-29,34.71,34.80,34.15,34.48,7932000,33.45
2011-09-28,34.71,35.02,34.15,34.23,10046600,33.21
2011-09-27,34.90,35.24,34.52,34.93,10828900,33.61
2011-09-26,33.84,34.32,33.65,34.26,9705700,32.96
2011-09-23,33.46,33.86,33.37,33.72,10821300,32.44
2011-09-22,32.71,33.83,32.70,33.71,13359900,32.43
2011-09-21,34.60,34.81,34.11,34.13,11457400,32.84
2011-09-20,34.87,34.98,34.50,34.52,9361600,33.21
2011-09-19,34.75,35.05,34.63,34.87,8857200,33.55
2011-09-16,35.04,35.16,34.84,35.06,14711000,33.73
2011-09-15,34.84,35.06,34.54,34.95,8533300,33.63
2011-09-14,34.39,34.84,33.96,34.53,9167400,33.22
2011-09-13,34.23,34.28,33.85,34.23,9473700,32.93
2011-09-12,34.10,34.29,33.68,34.25,12112400,32.95
2011-09-09,34.76,34.76,34.01,34.51,13032200,33.20
2011-09-08,34.57,35.52,34.54,35.06,14627000,33.73
2011-09-07,34.54,34.96,34.35,34.78,13528500,33.46
2011-09-06,33.68,34.16,33.54,34.08,10705400,32.79
2011-09-02,34.45,34.78,34.22,34.27,8571800,32.97
2011-09-01,34.91,35.10,34.74,34.81,9704300,33.49
2011-08-31,34.83,35.19,34.78,35.02,11402400,33.69
2011-08-30,34.57,34.87,34.29,34.71,8939100,33.39
2011-08-29,34.24,34.68,34.17,34.57,7700300,33.26
2011-08-26,33.52,34.09,32.90,33.95,9229600,32.66
2011-08-25,34.31,34.40,33.51,33.61,9086400,32.34
2011-08-24,34.03,34.27,33.80,34.22,8550600,32.92
2011-08-23,33.66,34.09,33.34,34.09,11476300,32.80
2011-08-22,34.22,34.22,33.47,33.55,9804500,32.28
2011-08-19,33.57,34.28,33.44,33.45,15545100,32.18
2011-08-18,33.94,34.36,33.50,33.81,15868200,32.53
2011-08-17,34.43,34.76,34.32,34.53,11355000,33.22
2011-08-16,34.46,34.54,34.03,34.21,12692900,32.91
2011-08-15,34.59,34.84,34.37,34.68,10505500,33.37
2011-08-12,34.21,34.57,33.90,34.40,14456700,33.10
2011-08-11,32.70,34.44,32.63,34.10,22893800,32.81
2011-08-10,33.98,34.00,32.65,32.80,23874400,31.56
2011-08-09,33.96,34.25,32.80,34.22,28544300,32.92
2011-08-08,33.94,34.77,33.57,33.71,31334700,32.43
2011-08-05,34.89,35.30,34.15,34.87,32604500,33.55
2011-08-04,36.03,36.30,33.72,33.78,60754400,32.50
2011-08-03,34.08,34.32,33.80,34.30,10799100,33.00
2011-08-02,34.16,34.49,34.13,34.14,11035900,32.85
2011-08-01,34.61,34.64,33.94,34.34,8035600,33.04
2011-07-29,34.34,34.64,34.26,34.38,8084600,33.08
2011-07-28,34.58,34.82,34.55,34.59,6965000,33.28
2011-07-27,34.81,34.90,34.48,34.53,9316000,33.22
2011-07-26,35.09,35.10,34.83,34.91,8275900,33.59
2011-07-25,35.25,35.34,35.00,35.03,6456500,33.70
2011-07-22,35.58,35.58,35.37,35.43,5697600,34.09
2011-07-21,35.40,35.57,35.30,35.47,11803100,34.13
2011-07-20,35.39,35.45,35.20,35.26,8300200,33.92
2011-07-19,35.26,35.46,35.21,35.25,9586600,33.91
2011-07-18,35.28,35.35,34.95,35.18,8494000,33.85
2011-07-15,35.39,35.46,35.16,35.37,12177800,34.03
2011-07-14,35.37,35.64,35.17,35.37,9833100,34.03
2011-07-13,35.48,35.60,35.26,35.36,6319400,34.02
2011-07-12,35.43,35.69,35.40,35.40,7076000,34.06
2011-07-11,35.52,35.74,35.35,35.51,7001600,34.16
2011-07-08,35.75,35.93,35.62,35.71,9296800,34.36
2011-07-07,35.98,36.02,35.82,35.93,11192400,34.57
2011-07-06,35.61,35.87,35.56,35.85,9081500,34.49
2011-07-05,35.39,35.70,35.39,35.62,9660000,34.27
2011-07-01,35.04,35.50,34.98,35.47,5831400,34.13
2011-06-30,34.92,35.47,34.92,35.23,8871600,33.89
2011-06-29,34.69,34.95,34.64,34.83,8743300,33.51
2011-06-28,34.50,35.00,34.38,34.53,11392000,33.22
2011-06-27,34.61,34.81,34.45,34.50,9548400,32.91
2011-06-24,34.33,34.67,34.31,34.60,11485100,33.01
2011-06-23,34.45,34.46,33.87,34.26,11113400,32.68
2011-06-22,34.74,34.84,34.63,34.66,4934700,33.07
2011-06-21,34.95,34.95,34.74,34.81,5254700,33.21
2011-06-20,34.39,34.98,34.39,34.80,6981000,33.20
2011-06-17,34.48,34.72,34.41,34.48,11973400,32.89
